WORD	FREQ	JACCARD SIMILARITY
winrar	1.0	8.93016610108948E-5
socialdemocrats	1.0	8.94054537326777E-5
harper	1.0	8.54920064973925E-5
nutrifolica	1.0	8.94534394847482E-5
indignation	1.0	8.872327211427557E-5
jen	1.0	8.828462964597864E-5
officemates	1.0	8.952551477170994E-5
guise	1.0	8.723719794120213E-5
decisive	1.0	8.567511994516793E-5
frameset	1.0	8.92299455697332E-5
alligata	1.0	8.94534394847482E-5
lyons	1.0	8.694896095991653E-5
hannibal	1.0	8.86839304717985E-5
quicksave	1.0	8.952551477170994E-5
beaufoy	1.0	8.946944618412812E-5
nettles	1.0	8.94134477825465E-5
bimmer	1.0	8.952551477170994E-5
dune	1.0	8.574123295892996E-5
aliases	1.0	8.944543828264758E-5
modified	1.0	8.35421888053467E-5
modifier	1.0	8.864462370357238E-5
capuchin	1.0	8.94054537326777E-5
detoxification	1.0	8.89284126278346E-5
deposittaking	1.0	8.949346697691069E-5
excise	1.0	8.599191675982457E-5
landis	1.0	8.934953538241601E-5
bookseller	1.0	8.786574114752658E-5
eyeopener	1.0	8.92379082634303E-5
thailand	1.0	8.426019548365353E-5
shubinski	1.0	8.952551477170994E-5
knowledgeable	1.0	8.62738331464067E-5
pvd	1.0	8.933357155619081E-5
reston	1.0	8.939746111210442E-5
heskey	1.0	8.930963650977941E-5
requestscope	1.0	8.946144211844694E-5
shaped	1.0	8.625894936599672E-5
halofantrine	1.0	8.950147677436678E-5
claimes	1.0	8.952551477170994E-5
creaner	1.0	8.952551477170994E-5
marchant	1.0	8.91503967192654E-5
gibbin	1.0	8.952551477170994E-5
storiesklfsits	1.0	8.952551477170994E-5
wellcome	1.0	8.602890571231934E-5
homoeopathic	1.0	8.931761343336905E-5
incountry	1.0	8.922198429693076E-5
morse	1.0	8.788118463836892E-5
scriptural	1.0	8.848774444739404E-5
bobbio	1.0	8.947745168217609E-5
championswarriors	1.0	8.952551477170994E-5
aliased	1.0	8.943743851176102E-5
