WORD	FREQ	JACCARD SIMILARITY
allamki	1.0	9.220839096357768E-5
harper	1.0	8.793527963418924E-5
computerise	1.0	8.906305664410402E-5
locallybased	1.0	9.196247930844215E-5
newcomer	1.0	8.728288382648163E-5
wwwamazoncouk	1.0	9.182736455463728E-5
loanable	1.0	9.219988936013277E-5
managerialism	1.0	9.208951100469657E-5
jervoise	1.0	9.217439395335975E-5
jcb	1.0	9.154155986818015E-5
lymphatics	1.0	9.220839096357768E-5
councilfunded	1.0	9.213193292795283E-5
severance	1.0	9.139097057210747E-5
inventor	1.0	8.916629514043692E-5
snailmail	1.0	9.19793966151582E-5
angel	1.0	7.695859627520394E-5
pratt	1.0	9.057971014492754E-5
descendant	1.0	8.788118463836892E-5
qnews	1.0	9.218289085545723E-5
sportscotland	1.0	9.194556822361162E-5
anger	1.0	8.136696501220504E-5
bryophyte	1.0	9.193711501333089E-5
einsatz	1.0	9.219138932423711E-5
paperselit	1.0	9.220839096357768E-5
universitysappraisal	1.0	9.220839096357768E-5
worbarrow	1.0	9.220839096357768E-5
httpwwwequalityleedsacukdisservstaffacademicltdeaf	1.0	9.220839096357768E-5
nimhe	1.0	9.189487226612754E-5
exacerbate	1.0	8.882572392965002E-5
multilingualismtopics	1.0	9.220839096357768E-5
eclipse	1.0	8.804366966015144E-5
italianx	1.0	9.220839096357768E-5
pontificate	1.0	9.198785760279643E-5
calvin	1.0	9.065361254645998E-5
noisy	1.0	8.64528399757932E-5
dances	1.0	9.160864785635764E-5
scdeduling	1.0	9.220839096357768E-5
fernando	1.0	9.042408897730355E-5
selffunding	1.0	9.192021325489476E-5
drilling	1.0	8.876264867743653E-5
viglens	1.0	9.214042200313278E-5
ombs	1.0	9.203865623561896E-5
unfettered	1.0	9.16254352208173E-5
catalytic	1.0	9.088430428065073E-5
httpwwwnetcraftcomsurvey	1.0	9.220839096357768E-5
lothene	1.0	9.219988936013277E-5
wingate	1.0	9.170946441672781E-5
litigator	1.0	9.204712812960235E-5
teachingonly	1.0	9.220839096357768E-5
ensured	1.0	9.219138932423711E-5
sixteen	1.0	9.151642719868216E-5
gabitass	1.0	9.219138932423711E-5
hairsplitting	1.0	9.217439395335975E-5
nel	1.0	9.171787581399614E-5
chadderton	1.0	9.200478424878094E-5
colossi	1.0	9.214891264283081E-5
desperately	1.0	8.675284115554784E-5
outperform	1.0	9.077705156136529E-5
armit	1.0	9.21574048474795E-5
thirteenthcentury	1.0	9.204712812960235E-5
stevan	1.0	9.178522257916475E-5
israelis	1.0	9.030976248532467E-5
neo	1.0	9.104980424292088E-5
armin	1.0	9.197093718384991E-5
grubb	1.0	9.175153683824204E-5
franklinwilkins	1.0	9.219988936013277E-5
dump	1.0	8.308408109006314E-5
partido	1.0	9.214891264283081E-5
palnewstaff	1.0	9.220839096357768E-5
internationalization	1.0	9.18526683200147E-5
httpwwwiiecom	1.0	9.220839096357768E-5
richer	1.0	9.191176470588235E-5
selfpublication	1.0	9.220839096357768E-5
photographs	1.0	9.147457006952067E-5
antiintellectualism	1.0	9.21574048474795E-5
riches	1.0	9.09090909090909E-5
transliteration	1.0	9.188642837452908E-5
selden	1.0	9.18526683200147E-5
fistc	1.0	9.218289085545723E-5
jobsite	1.0	9.181893306399779E-5
rattray	1.0	9.186110600771634E-5
globes	1.0	9.211495946941784E-5
contra	1.0	9.149967975112087E-5
micheal	1.0	9.178522257916475E-5
attenborough	1.0	9.13575735428467E-5
rayment	1.0	9.208951100469657E-5
stockman	1.0	9.190331770976932E-5
oxcheps	1.0	9.211495946941784E-5
divisisions	1.0	9.220839096357768E-5
monteith	1.0	9.196247930844215E-5
springfield	1.0	9.077705156136529E-5
headscarve	1.0	9.202171712524156E-5
koehler	1.0	9.208951100469657E-5
hist	1.0	9.131586156515387E-5
fieldtrips	1.0	9.207255317189946E-5
tanenhaus	1.0	9.219988936013277E-5
mcginley	1.0	9.202171712524156E-5
reallocate	1.0	9.166743056192135E-5
qensuring	1.0	9.220839096357768E-5
inclination	1.0	8.950948800572861E-5
httpqualitytayacukstudentacademicappealspolicyandproceduresdoc	1.0	9.220839096357768E-5
httpwwwsasacukwarburgfellowshipsshortthtm	1.0	9.219138932423711E-5
sprache	1.0	9.214891264283081E-5
overturn	1.0	8.946944618412812E-5
longing	1.0	9.030160736861116E-5
sagen	1.0	9.216589861751152E-5
antidefamation	1.0	9.200478424878094E-5
strobel	1.0	9.214891264283081E-5
unmounted	1.0	9.194556822361162E-5
chairpersons	1.0	9.168423947923352E-5
biomaterial	1.0	9.161704076958314E-5
iag	1.0	9.166743056192135E-5
fri	1.0	7.889546351084812E-5
nec	1.0	8.602150537634408E-5
ingenious	1.0	8.971023593792052E-5
bitterness	1.0	9.070294784580499E-5
antwerp	1.0	9.095870474804439E-5
nef	1.0	9.178522257916475E-5
collis	1.0	9.197093718384991E-5
jin	1.0	9.155832265152902E-5
surapon	1.0	9.220839096357768E-5
nongraduate	1.0	9.200478424878094E-5
upperseconds	1.0	9.220839096357768E-5
lnicholglosacuk	1.0	9.220839096357768E-5
intact	1.0	8.649770781074301E-5
somalia	1.0	9.100837277029486E-5
rationalisation	1.0	9.114939385653085E-5
fence	1.0	8.21962847279303E-5
infocult	1.0	9.220839096357768E-5
alister	1.0	9.175995595522114E-5
hise	1.0	9.217439395335975E-5
arcview	1.0	9.210647508519849E-5
savitsky	1.0	9.219988936013277E-5
delaware	1.0	8.94134477825465E-5
isolated	1.0	8.655760408551892E-5
burriesci	1.0	9.220839096357768E-5
antipathy	1.0	9.175995595522114E-5
grapple	1.0	9.053870529651426E-5
pharmacoepidemiology	1.0	9.213193292795283E-5
collaborating	1.0	9.186954524575104E-5
cleaner	1.0	8.708525646608029E-5
lockwood	1.0	9.139097057210747E-5
interactivity	1.0	9.026085386767759E-5
schoolacademic	1.0	9.219988936013277E-5
obstruct	1.0	8.983111749910169E-5
finchley	1.0	9.06043308870164E-5
hypnerotomachia	1.0	9.220839096357768E-5
threatened	1.0	9.154155986818015E-5
drainage	1.0	8.509189925119128E-5
rallings	1.0	9.21574048474795E-5
akkadian	1.0	9.196247930844215E-5
transcendent	1.0	9.128251939753537E-5
pathologist	1.0	9.111617312072893E-5
gudrunernylapat	1.0	9.220839096357768E-5
donlon	1.0	9.216589861751152E-5
tomaselli	1.0	9.219988936013277E-5
nonmember	1.0	8.92936869363336E-5
nfu	1.0	9.107468123861566E-5
imgt	1.0	9.219988936013277E-5
journalists	1.0	9.108297659167502E-5
schiaparelli	1.0	9.219138932423711E-5
httpwwwjanetcertjanetcertregulation	1.0	9.220839096357768E-5
rafique	1.0	9.220839096357768E-5
attachment	1.0	8.136034496786266E-5
staffphotoorderdoc	1.0	9.220839096357768E-5
shaju	1.0	9.220839096357768E-5
simulink	1.0	9.209799226376865E-5
naive	1.0	9.013068949977468E-5
futuretech	1.0	9.219988936013277E-5
symposia	1.0	9.196247930844215E-5
bates	1.0	8.918219923303308E-5
highperformance	1.0	9.071940488070398E-5
organizer	1.0	8.987148377819718E-5
substrate	1.0	8.910273545397844E-5
dull	1.0	8.509914049868096E-5
minton	1.0	9.200478424878094E-5
nfb	1.0	9.211495946941784E-5
lurz	1.0	9.214891264283081E-5
colegio	1.0	9.219138932423711E-5
multiracial	1.0	9.1726288754357E-5
teambased	1.0	9.19963201471941E-5
disputation	1.0	9.210647508519849E-5
abridgment	1.0	9.219988936013277E-5
drunkabouttown	1.0	9.220839096357768E-5
httpwwwaapsedacukcommitteesacyearimplementmeetingpgdipmtfurtherinfodoc	1.0	9.220839096357768E-5
ballet	1.0	8.491126772522713E-5
nickerson	1.0	9.206407659731172E-5
workareas	1.0	9.220839096357768E-5
anthropometry	1.0	9.21574048474795E-5
bambra	1.0	9.220839096357768E-5
crusty	1.0	9.164222873900293E-5
higherfurther	1.0	9.219988936013277E-5
wagnerian	1.0	9.21574048474795E-5
matthay	1.0	9.220839096357768E-5
turl	1.0	9.200478424878094E-5
lshawlmuacuk	1.0	9.220839096357768E-5
uostand	1.0	9.220839096357768E-5
wilderness	1.0	8.724480893386844E-5
unnervingly	1.0	9.212344541685859E-5
correspondingly	1.0	9.119095385737735E-5
sankey	1.0	9.154155986818015E-5
httpwwwlifepilgrimagecom	1.0	9.220839096357768E-5
hedging	1.0	9.1726288754357E-5
readonly	1.0	9.117432530999271E-5
fro	1.0	9.083477155054956E-5
trashvideo	1.0	9.220839096357768E-5
cernuda	1.0	9.219138932423711E-5
mudslinging	1.0	9.219988936013277E-5
virtuoso	1.0	9.113278046113187E-5
topquality	1.0	9.173470323823502E-5
litlink	1.0	9.210647508519849E-5
mpharm	1.0	9.211495946941784E-5
certhe	1.0	9.210647508519849E-5
qaarecognised	1.0	9.220839096357768E-5
oncampus	1.0	9.165902841429881E-5
dexter	1.0	9.122422915526363E-5
retool	1.0	9.214891264283081E-5
httpwwwmythomorphcom	1.0	9.220839096357768E-5
builder	1.0	8.153281695882592E-5
martiansounding	1.0	9.220839096357768E-5
ajay	1.0	9.189487226612754E-5
httpwwwureginacabiologyfacultyleavittdroughtdroughthtm	1.0	9.220839096357768E-5
trshwacuk	1.0	9.220839096357768E-5
firstyears	1.0	9.219988936013277E-5
edelivered	1.0	9.220839096357768E-5
uspensk	1.0	9.220839096357768E-5
sniffy	1.0	9.214042200313278E-5
menlowe	1.0	9.219988936013277E-5
montgomeryholloway	1.0	9.220839096357768E-5
marco	1.0	8.97827258035554E-5
echenique	1.0	9.219138932423711E-5
delighted	1.0	8.850340738118418E-5
ethnography	1.0	9.115770282588879E-5
franz	1.0	9.022013713460844E-5
grassland	1.0	8.756567425569177E-5
rossley	1.0	9.220839096357768E-5
israelipalestinian	1.0	9.192866335723479E-5
referees	1.0	9.145783793671118E-5
featuring	1.0	9.126585744273067E-5
truthdeniers	1.0	9.219988936013277E-5
blinders	1.0	9.214042200313278E-5
akira	1.0	9.186954524575104E-5
deutschniederlxendische	1.0	9.219988936013277E-5
hrber	1.0	9.219988936013277E-5
sustaining	1.0	9.198785760279643E-5
wwwletstwistbradfordcollegeacuk	1.0	9.220839096357768E-5
stellardi	1.0	9.220839096357768E-5
explicate	1.0	9.192866335723479E-5
merry	1.0	8.766546857192952E-5
trendy	1.0	8.977466558937069E-5
protocols	1.0	9.13575735428467E-5
virtuous	1.0	9.097525473071325E-5
hg	1.0	9.041591320072333E-5
tambini	1.0	9.219988936013277E-5
mersh	1.0	9.203865623561896E-5
usnlm	1.0	9.220839096357768E-5
worryingly	1.0	9.149130832570906E-5
neuropharmacology	1.0	9.21574048474795E-5
baccalaureate	1.0	9.130752373995617E-5
logicbased	1.0	9.213193292795283E-5
intralearn	1.0	9.218289085545723E-5
carrying	1.0	9.051412020275162E-5
oshaughnessy	1.0	9.19793966151582E-5
alpha	1.0	8.587376556462001E-5
ghetto	1.0	9.067005168192946E-5
kashmir	1.0	9.051412020275162E-5
aarhus	1.0	9.193711501333089E-5
compost	1.0	8.47816871555744E-5
yasmeen	1.0	9.219138932423711E-5
psychosomatic	1.0	9.192021325489476E-5
hd	1.0	8.652015919709292E-5
httpwwwsunottinghamacukwelfarewelfarestudentadvicephp	1.0	9.220839096357768E-5
fumble	1.0	9.154155986818015E-5
frenchay	1.0	9.175995595522114E-5
leafy	1.0	9.045680687471733E-5
rdwg	1.0	9.220839096357768E-5
nde	1.0	9.187798603454613E-5
brutality	1.0	9.095870474804439E-5
antisera	1.0	9.216589861751152E-5
leinen	1.0	9.219138932423711E-5
roof	1.0	6.955554009876887E-5
highclass	1.0	9.18105031215571E-5
nrsp	1.0	9.211495946941784E-5
kaiserslantern	1.0	9.220839096357768E-5
fodder	1.0	9.103322712790169E-5
timewasting	1.0	9.207255317189946E-5
electrophysiologycomplex	1.0	9.220839096357768E-5
broadbent	1.0	9.179364787956673E-5
scorm	1.0	9.148293843198243E-5
jeanluc	1.0	9.197093718384991E-5
assessement	1.0	9.216589861751152E-5
scorn	1.0	9.085127646043427E-5
freire	1.0	9.188642837452908E-5
panama	1.0	8.834702712253733E-5
recipe	1.0	7.957348611442667E-5
muhlenbruck	1.0	9.220839096357768E-5
wellrounded	1.0	9.187798603454613E-5
ideologue	1.0	9.204712812960235E-5
puffedup	1.0	9.219988936013277E-5
choreographic	1.0	9.166743056192135E-5
whurr	1.0	9.212344541685859E-5
rutgers	1.0	9.180207472688883E-5
acronym	1.0	8.809020436927414E-5
nadeem	1.0	9.209799226376865E-5
nam	1.0	8.984725965858041E-5
commissionfunded	1.0	9.219988936013277E-5
birds	1.0	8.816009873931059E-5
callforpapers	1.0	9.220839096357768E-5
jacobs	1.0	9.047317470370036E-5
putney	1.0	9.124920156948626E-5
telecom	1.0	8.865248226950355E-5
ombudsman	1.0	8.576329331046312E-5
sexy	1.0	8.741258741258741E-5
karas	1.0	9.214042200313278E-5
trrl	1.0	9.218289085545723E-5
klewer	1.0	9.220839096357768E-5
biopolitics	1.0	9.212344541685859E-5
ecstatic	1.0	9.107468123861566E-5
gauguin	1.0	9.213193292795283E-5
romp	1.0	9.065361254645998E-5
nar	1.0	9.184423218221895E-5
inhibit	1.0	8.773469029654326E-5
skewed	1.0	9.18526683200147E-5
arabia	1.0	8.771160424524164E-5
colorectal	1.0	9.085127646043427E-5
acquiescence	1.0	9.179364787956673E-5
interconnectedness	1.0	9.195402298850575E-5
ukcle	1.0	9.212344541685859E-5
httpwwwstaffsacukcurrentregulationsacademicindexphp	1.0	9.220839096357768E-5
httpwwwthesciencelabcom	1.0	9.220839096357768E-5
dekapolis	1.0	9.220839096357768E-5
tomorrows	1.0	9.190331770976932E-5
cromwell	1.0	8.946144211844694E-5
clinicalpersonal	1.0	9.220839096357768E-5
ha	1.0	8.346548702111677E-5
clout	1.0	9.141603437242893E-5
bernardo	1.0	9.186954524575104E-5
summatively	1.0	9.217439395335975E-5
malawi	1.0	9.043226623259179E-5
borthwick	1.0	9.180207472688883E-5
sommai	1.0	9.219988936013277E-5
