WORD	FREQ	JACCARD SIMILARITY
freelbayyatbtinernetcom	1.0	8.914244963451596E-5
shortcircuit	1.0	8.892050506846879E-5
hapechanging	1.0	8.914244963451596E-5
nonprofessionals	1.0	8.907098957869422E-5
doublehelical	1.0	8.9126559714795E-5
onedimensional	1.0	8.841732979664014E-5
unuseable	1.0	8.914244963451596E-5
cherchen	1.0	8.914244963451596E-5
cranfield	1.0	8.768853034023149E-5
salvo	1.0	8.818342151675486E-5
backstory	1.0	8.884940026654821E-5
overactive	1.0	8.882572392965002E-5
agakhan	1.0	8.9126559714795E-5
davidj	1.0	8.890469416785207E-5
srtruggling	1.0	8.914244963451596E-5
environmentally	1.0	8.302200083022001E-5
shaheed	1.0	8.908685968819599E-5
edi	1.0	8.817564588660612E-5
greenness	1.0	8.909479686386316E-5
penpals	1.0	8.902341315766046E-5
seperately	1.0	8.878629139660837E-5
ede	1.0	8.897588753447816E-5
edf	1.0	8.837044892188053E-5
surkov	1.0	8.9126559714795E-5
technologyto	1.0	8.914244963451596E-5
appendice	1.0	8.678295582747549E-5
lysozyme	1.0	8.905512512245079E-5
termite	1.0	8.873901854645488E-5
pronunciation	1.0	8.668515950069348E-5
willetts	1.0	8.894423196655697E-5
redirect	1.0	8.669267446900737E-5
kabbalah	1.0	8.874689385871494E-5
hydromassage	1.0	8.904719501335708E-5
steeplegrangehis	1.0	8.914244963451596E-5
institutionalisation	1.0	8.887308922858158E-5
firebomb	1.0	8.8999644001424E-5
expressly	1.0	8.525876033762469E-5
edp	1.0	8.87784090909091E-5
ostrichmounted	1.0	8.914244963451596E-5
topical	1.0	8.501232678738417E-5
trifling	1.0	8.883361463977969E-5
cgrs	1.0	8.907892392659897E-5
pedometer	1.0	8.89284126278346E-5
ece	1.0	8.885729518393461E-5
multichannel	1.0	8.795074758135444E-5
maja	1.0	8.897588753447816E-5
indefinitely	1.0	8.705493166187865E-5
diemen	1.0	8.859750155045628E-5
escalator	1.0	8.820675663755844E-5
cancelledan	1.0	8.914244963451596E-5
livejournal	1.0	8.882572392965002E-5
indiancaribbean	1.0	8.914244963451596E-5
kaplinsky	1.0	8.909479686386316E-5
lightpill	1.0	8.914244963451596E-5
irate	1.0	8.87154009936125E-5
glover	1.0	8.726003490401397E-5
arrears	1.0	8.613264427217915E-5
lorry	1.0	8.371002846140967E-5
jenine	1.0	8.914244963451596E-5
mannersmysterymidnight	1.0	8.914244963451596E-5
taxeaters	1.0	8.914244963451596E-5
galina	1.0	8.906305664410402E-5
ferrer	1.0	8.897588753447816E-5
sandved	1.0	8.911861687906604E-5
farce	1.0	8.77963125548727E-5
holtz	1.0	8.911861687906604E-5
engraving	1.0	8.658008658008658E-5
lilac	1.0	8.811349017534584E-5
ferret	1.0	8.77654906090925E-5
didthere	1.0	8.914244963451596E-5
sallow	1.0	8.89284126278346E-5
misperception	1.0	8.898380494749955E-5
brhi	1.0	8.907098957869422E-5
popplagi	1.0	8.908685968819599E-5
natasha	1.0	8.808244516867788E-5
upscaling	1.0	8.901548869503294E-5
satoshi	1.0	8.907892392659897E-5
comforted	1.0	8.9126559714795E-5
preamps	1.0	8.903133903133904E-5
sympathetic	1.0	8.415383320710259E-5
ladle	1.0	8.87784090909091E-5
fascinate	1.0	8.581481163648846E-5
etape	1.0	8.903926631644555E-5
ceilings	1.0	8.903133903133904E-5
semitic	1.0	8.874689385871494E-5
meerhout	1.0	8.913450396648542E-5
benghazi	1.0	8.905512512245079E-5
dxd	1.0	8.906305664410402E-5
topkapitopia	1.0	8.914244963451596E-5
chucky	1.0	8.896005693443644E-5
dishwasher	1.0	8.568246080027418E-5
thoughti	1.0	8.9126559714795E-5
hillcoat	1.0	8.908685968819599E-5
kropotkin	1.0	8.905512512245079E-5
aboot	1.0	8.884940026654821E-5
washig	1.0	8.914244963451596E-5
ratty	1.0	8.869966294128082E-5
medellin	1.0	8.909479686386316E-5
abood	1.0	8.9126559714795E-5
dustbin	1.0	8.812902088657794E-5
halifax	1.0	8.472422265525714E-5
dwp	1.0	8.703977717817043E-5
hunters	1.0	8.826904404625298E-5
qunogeneva	1.0	8.914244963451596E-5
claiming	1.0	8.875477056891808E-5
supahfly	1.0	8.9126559714795E-5
steps	1.0	8.84486113568017E-5
prepainted	1.0	8.911861687906604E-5
wakef	1.0	8.914244963451596E-5
carcase	1.0	8.87705281846427E-5
solarium	1.0	8.86053517632465E-5
bufarrera	1.0	8.914244963451596E-5
psoriatic	1.0	8.853474988933157E-5
earnie	1.0	8.891259891526629E-5
booton	1.0	8.9126559714795E-5
withhold	1.0	8.435970980259827E-5
equivalence	1.0	8.695652173913044E-5
garstang	1.0	8.880994671403197E-5
fairylights	1.0	8.9126559714795E-5
therapeutic	1.0	8.161266628580756E-5
nuls	1.0	8.911067545891998E-5
coghill	1.0	8.902341315766046E-5
titian	1.0	8.902341315766046E-5
fulla	1.0	8.904719501335708E-5
devereux	1.0	8.880994671403197E-5
champagne	1.0	8.403361344537815E-5
rockville	1.0	8.899172376968942E-5
bioartificial	1.0	8.914244963451596E-5
grainy	1.0	8.866820358219543E-5
httpnetraexploratoriumedusportsindexhtml	1.0	8.914244963451596E-5
dut	1.0	8.911067545891998E-5
stasiak	1.0	8.913450396648542E-5
eastborne	1.0	8.914244963451596E-5
marginal	1.0	8.470269354565475E-5
ablett	1.0	8.910273545397844E-5
selective	1.0	8.44095551616443E-5
sellout	1.0	8.81057268722467E-5
kocur	1.0	8.913450396648542E-5
truism	1.0	8.873114463176575E-5
peder	1.0	8.890469416785207E-5
pesonen	1.0	8.914244963451596E-5
incommode	1.0	8.911861687906604E-5
usmexican	1.0	8.911861687906604E-5
davehewittdialpipexcom	1.0	8.913450396648542E-5
nurseled	1.0	8.892050506846879E-5
papermakers	1.0	8.907892392659897E-5
geomorphological	1.0	8.858965272856131E-5
joker	1.0	8.798169980644026E-5
carcanet	1.0	8.89284126278346E-5
bhopal	1.0	8.884150675195451E-5
plethora	1.0	8.726764988218868E-5
efecto	1.0	8.913450396648542E-5
stargate	1.0	8.865248226950355E-5
molten	1.0	8.82223202470225E-5
exceeded	1.0	8.908685968819599E-5
swanage	1.0	8.831581736288969E-5
nathaniel	1.0	8.809796493700995E-5
spasmodically	1.0	8.907892392659897E-5
gravity	1.0	8.324315325064514E-5
icepick	1.0	8.905512512245079E-5
districtlondontilburysouthend	1.0	8.913450396648542E-5
makalu	1.0	8.901548869503294E-5
piggy	1.0	8.854258898530193E-5
frivolous	1.0	8.839388314328648E-5
dalmellington	1.0	8.899172376968942E-5
sleeping	1.0	8.380122349786307E-5
phew	1.0	8.820675663755844E-5
bookie	1.0	8.855827134254339E-5
dslr	1.0	8.89521437466643E-5
exhusband	1.0	8.87784090909091E-5
countess	1.0	8.745845723281441E-5
sailors	1.0	8.887308922858158E-5
clickityclick	1.0	8.914244963451596E-5
edification	1.0	8.89521437466643E-5
proverbghana	1.0	8.914244963451596E-5
ambient	1.0	8.614006374364717E-5
felinfach	1.0	8.911861687906604E-5
bracknell	1.0	8.796622097114708E-5
oshaughnessy	1.0	8.89284126278346E-5
blears	1.0	8.870753126940477E-5
barbarian	1.0	8.819119851838787E-5
specialsing	1.0	8.913450396648542E-5
compost	1.0	8.21827744904668E-5
cleartext	1.0	8.911861687906604E-5
soulless	1.0	8.87784090909091E-5
jezgafys	1.0	8.890469416785207E-5
aske	1.0	8.900756564307967E-5
cevin	1.0	8.904719501335708E-5
goodhart	1.0	8.864462370357238E-5
sealevels	1.0	8.909479686386316E-5
aurignacian	1.0	8.914244963451596E-5
bleath	1.0	8.911067545891998E-5
yorgos	1.0	8.911067545891998E-5
catamaran	1.0	8.866820358219543E-5
squire	1.0	8.77963125548727E-5
semite	1.0	8.908685968819599E-5
imperfection	1.0	8.832361773538245E-5
domanial	1.0	8.9126559714795E-5
mantelpiece	1.0	8.880994671403197E-5
earthlike	1.0	8.907098957869422E-5
wwwfashionfightsaidsorg	1.0	8.914244963451596E-5
dismantle	1.0	8.553588230262595E-5
dom	1.0	8.62663906142167E-5
spine	1.0	8.439530762089628E-5
ranaldsic	1.0	8.914244963451596E-5
spina	1.0	8.878629139660837E-5
mute	1.0	8.726003490401397E-5
habitue	1.0	8.914244963451596E-5
httphomeearthlinknetdevitor	1.0	8.914244963451596E-5
scathingly	1.0	8.911861687906604E-5
noveau	1.0	8.913450396648542E-5
teamand	1.0	8.913450396648542E-5
giesel	1.0	8.9126559714795E-5
comped	1.0	8.913450396648542E-5
socialize	1.0	8.87705281846427E-5
sceptical	1.0	8.644536652835408E-5
lavrov	1.0	8.903926631644555E-5
docyard	1.0	8.914244963451596E-5
indeedthe	1.0	8.9126559714795E-5
sportage	1.0	8.902341315766046E-5
potatoes	1.0	8.838607035531201E-5
compet	1.0	8.914244963451596E-5
actaully	1.0	8.911067545891998E-5
ownlabel	1.0	8.8999644001424E-5
wwwnufonixcom	1.0	8.914244963451596E-5
riley	1.0	8.665511265164645E-5
forehead	1.0	8.708525646608029E-5
tattoed	1.0	8.9126559714795E-5
dot	1.0	8.050233456770246E-5
ferrie	1.0	8.904719501335708E-5
appologise	1.0	8.907098957869422E-5
spacerock	1.0	8.9126559714795E-5
easdale	1.0	8.909479686386316E-5
reclassify	1.0	8.809796493700995E-5
prisons	1.0	8.828462964597864E-5
gull	1.0	8.661758336942399E-5
msimon	1.0	8.913450396648542E-5
sentiments	1.0	8.906305664410402E-5
silvicola	1.0	8.914244963451596E-5
mcilroy	1.0	8.890469416785207E-5
yoshitaka	1.0	8.907098957869422E-5
tailend	1.0	8.905512512245079E-5
developmenst	1.0	8.914244963451596E-5
redhill	1.0	8.848774444739404E-5
macintyre	1.0	8.863676653075696E-5
fracas	1.0	8.894423196655697E-5
consultants	1.0	8.51861316977596E-5
bravery	1.0	8.708525646608029E-5
lessstrict	1.0	8.913450396648542E-5
weblink	1.0	8.873114463176575E-5
pelco	1.0	8.914244963451596E-5
maaunaim	1.0	8.914244963451596E-5
computanews	1.0	8.911067545891998E-5
claret	1.0	8.791981712678038E-5
bolivia	1.0	8.71763577717723E-5
wingerstriker	1.0	8.913450396648542E-5
crystallise	1.0	8.861320336730173E-5
inconvenient	1.0	8.76731544800982E-5
apprecaite	1.0	8.914244963451596E-5
repairs	1.0	8.820675663755844E-5
austell	1.0	8.840951286358412E-5
fourty	1.0	8.905512512245079E-5
wildly	1.0	8.725242125468982E-5
frazier	1.0	8.881783462119193E-5
luxor	1.0	8.853474988933157E-5
csmgr	1.0	8.913450396648542E-5
witty	1.0	8.617718028266115E-5
lipa	1.0	8.902341315766046E-5
erik	1.0	8.805142203046579E-5
caste	1.0	8.781173164734808E-5
bayers	1.0	8.911067545891998E-5
charlize	1.0	8.881783462119193E-5
scape	1.0	8.894423196655697E-5
dmt	1.0	8.8999644001424E-5
persecution	1.0	8.535336292249915E-5
dmr	1.0	8.893632159373888E-5
iirc	1.0	8.888098835659053E-5
communityi	1.0	8.914244963451596E-5
dilys	1.0	8.907098957869422E-5
todayi	1.0	8.909479686386316E-5
cousinsgoing	1.0	8.914244963451596E-5
trounce	1.0	8.891259891526629E-5
chairmen	1.0	8.872327211427557E-5
giancarlo	1.0	8.891259891526629E-5
dnd	1.0	8.903926631644555E-5
aneel	1.0	8.907098957869422E-5
dni	1.0	8.908685968819599E-5
crocodile	1.0	8.731336767659129E-5
