WORD	FREQ	JACCARD SIMILARITY
efface	1.0	8.807468733485996E-5
champions	1.0	8.443093549476529E-5
harper	1.0	8.434547908232118E-5
bexleyheath	1.0	8.773469029654326E-5
jilly	1.0	8.803591865481116E-5
dolfor	1.0	8.8261253309797E-5
analyze	1.0	8.299443937256204E-5
malish	1.0	8.823788934968675E-5
bluenotes	1.0	8.826904404625298E-5
myanmar	1.0	8.76731544800982E-5
affleck	1.0	8.798169980644026E-5
stressed	1.0	8.807468733485996E-5
blogging	1.0	8.46811753747142E-5
hungarian	1.0	8.582954252853832E-5
decisionsupport	1.0	8.816009873931059E-5
pix	1.0	8.760402978537013E-5
anslem	1.0	8.824567596187787E-5
faineant	1.0	8.825346394845998E-5
heroes	1.0	8.662508662508663E-5
pow	1.0	8.694896095991653E-5
grandfather	1.0	8.239268352970256E-5
bern	1.0	8.777319406653208E-5
hobbs	1.0	8.711560240439062E-5
epileptic	1.0	8.732099196646873E-5
por	1.0	8.742787200559538E-5
jordanston	1.0	8.8261253309797E-5
printemps	1.0	8.823010411152286E-5
creamcolour	1.0	8.826904404625298E-5
pov	1.0	8.80126738250308E-5
lornakingscotlandgsigovuk	1.0	8.826904404625298E-5
chaired	1.0	8.808244516867788E-5
undifferentiated	1.0	8.788118463836892E-5
poi	1.0	8.795848359574281E-5
manuscripts	1.0	8.69414014953921E-5
kinematic	1.0	8.806693086745927E-5
breadcrumb	1.0	8.763473841030585E-5
playpen	1.0	8.823010411152286E-5
inhumation	1.0	8.817564588660612E-5
woodrow	1.0	8.748906386701662E-5
henares	1.0	8.825346394845998E-5
esinyen	1.0	8.826904404625298E-5
puranas	1.0	8.823788934968675E-5
etosha	1.0	8.809020436927414E-5
fion	1.0	8.8261253309797E-5
selfconfidence	1.0	8.666262241095416E-5
reffering	1.0	8.825346394845998E-5
figures	1.0	8.774238834781083E-5
ppr	1.0	8.812125484666901E-5
obey	1.0	8.284317786430287E-5
sumer	1.0	8.814455707360071E-5
holeandcorner	1.0	8.826904404625298E-5
horsetrainer	1.0	8.826904404625298E-5
pigtoprimate	1.0	8.8261253309797E-5
shapinsay	1.0	8.819897689186806E-5
secton	1.0	8.825346394845998E-5
bellsbellropes	1.0	8.826904404625298E-5
ppi	1.0	8.71763577717723E-5
ppl	1.0	8.697921196833956E-5
titles	1.0	8.703977717817043E-5
handlingpreparing	1.0	8.826904404625298E-5
leatherface	1.0	8.818342151675486E-5
ppb	1.0	8.809796493700995E-5
rechallenge	1.0	8.8261253309797E-5
ppc	1.0	8.651267410675664E-5
clownfish	1.0	8.826904404625298E-5
olfaction	1.0	8.825346394845998E-5
marchant	1.0	8.790436005625879E-5
archbold	1.0	8.795848359574281E-5
bugwood	1.0	8.826904404625298E-5
payback	1.0	8.730574471800244E-5
dystrophin	1.0	8.8261253309797E-5
misguide	1.0	8.798944126704795E-5
echinacea	1.0	8.802042073761112E-5
pmr	1.0	8.80126738250308E-5
applicability	1.0	8.693384334521429E-5
beneficiary	1.0	8.280202036929701E-5
backwell	1.0	8.819897689186806E-5
gaol	1.0	8.700948403375968E-5
convincingly	1.0	8.695652173913044E-5
tenement	1.0	8.634087376964255E-5
betrayal	1.0	8.648274669203493E-5
buring	1.0	8.824567596187787E-5
grassroot	1.0	8.818342151675486E-5
couchancy	1.0	8.826904404625298E-5
httpwwwbbccoukwiltshirestonehengeshtml	1.0	8.826904404625298E-5
bess	1.0	8.796622097114708E-5
incorporated	1.0	8.685833405715279E-5
kentish	1.0	8.67227473766369E-5
dwienquiriesdetrgovuk	1.0	8.823010411152286E-5
haematopoietic	1.0	8.824567596187787E-5
trundle	1.0	8.74355163067238E-5
repress	1.0	8.732099196646873E-5
