WORD	FREQ	JACCARD SIMILARITY
managerialist	1.0	9.03179190751445E-5
efface	1.0	9.015506671474937E-5
helga	1.0	9.018759018759019E-5
origina	1.0	9.03342366757001E-5
gibran	1.0	9.027715085311908E-5
realised	1.0	9.027715085311908E-5
executrix	1.0	9.012256669069935E-5
rumor	1.0	8.925383791503035E-5
mezzabotta	1.0	9.026900162484202E-5
hannibal	1.0	8.950147677436678E-5
templar	1.0	8.947745168217609E-5
antitruck	1.0	9.035872413481521E-5
boobies	1.0	9.034239768723462E-5
linkslinklog	1.0	9.026085386767759E-5
truism	1.0	8.993614533681087E-5
convalescence	1.0	9.009820704567979E-5
directing	1.0	8.961376467425397E-5
normativist	1.0	9.035056017347308E-5
percutaneous	1.0	8.993614533681087E-5
antiterror	1.0	8.984725965858041E-5
intermix	1.0	9.014693951140358E-5
dws	1.0	9.035056017347308E-5
equivalency	1.0	9.028530155290719E-5
numb	1.0	8.914244963451596E-5
beatrice	1.0	8.87784090909091E-5
eurytion	1.0	9.035872413481521E-5
solomon	1.0	8.68357068426537E-5
dwr	1.0	9.000900090009E-5
crosstransfer	1.0	9.035056017347308E-5
bardgett	1.0	9.030976248532467E-5
wilder	1.0	8.954154727793696E-5
maurutian	1.0	9.035872413481521E-5
rhodes	1.0	8.854258898530193E-5
greenway	1.0	8.994423457456377E-5
weathering	1.0	8.942944017170452E-5
batalha	1.0	9.032607713846988E-5
flunkey	1.0	9.03342366757001E-5
nuls	1.0	9.032607713846988E-5
sterilise	1.0	8.959770629871875E-5
overact	1.0	9.023641941887746E-5
atraditional	1.0	9.035872413481521E-5
obnoxious	1.0	8.973438621679828E-5
customercarethedoghousecouk	1.0	9.027715085311908E-5
champagne	1.0	8.511362669163333E-5
merriam	1.0	9.021199819576004E-5
subiago	1.0	9.03342366757001E-5
hawthorne	1.0	8.981498113885396E-5
pastime	1.0	8.89284126278346E-5
praetextata	1.0	9.035872413481521E-5
authenticationskipped	1.0	9.035872413481521E-5
grainy	1.0	8.987148377819718E-5
diemen	1.0	8.979885057471264E-5
maid	1.0	8.647526807333103E-5
harpal	1.0	9.026900162484202E-5
lswr	1.0	8.99685110211426E-5
barbarian	1.0	8.93814801573114E-5
parsytec	1.0	9.030160736861116E-5
conscientiousness	1.0	9.022013713460844E-5
marrow	1.0	8.803591865481116E-5
midon	1.0	9.022827754218172E-5
incommode	1.0	9.03342366757001E-5
delason	1.0	9.035872413481521E-5
trivialize	1.0	9.027715085311908E-5
fildes	1.0	9.010632546404758E-5
intervarsity	1.0	9.027715085311908E-5
conciliatory	1.0	9.009009009009009E-5
wayside	1.0	8.957362952346828E-5
folkeconomy	1.0	9.034239768723462E-5
gareth	1.0	8.430992327796982E-5
biomaterial	1.0	8.979078746520607E-5
scorch	1.0	8.907098957869422E-5
shiitebased	1.0	9.035872413481521E-5
thither	1.0	8.975854950184004E-5
pseudomeditation	1.0	9.035872413481521E-5
doctorsasylum	1.0	9.035872413481521E-5
flooring	1.0	8.682062858135092E-5
greatness	1.0	8.84486113568017E-5
hickesshall	1.0	9.035872413481521E-5
dorfman	1.0	9.027715085311908E-5
emailchain	1.0	9.035872413481521E-5
hivaids	1.0	8.696408383337682E-5
truncated	1.0	8.987956138774042E-5
soloman	1.0	9.029345372460496E-5
phantom	1.0	8.728288382648163E-5
hooray	1.0	8.96941429724639E-5
ochre	1.0	8.979885057471264E-5
curtis	1.0	8.656509695290859E-5
oscar	1.0	8.450942280064228E-5
darknot	1.0	9.035872413481521E-5
bookshops	1.0	9.020386072523904E-5
