WORD	FREQ	JACCARD SIMILARITY
rodopi	1.0	8.869966294128082E-5
treason	1.0	8.766546857192952E-5
hindrance	1.0	8.78966335589347E-5
disabilities	1.0	8.612522607871846E-5
conultation	1.0	8.882572392965002E-5
lifeit	1.0	8.87941751021133E-5
miniessays	1.0	8.882572392965002E-5
popping	1.0	8.878629139660837E-5
parentchild	1.0	8.862891075068687E-5
guessing	1.0	8.875477056891808E-5
devised	1.0	8.87705281846427E-5
ramet	1.0	8.881783462119193E-5
gymnasium	1.0	8.726764988218868E-5
httpwwwbrookersconzproductsproductdocslegnewshtml	1.0	8.882572392965002E-5
museveni	1.0	8.87705281846427E-5
grave	1.0	7.777864198491094E-5
environmentally	1.0	8.274720728175425E-5
sdlt	1.0	8.828462964597864E-5
switching	1.0	8.7404947120007E-5
writerefined	1.0	8.882572392965002E-5
policydb	1.0	8.87784090909091E-5
weekday	1.0	8.545547769612032E-5
selfawareness	1.0	8.806693086745927E-5
cheeky	1.0	8.69187309865276E-5
pascalliebniz	1.0	8.882572392965002E-5
bluewhite	1.0	8.863676653075696E-5
rta	1.0	8.857395925597875E-5
undisturbed	1.0	8.787346221441125E-5
mcgraw	1.0	8.849557522123894E-5
httpwwwfilebaseorguk	1.0	8.882572392965002E-5
alqaida	1.0	8.791981712678038E-5
redclift	1.0	8.87784090909091E-5
usenet	1.0	8.722197993894462E-5
nantes	1.0	8.840951286358412E-5
teatree	1.0	8.881783462119193E-5
kabbalah	1.0	8.843296781039972E-5
rst	1.0	8.829242450997704E-5
mapperley	1.0	8.873114463176575E-5
rtl	1.0	8.855827134254339E-5
preservative	1.0	8.758101243650377E-5
rtm	1.0	8.86053517632465E-5
maico	1.0	8.882572392965002E-5
complacent	1.0	8.756567425569177E-5
znnh	1.0	8.882572392965002E-5
ramtop	1.0	8.882572392965002E-5
brie	1.0	8.843296781039972E-5
subcontract	1.0	8.769622029290537E-5
hospitalise	1.0	8.82223202470225E-5
tshikona	1.0	8.878629139660837E-5
qaqc	1.0	8.874689385871494E-5
figures	1.0	8.829242450997704E-5
domba	1.0	8.847991505928154E-5
menus	1.0	8.809796493700995E-5
oatcake	1.0	8.861320336730173E-5
varieties	1.0	8.831581736288969E-5
brim	1.0	8.76731544800982E-5
kcbmeb	1.0	8.882572392965002E-5
psoriasis	1.0	8.750437521876094E-5
medal	1.0	7.655209369976269E-5
biomaterial	1.0	8.827683615819209E-5
singlelensreflex	1.0	8.882572392965002E-5
unintentional	1.0	8.819897689186806E-5
obrien	1.0	8.542627712284299E-5
precident	1.0	8.881783462119193E-5
unrelieved	1.0	8.874689385871494E-5
llist	1.0	8.881783462119193E-5
rtx	1.0	8.867606632969761E-5
naylor	1.0	8.769622029290537E-5
usernames	1.0	8.830022075055188E-5
upscaling	1.0	8.869966294128082E-5
immunoregulatory	1.0	8.87784090909091E-5
beastie	1.0	8.847208705653367E-5
mcmanus	1.0	8.809796493700995E-5
hypothermia	1.0	8.841732979664014E-5
lexicon	1.0	8.736676568233443E-5
nonus	1.0	8.84486113568017E-5
screenplay	1.0	8.692628650904033E-5
tampere	1.0	8.859750155045628E-5
daybyday	1.0	8.855827134254339E-5
nuclearweapon	1.0	8.831581736288969E-5
barnesville	1.0	8.882572392965002E-5
homestay	1.0	8.862105636299185E-5
parallelised	1.0	8.878629139660837E-5
onesizefitsall	1.0	8.852691218130312E-5
rockabilly	1.0	8.793527963418924E-5
ultraliberal	1.0	8.880994671403197E-5
volcanoworld	1.0	8.881783462119193E-5
copyedit	1.0	8.875477056891808E-5
maintenace	1.0	8.87784090909091E-5
wwwyshcouk	1.0	8.882572392965002E-5
etcfor	1.0	8.880206020779682E-5
conditionand	1.0	8.882572392965002E-5
passione	1.0	8.878629139660837E-5
brasso	1.0	8.87154009936125E-5
saa	1.0	8.82223202470225E-5
weatern	1.0	8.882572392965002E-5
ziman	1.0	8.882572392965002E-5
elzuhur	1.0	8.87941751021133E-5
traction	1.0	8.664009703690868E-5
sac	1.0	8.667013347200555E-5
artisan	1.0	8.732861758798358E-5
amnesia	1.0	8.827683615819209E-5
saf	1.0	8.85112409275978E-5
evangelistic	1.0	8.807468733485996E-5
feather	1.0	8.403361344537815E-5
relativity	1.0	8.735150244584206E-5
unhinge	1.0	8.861320336730173E-5
usrlocalapacheconfhttpdconf	1.0	8.881783462119193E-5
tltp	1.0	8.86053517632465E-5
zncl	1.0	8.881783462119193E-5
tltr	1.0	8.881783462119193E-5
wealdboulonnais	1.0	8.878629139660837E-5
emedia	1.0	8.866820358219543E-5
runblast	1.0	8.881783462119193E-5
nondiscriminatory	1.0	8.840951286358412E-5
guar	1.0	8.87154009936125E-5
commissions	1.0	8.809796493700995E-5
rikpanganibanngocongoorg	1.0	8.880206020779682E-5
spatially	1.0	8.795848359574281E-5
architects	1.0	8.62217623728229E-5
booker	1.0	8.742022904100009E-5
lamps	1.0	8.835483300936562E-5
turnerwhite	1.0	8.882572392965002E-5
overlockers	1.0	8.882572392965002E-5
existent	1.0	8.833922261484099E-5
privatised	1.0	8.742787200559538E-5
immunet	1.0	8.882572392965002E-5
tearoom	1.0	8.812902088657794E-5
secretly	1.0	8.625150940141452E-5
inquirer	1.0	8.843296781039972E-5
newrefinefileworkdir+filestem+filenumber	1.0	8.882572392965002E-5
ping	1.0	8.661758336942399E-5
northenden	1.0	8.873901854645488E-5
feltham	1.0	8.84016973125884E-5
medem	1.0	8.87784090909091E-5
halfwave	1.0	8.878629139660837E-5
sbc	1.0	8.814455707360071E-5
thingy	1.0	8.818342151675486E-5
anarchistcommunismclass	1.0	8.882572392965002E-5
fussy	1.0	8.791208791208791E-5
inversion	1.0	8.778089887640449E-5
pggg	1.0	8.881783462119193E-5
josh	1.0	8.549931600547196E-5
sbm	1.0	8.876264867743653E-5
andalucian	1.0	8.864462370357238E-5
emblem	1.0	8.70170553428472E-5
oyendo	1.0	8.882572392965002E-5
matsuda	1.0	8.873114463176575E-5
sap	1.0	8.555783709787816E-5
roughshod	1.0	8.862891075068687E-5
divvy	1.0	8.873114463176575E-5
cashflow	1.0	8.793527963418924E-5
selfexpression	1.0	8.837044892188053E-5
nonkey	1.0	8.881783462119193E-5
fizz	1.0	8.771929824561403E-5
elliptic	1.0	8.850340738118418E-5
lobley	1.0	8.875477056891808E-5
ackowledging	1.0	8.882572392965002E-5
pimm	1.0	8.876264867743653E-5
kulu	1.0	8.86839304717985E-5
wryoa	1.0	8.881783462119193E-5
sax	1.0	8.728288382648163E-5
sav	1.0	8.87154009936125E-5
guestbook	1.0	8.666262241095416E-5
eisern	1.0	8.882572392965002E-5
snyder	1.0	8.835483300936562E-5
uncomfortable	1.0	8.364700961940611E-5
kmare	1.0	8.882572392965002E-5
pemping	1.0	8.882572392965002E-5
virulence	1.0	8.839388314328648E-5
synchronisation	1.0	8.785030308354564E-5
baccalaureate	1.0	8.798944126704795E-5
edinburghs	1.0	8.864462370357238E-5
memberstate	1.0	8.870753126940477E-5
auralia	1.0	8.869966294128082E-5
jori	1.0	8.878629139660837E-5
harvester	1.0	8.828462964597864E-5
pill	1.0	8.349336227769892E-5
placements	1.0	8.785030308354564E-5
brutality	1.0	8.766546857192952E-5
thriller	1.0	8.558712769599452E-5
pile	1.0	8.017317405596088E-5
highclass	1.0	8.845643520566122E-5
bordoni	1.0	8.880994671403197E-5
opposed	1.0	8.842514811212309E-5
sixteenthcentury	1.0	8.847208705653367E-5
annals	1.0	8.759635599159075E-5
meissastar	1.0	8.882572392965002E-5
kitten	1.0	8.450942280064228E-5
disqualify	1.0	8.664009703690868E-5
capoeira	1.0	8.842514811212309E-5
junemann	1.0	8.882572392965002E-5
sherpa	1.0	8.8261253309797E-5
hiphop	1.0	8.666262241095416E-5
queijo	1.0	8.880994671403197E-5
cornea	1.0	8.812125484666901E-5
bulleted	1.0	8.847208705653367E-5
herewith	1.0	8.853474988933157E-5
nonmeans	1.0	8.874689385871494E-5
spine	1.0	8.411136344520145E-5
kings	1.0	7.830853563038371E-5
phenomenology	1.0	8.815232722143864E-5
importeralibabacom	1.0	8.881783462119193E-5
diorama	1.0	8.819119851838787E-5
selfconsistent	1.0	8.874689385871494E-5
cbrrr	1.0	8.838607035531201E-5
pira	1.0	8.87154009936125E-5
cruel	1.0	8.427439743805832E-5
kavkler	1.0	8.880994671403197E-5
withingroup	1.0	8.880994671403197E-5
arie	1.0	8.870753126940477E-5
monochrome	1.0	8.761170492377782E-5
forverts	1.0	8.882572392965002E-5
alamos	1.0	8.840951286358412E-5
shutting	1.0	8.87941751021133E-5
summatively	1.0	8.87941751021133E-5
spill	1.0	8.365400702693659E-5
httpimaginegsfcnasagovdocsscienceknowlxraysunhtml	1.0	8.882572392965002E-5
jabber	1.0	8.8660342228921E-5
glyn	1.0	8.692628650904033E-5
ilex	1.0	8.841732979664014E-5
gulf	1.0	8.05607024893257E-5
grayling	1.0	8.7404947120007E-5
guage	1.0	8.866820358219543E-5
northfield	1.0	8.857395925597875E-5
kerridge	1.0	8.862105636299185E-5
aria	1.0	8.788890841975742E-5
gabora	1.0	8.876264867743653E-5
odbc	1.0	8.817564588660612E-5
obstetric	1.0	8.802816901408451E-5
palpation	1.0	8.870753126940477E-5
inflationbusting	1.0	8.878629139660837E-5
edemocracy	1.0	8.847991505928154E-5
originculture	1.0	8.882572392965002E-5
disbursement	1.0	8.790436005625879E-5
