WORD	FREQ	JACCARD SIMILARITY
toblerone	1.0	9.149130832570906E-5
zeit	1.0	9.136592051164915E-5
bestread	1.0	9.156670634557275E-5
timer	1.0	8.772699359592947E-5
affectionate	1.0	9.009820704567979E-5
bysix	1.0	9.157509157509158E-5
dominion	1.0	9.001710324961742E-5
killamarsh	1.0	9.1441111923921E-5
clearboth	1.0	9.150805270863836E-5
midday	1.0	8.855827134254339E-5
stob	1.0	9.133254178463786E-5
masterly	1.0	9.114939385653085E-5
dialadiva	1.0	9.157509157509158E-5
repetition	1.0	8.715356458079135E-5
murmur	1.0	8.995232526760817E-5
environmentally	1.0	8.512811781731506E-5
headwear	1.0	9.1441111923921E-5
demands	1.0	9.109127345600292E-5
severance	1.0	9.076881183625306E-5
intermix	1.0	9.13575735428467E-5
donnall	1.0	9.157509157509158E-5
miltary	1.0	9.154155986818015E-5
kxrlg	1.0	9.157509157509158E-5
tanna	1.0	9.154994049253868E-5
bellshill	1.0	9.139932364500503E-5
colorectal	1.0	9.023641941887746E-5
pathophysiology	1.0	9.114939385653085E-5
prejudicially	1.0	9.152480322167308E-5
psig	1.0	9.154994049253868E-5
onabule	1.0	9.156670634557275E-5
goole	1.0	9.079353550027238E-5
immemorial	1.0	9.129085265656382E-5
qw	1.0	9.095870474804439E-5
johnston	1.0	8.746610688358261E-5
dinos	1.0	9.149130832570906E-5
fermanagh	1.0	9.078529278256922E-5
assessmentstage	1.0	9.156670634557275E-5
neilsen	1.0	9.153318077803204E-5
seigne	1.0	9.156670634557275E-5
schnews	1.0	9.106638739641199E-5
finnieston	1.0	9.153318077803204E-5
boro	1.0	9.073586788857636E-5
ambientmeditational	1.0	9.157509157509158E-5
lyneal	1.0	9.157509157509158E-5
dittisham	1.0	9.154994049253868E-5
upandcoming	1.0	9.106638739641199E-5
bleriot	1.0	9.153318077803204E-5
jvm	1.0	9.116601331023795E-5
stmary	1.0	9.143275121148396E-5
qs	1.0	9.064539521392314E-5
eyemouth	1.0	9.126585744273067E-5
dachau	1.0	9.144947416552355E-5
blasphemy	1.0	9.007386056566384E-5
pursuivants	1.0	9.157509157509158E-5
bosa	1.0	9.155832265152902E-5
smarter	1.0	9.001710324961742E-5
stockman	1.0	9.127418765972983E-5
chinyamurindi	1.0	9.157509157509158E-5
mcclaren	1.0	9.111617312072893E-5
bose	1.0	9.100837277029486E-5
paramount	1.0	8.631106507854307E-5
stylesheet	1.0	9.050592813829306E-5
andragogy	1.0	9.134922809902256E-5
fildes	1.0	9.131586156515387E-5
womad	1.0	9.124920156948626E-5
cigarillo	1.0	9.153318077803204E-5
tuns	1.0	9.146620323790359E-5
overbridge	1.0	9.139932364500503E-5
sicoris	1.0	9.157509157509158E-5
bognor	1.0	9.073586788857636E-5
edwyn	1.0	9.148293843198243E-5
wiseacre	1.0	9.156670634557275E-5
mineinjured	1.0	9.157509157509158E-5
httpwwwmakedisciplescomeaster	1.0	9.157509157509158E-5
qt	1.0	9.080177971488241E-5
stimson	1.0	9.129918743723181E-5
sized	1.0	9.067827348567283E-5
apuldram	1.0	9.156670634557275E-5
predicted	1.0	9.124920156948626E-5
crested	1.0	8.966197435667533E-5
afar	1.0	9.065361254645998E-5
interstice	1.0	9.147457006952067E-5
maintable	1.0	9.156670634557275E-5
dormston	1.0	9.155832265152902E-5
unidirectional	1.0	9.139932364500503E-5
televisual	1.0	9.132420091324201E-5
coding	1.0	9.085127646043427E-5
jtn	1.0	9.153318077803204E-5
mccollum	1.0	9.153318077803204E-5
meditations	1.0	9.146620323790359E-5
salior	1.0	9.157509157509158E-5
sherburne	1.0	9.157509157509158E-5
bott	1.0	9.144947416552355E-5
davin	1.0	9.152480322167308E-5
httphrworgreportsiopt	1.0	9.157509157509158E-5
boynextdoor	1.0	9.156670634557275E-5
merseytravel	1.0	9.139097057210747E-5
singingand	1.0	9.156670634557275E-5
qq	1.0	9.088430428065073E-5
aquaculture	1.0	8.995232526760817E-5
andh	1.0	9.156670634557275E-5
storrie	1.0	9.153318077803204E-5
strangeways	1.0	9.139097057210747E-5
stkings	1.0	9.157509157509158E-5
braes	1.0	9.119927040583675E-5
peruvian	1.0	9.041591320072333E-5
seabrook	1.0	9.144947416552355E-5
cathy	1.0	8.76731544800982E-5
encapsulite	1.0	9.156670634557275E-5
drapery	1.0	9.130752373995617E-5
kerbside	1.0	8.973438621679828E-5
confectioner	1.0	9.132420091324201E-5
relentless	1.0	8.949346697691069E-5
braddan	1.0	9.155832265152902E-5
piotrzkowski	1.0	9.155832265152902E-5
ratibus	1.0	9.157509157509158E-5
andr	1.0	9.085127646043427E-5
baysarov	1.0	9.149967975112087E-5
maned	1.0	9.155832265152902E-5
efteling	1.0	9.156670634557275E-5
wonders	1.0	9.086778736937755E-5
refereeing	1.0	9.153318077803204E-5
civility	1.0	9.113278046113187E-5
tamecrest	1.0	9.157509157509158E-5
psni	1.0	9.114939385653085E-5
bout	1.0	8.867606632969761E-5
asiatic	1.0	9.087604507451835E-5
endorphin	1.0	9.121590805436468E-5
imogen	1.0	9.09835319807115E-5
hakner	1.0	9.157509157509158E-5
askes	1.0	9.151642719868216E-5
artur	1.0	9.144947416552355E-5
pillory	1.0	9.120758847136082E-5
jst	1.0	9.13575735428467E-5
alessandro	1.0	9.11410864017499E-5
vaughn	1.0	9.101665604805679E-5
bretton	1.0	9.1000091000091E-5
withhold	1.0	8.653513326410523E-5
mostar	1.0	9.134088417975886E-5
glengarry	1.0	9.148293843198243E-5
pigment	1.0	8.943743851176102E-5
thermodynamics	1.0	9.067005168192946E-5
asked	1.0	9.076881183625306E-5
roundaboutcrossroad	1.0	9.157509157509158E-5
antibody	1.0	8.587376556462001E-5
maharoof	1.0	9.123255177447313E-5
stephanandra	1.0	9.157509157509158E-5
coolscan	1.0	9.145783793671118E-5
morphogenesis	1.0	9.138261902586128E-5
civilise	1.0	9.140767824497258E-5
foxhall	1.0	9.149967975112087E-5
cracking	1.0	9.124087591240875E-5
warship	1.0	8.97021887334051E-5
meikle	1.0	9.126585744273067E-5
metrocentre	1.0	9.142439202779301E-5
itchington	1.0	9.152480322167308E-5
lockstep	1.0	9.156670634557275E-5
heroics	1.0	9.116601331023795E-5
voyager	1.0	9.015506671474937E-5
gills	1.0	9.129085265656382E-5
brooklands	1.0	9.057971014492754E-5
publicspirited	1.0	9.148293843198243E-5
maintenanc	1.0	9.157509157509158E-5
ballooning	1.0	9.120758847136082E-5
houseproud	1.0	9.152480322167308E-5
launceston	1.0	9.086778736937755E-5
brack	1.0	9.147457006952067E-5
fussy	1.0	9.06043308870164E-5
pigot	1.0	9.136592051164915E-5
iwil	1.0	9.157509157509158E-5
ql	1.0	9.09338910611985E-5
clerisy	1.0	9.153318077803204E-5
pendoylan	1.0	9.152480322167308E-5
vivien	1.0	9.099181073703367E-5
amble	1.0	9.084302325581395E-5
whittlestone	1.0	9.157509157509158E-5
cannellino	1.0	9.157509157509158E-5
hydrofoil	1.0	9.146620323790359E-5
douche	1.0	9.148293843198243E-5
roadthis	1.0	9.156670634557275E-5
myhotel	1.0	9.155832265152902E-5
asleep	1.0	8.599931200550395E-5
generalise	1.0	8.850340738118418E-5
brak	1.0	9.147457006952067E-5
leiothrix	1.0	9.157509157509158E-5
brae	1.0	9.095043201455206E-5
riotous	1.0	9.108297659167502E-5
staplefield	1.0	9.156670634557275E-5
mastery	1.0	8.94534394847482E-5
holne	1.0	9.153318077803204E-5
fess	1.0	9.127418765972983E-5
tebworth	1.0	9.155832265152902E-5
cercles	1.0	9.155832265152902E-5
wearin	1.0	9.154155986818015E-5
antibo	1.0	9.157509157509158E-5
klanner	1.0	9.156670634557275E-5
suntrap	1.0	9.140767824497258E-5
ongoingmeanwhile	1.0	9.156670634557275E-5
incandela	1.0	9.156670634557275E-5
shanaghy	1.0	9.156670634557275E-5
wansbeck	1.0	9.123255177447313E-5
separately	1.0	8.043111075363951E-5
buscentre	1.0	9.150805270863836E-5
majorcrest	1.0	9.157509157509158E-5
jrf	1.0	9.109127345600292E-5
hetatms	1.0	9.120758847136082E-5
kbs	1.0	9.084302325581395E-5
antislip	1.0	9.142439202779301E-5
manda	1.0	9.147457006952067E-5
donati	1.0	9.150805270863836E-5
chisseaux	1.0	9.157509157509158E-5
pigmeat	1.0	9.148293843198243E-5
myersbriggs	1.0	9.148293843198243E-5
afflick	1.0	9.157509157509158E-5
fiddling	1.0	9.134922809902256E-5
contradict	1.0	8.797395970792646E-5
foyer	1.0	8.911861687906604E-5
brimblecomb	1.0	9.157509157509158E-5
donats	1.0	9.151642719868216E-5
tcusackbhamacuk	1.0	9.157509157509158E-5
corescreen	1.0	9.157509157509158E-5
considers	1.0	9.142439202779301E-5
kaw	1.0	9.154994049253868E-5
fullerlove	1.0	9.157509157509158E-5
