WORD	FREQ	JACCARD SIMILARITY
managerialist	1.0	9.071940488070398E-5
brutalise	1.0	9.056330374932077E-5
httpwwwmlagovuk	1.0	9.075233687267448E-5
bayard	1.0	9.062896501721951E-5
edenic	1.0	9.067827348567283E-5
helix	1.0	8.9126559714795E-5
hannibal	1.0	8.989572096368213E-5
zech	1.0	9.067005168192946E-5
gland	1.0	8.716116098666435E-5
privite	1.0	9.07605736068252E-5
stely	1.0	9.07605736068252E-5
yangtze	1.0	9.048136083966703E-5
coun	1.0	9.015506671474937E-5
widelyacclaimed	1.0	9.07605736068252E-5
turkeys	1.0	9.067005168192946E-5
iwpr	1.0	9.075233687267448E-5
hartmut	1.0	9.065361254645998E-5
environmentally	1.0	8.442380751371887E-5
sdlp	1.0	8.883361463977969E-5
damnedest	1.0	9.073586788857636E-5
tasteful	1.0	8.97021887334051E-5
lionheart	1.0	9.045680687471733E-5
romantics	1.0	9.06043308870164E-5
exhaustion	1.0	8.916629514043692E-5
bourricaud	1.0	9.07605736068252E-5
adamant	1.0	8.94054537326777E-5
allfemale	1.0	9.057150620414818E-5
magid	1.0	9.068649678062936E-5
storehouse	1.0	9.043226623259179E-5
deery	1.0	9.072763563781528E-5
multiculturalist	1.0	9.067005168192946E-5
ioan	1.0	9.06043308870164E-5
paste	1.0	8.366800535475234E-5
criticisms	1.0	9.073586788857636E-5
osteopathic	1.0	9.054690329590728E-5
mfis	1.0	9.058791557206268E-5
ghb	1.0	9.069472156720479E-5
raffer	1.0	9.07605736068252E-5
testamen	1.0	9.07605736068252E-5
greenway	1.0	9.034239768723462E-5
ekman	1.0	9.057150620414818E-5
granskog	1.0	9.07605736068252E-5
reactive	1.0	8.77963125548727E-5
serengeti	1.0	9.048136083966703E-5
aterman	1.0	9.074410163339382E-5
shooter	1.0	8.86839304717985E-5
slaley	1.0	9.065361254645998E-5
password	1.0	6.619447938041967E-5
judicii	1.0	9.07605736068252E-5
justly	1.0	8.92936869363336E-5
ggt	1.0	9.071940488070398E-5
paar	1.0	9.0711175616836E-5
nonstop	1.0	8.880994671403197E-5
metaphorically	1.0	9.020386072523904E-5
horning	1.0	9.072763563781528E-5
bolter	1.0	9.055510278004166E-5
harpers	1.0	9.053870529651426E-5
bolster	1.0	8.898380494749955E-5
isotype	1.0	9.075233687267448E-5
gaultier	1.0	9.052231375033946E-5
hydrogen	1.0	8.397010664203544E-5
thoery	1.0	9.073586788857636E-5
userled	1.0	9.055510278004166E-5
riders	1.0	8.964589870013447E-5
projective	1.0	9.062896501721951E-5
wwwcentralbookscouk	1.0	9.075233687267448E-5
walkeredward	1.0	9.07605736068252E-5
crossacres	1.0	9.075233687267448E-5
marlboro	1.0	9.036688957166094E-5
biomaterial	1.0	9.018759018759019E-5
momotaro	1.0	9.070294784580499E-5
engraving	1.0	8.81057268722467E-5
gfr	1.0	9.067827348567283E-5
deneuve	1.0	9.070294784580499E-5
noncommercial	1.0	8.816009873931059E-5
ochlocratic	1.0	9.07605736068252E-5
officiis	1.0	9.072763563781528E-5
breen	1.0	8.995232526760817E-5
storytellingy	1.0	9.07605736068252E-5
tjuta	1.0	9.071940488070398E-5
yousif	1.0	9.075233687267448E-5
needy	1.0	8.927774305865548E-5
workdiscipline	1.0	9.07605736068252E-5
magnolia	1.0	9.024456276509341E-5
brede	1.0	9.067827348567283E-5
gridskipper	1.0	9.07605736068252E-5
autofluorescence	1.0	9.072763563781528E-5
bscmedical	1.0	9.07605736068252E-5
telomeres	1.0	9.068649678062936E-5
criticisim	1.0	9.07605736068252E-5
geo	1.0	8.917424647761727E-5
shiqmim	1.0	9.07605736068252E-5
clore	1.0	9.042408897730355E-5
focusses	1.0	9.044044496698923E-5
bredi	1.0	9.075233687267448E-5
marlowe	1.0	8.982304859426928E-5
bracelet	1.0	8.837044892188053E-5
excite	1.0	8.197393228953193E-5
cathy	1.0	8.692628650904033E-5
mccrossan	1.0	9.069472156720479E-5
chandos	1.0	9.032607713846988E-5
mmlgermanmanagerslistscamacuk	1.0	9.07605736068252E-5
semonara	1.0	9.07605736068252E-5
boneconduction	1.0	9.07605736068252E-5
ljcc	1.0	9.073586788857636E-5
akkadian	1.0	9.052231375033946E-5
cracker	1.0	8.925383791503035E-5
molloy	1.0	9.019572472264814E-5
bree	1.0	9.057150620414818E-5
ged	1.0	9.026900162484202E-5
merrygoround	1.0	9.039139473922083E-5
khang	1.0	9.07605736068252E-5
pandisciplinary	1.0	9.07605736068252E-5
figurehead	1.0	9.03342366757001E-5
crusader	1.0	8.958967926894822E-5
sovereignty	1.0	8.676789587852495E-5
buist	1.0	9.074410163339382E-5
ctheory	1.0	9.07605736068252E-5
taote	1.0	9.0711175616836E-5
stanton	1.0	8.94054537326777E-5
gdp	1.0	8.698677800974252E-5
rospa	1.0	8.966197435667533E-5
detachment	1.0	8.911067545891998E-5
libretto	1.0	9.030976248532467E-5
zimfest	1.0	9.073586788857636E-5
agost	1.0	9.07605736068252E-5
carmelo	1.0	9.074410163339382E-5
hauntings	1.0	9.057971014492754E-5
bumping	1.0	9.071940488070398E-5
vaughn	1.0	9.021199819576004E-5
larufa	1.0	9.075233687267448E-5
banff	1.0	8.985533291400844E-5
watersports	1.0	8.883361463977969E-5
autis	1.0	9.07605736068252E-5
swain	1.0	9.010632546404758E-5
deas	1.0	9.063717937097797E-5
rammell	1.0	9.035056017347308E-5
wolfdieter	1.0	9.075233687267448E-5
theyve	1.0	8.965393580778196E-5
satellitecable	1.0	9.075233687267448E-5
gcn	1.0	9.056330374932077E-5
existent	1.0	9.025270758122743E-5
privatised	1.0	8.93016610108948E-5
httpwwwsedaacukssmswordflyerformdoc	1.0	9.07605736068252E-5
accessories	1.0	8.812902088657794E-5
httpwwwsportmonthorg	1.0	9.07605736068252E-5
fortepianos	1.0	9.07605736068252E-5
httpwwwtrainingzonecoukcgibinitemcgiapidd	1.0	9.07605736068252E-5
regionalnational	1.0	9.069472156720479E-5
unitary	1.0	8.849557522123894E-5
peden	1.0	9.065361254645998E-5
frisell	1.0	9.073586788857636E-5
perplex	1.0	8.942944017170452E-5
brca	1.0	8.971828458639871E-5
astrocytomas	1.0	9.064539521392314E-5
lemmings	1.0	9.070294784580499E-5
precis	1.0	9.034239768723462E-5
betws	1.0	9.064539521392314E-5
astride	1.0	9.041591320072333E-5
berbers	1.0	9.0711175616836E-5
dictatorial	1.0	9.035056017347308E-5
brau	1.0	9.074410163339382E-5
deac	1.0	9.075233687267448E-5
bray	1.0	8.93734918223255E-5
sorrow	1.0	8.713078330574191E-5
credability	1.0	9.073586788857636E-5
bands	1.0	8.890469416785207E-5
raman	1.0	9.013068949977468E-5
brotherinlaw	1.0	8.932559178204556E-5
folate	1.0	9.049773755656108E-5
magee	1.0	8.988764044943821E-5
relevantly	1.0	9.067827348567283E-5
unfounded	1.0	8.971828458639871E-5
resourceproviderfactory	1.0	9.075233687267448E-5
grocer	1.0	8.962179602079225E-5
endpoints	1.0	9.004952723998198E-5
homemade	1.0	8.765010079761592E-5
exemplum	1.0	9.074410163339382E-5
terminus	1.0	8.911067545891998E-5
rhodri	1.0	9.009820704567979E-5
aachen	1.0	9.04649900488511E-5
befriend	1.0	8.920606601248885E-5
banda	1.0	9.03750564844103E-5
virility	1.0	9.062075215224287E-5
mageo	1.0	9.0711175616836E-5
gbs	1.0	9.006574799603711E-5
westernstyle	1.0	9.065361254645998E-5
interventionist	1.0	9.040773890245005E-5
pending	1.0	9.026085386767759E-5
constitutionally	1.0	9.041591320072333E-5
bdoyre	1.0	9.074410163339382E-5
satra	1.0	9.06043308870164E-5
mandir	1.0	9.072763563781528E-5
funguspeat	1.0	9.075233687267448E-5
zanzibaris	1.0	9.07605736068252E-5
interfax	1.0	9.067005168192946E-5
mohamedsalah	1.0	9.07605736068252E-5
didjeridus	1.0	9.07605736068252E-5
