WORD	FREQ	JACCARD SIMILARITY
hypertac	1.0	9.235315847801995E-5
socialdemocrats	1.0	9.226794611551947E-5
sunnyvale	1.0	9.232757824762257E-5
harper	1.0	8.81057268722467E-5
treason	1.0	9.11410864017499E-5
jed	1.0	9.203018590097552E-5
httpwwwtheregistercoukzotobarrestsfollowup	1.0	9.239582370876836E-5
morgans	1.0	9.219138932423711E-5
strasbourg	1.0	9.017132551848512E-5
kerry	1.0	8.870753126940477E-5
relaxasse	1.0	9.239582370876836E-5
ashraf	1.0	9.231053263177328E-5
rescued	1.0	9.219988936013277E-5
vxers	1.0	9.238728750923873E-5
vanquish	1.0	9.156670634557275E-5
tricky	1.0	8.68357068426537E-5
implant	1.0	8.69187309865276E-5
godly	1.0	9.084302325581395E-5
overcomplicated	1.0	9.227646027498385E-5
lambourne	1.0	9.217439395335975E-5
voters	1.0	9.208103130755064E-5
bounty	1.0	9.086778736937755E-5
thales	1.0	9.195402298850575E-5
clearup	1.0	9.219138932423711E-5
nonspecialist	1.0	9.165902841429881E-5
rawkus	1.0	9.237875288683603E-5
applaud	1.0	8.926977325477593E-5
justin	1.0	8.763473841030585E-5
ukxira	1.0	9.220839096357768E-5
convictions	1.0	9.226794611551947E-5
expectancy	1.0	8.954956568460644E-5
nourishment	1.0	9.173470323823502E-5
penthouse	1.0	9.149967975112087E-5
incinerator	1.0	9.100837277029486E-5
moondog	1.0	9.219138932423711E-5
zwaniecki	1.0	9.239582370876836E-5
kiir	1.0	9.238728750923873E-5
adamant	1.0	9.099181073703367E-5
dwarfs	1.0	9.225943352707814E-5
northwards	1.0	9.176837661741764E-5
geometric	1.0	8.99847026005579E-5
kevala	1.0	9.232757824762257E-5
infowho	1.0	9.239582370876836E-5
manger	1.0	9.125752874612155E-5
paddy	1.0	8.91503967192654E-5
pid	1.0	9.150805270863836E-5
homechoice	1.0	9.227646027498385E-5
instrumentalist	1.0	9.177679882525697E-5
sherlock	1.0	9.067827348567283E-5
leadbetter	1.0	9.224241306152569E-5
bianca	1.0	9.200478424878094E-5
riga	1.0	9.188642837452908E-5
matsumura	1.0	9.237021984112322E-5
afrocentric	1.0	9.239582370876836E-5
provos	1.0	9.224241306152569E-5
diane	1.0	8.87705281846427E-5
precepting	1.0	9.237021984112322E-5
distributional	1.0	9.189487226612754E-5
dunoons	1.0	9.238728750923873E-5
nave	1.0	8.733624454148471E-5
irony	1.0	8.884940026654821E-5
permalink	1.0	8.591803419537761E-5
barre	1.0	9.203865623561896E-5
kiln	1.0	8.991188635137565E-5
oops	1.0	9.106638739641199E-5
churchwarden	1.0	9.170946441672781E-5
farina	1.0	9.219138932423711E-5
kellie	1.0	9.210647508519849E-5
yoga	1.0	8.833141948591114E-5
dreamy	1.0	9.161704076958314E-5
dreams	1.0	8.99604174163368E-5
sitebysite	1.0	9.235315847801995E-5
quadgeneration	1.0	9.239582370876836E-5
melbury	1.0	9.226794611551947E-5
analysing	1.0	9.190331770976932E-5
nantes	1.0	9.194556822361162E-5
offtheshelf	1.0	9.160025648071815E-5
shaps	1.0	9.226794611551947E-5
ivana	1.0	9.228497600590623E-5
multiculturalism	1.0	9.09835319807115E-5
pip	1.0	9.038322487346348E-5
macedonia	1.0	9.019572472264814E-5
ricelivestock	1.0	9.237875288683603E-5
muddy	1.0	8.873901854645488E-5
vue	1.0	9.139097057210747E-5
nerc	1.0	8.959770629871875E-5
nerd	1.0	9.163383121048291E-5
karrimor	1.0	9.233610341643582E-5
palitre	1.0	9.239582370876836E-5
clarrie	1.0	9.206407659731172E-5
thrombosis	1.0	9.144947416552355E-5
termism	1.0	9.234463015975621E-5
galas	1.0	9.227646027498385E-5
postizos	1.0	9.238728750923873E-5
xcfascismxd	1.0	9.239582370876836E-5
cardiological	1.0	9.232757824762257E-5
hamelin	1.0	9.231053263177328E-5
