WORD	FREQ	JACCARD SIMILARITY
weardale	1.0	8.835483300936562E-5
maven	1.0	8.838607035531201E-5
customstreetfighter	1.0	8.854258898530193E-5
schooladmissionssouthamptongovuk	1.0	8.854258898530193E-5
adjeef	1.0	8.848774444739404E-5
ghia	1.0	8.850340738118418E-5
mimicry	1.0	8.829242450997704E-5
vibrations	1.0	8.795848359574281E-5
isis	1.0	8.662508662508663E-5
suck	1.0	8.417508417508418E-5
unforseen	1.0	8.837825894829872E-5
outsourced	1.0	8.726003490401397E-5
pleasingly	1.0	8.829242450997704E-5
slimelight	1.0	8.851907586084801E-5
ruffell	1.0	8.829242450997704E-5
regattas	1.0	8.850340738118418E-5
cubio	1.0	8.850340738118418E-5
avocet	1.0	8.824567596187787E-5
ingliston	1.0	8.837044892188053E-5
rau	1.0	8.847208705653367E-5
rav	1.0	8.840951286358412E-5
decalpha	1.0	8.851907586084801E-5
manhole	1.0	8.809796493700995E-5
clockwork	1.0	8.758101243650377E-5
haldeman	1.0	8.848774444739404E-5
iceauthfllename	1.0	8.855042946958293E-5
bromham	1.0	8.837044892188053E-5
libelous	1.0	8.842514811212309E-5
chreau	1.0	8.854258898530193E-5
rbc	1.0	8.843296781039972E-5
holst	1.0	8.812902088657794E-5
pelicula	1.0	8.853474988933157E-5
greenway	1.0	8.815232722143864E-5
upgradescuba	1.0	8.855042946958293E-5
aspirate	1.0	8.832361773538245E-5
preponderant	1.0	8.851907586084801E-5
windws	1.0	8.852691218130312E-5
dives	1.0	8.827683615819209E-5
ronwug	1.0	8.852691218130312E-5
rincn	1.0	8.853474988933157E-5
acceptinteractionproposalagentinitiatoragent	1.0	8.855042946958293E-5
httpservernameexchangeusername	1.0	8.854258898530193E-5
leger	1.0	8.835483300936562E-5
polyspermy	1.0	8.855042946958293E-5
ssboldtext	1.0	8.855042946958293E-5
justly	1.0	8.715356458079135E-5
falter	1.0	8.720676724513822E-5
itaptrade	1.0	8.855042946958293E-5
upandcoming	1.0	8.807468733485996E-5
koch	1.0	8.77963125548727E-5
brig	1.0	8.791208791208791E-5
specifications	1.0	8.715356458079135E-5
wizooverb	1.0	8.845643520566122E-5
bhis	1.0	8.855042946958293E-5
selectxsintegercontexttgroupcolspeccolnamecolnamecolnum	1.0	8.855042946958293E-5
produktions	1.0	8.855042946958293E-5
resourcesand	1.0	8.854258898530193E-5
wylie	1.0	8.811349017534584E-5
hockham	1.0	8.853474988933157E-5
unborn	1.0	8.702462796971542E-5
rad	1.0	8.732099196646873E-5
indivual	1.0	8.853474988933157E-5
fusty	1.0	8.847991505928154E-5
itwe	1.0	8.85112409275978E-5
httpwwwofficeronlinecoukblogsdylanwilliamsaspx	1.0	8.855042946958293E-5
espagne	1.0	8.852691218130312E-5
waterstone	1.0	8.825346394845998E-5
catharine	1.0	8.799718409010911E-5
bookcase	1.0	8.806693086745927E-5
youve	1.0	8.629616845012081E-5
trainingicmorguk	1.0	8.852691218130312E-5
motorhomes	1.0	8.823788934968675E-5
hartlepool	1.0	8.520064752492119E-5
payphones	1.0	8.837825894829872E-5
