WORD	FREQ	JACCARD SIMILARITY
scientifique	1.0	9.170105456212746E-5
antisweatshop	1.0	9.202171712524156E-5
bravo	1.0	9.092562284051645E-5
longawaited	1.0	9.095870474804439E-5
inada	1.0	9.204712812960235E-5
wetherelt	1.0	9.204712812960235E-5
jhc	1.0	9.202171712524156E-5
brass	1.0	8.202099737532808E-5
isd	1.0	9.16254352208173E-5
anglingrelated	1.0	9.204712812960235E-5
plomin	1.0	9.203018590097552E-5
heinz	1.0	9.13575735428467E-5
liouville	1.0	9.203865623561896E-5
abseil	1.0	9.062896501721951E-5
arcticrim	1.0	9.204712812960235E-5
unfired	1.0	9.200478424878094E-5
stressed	1.0	9.18357975939021E-5
shark	1.0	8.62738331464067E-5
alistair	1.0	8.833922261484099E-5
rwanda	1.0	9.06043308870164E-5
playgrounds	1.0	9.189487226612754E-5
tumour	1.0	8.547008547008547E-5
environmentallydriven	1.0	9.204712812960235E-5
pixash	1.0	9.204712812960235E-5
geohazard	1.0	9.204712812960235E-5
finfish	1.0	9.196247930844215E-5
malte	1.0	9.201324990798675E-5
manila	1.0	9.131586156515387E-5
cordella	1.0	9.204712812960235E-5
manorway	1.0	9.203865623561896E-5
invariably	1.0	8.775008775008775E-5
netley	1.0	9.184423218221895E-5
unparished	1.0	9.200478424878094E-5
weekday	1.0	8.843296781039972E-5
ibrahim	1.0	9.106638739641199E-5
azkaban	1.0	9.179364787956673E-5
sultry	1.0	9.169264624977077E-5
gameiraq	1.0	9.204712812960235E-5
recommenced	1.0	9.180207472688883E-5
caspian	1.0	9.129085265656382E-5
marchant	1.0	9.165062780680047E-5
ndgp	1.0	9.204712812960235E-5
compacted	1.0	9.175995595522114E-5
astrod	1.0	9.204712812960235E-5
harnham	1.0	9.196247930844215E-5
brandon	1.0	9.054690329590728E-5
mechnanisms	1.0	9.204712812960235E-5
induced	1.0	9.180207472688883E-5
mowat	1.0	9.18526683200147E-5
usenew	1.0	9.204712812960235E-5
leake	1.0	9.18105031215571E-5
groundsurveyed	1.0	9.204712812960235E-5
tackling	1.0	9.1000091000091E-5
tripley	1.0	9.203865623561896E-5
kendalls	1.0	9.202171712524156E-5
farmgate	1.0	9.198785760279643E-5
sundaymori	1.0	9.202171712524156E-5
beverage	1.0	8.902341315766046E-5
geotech	1.0	9.193711501333089E-5
academicindustry	1.0	9.202171712524156E-5
httpwwwfoigovukindexhtm	1.0	9.204712812960235E-5
gregg	1.0	9.148293843198243E-5
antonio	1.0	8.894423196655697E-5
delusion	1.0	9.070294784580499E-5
methuen	1.0	9.142439202779301E-5
primitive	1.0	8.625894936599672E-5
fertile	1.0	8.869966294128082E-5
anlaysis	1.0	9.204712812960235E-5
breton	1.0	9.117432530999271E-5
diana	1.0	8.69414014953921E-5
leagacies	1.0	9.204712812960235E-5
ionosphere	1.0	9.175995595522114E-5
pvs	1.0	9.194556822361162E-5
israelis	1.0	9.015506671474937E-5
conjuring	1.0	9.18105031215571E-5
semiquantitative	1.0	9.198785760279643E-5
carmichael	1.0	9.131586156515387E-5
preprint	1.0	9.154994049253868E-5
teeside	1.0	9.171787581399614E-5
greet	1.0	8.425309630128907E-5
guardisan	1.0	9.202171712524156E-5
nighat	1.0	9.204712812960235E-5
breen	1.0	9.121590805436468E-5
leonard	1.0	8.713078330574191E-5
hollow	1.0	8.714596949891067E-5
termism	1.0	9.19963201471941E-5
tsec	1.0	9.204712812960235E-5
remedying	1.0	9.204712812960235E-5
reelrange	1.0	9.204712812960235E-5
pwc	1.0	9.119095385737735E-5
dishes	1.0	9.176837661741764E-5
attorneys	1.0	9.167583425009168E-5
reverters	1.0	9.204712812960235E-5
pwb	1.0	9.200478424878094E-5
disrespect	1.0	9.13575735428467E-5
assessmentmeasurement	1.0	9.204712812960235E-5
carcinoma	1.0	9.095870474804439E-5
kierns	1.0	9.203865623561896E-5
testify	1.0	8.911861687906604E-5
maplin	1.0	9.171787581399614E-5
birdwood	1.0	9.200478424878094E-5
workforces	1.0	9.175153683824204E-5
