WORD	FREQ	JACCARD SIMILARITY
churchbased	1.0	9.40379913485048E-5
harper	1.0	8.975854950184004E-5
brave	1.0	8.509914049868096E-5
mifare	1.0	9.398496240601504E-5
tumbrilswaggonsetc	1.0	9.42151874882231E-5
gravure	1.0	9.418856550814731E-5
dinas	1.0	9.386146048432514E-5
jeopardise	1.0	9.29022668153103E-5
unidentifiable	1.0	9.394964299135663E-5
fewer	1.0	9.38790837401427E-5
httpwwwinvoicedealerscomcarsresearchdefaultasp	1.0	9.42151874882231E-5
kingscliffe	1.0	9.418856550814731E-5
gentlerthis	1.0	9.42151874882231E-5
lukoil	1.0	9.419743782969103E-5
gvw	1.0	9.419743782969103E-5
pis	1.0	9.38790837401427E-5
plasterboard	1.0	9.365926758452749E-5
namerating	1.0	9.42151874882231E-5
snorkeling	1.0	9.415309292910272E-5
catix	1.0	9.420631182289213E-5
pumpsdispensers	1.0	9.420631182289213E-5
okinawan	1.0	9.417082587814295E-5
heatking	1.0	9.415309292910272E-5
pamphlet	1.0	8.961376467425397E-5
rtosuh	1.0	9.42151874882231E-5
cutdown	1.0	9.407337723424271E-5
wwwgooshingcouk	1.0	9.420631182289213E-5
jelly	1.0	9.184423218221895E-5
streetstyle	1.0	9.419743782969103E-5
changer	1.0	9.350163627863488E-5
guestimate	1.0	9.413536665725314E-5
spitball	1.0	9.420631182289213E-5
kubie	1.0	9.42151874882231E-5
expectancy	1.0	9.125752874612155E-5
authoritiesinternational	1.0	9.42151874882231E-5
presidency	1.0	9.021199819576004E-5
sitesgroups	1.0	9.42151874882231E-5
eadsnokia	1.0	9.42151874882231E-5
stunkill	1.0	9.419743782969103E-5
adamant	1.0	9.275577404693442E-5
makeincluding	1.0	9.42151874882231E-5
denholme	1.0	9.419743782969103E-5
pix	1.0	9.345794392523364E-5
narration	1.0	9.229349330872173E-5
bahru	1.0	9.417082587814295E-5
stanno	1.0	9.420631182289213E-5
geometric	1.0	9.170946441672781E-5
twindvd	1.0	9.42151874882231E-5
windowsmobile	1.0	9.42151874882231E-5
berg	1.0	9.325748391308402E-5
dressings	1.0	9.362419249133976E-5
skiwear	1.0	9.42151874882231E-5
plasticard	1.0	9.419743782969103E-5
storehouse	1.0	9.386146048432514E-5
asymmetrical	1.0	9.392317084624777E-5
mannheim	1.0	9.394081728511038E-5
squeamish	1.0	9.3976130062964E-5
hafd	1.0	9.42151874882231E-5
geyser	1.0	9.401146939926671E-5
microfilmfiche	1.0	9.418856550814731E-5
overuse	1.0	9.317059536010435E-5
autopilots	1.0	9.42151874882231E-5
welltrained	1.0	9.373828271466067E-5
gardtec	1.0	9.42151874882231E-5
diana	1.0	8.887308922858158E-5
obedience	1.0	9.120758847136082E-5
meetic	1.0	9.313588525658937E-5
underachievement	1.0	9.368559115608019E-5
aspirate	1.0	9.39584703561026E-5
sherlock	1.0	9.242998428690267E-5
owings	1.0	9.418856550814731E-5
idest	1.0	9.418856550814731E-5
agua	1.0	9.394081728511038E-5
employability	1.0	8.946944618412812E-5
grandfather	1.0	8.755034144633164E-5
condensate	1.0	9.39584703561026E-5
glorious	1.0	8.582217645039479E-5
himalayas	1.0	9.336196433572963E-5
femtosecond	1.0	9.40379913485048E-5
summerworkafcwimbledoncouk	1.0	9.42151874882231E-5
useable	1.0	9.324878776575905E-5
ledrowest	1.0	9.42151874882231E-5
neto	1.0	9.410878976096367E-5
trimmers	1.0	9.415309292910272E-5
ght	1.0	9.401146939926671E-5
valuables	1.0	9.414422895876483E-5
refreshing	1.0	8.999280057595392E-5
poo	1.0	9.292816652727442E-5
pasteurise	1.0	9.410878976096367E-5
newmarket	1.0	9.231905465288036E-5
dials	1.0	9.392317084624777E-5
mulcahy	1.0	9.411764705882353E-5
inggredient	1.0	9.42151874882231E-5
originator	1.0	9.260116677470137E-5
preprocessor	1.0	9.387027128508402E-5
pov	1.0	9.392317084624777E-5
wwwcoopcouk	1.0	9.420631182289213E-5
mersey	1.0	9.080177971488241E-5
launderies	1.0	9.420631182289213E-5
reluctance	1.0	9.129085265656382E-5
httpwwwgymworldcoukbhfitnessequipmentasp	1.0	9.42151874882231E-5
cricothyrotomy	1.0	9.42151874882231E-5
hanifah	1.0	9.420631182289213E-5
breakin	1.0	9.347541596560104E-5
mechanicus	1.0	9.42151874882231E-5
transpodsinformation	1.0	9.42151874882231E-5
ripcord	1.0	9.420631182289213E-5
pom	1.0	9.358914365933551E-5
beetroot	1.0	9.349289454001496E-5
microsystem	1.0	9.416195856873823E-5
twoone	1.0	9.417969485778867E-5
wwwbritishshippingorg	1.0	9.42151874882231E-5
intubation	1.0	9.402914903620122E-5
hypertrophy	1.0	9.39584703561026E-5
gillian	1.0	9.056330374932077E-5
quarterlytopics	1.0	9.42151874882231E-5
shand	1.0	9.392317084624777E-5
sync	1.0	9.195402298850575E-5
corodinators	1.0	9.42151874882231E-5
himalayan	1.0	9.197093718384991E-5
wolf	1.0	8.659508139937652E-5
meritorious	1.0	9.389671361502347E-5
fida	1.0	9.413536665725314E-5
agtv	1.0	9.420631182289213E-5
criticalprime	1.0	9.420631182289213E-5
harvest	1.0	8.431703204047218E-5
thinwall	1.0	9.42151874882231E-5
selfconfidence	1.0	9.238728750923873E-5
veryhighfrequency	1.0	9.42151874882231E-5
watermills	1.0	9.415309292910272E-5
wastage	1.0	9.327488107452663E-5
baron	1.0	9.032607713846988E-5
dredger	1.0	9.409993413004611E-5
preanaesthetic	1.0	9.419743782969103E-5
singlelensreflex	1.0	9.42151874882231E-5
raincoat	1.0	9.386146048432514E-5
sdhd	1.0	9.420631182289213E-5
rsvsd	1.0	9.42151874882231E-5
wideangle	1.0	9.382623381497467E-5
crofter	1.0	9.359790340696369E-5
excluder	1.0	9.408222786715589E-5
betdaq	1.0	9.419743782969103E-5
artsline	1.0	9.42151874882231E-5
shame	1.0	8.232485387338437E-5
zimbabwe	1.0	8.89284126278346E-5
biera	1.0	9.416195856873823E-5
subtitlingcaptioning	1.0	9.42151874882231E-5
avoiding	1.0	9.372071227741331E-5
burmamyanmar	1.0	9.417969485778867E-5
cookers	1.0	9.412650602409639E-5
resinous	1.0	9.414422895876483E-5
inclement	1.0	9.375585974123383E-5
supersede	1.0	9.139097057210747E-5
tricycle	1.0	9.354536950420954E-5
grouping	1.0	8.954956568460644E-5
excluded	1.0	9.372949667260286E-5
ambitious	1.0	8.486082824168364E-5
loafer	1.0	9.3976130062964E-5
baculovirus	1.0	9.416195856873823E-5
pagesurf	1.0	9.42151874882231E-5
cavarpolo	1.0	9.420631182289213E-5
pps	1.0	9.208951100469657E-5
watching	1.0	9.182736455463728E-5
vin	1.0	9.33009889904833E-5
psychicspiritualist	1.0	9.42151874882231E-5
satan	1.0	9.002520705797624E-5
vie	1.0	9.266123054114158E-5
