WORD	FREQ	JACCARD SIMILARITY
winrar	1.0	9.297136481963555E-5
filename	1.0	9.01631953836444E-5
bumpy	1.0	9.237875288683603E-5
foglamp	1.0	9.319664492078285E-5
highrisk	1.0	9.1726288754357E-5
wheelchairfriendly	1.0	9.318796011555308E-5
everest	1.0	9.085953116481919E-5
douce	1.0	9.313588525658937E-5
stressed	1.0	9.299730307821073E-5
preapproval	1.0	9.30925339787749E-5
chopping	1.0	9.279020135473695E-5
topography	1.0	9.073586788857636E-5
ambridge	1.0	9.304922303898763E-5
heathercouch	1.0	9.321401938851603E-5
inno	1.0	9.317927692881103E-5
tales	1.0	8.971828458639871E-5
bluewhite	1.0	9.300595238095238E-5
reelection	1.0	9.149130832570906E-5
mondiale	1.0	9.304056568663938E-5
contraints	1.0	9.317059536010435E-5
militiaman	1.0	9.315323707498835E-5
snr	1.0	9.232757824762257E-5
arty	1.0	9.239582370876836E-5
frostburg	1.0	9.320533134495293E-5
peros	1.0	9.318796011555308E-5
reconstitute	1.0	9.233610341643582E-5
lasalle	1.0	9.285051067780872E-5
positional	1.0	9.221689413500554E-5
solvent	1.0	8.99847026005579E-5
runtime	1.0	9.026085386767759E-5
ultrapro	1.0	9.321401938851603E-5
bellow	1.0	9.195402298850575E-5
justly	1.0	9.166743056192135E-5
upperfloor	1.0	9.320533134495293E-5
stasof	1.0	9.321401938851603E-5
aerosol	1.0	9.131586156515387E-5
gilwell	1.0	9.27213722763097E-5
supposebut	1.0	9.321401938851603E-5
riff	1.0	9.040773890245005E-5
seats	1.0	9.298000929800093E-5
breakin	1.0	9.24898261191269E-5
anywayxd	1.0	9.321401938851603E-5
kaymet	1.0	9.321401938851603E-5
unhook	1.0	9.302325581395348E-5
smp	1.0	9.236168837166343E-5
sml	1.0	9.237875288683603E-5
brim	1.0	9.194556822361162E-5
iwlp	1.0	9.318796011555308E-5
wideby	1.0	9.321401938851603E-5
hodges	1.0	9.186954524575104E-5
shriek	1.0	9.208951100469657E-5
convalescent	1.0	9.29022668153103E-5
sms	1.0	8.914244963451596E-5
datatype	1.0	9.29022668153103E-5
formica	1.0	9.279881217520415E-5
sma	1.0	9.235315847801995E-5
dreadfulsounding	1.0	9.321401938851603E-5
fossil	1.0	8.687342541916427E-5
unconscious	1.0	8.904719501335708E-5
caldari	1.0	9.31619154089808E-5
terminology	1.0	8.727526618956188E-5
larvaecommonly	1.0	9.321401938851603E-5
pagham	1.0	9.291953168556031E-5
fenby	1.0	9.314456035767511E-5
interceptyrange	1.0	9.321401938851603E-5
isams	1.0	9.317059536010435E-5
twodoor	1.0	9.312721177127957E-5
