WORD	FREQ	JACCARD SIMILARITY
dinah	1.0	9.250693802035152E-5
toprovide	1.0	9.281603861147207E-5
librios	1.0	9.275577404693442E-5
resing	1.0	9.281603861147207E-5
obscenities	1.0	9.281603861147207E-5
enoch	1.0	9.136592051164915E-5
anglicize	1.0	9.279020135473695E-5
subtype	1.0	9.197093718384991E-5
hangon	1.0	9.280742459396752E-5
discriminatory	1.0	9.078529278256922E-5
rumor	1.0	9.165062780680047E-5
microtransition	1.0	9.281603861147207E-5
hannibal	1.0	9.191176470588235E-5
rollercoaster	1.0	9.177679882525697E-5
gravitydefy	1.0	9.275577404693442E-5
creditdebit	1.0	9.158347834050737E-5
inventor	1.0	8.973438621679828E-5
wiz	1.0	9.217439395335975E-5
crude	1.0	8.809020436927414E-5
throb	1.0	9.190331770976932E-5
pontysgawrhyd	1.0	9.281603861147207E-5
traction	1.0	9.043226623259179E-5
gotomarket	1.0	9.280742459396752E-5
realign	1.0	9.220839096357768E-5
pcb	1.0	9.071940488070398E-5
cardsdebit	1.0	9.281603861147207E-5
pca	1.0	9.187798603454613E-5
polyketide	1.0	9.276437847866419E-5
amnesia	1.0	9.221689413500554E-5
httpwwwbuyenergyefficientorg	1.0	9.281603861147207E-5
jelly	1.0	9.051412020275162E-5
shadycombe	1.0	9.278159213212098E-5
fractured	1.0	9.149967975112087E-5
ambridge	1.0	9.26526452330214E-5
indy	1.0	9.214042200313278E-5
neurorehabilitation	1.0	9.267840593141798E-5
soundactivated	1.0	9.281603861147207E-5
wia	1.0	9.271277582050807E-5
tobythemediacentrecouk	1.0	9.281603861147207E-5
napc	1.0	9.27299703264095E-5
authoritiesinternational	1.0	9.281603861147207E-5
montecarlo	1.0	9.27299703264095E-5
reprisal	1.0	9.205560158335634E-5
binocular	1.0	9.212344541685859E-5
faecal	1.0	9.136592051164915E-5
visits	1.0	9.120758847136082E-5
guerillastyle	1.0	9.281603861147207E-5
unanswered	1.0	9.120758847136082E-5
chapman	1.0	8.795848359574281E-5
downhill	1.0	9.000900090009E-5
seaton	1.0	9.182736455463728E-5
boyell	1.0	9.281603861147207E-5
triplet	1.0	9.132420091324201E-5
codaias	1.0	9.273856997125104E-5
mystique	1.0	9.242998428690267E-5
schweppes	1.0	9.254118082546733E-5
vzk	1.0	9.280742459396752E-5
workshops	1.0	8.909479686386316E-5
rims	1.0	9.274717121127805E-5
alsaadi	1.0	9.277298450691158E-5
sincerity	1.0	9.153318077803204E-5
billow	1.0	9.24129008409574E-5
pbk	1.0	9.231053263177328E-5
fieldworker	1.0	9.254974548819991E-5
elliptic	1.0	9.246417013407305E-5
outperform	1.0	9.136592051164915E-5
researchers	1.0	9.174311926605505E-5
diana	1.0	8.762705923589205E-5
buenos	1.0	9.119095385737735E-5
pbl	1.0	9.13575735428467E-5
kitchendiningthe	1.0	9.281603861147207E-5
caius	1.0	9.244707405010632E-5
leadel	1.0	9.281603861147207E-5
warboss	1.0	9.281603861147207E-5
steerer	1.0	9.275577404693442E-5
lifejackets	1.0	9.262689885142645E-5
prebook	1.0	9.197093718384991E-5
rink	1.0	9.149967975112087E-5
arla	1.0	9.259259259259259E-5
defendants	1.0	9.213193292795283E-5
thomass	1.0	9.276437847866419E-5
serviced	1.0	9.249838127832763E-5
underestimate	1.0	8.86839304717985E-5
hiphop	1.0	9.045680687471733E-5
submersiblel	1.0	9.281603861147207E-5
wwwyournamecom	1.0	9.279020135473695E-5
nozzlesseatozone	1.0	9.281603861147207E-5
backlot	1.0	9.27213722763097E-5
isleworth	1.0	9.253261774775608E-5
cautious	1.0	8.908685968819599E-5
theorist	1.0	9.007386056566384E-5
fiestas	1.0	9.278159213212098E-5
downpipe	1.0	9.26526452330214E-5
sharedownership	1.0	9.280742459396752E-5
rina	1.0	9.26526452330214E-5
reprint	1.0	8.670770831526923E-5
rind	1.0	9.250693802035152E-5
mcwilliams	1.0	9.25154963456379E-5
breakin	1.0	9.209799226376865E-5
cbrrr	1.0	9.233610341643582E-5
secession	1.0	9.254118082546733E-5
cakefase	1.0	9.278159213212098E-5
madman	1.0	9.208951100469657E-5
negotiated	1.0	9.257544899092761E-5
custodian	1.0	9.1000091000091E-5
pas	1.0	9.07605736068252E-5
ettinger	1.0	9.278159213212098E-5
barnardo	1.0	9.18526683200147E-5
voracious	1.0	9.25154963456379E-5
upand	1.0	9.27213722763097E-5
raffle	1.0	8.949346697691069E-5
labirthed	1.0	9.281603861147207E-5
thicknessesthis	1.0	9.281603861147207E-5
rugshas	1.0	9.281603861147207E-5
clinicallyoriented	1.0	9.281603861147207E-5
realignment	1.0	9.205560158335634E-5
birdlife	1.0	9.212344541685859E-5
altogether	1.0	8.338892595063375E-5
registred	1.0	9.281603861147207E-5
thinkcreateinnovate	1.0	9.279881217520415E-5
cogeneration	1.0	9.271277582050807E-5
hirefleet	1.0	9.281603861147207E-5
singlecurrency	1.0	9.280742459396752E-5
amortize	1.0	9.276437847866419E-5
launce	1.0	9.279020135473695E-5
momentarily	1.0	9.18357975939021E-5
maltings	1.0	9.244707405010632E-5
weneed	1.0	9.281603861147207E-5
homecooked	1.0	9.244707405010632E-5
wheeldrive	1.0	9.279881217520415E-5
acuity	1.0	9.181893306399779E-5
engulf	1.0	9.171787581399614E-5
engraving	1.0	9.004141905276428E-5
ducati	1.0	9.113278046113187E-5
obrien	1.0	8.911067545891998E-5
ufologist	1.0	9.270418095856123E-5
hydrophobic	1.0	9.231053263177328E-5
boutique	1.0	9.01631953836444E-5
thermography	1.0	9.274717121127805E-5
zimbabwe	1.0	8.768084173608067E-5
hattersley	1.0	9.248127254231018E-5
chasty	1.0	9.281603861147207E-5
x++cm	1.0	9.281603861147207E-5
redistribution	1.0	9.086778736937755E-5
xxxx	1.0	9.192866335723479E-5
preist	1.0	9.275577404693442E-5
neutralization	1.0	9.255831173639393E-5
genealogical	1.0	9.086778736937755E-5
yadegar	1.0	9.281603861147207E-5
intentional	1.0	9.099181073703367E-5
lightning	1.0	8.775008775008775E-5
hddvd	1.0	9.254118082546733E-5
objector	1.0	9.177679882525697E-5
palliative	1.0	8.985533291400844E-5
nonalchoholic	1.0	9.281603861147207E-5
environmentfriendly	1.0	9.27299703264095E-5
redesigning	1.0	9.262689885142645E-5
hayward	1.0	9.092562284051645E-5
lubricant	1.0	9.157509157509158E-5
carrie	1.0	9.036688957166094E-5
jedburgh	1.0	9.25154963456379E-5
forumites	1.0	9.279020135473695E-5
staffgiven	1.0	9.281603861147207E-5
pam	1.0	8.916629514043692E-5
entriesteam	1.0	9.281603861147207E-5
scarce	1.0	8.864462370357238E-5
poore	1.0	9.237021984112322E-5
picasso	1.0	9.129085265656382E-5
shaka	1.0	9.234463015975621E-5
keywordsearchable	1.0	9.281603861147207E-5
sundress	1.0	9.278159213212098E-5
omnipotence	1.0	9.253261774775608E-5
clatterbridge	1.0	9.267840593141798E-5
chaste	1.0	9.244707405010632E-5
tesfaye	1.0	9.279020135473695E-5
menudriven	1.0	9.273856997125104E-5
euphoria	1.0	9.207255317189946E-5
inches	1.0	9.225943352707814E-5
scotfeict	1.0	9.27299703264095E-5
userguukuudialcom	1.0	9.281603861147207E-5
catan	1.0	9.280742459396752E-5
httpforumngflgovukdirectu	1.0	9.281603861147207E-5
powerkite	1.0	9.274717121127805E-5
feminist	1.0	8.94054537326777E-5
liferich	1.0	9.281603861147207E-5
sketchbook	1.0	9.219138932423711E-5
rkive	1.0	9.27213722763097E-5
scepticism	1.0	9.101665604805679E-5
wwwrvcaru	1.0	9.281603861147207E-5
meade	1.0	9.203018590097552E-5
maidenhead	1.0	9.042408897730355E-5
inesoft	1.0	9.280742459396752E-5
hicare	1.0	9.269558769002595E-5
zeus	1.0	9.170105456212746E-5
ameliorate	1.0	9.220839096357768E-5
concentricity	1.0	9.278159213212098E-5
