WORD	FREQ	JACCARD SIMILARITY
hmci	1.0	9.089256498818396E-5
sibel	1.0	9.09090909090909E-5
bravo	1.0	8.982304859426928E-5
jes	1.0	9.070294784580499E-5
computerise	1.0	8.785802143735723E-5
jorum	1.0	9.081002542680712E-5
realitycharity	1.0	9.091735612328394E-5
esop	1.0	9.085127646043427E-5
sanders	1.0	8.902341315766046E-5
misrepresent	1.0	8.946944618412812E-5
edinburghbased	1.0	9.072763563781528E-5
corrymeela	1.0	9.09090909090909E-5
monetise	1.0	9.081827263645445E-5
da	1.0	8.058667096462245E-5
interegg	1.0	9.091735612328394E-5
nth	1.0	9.056330374932077E-5
dutch	1.0	8.061265618702137E-5
brings	1.0	9.035872413481521E-5
bcb	1.0	9.05961224859576E-5
conveyor	1.0	8.952551477170994E-5
belgrave	1.0	9.038322487346348E-5
lagsett	1.0	9.091735612328394E-5
ntl	1.0	8.907892392659897E-5
dioxide	1.0	8.378016085790885E-5
landmap	1.0	9.061254077564335E-5
coursethere	1.0	9.091735612328394E-5
realife	1.0	9.089256498818396E-5
voieoverinternetprotocl	1.0	9.091735612328394E-5
vest	1.0	8.735150244584206E-5
enthusiast	1.0	8.270614506657845E-5
willan	1.0	9.073586788857636E-5
props	1.0	9.072763563781528E-5
informa	1.0	9.070294784580499E-5
taxonomic	1.0	9.03342366757001E-5
grovel	1.0	9.057971014492754E-5
teachingandlearning	1.0	9.091735612328394E-5
antiterror	1.0	9.03995660820828E-5
countrycare	1.0	9.09090909090909E-5
rpan	1.0	9.09090909090909E-5
cantab	1.0	9.075233687267448E-5
daw	1.0	9.051412020275162E-5
wisbech	1.0	9.012256669069935E-5
mondiale	1.0	9.075233687267448E-5
mphilphdedd	1.0	9.09090909090909E-5
buzz	1.0	8.526603001364257E-5
airbus	1.0	8.92458723784025E-5
ecourier	1.0	9.086778736937755E-5
shetland	1.0	8.769622029290537E-5
seaton	1.0	8.99685110211426E-5
illfated	1.0	9.03342366757001E-5
prod	1.0	9.007386056566384E-5
bout	1.0	8.805917576611483E-5
rainey	1.0	9.029345372460496E-5
rhineland	1.0	9.0711175616836E-5
beg	1.0	8.429570934839417E-5
bee	1.0	8.552125203112974E-5
finer	1.0	9.081827263645445E-5
bec	1.0	8.94054537326777E-5
triplea	1.0	9.086778736937755E-5
fines	1.0	9.042408897730355E-5
speakout	1.0	9.085127646043427E-5
kasabian	1.0	9.076881183625306E-5
holst	1.0	9.047317470370036E-5
dnmg	1.0	9.09008271975275E-5
maternal	1.0	8.802816901408451E-5
formattxt	1.0	9.091735612328394E-5
bev	1.0	9.01631953836444E-5
mandeep	1.0	9.089256498818396E-5
greenway	1.0	9.049773755656108E-5
bet	1.0	7.559721802237678E-5
wwwbusinessfundingukorguk	1.0	9.091735612328394E-5
tallow	1.0	9.067005168192946E-5
cookstown	1.0	9.055510278004166E-5
shuttleworth	1.0	9.064539521392314E-5
spongiform	1.0	9.03342366757001E-5
prose	1.0	8.643042350907519E-5
nsi	1.0	9.069472156720479E-5
univers	1.0	9.085953116481919E-5
saath	1.0	9.09090909090909E-5
zaslona	1.0	9.091735612328394E-5
bccas	1.0	9.091735612328394E-5
kestablishing	1.0	9.091735612328394E-5
detica	1.0	9.088430428065073E-5
everitt	1.0	9.049773755656108E-5
workforces	1.0	9.062896501721951E-5
lowincome	1.0	8.91981090000892E-5
workshy	1.0	9.085953116481919E-5
nsc	1.0	9.04649900488511E-5
aerosol	1.0	8.911067545891998E-5
melissa	1.0	8.922198429693076E-5
httpwwwasylumlaworg	1.0	9.091735612328394E-5
plundering	1.0	9.09090909090909E-5
handover	1.0	8.922198429693076E-5
sencos	1.0	9.069472156720479E-5
bhs	1.0	8.994423457456377E-5
azad	1.0	9.075233687267448E-5
hmri	1.0	9.081002542680712E-5
prow	1.0	9.062896501721951E-5
minstf	1.0	9.089256498818396E-5
concise	1.0	8.463817181548878E-5
wwwbbccouknewtalentwriting	1.0	9.091735612328394E-5
hldgs	1.0	9.09090909090909E-5
panelling	1.0	9.009820704567979E-5
romance	1.0	8.416799932665601E-5
brim	1.0	8.971023593792052E-5
partnering	1.0	9.067005168192946E-5
boundless	1.0	9.014693951140358E-5
secrete	1.0	9.004952723998198E-5
nrt	1.0	9.055510278004166E-5
httpwwwbroadwaytheatreorguk	1.0	9.091735612328394E-5
vacuum	1.0	8.568980291345329E-5
preolympic	1.0	9.087604507451835E-5
siae	1.0	9.09090909090909E-5
waddingham	1.0	9.050592813829306E-5
bgf	1.0	9.09090909090909E-5
nru	1.0	9.079353550027238E-5
sharedequity	1.0	9.091735612328394E-5
preempt	1.0	9.013068949977468E-5
posmyk	1.0	9.091735612328394E-5
nrs	1.0	9.07605736068252E-5
micromanipulation	1.0	9.09090909090909E-5
huddlesford	1.0	9.083477155054956E-5
illuminate	1.0	8.431703204047218E-5
postedth	1.0	9.09090909090909E-5
zaslonm	1.0	9.091735612328394E-5
odeon	1.0	9.003331232556046E-5
nonresident	1.0	8.920606601248885E-5
nrm	1.0	9.076881183625306E-5
nrl	1.0	9.078529278256922E-5
bha	1.0	9.007386056566384E-5
groves	1.0	8.997660608241857E-5
wwwpoetrysalzburgcom	1.0	9.091735612328394E-5
focusadam	1.0	9.091735612328394E-5
workplacements	1.0	9.09090909090909E-5
ifr	1.0	9.067827348567283E-5
introducing	1.0	8.958165367732689E-5
nonhub	1.0	9.09008271975275E-5
implimented	1.0	9.085127646043427E-5
fenby	1.0	9.085127646043427E-5
reshard	1.0	9.091735612328394E-5
lastminutecom	1.0	9.072763563781528E-5
bzw	1.0	9.086778736937755E-5
rushden	1.0	9.035056017347308E-5
kvakkestad	1.0	9.091735612328394E-5
excite	1.0	8.210180623973728E-5
hurdocephalus	1.0	9.091735612328394E-5
mortgagebacked	1.0	9.088430428065073E-5
digitising	1.0	9.09008271975275E-5
siss	1.0	9.09008271975275E-5
policlinics	1.0	9.091735612328394E-5
preapplication	1.0	9.056330374932077E-5
burgh	1.0	8.920606601248885E-5
nra	1.0	9.030160736861116E-5
wagner	1.0	8.880994671403197E-5
ullah	1.0	9.079353550027238E-5
orrs	1.0	9.088430428065073E-5
podshare	1.0	9.091735612328394E-5
typify	1.0	8.987956138774042E-5
finland	1.0	8.540438978563499E-5
sire	1.0	8.944543828264758E-5
horncastle	1.0	9.049773755656108E-5
egovernmentedemocracy	1.0	9.091735612328394E-5
lifford	1.0	9.080177971488241E-5
greenlees	1.0	9.09090909090909E-5
bufdg	1.0	9.089256498818396E-5
cr	1.0	8.727526618956188E-5
predicaterd	1.0	9.091735612328394E-5
goit	1.0	9.088430428065073E-5
harnessing	1.0	9.081002542680712E-5
temple	1.0	7.450454477723141E-5
artspace	1.0	9.070294784580499E-5
quasigovernmental	1.0	9.09090909090909E-5
authoritypct	1.0	9.09090909090909E-5
