WORD	FREQ	JACCARD SIMILARITY
lanecleveland	1.0	8.829242450997704E-5
weardale	1.0	8.809796493700995E-5
treason	1.0	8.714596949891067E-5
decking	1.0	8.811349017534584E-5
irrespective	1.0	8.373105584861426E-5
clouder	1.0	8.829242450997704E-5
ramey	1.0	8.814455707360071E-5
verona	1.0	8.772699359592947E-5
convoy	1.0	8.551393877201984E-5
fought	1.0	8.818342151675486E-5
deconstructive	1.0	8.82223202470225E-5
burslem	1.0	8.809796493700995E-5
newsbytes	1.0	8.823010411152286E-5
nenthead	1.0	8.816787162757891E-5
mtet	1.0	8.828462964597864E-5
parvin	1.0	8.820675663755844E-5
unichrome	1.0	8.827683615819209E-5
christelow	1.0	8.828462964597864E-5
mofolo	1.0	8.829242450997704E-5
realism	1.0	8.494011721736176E-5
pinasco	1.0	8.829242450997704E-5
oxshott	1.0	8.821453775582216E-5
nuestra	1.0	8.82223202470225E-5
duthie	1.0	8.817564588660612E-5
sdlp	1.0	8.64677907479464E-5
cared	1.0	8.8261253309797E-5
woeful	1.0	8.772699359592947E-5
slaney	1.0	8.812125484666901E-5
undeveloped	1.0	8.749671887304226E-5
lieut	1.0	8.768084173608067E-5
osley	1.0	8.828462964597864E-5
bedsccgovuk	1.0	8.829242450997704E-5
opioids	1.0	8.792754770069463E-5
romantics	1.0	8.814455707360071E-5
clandon	1.0	8.825346394845998E-5
randomise	1.0	8.494011721736176E-5
shaikh	1.0	8.813678829543451E-5
encode	1.0	8.195377806916898E-5
mcgraw	1.0	8.796622097114708E-5
permalink	1.0	8.235875473562839E-5
vo	1.0	8.708525646608029E-5
sante	1.0	8.81057268722467E-5
scottishresearchcom	1.0	8.828462964597864E-5
groemping	1.0	8.829242450997704E-5
mcgraa	1.0	8.829242450997704E-5
parcell	1.0	8.827683615819209E-5
mcnally	1.0	8.765010079761592E-5
windward	1.0	8.78348704435661E-5
tewksbury	1.0	8.8261253309797E-5
glasers	1.0	8.823788934968675E-5
jazzy	1.0	8.750437521876094E-5
resolutions	1.0	8.793527963418924E-5
bayside	1.0	8.819897689186806E-5
eggar	1.0	8.817564588660612E-5
kitchenroyd	1.0	8.829242450997704E-5
hudon	1.0	8.829242450997704E-5
thappurtenances	1.0	8.827683615819209E-5
podmore	1.0	8.823010411152286E-5
realize	1.0	7.753140021708792E-5
shoppingmile	1.0	8.829242450997704E-5
evershed	1.0	8.818342151675486E-5
encompass	1.0	8.000640051204096E-5
preworld	1.0	8.82223202470225E-5
upperfloor	1.0	8.828462964597864E-5
steeltom	1.0	8.829242450997704E-5
keepers	1.0	8.770391159445712E-5
fragmentation	1.0	8.622919720617402E-5
cissie	1.0	8.82223202470225E-5
bric	1.0	8.816009873931059E-5
guizhou	1.0	8.828462964597864E-5
shneiderman	1.0	8.817564588660612E-5
despatch	1.0	8.33541718763024E-5
hospitalise	1.0	8.769622029290537E-5
botany	1.0	8.703220191470844E-5
camster	1.0	8.829242450997704E-5
citationranked	1.0	8.829242450997704E-5
pattsel	1.0	8.829242450997704E-5
carletonpaget	1.0	8.829242450997704E-5
mussorgsky	1.0	8.817564588660612E-5
aglionby	1.0	8.821453775582216E-5
researchphotocopier	1.0	8.829242450997704E-5
prerecorded	1.0	8.774238834781083E-5
cosmodrome	1.0	8.823010411152286E-5
amesbury	1.0	8.79430129276229E-5
uninterrupted	1.0	8.673779165582444E-5
date+	1.0	8.828462964597864E-5
triggerfish	1.0	8.819119851838787E-5
kovacs	1.0	8.819119851838787E-5
konark	1.0	8.829242450997704E-5
heathwaite	1.0	8.827683615819209E-5
eggeling	1.0	8.827683615819209E-5
droid	1.0	8.814455707360071E-5
bogdanas	1.0	8.828462964597864E-5
barwick	1.0	8.769622029290537E-5
blessingblessing	1.0	8.829242450997704E-5
vashem	1.0	8.823788934968675E-5
packham	1.0	8.816009873931059E-5
trst	1.0	8.829242450997704E-5
cheatle	1.0	8.826904404625298E-5
beckenbauer	1.0	8.820675663755844E-5
uz	1.0	8.800492827598346E-5
tarlo	1.0	8.8261253309797E-5
wefton	1.0	8.827683615819209E-5
wareham	1.0	8.777319406653208E-5
comrnuiiity	1.0	8.829242450997704E-5
questors	1.0	8.819897689186806E-5
johnsonmarshall	1.0	8.827683615819209E-5
equifax	1.0	8.772699359592947E-5
mcadam	1.0	8.809020436927414E-5
utilty	1.0	8.828462964597864E-5
profusion	1.0	8.757334267448988E-5
huth	1.0	8.814455707360071E-5
technisch	1.0	8.828462964597864E-5
purveyors	1.0	8.828462964597864E-5
appleyard	1.0	8.788890841975742E-5
arsyas	1.0	8.829242450997704E-5
throsby	1.0	8.825346394845998E-5
bloodshed	1.0	8.7527352297593E-5
contagious	1.0	8.745845723281441E-5
firstcomefirst	1.0	8.829242450997704E-5
uy	1.0	8.824567596187787E-5
corporal	1.0	8.69187309865276E-5
arabic	1.0	8.285690612312537E-5
hawkwind	1.0	8.809020436927414E-5
lockwood	1.0	8.754267705506434E-5
kedlaston	1.0	8.829242450997704E-5
auctioneer	1.0	8.737439930100481E-5
artis	1.0	8.814455707360071E-5
meetng	1.0	8.829242450997704E-5
flamingo	1.0	8.739730816290858E-5
ccrawfordioeacuk	1.0	8.827683615819209E-5
doorman	1.0	8.812125484666901E-5
towing	1.0	8.819897689186806E-5
murieas	1.0	8.829242450997704E-5
blithely	1.0	8.807468733485996E-5
bryher	1.0	8.816009873931059E-5
chobham	1.0	8.812902088657794E-5
artic	1.0	8.786574114752658E-5
execs	1.0	8.826904404625298E-5
nightspirit	1.0	8.829242450997704E-5
tatham	1.0	8.807468733485996E-5
standalone	1.0	8.499065102838688E-5
stroup	1.0	8.828462964597864E-5
kasam	1.0	8.828462964597864E-5
kilgarvan	1.0	8.827683615819209E-5
fulson	1.0	8.828462964597864E-5
wonders	1.0	8.763473841030585E-5
branston	1.0	8.808244516867788E-5
sowley	1.0	8.828462964597864E-5
stroud	1.0	8.669267446900737E-5
chalton	1.0	8.82223202470225E-5
roomutility	1.0	8.829242450997704E-5
geezer	1.0	8.77963125548727E-5
blythburgh	1.0	8.820675663755844E-5
journeys	1.0	8.749671887304226E-5
uw	1.0	8.78966335589347E-5
kennels	1.0	8.804366966015144E-5
allnight	1.0	8.798944126704795E-5
wellinton	1.0	8.829242450997704E-5
biodiversity	1.0	7.903264048051846E-5
edgerton	1.0	8.823788934968675E-5
scholars	1.0	8.694896095991653E-5
bumping	1.0	8.825346394845998E-5
questre	1.0	8.829242450997704E-5
tiersen	1.0	8.829242450997704E-5
leastused	1.0	8.828462964597864E-5
mugshots	1.0	8.827683615819209E-5
humankind	1.0	8.710801393728223E-5
hollywoodstyle	1.0	8.8261253309797E-5
breakup	1.0	8.714596949891067E-5
largamente	1.0	8.829242450997704E-5
regency	1.0	8.71383757406762E-5
steeble	1.0	8.829242450997704E-5
calleth	1.0	8.821453775582216E-5
warship	1.0	8.655011251514626E-5
louisealexander	1.0	8.8261253309797E-5
wwwfactorscancomstaticasianpacifichtm	1.0	8.829242450997704E-5
abattoir	1.0	8.739730816290858E-5
galliford	1.0	8.825346394845998E-5
uv	1.0	8.578536501672814E-5
othe	1.0	8.807468733485996E-5
souter	1.0	8.809020436927414E-5
paypal	1.0	8.51861316977596E-5
oilfield	1.0	8.803591865481116E-5
geotechnical	1.0	8.761938140716727E-5
leighann	1.0	8.828462964597864E-5
mathilde	1.0	8.821453775582216E-5
gratitude	1.0	8.523695874531196E-5
airportsolihullstratford	1.0	8.829242450997704E-5
ralli	1.0	8.826904404625298E-5
dishwasherovenhob	1.0	8.829242450997704E-5
seventies	1.0	8.819119851838787E-5
precursor	1.0	8.582217645039479E-5
flatsplay	1.0	8.829242450997704E-5
panama	1.0	8.474576271186441E-5
scaynes	1.0	8.828462964597864E-5
whittlestone	1.0	8.829242450997704E-5
glcilea	1.0	8.829242450997704E-5
legler	1.0	8.825346394845998E-5
trains	1.0	8.524422470377632E-5
carsington	1.0	8.816787162757891E-5
tabs	1.0	8.79430129276229E-5
platemaker	1.0	8.829242450997704E-5
blackpill	1.0	8.828462964597864E-5
dotstar	1.0	8.829242450997704E-5
perrys	1.0	8.82223202470225E-5
brunthaler	1.0	8.829242450997704E-5
transmute	1.0	8.802816901408451E-5
widescreen	1.0	8.663259118080222E-5
ascertain	1.0	8.306337735692334E-5
raman	1.0	8.769622029290537E-5
brae	1.0	8.771160424524164E-5
creak	1.0	8.748141020033243E-5
tangye	1.0	8.8261253309797E-5
salesucscamacuk	1.0	8.828462964597864E-5
brac	1.0	8.803591865481116E-5
charleville	1.0	8.808244516867788E-5
amen	1.0	8.621432882145013E-5
moser	1.0	8.795074758135444E-5
welldocumented	1.0	8.79430129276229E-5
referees	1.0	8.760402978537013E-5
castleway	1.0	8.829242450997704E-5
holmy	1.0	8.826904404625298E-5
wedgetailed	1.0	8.816009873931059E-5
rising	1.0	8.736676568233443E-5
janeleesnyifcom	1.0	8.829242450997704E-5
knaresborough	1.0	8.775778850372971E-5
berciu	1.0	8.825346394845998E-5
fishponds	1.0	8.796622097114708E-5
blacklands	1.0	8.827683615819209E-5
