WORD	FREQ	JACCARD SIMILARITY
brave	1.0	8.198737394441256E-5
attactive	1.0	9.03995660820828E-5
longawaited	1.0	8.936550491510277E-5
undertakings	1.0	9.009820704567979E-5
jes	1.0	9.020386072523904E-5
wwwgetstuffedinfo	1.0	9.041591320072333E-5
unrest	1.0	8.873901854645488E-5
extremist	1.0	8.761938140716727E-5
fickleness	1.0	9.03750564844103E-5
sanders	1.0	8.854258898530193E-5
decisive	1.0	8.64902266043937E-5
parkshelter	1.0	9.041591320072333E-5
atisreal	1.0	9.040773890245005E-5
holcombebath	1.0	9.041591320072333E-5
fifty	1.0	8.838607035531201E-5
sergio	1.0	8.992805755395684E-5
unsophisticated	1.0	9.007386056566384E-5
dazzle	1.0	8.92379082634303E-5
brandon	1.0	8.896797153024912E-5
ayrshire	1.0	8.76577840112202E-5
thankyou	1.0	8.816787162757891E-5
oversupply	1.0	9.015506671474937E-5
imprison	1.0	8.685079034219212E-5
godrevy	1.0	9.036688957166094E-5
bronchial	1.0	9.013881377321075E-5
portheothan	1.0	9.041591320072333E-5
ellmau	1.0	9.041591320072333E-5
ratepayers	1.0	9.03342366757001E-5
vandalise	1.0	8.993614533681087E-5
pvp	1.0	9.03179190751445E-5
altnagelvin	1.0	9.028530155290719E-5
ariadnetool	1.0	9.022827754218172E-5
camwebdir	1.0	9.036688957166094E-5
vandalism	1.0	8.7527352297593E-5
rudyard	1.0	9.004952723998198E-5
wwwsalewisiiiownscom	1.0	9.041591320072333E-5
discipling	1.0	9.032607713846988E-5
rooney	1.0	8.753501400560224E-5
derbez	1.0	9.040773890245005E-5
lochdon	1.0	9.03995660820828E-5
varna	1.0	9.021199819576004E-5
netherley	1.0	9.035872413481521E-5
valuegood	1.0	9.041591320072333E-5
agms	1.0	9.010632546404758E-5
bluewhite	1.0	9.022013713460844E-5
vac	1.0	9.003331232556046E-5
tedious	1.0	8.819897689186806E-5
vitamin	1.0	7.69704433497537E-5
murrel	1.0	9.041591320072333E-5
vai	1.0	9.034239768723462E-5
gizmag	1.0	9.03342366757001E-5
kernek	1.0	9.041591320072333E-5
conman	1.0	9.014693951140358E-5
unclarified	1.0	9.03995660820828E-5
redrawn	1.0	9.01631953836444E-5
lopez	1.0	8.93814801573114E-5
melodically	1.0	9.034239768723462E-5
wellstock	1.0	8.986340762041697E-5
laker	1.0	9.036688957166094E-5
snowlife	1.0	9.03750564844103E-5
nonair	1.0	9.03995660820828E-5
olsztyn	1.0	9.041591320072333E-5
kiln	1.0	8.803591865481116E-5
whitsand	1.0	9.03179190751445E-5
unwise	1.0	8.925383791503035E-5
testify	1.0	8.758868354208637E-5
byte	1.0	8.291186468783683E-5
equilalent	1.0	9.041591320072333E-5
keynote	1.0	8.511362669163333E-5
chateaux	1.0	9.03179190751445E-5
colorccff	1.0	9.040773890245005E-5
chrislondonhotmailcom	1.0	9.041591320072333E-5
erecruit	1.0	9.041591320072333E-5
tryitscolaacuk	1.0	9.041591320072333E-5
luminary	1.0	8.973438621679828E-5
urlhttpwwwfinesthotelcomhotelsupplieshtml	1.0	9.041591320072333E-5
pennance	1.0	9.040773890245005E-5
cinco	1.0	9.035056017347308E-5
randomness	1.0	8.984725965858041E-5
rwanda	1.0	8.902341315766046E-5
curse	1.0	8.47314014573801E-5
freelander	1.0	9.03179190751445E-5
mathematicophilosophical	1.0	9.041591320072333E-5
diagonal	1.0	8.834702712253733E-5
sidecar	1.0	8.99685110211426E-5
malton	1.0	8.634832915983076E-5
startup	1.0	8.271982794275788E-5
homeward	1.0	8.98391878537418E-5
httpwwwfinesthotelcomholidayinncolumbusohiohtml	1.0	9.041591320072333E-5
jobsparkhavenorguk	1.0	9.040773890245005E-5
sevenyearold	1.0	9.006574799603711E-5
paddingtop	1.0	9.009820704567979E-5
befriending	1.0	9.018759018759019E-5
secures	1.0	9.030976248532467E-5
baroque	1.0	8.829242450997704E-5
amusing	1.0	8.59106529209622E-5
wellcare	1.0	9.041591320072333E-5
horselovers	1.0	9.041591320072333E-5
brig	1.0	8.975049362771496E-5
harmonica	1.0	8.942944017170452E-5
beef	1.0	8.313934153641503E-5
debacle	1.0	8.962179602079225E-5
athenry	1.0	9.03995660820828E-5
smallholdings	1.0	9.032607713846988E-5
hospitalise	1.0	8.979078746520607E-5
soledad	1.0	9.030976248532467E-5
shouting	1.0	8.95335303071E-5
wildscreen	1.0	9.030160736861116E-5
gsm	1.0	8.792754770069463E-5
jurisdiction	1.0	7.97702616464582E-5
carmarthensire	1.0	9.040773890245005E-5
trimwise	1.0	9.041591320072333E-5
kitesurf	1.0	9.017132551848512E-5
snippet	1.0	8.880206020779682E-5
shane	1.0	8.761170492377782E-5
heraklions	1.0	9.041591320072333E-5
popstars	1.0	9.024456276509341E-5
raffle	1.0	8.726003490401397E-5
susceptible	1.0	8.70170553428472E-5
visiting	1.0	9.012256669069935E-5
balloons	1.0	8.995232526760817E-5
kempe	1.0	8.99847026005579E-5
pickpocket	1.0	9.021199819576004E-5
mechnanisms	1.0	9.041591320072333E-5
bolitho	1.0	9.026900162484202E-5
geology	1.0	8.483203257550051E-5
handicrafts	1.0	9.024456276509341E-5
fertile	1.0	8.71839581517001E-5
astros	1.0	9.040773890245005E-5
bioclock	1.0	9.040773890245005E-5
catsdogs	1.0	9.041591320072333E-5
betws	1.0	9.030160736861116E-5
traditonal	1.0	9.036688957166094E-5
productivity	1.0	7.910140800506249E-5
greer	1.0	8.96780557797507E-5
unselfish	1.0	9.01631953836444E-5
wadstray	1.0	9.041591320072333E-5
northen	1.0	9.032607713846988E-5
hesitate	1.0	8.39137366786943E-5
enigmatic	1.0	8.899172376968942E-5
traunsee	1.0	9.041591320072333E-5
backgroundimageurlthcommonimagesbackgroundslatedealsjpgwidthpxheightpx	1.0	9.041591320072333E-5
macaw	1.0	8.99847026005579E-5
bureaucrat	1.0	8.914244963451596E-5
krabi	1.0	9.029345372460496E-5
gandia	1.0	9.03995660820828E-5
flooring	1.0	8.687342541916427E-5
ise	1.0	9.000090000900009E-5
macau	1.0	8.99604174163368E-5
dissertation	1.0	7.908889591901297E-5
marbles	1.0	9.022013713460844E-5
sence	1.0	9.015506671474937E-5
hivaids	1.0	8.70170553428472E-5
gte	1.0	9.032607713846988E-5
isaac	1.0	8.659508139937652E-5
jaguars	1.0	9.022013713460844E-5
thesaurus	1.0	8.816009873931059E-5
switchback	1.0	9.019572472264814E-5
hollow	1.0	8.568246080027418E-5
sorrow	1.0	8.681309141418526E-5
grapple	1.0	8.880994671403197E-5
maddie	1.0	9.024456276509341E-5
fishchips	1.0	9.040773890245005E-5
songwriter	1.0	8.812902088657794E-5
helmets	1.0	9.028530155290719E-5
dunk	1.0	8.99685110211426E-5
divine	1.0	7.836376459525116E-5
includedpackaged	1.0	9.041591320072333E-5
ryedale	1.0	8.993614533681087E-5
conversely	1.0	8.748906386701662E-5
northey	1.0	9.039139473922083E-5
mulhall	1.0	9.029345372460496E-5
