WORD	FREQ	JACCARD SIMILARITY
churchbased	1.0	9.335324869305452E-5
voynet	1.0	9.351912466099317E-5
weardale	1.0	9.330969487729775E-5
patientcontact	1.0	9.349289454001496E-5
financ	1.0	9.348415443582313E-5
abergavenny	1.0	9.277298450691158E-5
verona	1.0	9.289363678588016E-5
broadoak	1.0	9.347541596560104E-5
pictish	1.0	9.324009324009324E-5
snappily	1.0	9.349289454001496E-5
optimist	1.0	9.249838127832763E-5
reckless	1.0	9.141603437242893E-5
expressly	1.0	8.926180487369455E-5
generalisation	1.0	9.182736455463728E-5
debase	1.0	9.314456035767511E-5
encounters	1.0	9.291953168556031E-5
bodyadd	1.0	9.352787130564908E-5
selector	1.0	9.145783793671118E-5
macedon	1.0	9.344047841524949E-5
recommenced	1.0	9.327488107452663E-5
demilitarization	1.0	9.35103796521414E-5
infocityspeakersinternationalcouk	1.0	9.341429238673517E-5
waring	1.0	9.31619154089808E-5
hamworthy	1.0	9.347541596560104E-5
efs	1.0	9.275577404693442E-5
sundays	1.0	9.197093718384991E-5
birnie	1.0	9.336196433572963E-5
eeo	1.0	9.352787130564908E-5
insp	1.0	9.305788200260562E-5
gordano	1.0	9.349289454001496E-5
semiprivate	1.0	9.346667912889055E-5
devereux	1.0	9.31619154089808E-5
gigantinho	1.0	9.35103796521414E-5
mcnally	1.0	9.280742459396752E-5
cambodia	1.0	9.159186664224217E-5
guiademadrid	1.0	9.352787130564908E-5
eez	1.0	9.349289454001496E-5
injurydefaultspspimagesaddinsultjpgimagesaddinsultsm	1.0	9.352787130564908E-5
almajid	1.0	9.346667912889055E-5
eholleybrookesacuk	1.0	9.352787130564908E-5
asouthernmmuacuk	1.0	9.352787130564908E-5
wwwinterfaithcouk	1.0	9.351912466099317E-5
eep	1.0	9.33968431867003E-5
greenkeeping	1.0	9.318796011555308E-5
allegience	1.0	9.352787130564908E-5
psychoanalysis	1.0	9.209799226376865E-5
sambilog	1.0	9.352787130564908E-5
theocracy	1.0	9.334453467749463E-5
edm	1.0	9.253261774775608E-5
haider	1.0	9.337068160597572E-5
shaheed	1.0	9.346667912889055E-5
edi	1.0	9.246417013407305E-5
chairlifts	1.0	9.352787130564908E-5
edd	1.0	9.285913269570062E-5
appendice	1.0	9.09338910611985E-5
blasphemy	1.0	9.196247930844215E-5
avenuecastlehill	1.0	9.352787130564908E-5
proudly	1.0	9.057150620414818E-5
wwwactivatetrainingcouk	1.0	9.35103796521414E-5
figures	1.0	9.29368029739777E-5
broxbourne	1.0	9.322270905192505E-5
couriers	1.0	9.344921035417251E-5
headscarve	1.0	9.333582228859437E-5
swimmer	1.0	9.007386056566384E-5
amelia	1.0	9.260974254491573E-5
womad	1.0	9.318796011555308E-5
maim	1.0	9.289363678588016E-5
rightwinger	1.0	9.344921035417251E-5
morvern	1.0	9.330969487729775E-5
edp	1.0	9.312721177127957E-5
crock	1.0	9.314456035767511E-5
wwwaxesscouk	1.0	9.352787130564908E-5
flunkey	1.0	9.350163627863488E-5
minimpa	1.0	9.352787130564908E-5
albarn	1.0	9.322270905192505E-5
multibillion	1.0	9.317927692881103E-5
ecf	1.0	9.336196433572963E-5
maid	1.0	8.93734918223255E-5
scotsirish	1.0	9.347541596560104E-5
glebe	1.0	9.254118082546733E-5
cllrfostersouthendgovuk	1.0	9.352787130564908E-5
barbarian	1.0	9.248127254231018E-5
baddeck	1.0	9.352787130564908E-5
europaeuintcommagricultureevalreportsleaderindexenhtm	1.0	9.352787130564908E-5
brewing	1.0	9.151642719868216E-5
arrears	1.0	9.022013713460844E-5
marketer	1.0	9.119095385737735E-5
brandenburg	1.0	9.322270905192505E-5
mentality	1.0	9.136592051164915E-5
arbitrator	1.0	9.24727205474385E-5
scant	1.0	9.240436148586214E-5
delaware	1.0	9.065361254645998E-5
eco	1.0	9.129085265656382E-5
fenby	1.0	9.345794392523364E-5
wwwbcponlinecouk	1.0	9.352787130564908E-5
speciesatrisk	1.0	9.352787130564908E-5
lefty	1.0	9.301460329271696E-5
wellposition	1.0	9.346667912889055E-5
burghley	1.0	9.318796011555308E-5
supplant	1.0	9.287638153617534E-5
sufi	1.0	9.300595238095238E-5
muller	1.0	9.232757824762257E-5
mullet	1.0	9.287638153617534E-5
antigun	1.0	9.349289454001496E-5
dorfman	1.0	9.344047841524949E-5
nubile	1.0	9.344047841524949E-5
nunn	1.0	9.2910898448388E-5
hirsty	1.0	9.352787130564908E-5
saulter	1.0	9.352787130564908E-5
suspense	1.0	9.202171712524156E-5
thoughts	1.0	9.231053263177328E-5
gratification	1.0	9.2824654228163E-5
undeserved	1.0	9.310986964618249E-5
airtricity	1.0	9.344921035417251E-5
sprague	1.0	9.328358208955224E-5
pekka	1.0	9.336196433572963E-5
noncontroversial	1.0	9.33968431867003E-5
pharmacia	1.0	9.335324869305452E-5
clinkard	1.0	9.351912466099317E-5
ljmu	1.0	9.318796011555308E-5
rechab	1.0	9.351912466099317E-5
freear	1.0	9.351912466099317E-5
inty	1.0	9.348415443582313E-5
nathaniel	1.0	9.237875288683603E-5
epidemic	1.0	8.861320336730173E-5
httpwwweuropeanbusinessforumcom	1.0	9.352787130564908E-5
carcash	1.0	9.351912466099317E-5
germandominated	1.0	9.352787130564908E-5
accessing	1.0	9.305788200260562E-5
nondiscriminatory	1.0	9.306654257794323E-5
redundancy	1.0	8.759635599159075E-5
withhold	1.0	8.827683615819209E-5
dsps	1.0	9.348415443582313E-5
beaming	1.0	9.324009324009324E-5
iceland	1.0	8.979078746520607E-5
dwf	1.0	9.348415443582313E-5
halifax	1.0	8.867606632969761E-5
birthplace	1.0	9.104151493080845E-5
elonex	1.0	9.321401938851603E-5
expresses	1.0	9.345794392523364E-5
warship	1.0	9.157509157509158E-5
vishwa	1.0	9.344047841524949E-5
tribalism	1.0	9.341429238673517E-5
tullyvallen	1.0	9.351912466099317E-5
wilder	1.0	9.26526452330214E-5
bonanza	1.0	9.284189026088571E-5
garstang	1.0	9.31619154089808E-5
publicspirited	1.0	9.34317481080071E-5
oilfield	1.0	9.324009324009324E-5
joleon	1.0	9.349289454001496E-5
muttering	1.0	9.338812103100486E-5
earner	1.0	9.168423947923352E-5
finney	1.0	9.318796011555308E-5
egyptianborn	1.0	9.35103796521414E-5
tieup	1.0	9.324878776575905E-5
ordering	1.0	9.211495946941784E-5
mounia	1.0	9.352787130564908E-5
hernandez	1.0	9.326618168252192E-5
blears	1.0	9.304922303898763E-5
inconvenient	1.0	9.191176470588235E-5
berks	1.0	9.27213722763097E-5
waterlooville	1.0	9.328358208955224E-5
dvc	1.0	9.329228472805298E-5
luxor	1.0	9.285913269570062E-5
httpwwwopendemocracynet	1.0	9.352787130564908E-5
nasdaqlisted	1.0	9.35103796521414E-5
grainy	1.0	9.300595238095238E-5
dut	1.0	9.349289454001496E-5
germanophile	1.0	9.352787130564908E-5
passwordprotectedevent	1.0	9.352787130564908E-5
jaybe	1.0	9.350163627863488E-5
referees	1.0	9.275577404693442E-5
conclusionswhat	1.0	9.352787130564908E-5
selective	1.0	8.833141948591114E-5
brigantini	1.0	9.352787130564908E-5
trossachs	1.0	9.298865538404315E-5
templar	1.0	9.258401999814833E-5
teyfant	1.0	9.352787130564908E-5
equation	1.0	8.248102936324645E-5
bookie	1.0	9.288500835965076E-5
asgard	1.0	9.345794392523364E-5
soprano	1.0	9.147457006952067E-5
firearms	1.0	9.277298450691158E-5
ibanesto	1.0	9.352787130564908E-5
armada	1.0	9.195402298850575E-5
coffeetea	1.0	9.29022668153103E-5
autocracy	1.0	9.332711152589827E-5
hnfa	1.0	9.347541596560104E-5
postimpressionists	1.0	9.351912466099317E-5
pavement	1.0	8.797395970792646E-5
jasfer	1.0	9.348415443582313E-5
synod	1.0	9.144947416552355E-5
panicky	1.0	9.337068160597572E-5
originated	1.0	9.208951100469657E-5
wayside	1.0	9.268699601445917E-5
things	1.0	9.176837661741764E-5
moseley	1.0	9.274717121127805E-5
compost	1.0	8.589589417625838E-5
thither	1.0	9.288500835965076E-5
plethora	1.0	9.146620323790359E-5
bacterial	1.0	8.958967926894822E-5
eurocare	1.0	9.34317481080071E-5
regentdefaultspspimagesnoimageexpjpgimagesaddrevsmjpg	1.0	9.352787130564908E-5
frivolous	1.0	9.270418095856123E-5
colling	1.0	9.349289454001496E-5
subsidize	1.0	9.315323707498835E-5
mouland	1.0	9.352787130564908E-5
partynew	1.0	9.352787130564908E-5
mestre	1.0	9.318796011555308E-5
gulag	1.0	9.333582228859437E-5
cadivor	1.0	9.35103796521414E-5
evenings	1.0	9.279020135473695E-5
mostyn	1.0	9.324878776575905E-5
mardam	1.0	9.352787130564908E-5
fiveweek	1.0	9.329228472805298E-5
delias	1.0	9.35103796521414E-5
cvars	1.0	9.350163627863488E-5
berni	1.0	9.34317481080071E-5
layout	1.0	7.85607667530835E-5
kamenev	1.0	9.337068160597572E-5
ulysses	1.0	9.24129008409574E-5
supervisoryteam	1.0	9.352787130564908E-5
berne	1.0	9.303190994511117E-5
tubeless	1.0	9.349289454001496E-5
mildenhall	1.0	9.308386856557759E-5
privatesector	1.0	9.305788200260562E-5
raydonnellylondonmetacuk	1.0	9.352787130564908E-5
euromix	1.0	9.352787130564908E-5
raftbuilding	1.0	9.35103796521414E-5
keiji	1.0	9.350163627863488E-5
undoubtably	1.0	9.34317481080071E-5
squire	1.0	9.204712812960235E-5
exagerated	1.0	9.346667912889055E-5
alleyne	1.0	9.313588525658937E-5
goverhment	1.0	9.352787130564908E-5
shamoun	1.0	9.323140033563304E-5
schwarz	1.0	9.296272194849865E-5
wwwqaaacuk	1.0	9.349289454001496E-5
memberstate	1.0	9.33968431867003E-5
ferris	1.0	9.284189026088571E-5
wwwwingsbirdscom	1.0	9.352787130564908E-5
apologies	1.0	9.19963201471941E-5
rosette	1.0	9.24129008409574E-5
shopworkers	1.0	9.332711152589827E-5
triviality	1.0	9.327488107452663E-5
monochrome	1.0	9.218289085545723E-5
indous	1.0	9.350163627863488E-5
misgovernment	1.0	9.348415443582313E-5
deliberationsbased	1.0	9.352787130564908E-5
repeater	1.0	9.297136481963555E-5
affront	1.0	9.299730307821073E-5
airstrikes	1.0	9.33968431867003E-5
foundations	1.0	9.222539887485013E-5
spill	1.0	8.781173164734808E-5
hoek	1.0	9.34317481080071E-5
dos	1.0	8.87705281846427E-5
midth	1.0	9.253261774775608E-5
encumbent	1.0	9.351912466099317E-5
felicity	1.0	9.208951100469657E-5
millwall	1.0	9.165062780680047E-5
macsounding	1.0	9.352787130564908E-5
alsistani	1.0	9.352787130564908E-5
dpa	1.0	9.255831173639393E-5
admissionslondonmetacuk	1.0	9.351912466099317E-5
alreadyone	1.0	9.352787130564908E-5
fulgencio	1.0	9.35103796521414E-5
beret	1.0	9.300595238095238E-5
photonic	1.0	9.310120100549297E-5
parbul	1.0	9.351912466099317E-5
partyunion	1.0	9.352787130564908E-5
bullen	1.0	9.304922303898763E-5
floresiensis	1.0	9.347541596560104E-5
fathom	1.0	9.249838127832763E-5
personprophet	1.0	9.352787130564908E-5
hodd	1.0	9.347541596560104E-5
mrhenri	1.0	9.352787130564908E-5
holomisa	1.0	9.352787130564908E-5
tvwireless	1.0	9.352787130564908E-5
keiko	1.0	9.317927692881103E-5
shafts	1.0	9.34317481080071E-5
mabo	1.0	9.348415443582313E-5
developments	1.0	8.97827258035554E-5
mabs	1.0	9.33009889904833E-5
