WORD	FREQ	JACCARD SIMILARITY
zeit	1.0	9.150805270863836E-5
iotanu	1.0	9.170105456212746E-5
ringtunes	1.0	9.167583425009168E-5
longawaited	1.0	9.063717937097797E-5
carefull	1.0	9.165062780680047E-5
fabula	1.0	9.170946441672781E-5
microphotograph	1.0	9.171787581399614E-5
decisive	1.0	8.768084173608067E-5
volleyball	1.0	9.053050878145935E-5
tripleoscar	1.0	9.171787581399614E-5
hedge	1.0	8.266512358435976E-5
cowl	1.0	9.138261902586128E-5
twostage	1.0	9.09835319807115E-5
albarr	1.0	9.170946441672781E-5
yachad	1.0	9.171787581399614E-5
gymnasium	1.0	9.005763688760806E-5
lenny	1.0	9.067827348567283E-5
gallobelgicus	1.0	9.171787581399614E-5
tett	1.0	9.170946441672781E-5
khorsabad	1.0	9.171787581399614E-5
hove	1.0	8.841732979664014E-5
arraqib	1.0	9.171787581399614E-5
saleskevinmayhewltdcom	1.0	9.171787581399614E-5
electronically	1.0	8.536793580331228E-5
accompts	1.0	9.169264624977077E-5
ouckham	1.0	9.171787581399614E-5
macqueen	1.0	9.154155986818015E-5
permalink	1.0	8.53315129277242E-5
pluralistic	1.0	9.132420091324201E-5
catle	1.0	9.171787581399614E-5
hardwicke	1.0	9.161704076958314E-5
peeress	1.0	9.168423947923352E-5
teth	1.0	9.170105456212746E-5
hons	1.0	8.568980291345329E-5
retrospective	1.0	8.819897689186806E-5
bayside	1.0	9.161704076958314E-5
almajid	1.0	9.165902841429881E-5
apud	1.0	9.168423947923352E-5
hony	1.0	9.171787581399614E-5
sixvoice	1.0	9.170946441672781E-5
seest	1.0	9.164222873900293E-5
shooter	1.0	8.959770629871875E-5
touchfraser	1.0	9.169264624977077E-5
wombe	1.0	9.170105456212746E-5
besyd	1.0	9.170946441672781E-5
examinership	1.0	9.171787581399614E-5
algeria	1.0	8.991188635137565E-5
commonsselect	1.0	9.170946441672781E-5
giorgio	1.0	9.129918743723181E-5
bradenham	1.0	9.159186664224217E-5
davidica	1.0	9.170946441672781E-5
flames	1.0	9.097525473071325E-5
numucda	1.0	9.171787581399614E-5
antigua	1.0	9.07605736068252E-5
addresses	1.0	9.121590805436468E-5
churchgathering	1.0	9.171787581399614E-5
bion	1.0	9.152480322167308E-5
eminently	1.0	9.048136083966703E-5
fairylights	1.0	9.170105456212746E-5
twmpa	1.0	9.170946441672781E-5
avenged	1.0	9.165902841429881E-5
fildes	1.0	9.145783793671118E-5
raffle	1.0	8.847208705653367E-5
boxused	1.0	9.171787581399614E-5
godfather	1.0	9.071940488070398E-5
clot	1.0	8.96780557797507E-5
marginal	1.0	8.702462796971542E-5
das	1.0	8.954956568460644E-5
folio	1.0	9.026085386767759E-5
bioy	1.0	9.164222873900293E-5
items	1.0	9.04649900488511E-5
fasti	1.0	9.166743056192135E-5
secrets	1.0	9.000900090009E-5
dam	1.0	8.693384334521429E-5
taxonomic	1.0	9.112447603426281E-5
klockius	1.0	9.171787581399614E-5
oxfords	1.0	9.158347834050737E-5
daz	1.0	9.109127345600292E-5
ddd	1.0	9.094216078574027E-5
httpwwwnovartisfoundorgukbooksalehtm	1.0	9.170946441672781E-5
coowner	1.0	9.105809506465124E-5
meditations	1.0	9.160864785635764E-5
weekeaster	1.0	9.171787581399614E-5
aldous	1.0	9.150805270863836E-5
unripe	1.0	9.156670634557275E-5
apiece	1.0	9.11410864017499E-5
aboord	1.0	9.169264624977077E-5
envieth	1.0	9.171787581399614E-5
longstaff	1.0	9.154155986818015E-5
mercia	1.0	9.09008271975275E-5
lemming	1.0	9.125752874612155E-5
zophar	1.0	9.170946441672781E-5
excite	1.0	8.275405494869249E-5
gangs	1.0	9.160864785635764E-5
evidential	1.0	9.106638739641199E-5
trekkas	1.0	9.170946441672781E-5
panoramiic	1.0	9.171787581399614E-5
gawds	1.0	9.170105456212746E-5
endear	1.0	9.029345372460496E-5
bree	1.0	9.152480322167308E-5
holie	1.0	9.170105456212746E-5
islandexile	1.0	9.171787581399614E-5
coverlet	1.0	9.165062780680047E-5
husbandman	1.0	9.133254178463786E-5
breastagainst	1.0	9.171787581399614E-5
indistinct	1.0	9.133254178463786E-5
lawbreaking	1.0	9.166743056192135E-5
macrobiotic	1.0	9.1000091000091E-5
dcl	1.0	9.165062780680047E-5
cows	1.0	9.096697898662786E-5
abramsky	1.0	9.152480322167308E-5
aspinwall	1.0	9.165902841429881E-5
joker	1.0	9.04895484571532E-5
scarlett	1.0	9.071940488070398E-5
eulaliaibiza	1.0	9.171787581399614E-5
multisport	1.0	9.159186664224217E-5
aspirant	1.0	9.129085265656382E-5
freilie	1.0	9.171787581399614E-5
shrapnel	1.0	9.119095385737735E-5
lingaraj	1.0	9.171787581399614E-5
orient	1.0	8.755034144633164E-5
propel	1.0	8.95335303071E-5
queensberry	1.0	9.147457006952067E-5
rhaglan	1.0	9.171787581399614E-5
ninazu	1.0	9.171787581399614E-5
dalmellington	1.0	9.155832265152902E-5
pasha	1.0	9.149130832570906E-5
carcass	1.0	8.991188635137565E-5
conditionally	1.0	9.136592051164915E-5
tempests	1.0	9.171787581399614E-5
almutaali	1.0	9.171787581399614E-5
sodomy	1.0	9.134088417975886E-5
cue	1.0	8.749671887304226E-5
brooklands	1.0	9.071940488070398E-5
bengal	1.0	9.080177971488241E-5
rotation	1.0	8.577800651912849E-5
selick	1.0	9.169264624977077E-5
spigelman	1.0	9.170946441672781E-5
claimants	1.0	9.130752373995617E-5
fullpage	1.0	9.126585744273067E-5
pollutions	1.0	9.170946441672781E-5
incapacitate	1.0	9.080177971488241E-5
philipdeardcagsigovuk	1.0	9.171787581399614E-5
rogue	1.0	8.795848359574281E-5
cynthia	1.0	9.054690329590728E-5
uselessi	1.0	9.171787581399614E-5
pitilessly	1.0	9.168423947923352E-5
poulton	1.0	9.148293843198243E-5
engen	1.0	9.170946441672781E-5
irruption	1.0	9.169264624977077E-5
maryland	1.0	8.961376467425397E-5
fenny	1.0	9.147457006952067E-5
crossreference	1.0	9.013881377321075E-5
bram	1.0	9.136592051164915E-5
rossini	1.0	9.139932364500503E-5
bracotexashomecare	1.0	9.171787581399614E-5
cth	1.0	9.100837277029486E-5
montgomerie	1.0	9.137426900584795E-5
perriam	1.0	9.169264624977077E-5
multiagency	1.0	9.008197459688316E-5
bioindustry	1.0	9.161704076958314E-5
unapologetic	1.0	9.160025648071815E-5
schoolbags	1.0	9.170946441672781E-5
foles	1.0	9.170105456212746E-5
requirements	1.0	8.541898009737763E-5
decased	1.0	9.171787581399614E-5
schmidt	1.0	9.052231375033946E-5
spaine	1.0	9.170105456212746E-5
homa	1.0	9.166743056192135E-5
equation	1.0	8.107012565869477E-5
pade	1.0	9.170105456212746E-5
erotica	1.0	9.150805270863836E-5
brownlie	1.0	9.160025648071815E-5
scaint	1.0	9.171787581399614E-5
ancoats	1.0	9.159186664224217E-5
holme	1.0	9.087604507451835E-5
tantivy	1.0	9.171787581399614E-5
coashing	1.0	9.171787581399614E-5
bdoyre	1.0	9.170105456212746E-5
edification	1.0	9.151642719868216E-5
holm	1.0	9.096697898662786E-5
holl	1.0	9.145783793671118E-5
dunraven	1.0	9.16254352208173E-5
quinlan	1.0	9.161704076958314E-5
autodafe	1.0	9.170946441672781E-5
alqadr	1.0	9.146620323790359E-5
satisfying	1.0	8.829242450997704E-5
mdcccxxxvii	1.0	9.171787581399614E-5
fluorescence	1.0	9.01631953836444E-5
quhilkis	1.0	9.170946441672781E-5
populous	1.0	9.119095385737735E-5
harvester	1.0	9.11410864017499E-5
signior	1.0	9.166743056192135E-5
israelhere	1.0	9.171787581399614E-5
pettey	1.0	9.171787581399614E-5
wellestablished	1.0	8.952551477170994E-5
archsearch	1.0	9.159186664224217E-5
barclay	1.0	9.05961224859576E-5
legitimately	1.0	9.053870529651426E-5
mullet	1.0	9.109127345600292E-5
desist	1.0	9.124920156948626E-5
dezi	1.0	9.169264624977077E-5
homo	1.0	9.069472156720479E-5
nonmohammedan	1.0	9.171787581399614E-5
envision	1.0	9.035872413481521E-5
imperfection	1.0	9.085127646043427E-5
quhilk	1.0	9.169264624977077E-5
youthe	1.0	9.164222873900293E-5
teify	1.0	9.169264624977077E-5
nachiketa	1.0	9.170946441672781E-5
sudron	1.0	9.171787581399614E-5
semiopera	1.0	9.171787581399614E-5
taupin	1.0	9.163383121048291E-5
thoresby	1.0	9.156670634557275E-5
falkner	1.0	9.161704076958314E-5
ileum	1.0	9.164222873900293E-5
chairspews	1.0	9.171787581399614E-5
monumeny	1.0	9.171787581399614E-5
ffvii	1.0	9.167583425009168E-5
unauthorized	1.0	9.012256669069935E-5
allotment	1.0	8.812902088657794E-5
shamoun	1.0	9.143275121148396E-5
accidents	1.0	9.079353550027238E-5
unrealistic	1.0	8.944543828264758E-5
oyster	1.0	8.896005693443644E-5
herazd	1.0	9.171787581399614E-5
