WORD	FREQ	JACCARD SIMILARITY
lanecleveland	1.0	8.938946992044337E-5
userreviews	1.0	8.938946992044337E-5
biogeochemical	1.0	8.92140244446427E-5
httpwwwordsvygovuk	1.0	8.938946992044337E-5
strasbourg	1.0	8.730574471800244E-5
ludham	1.0	8.93814801573114E-5
isit	1.0	8.920606601248885E-5
rumor	1.0	8.830801836806782E-5
suey	1.0	8.93734918223255E-5
clackmannanshire	1.0	8.885729518393461E-5
httpwwwbuzancentrescom	1.0	8.938946992044337E-5
breathtakingly	1.0	8.907098957869422E-5
brewsters	1.0	8.93415527561869E-5
fourfive	1.0	8.930963650977941E-5
shmwrite	1.0	8.938946992044337E-5
ferility	1.0	8.938946992044337E-5
httpwwwbimie	1.0	8.938946992044337E-5
globalizing	1.0	8.936550491510277E-5
cannabinoids	1.0	8.917424647761727E-5
exoskeletal	1.0	8.938946992044337E-5
tartans	1.0	8.92379082634303E-5
pasian	1.0	8.93734918223255E-5
arbitration	1.0	8.676036786395974E-5
trident	1.0	8.655011251514626E-5
agrifood	1.0	8.911861687906604E-5
undisturbed	1.0	8.842514811212309E-5
perambulation	1.0	8.92458723784025E-5
bibby	1.0	8.880206020779682E-5
marinewaterway	1.0	8.938946992044337E-5
crosland	1.0	8.91981090000892E-5
flowchart	1.0	8.899172376968942E-5
babylonians	1.0	8.89284126278346E-5
homeoclc	1.0	8.93814801573114E-5
beatcards	1.0	8.938946992044337E-5
researching	1.0	8.887308922858158E-5
nantes	1.0	8.896797153024912E-5
misread	1.0	8.890469416785207E-5
bunbury	1.0	8.926977325477593E-5
ewtd	1.0	8.91583452211127E-5
overtheair	1.0	8.932559178204556E-5
chollerford	1.0	8.93734918223255E-5
rebato	1.0	8.938946992044337E-5
buddihoutjewebde	1.0	8.938946992044337E-5
scarecrow	1.0	8.887308922858158E-5
albuquerque	1.0	8.913450396648542E-5
rebate	1.0	8.720676724513822E-5
bish	1.0	8.92458723784025E-5
hosh	1.0	8.93734918223255E-5
suwwira	1.0	8.938946992044337E-5
bodyshells	1.0	8.93814801573114E-5
novels	1.0	8.884940026654821E-5
mardon	1.0	8.930963650977941E-5
initiation	1.0	8.609556607834697E-5
micronesia	1.0	8.92299455697332E-5
thunder	1.0	8.545547769612032E-5
worksop	1.0	8.881783462119193E-5
collagen	1.0	8.86053517632465E-5
profilewhpdf	1.0	8.938946992044337E-5
scythe	1.0	8.880206020779682E-5
fashionmap	1.0	8.93814801573114E-5
entoxy	1.0	8.938946992044337E-5
archivolt	1.0	8.938946992044337E-5
xyheadingn	1.0	8.938946992044337E-5
wwwwelwynhatfieldpctnhsukmmm	1.0	8.938946992044337E-5
ringtughnes	1.0	8.938946992044337E-5
drunkenness	1.0	8.903133903133904E-5
novell	1.0	8.837044892188053E-5
ombile	1.0	8.938946992044337E-5
completed	1.0	8.781944322472996E-5
hosp	1.0	8.92140244446427E-5
crenellations	1.0	8.936550491510277E-5
louisville	1.0	8.896005693443644E-5
niagara	1.0	8.89521437466643E-5
garner	1.0	8.697921196833956E-5
neelb	1.0	8.935751943526048E-5
unidirectional	1.0	8.922198429693076E-5
dhdlika	1.0	8.938946992044337E-5
flooring	1.0	8.592541673827119E-5
paradetynemouthtyne	1.0	8.938946992044337E-5
orientexpress	1.0	8.93415527561869E-5
nairobi	1.0	8.812902088657794E-5
locationbasedservices	1.0	8.938946992044337E-5
httpwwwascorgukeventsseppresmaxwellppt	1.0	8.938946992044337E-5
crossdomain	1.0	8.928571428571429E-5
railfreight	1.0	8.926180487369455E-5
neele	1.0	8.93814801573114E-5
mastercard	1.0	8.730574471800244E-5
pieces	1.0	8.87784090909091E-5
cookson	1.0	8.906305664410402E-5
leasttroubling	1.0	8.938946992044337E-5
wwwpczonejoltcouk	1.0	8.938946992044337E-5
groundtruthing	1.0	8.93734918223255E-5
zareef	1.0	8.938946992044337E-5
marlowe	1.0	8.847991505928154E-5
idle	1.0	8.595495960116899E-5
forlani	1.0	8.938946992044337E-5
finchley	1.0	8.788118463836892E-5
tuath	1.0	8.93814801573114E-5
trincomalee	1.0	8.927774305865548E-5
perceptive	1.0	8.844078889183692E-5
equiv	1.0	8.92379082634303E-5
qarn	1.0	8.93814801573114E-5
coucil	1.0	8.934953538241601E-5
historians	1.0	8.91583452211127E-5
tussauds	1.0	8.903926631644555E-5
freezer	1.0	8.501955449753443E-5
gubo	1.0	8.936550491510277E-5
hewistson	1.0	8.938946992044337E-5
everchanging	1.0	8.862105636299185E-5
catan	1.0	8.93814801573114E-5
situating	1.0	8.93016610108948E-5
increasing	1.0	8.86839304717985E-5
resettle	1.0	8.907098957869422E-5
mrnas	1.0	8.93415527561869E-5
xpmicon	1.0	8.938946992044337E-5
englishfrench	1.0	8.928571428571429E-5
otherand	1.0	8.93734918223255E-5
dvdcd	1.0	8.92379082634303E-5
breakup	1.0	8.821453775582216E-5
hove	1.0	8.625150940141452E-5
ghup	1.0	8.93814801573114E-5
gridline	1.0	8.93734918223255E-5
spammer	1.0	8.893632159373888E-5
wyrm	1.0	8.934953538241601E-5
httpwwwefabwde	1.0	8.938946992044337E-5
deke	1.0	8.926180487369455E-5
whispring	1.0	8.93814801573114E-5
deir	1.0	8.919015340706386E-5
eddie	1.0	8.344459279038718E-5
folow	1.0	8.93734918223255E-5
mireille	1.0	8.92936869363336E-5
everbody	1.0	8.931761343336905E-5
bracken	1.0	8.813678829543451E-5
brca	1.0	8.837825894829872E-5
infodriftwoodsculpturescouk	1.0	8.938946992044337E-5
dbe	1.0	8.91981090000892E-5
psychiatry	1.0	8.582954252853832E-5
fullpage	1.0	8.896005693443644E-5
reshaping	1.0	8.926180487369455E-5
biker	1.0	8.761938140716727E-5
apache	1.0	8.71839581517001E-5
florists	1.0	8.92140244446427E-5
faversham	1.0	8.870753126940477E-5
poulton	1.0	8.916629514043692E-5
unconcerned	1.0	8.901548869503294E-5
civitates	1.0	8.936550491510277E-5
retrospective	1.0	8.604371020478404E-5
brae	1.0	8.87941751021133E-5
wwwcreativeinsightukcom	1.0	8.938946992044337E-5
barbados	1.0	8.745080891998251E-5
rodwell	1.0	8.92458723784025E-5
brad	1.0	8.685079034219212E-5
inundate	1.0	8.857395925597875E-5
admissionsnewoxacuk	1.0	8.938946992044337E-5
communtiy	1.0	8.934953538241601E-5
curnock	1.0	8.93734918223255E-5
coles	1.0	8.835483300936562E-5
biol	1.0	8.85661146045523E-5
mapsgroups	1.0	8.938946992044337E-5
