WORD	FREQ	JACCARD SIMILARITY
beckhampton	1.0	9.281603861147207E-5
earlsferry	1.0	9.279881217520415E-5
attactive	1.0	9.280742459396752E-5
timei	1.0	9.27299703264095E-5
grubby	1.0	9.221689413500554E-5
crosslands	1.0	9.281603861147207E-5
esrc	1.0	8.873901854645488E-5
verona	1.0	9.219988936013277E-5
joric	1.0	9.2824654228163E-5
suck	1.0	8.802816901408451E-5
cockerill	1.0	9.261831990367695E-5
yardslong	1.0	9.281603861147207E-5
zedbury	1.0	9.2824654228163E-5
wellearned	1.0	9.237875288683603E-5
brewsters	1.0	9.277298450691158E-5
diectly	1.0	9.281603861147207E-5
meath	1.0	9.25154963456379E-5
crossman	1.0	9.266981744045964E-5
meate	1.0	9.279881217520415E-5
dreary	1.0	9.19963201471941E-5
weekday	1.0	8.91503967192654E-5
decidedly	1.0	9.117432530999271E-5
repmobile	1.0	9.281603861147207E-5
benson	1.0	9.086778736937755E-5
orientation	1.0	8.21962847279303E-5
qaran	1.0	9.2824654228163E-5
boswells	1.0	9.273856997125104E-5
query	1.0	6.970584134950509E-5
pga	1.0	9.164222873900293E-5
vetch	1.0	9.083477155054956E-5
dixon	1.0	8.8999644001424E-5
fordingbridge	1.0	9.269558769002595E-5
bosniaherzegovina	1.0	9.253261774775608E-5
severstal	1.0	9.279881217520415E-5
privatelyowned	1.0	9.243852837862822E-5
traidcraft	1.0	9.208951100469657E-5
printemps	1.0	9.278159213212098E-5
daylewis	1.0	9.277298450691158E-5
ashburton	1.0	9.257544899092761E-5
thelbridge	1.0	9.2824654228163E-5
viggo	1.0	9.225092250922509E-5
idling	1.0	9.270418095856123E-5
secondoldest	1.0	9.280742459396752E-5
twise	1.0	9.279881217520415E-5
scarecrow	1.0	9.226794611551947E-5
martell	1.0	9.264406151565684E-5
xtras	1.0	9.278159213212098E-5
plec	1.0	9.278159213212098E-5
befriending	1.0	9.258401999814833E-5
fairview	1.0	9.267840593141798E-5
woodrow	1.0	9.196247930844215E-5
ruines	1.0	9.279881217520415E-5
acland	1.0	9.250693802035152E-5
meare	1.0	9.276437847866419E-5
pudsey	1.0	9.25240562546262E-5
hymns	1.0	9.245562130177515E-5
dorfstrasse	1.0	9.2824654228163E-5
josephine	1.0	9.175995595522114E-5
cindy	1.0	9.195402298850575E-5
products	1.0	8.08472794890452E-5
brit	1.0	8.870753126940477E-5
twirl	1.0	9.236168837166343E-5
hirsel	1.0	9.281603861147207E-5
disksfoo	1.0	9.2824654228163E-5
raffle	1.0	8.950147677436678E-5
aerialartistic	1.0	9.2824654228163E-5
modestly	1.0	9.186954524575104E-5
sandbathing	1.0	9.2824654228163E-5
gareth	1.0	8.64528399757932E-5
pea	1.0	8.865248226950355E-5
impede	1.0	9.055510278004166E-5
renewable	1.0	8.13140348024069E-5
ped	1.0	9.260974254491573E-5
pdt	1.0	9.191176470588235E-5
zimbabwe	1.0	8.768853034023149E-5
placesvisitcouk	1.0	9.2824654228163E-5
festhalle	1.0	9.2824654228163E-5
highbury	1.0	9.144947416552355E-5
pep	1.0	9.149967975112087E-5
smalltown	1.0	9.248127254231018E-5
nistelrooy	1.0	9.205560158335634E-5
etape	1.0	9.271277582050807E-5
translate	1.0	7.400828892835997E-5
pallet	1.0	9.155832265152902E-5
nightour	1.0	9.281603861147207E-5
peg	1.0	8.702462796971542E-5
elevators	1.0	9.274717121127805E-5
caruancas	1.0	9.2824654228163E-5
investors	1.0	9.136592051164915E-5
peradeniya	1.0	9.280742459396752E-5
cotts	1.0	9.27299703264095E-5
almondell	1.0	9.274717121127805E-5
mickey	1.0	9.089256498818396E-5
quincampoix	1.0	9.2824654228163E-5
cathy	1.0	8.881783462119193E-5
austrian	1.0	8.908685968819599E-5
ply	1.0	9.095870474804439E-5
maggie	1.0	8.889679082585119E-5
waterski	1.0	9.26526452330214E-5
scheming	1.0	9.266981744045964E-5
postscript	1.0	8.987148377819718E-5
etosha	1.0	9.262689885142645E-5
brea	1.0	9.274717121127805E-5
genre	1.0	7.99744081893794E-5
aboundthus	1.0	9.2824654228163E-5
vogts	1.0	9.269558769002595E-5
inlandtowards	1.0	9.2824654228163E-5
kitchenettediner	1.0	9.2824654228163E-5
seatonsluice	1.0	9.2824654228163E-5
birstall	1.0	9.274717121127805E-5
booked	1.0	9.238728750923873E-5
qantas	1.0	9.228497600590623E-5
weedsany	1.0	9.2824654228163E-5
romano	1.0	9.220839096357768E-5
withhold	1.0	8.765010079761592E-5
efficiently	1.0	8.397715821296607E-5
wyre	1.0	9.214042200313278E-5
wwwedinburgholdtownorguk	1.0	9.2824654228163E-5
strangely	1.0	8.908685968819599E-5
erase	1.0	9.041591320072333E-5
techniques	1.0	8.897588753447816E-5
unreliable	1.0	9.052231375033946E-5
badwater	1.0	9.281603861147207E-5
artts	1.0	9.280742459396752E-5
blantyre	1.0	9.260974254491573E-5
cracking	1.0	9.248127254231018E-5
apilyerd	1.0	9.2824654228163E-5
moreno	1.0	9.239582370876836E-5
sickened	1.0	9.2824654228163E-5
ffoards	1.0	9.2824654228163E-5
fromwigtown	1.0	9.2824654228163E-5
dahalia	1.0	9.2824654228163E-5
gilll	1.0	9.2824654228163E-5
goooood	1.0	9.278159213212098E-5
gills	1.0	9.253261774775608E-5
romany	1.0	9.224241306152569E-5
godiva	1.0	9.228497600590623E-5
yahweh	1.0	9.165062780680047E-5
fussy	1.0	9.182736455463728E-5
bewl	1.0	9.260974254491573E-5
pjs	1.0	9.275577404693442E-5
kemerton	1.0	9.2824654228163E-5
despair	1.0	8.732099196646873E-5
volcanismthat	1.0	9.2824654228163E-5
rias	1.0	9.24129008409574E-5
pib	1.0	9.237021984112322E-5
pic	1.0	8.962982880702697E-5
manganese	1.0	9.19793966151582E-5
stifle	1.0	9.053870529651426E-5
nabd	1.0	9.256687957048968E-5
tenement	1.0	9.069472156720479E-5
meall	1.0	9.248127254231018E-5
