WORD	FREQ	JACCARD SIMILARITY
zeit	1.0	8.795074758135444E-5
treason	1.0	8.700191404210893E-5
claimed	1.0	8.80126738250308E-5
filename	1.0	8.541168431841476E-5
kalinin	1.0	8.811349017534584E-5
finals	1.0	8.676036786395974E-5
grotesque	1.0	8.697921196833956E-5
randyniknamep	1.0	8.814455707360071E-5
technician	1.0	8.197393228953193E-5
hannibal	1.0	8.732861758798358E-5
vanquish	1.0	8.738967054094207E-5
esds	1.0	8.736676568233443E-5
liaision	1.0	8.812902088657794E-5
insights	1.0	8.775008775008775E-5
tracksmick	1.0	8.814455707360071E-5
gymnasium	1.0	8.661008141347653E-5
mesdames	1.0	8.812902088657794E-5
ashog	1.0	8.814455707360071E-5
excise	1.0	8.471704506946798E-5
roadwork	1.0	8.731336767659129E-5
mevagissy	1.0	8.813678829543451E-5
wwwmicouk	1.0	8.814455707360071E-5
mindmaps	1.0	8.812902088657794E-5
benedick	1.0	8.785030308354564E-5
weaker	1.0	8.812125484666901E-5
ambridge	1.0	8.799718409010911E-5
cockpit	1.0	8.625894936599672E-5
baryea	1.0	8.79430129276229E-5
mixer	1.0	8.582217645039479E-5
foresee	1.0	8.572653236176597E-5
glosses	1.0	8.814455707360071E-5
jointstock	1.0	8.809796493700995E-5
symes	1.0	8.799718409010911E-5
eyepiece	1.0	8.673026886383348E-5
ojays	1.0	8.811349017534584E-5
termite	1.0	8.775008775008775E-5
mcnally	1.0	8.750437521876094E-5
ewe	1.0	8.690362388111584E-5
cambodia	1.0	8.642295393656556E-5
detroits	1.0	8.814455707360071E-5
trendsetter	1.0	8.806693086745927E-5
elevation	1.0	8.278831029058697E-5
tennessee	1.0	8.592541673827119E-5
useable	1.0	8.729812309035356E-5
wumba	1.0	8.814455707360071E-5
lestage	1.0	8.814455707360071E-5
landslides	1.0	8.81057268722467E-5
trifling	1.0	8.784258608573436E-5
justly	1.0	8.676036786395974E-5
degeorge	1.0	8.812902088657794E-5
upandcoming	1.0	8.76731544800982E-5
weaken	1.0	8.39278220730172E-5
worksop	1.0	8.758868354208637E-5
inoff	1.0	8.812125484666901E-5
romanticaction	1.0	8.814455707360071E-5
cummings	1.0	8.726764988218868E-5
dempsey	1.0	8.758868354208637E-5
nmsti	1.0	8.81057268722467E-5
originator	1.0	8.673026886383348E-5
theatricals	1.0	8.81057268722467E-5
prestonjones	1.0	8.812125484666901E-5
shores	1.0	8.785802143735723E-5
songsand	1.0	8.813678829543451E-5
specialists	1.0	8.742787200559538E-5
superstrings	1.0	8.81057268722467E-5
welter	1.0	8.795074758135444E-5
stockman	1.0	8.786574114752658E-5
epd	1.0	8.803591865481116E-5
epg	1.0	8.758868354208637E-5
linkmainphpsectioncampaignskingslynnmarinaandthenarlink	1.0	8.814455707360071E-5
nollikens	1.0	8.814455707360071E-5
lemmy	1.0	8.811349017534584E-5
gameply	1.0	8.812902088657794E-5
unwarranted	1.0	8.729050279329609E-5
punky	1.0	8.795848359574281E-5
thirdrate	1.0	8.806693086745927E-5
unforthcoming	1.0	8.812902088657794E-5
hospitality	1.0	7.893905904641616E-5
pgimag	1.0	8.805142203046579E-5
parks	1.0	8.223007976317738E-5
davey	1.0	8.655011251514626E-5
mortem	1.0	8.745080891998251E-5
unregulated	1.0	8.74737578726382E-5
housewife	1.0	8.741258741258741E-5
elicit	1.0	8.580744808649391E-5
homemaker	1.0	8.80126738250308E-5
mushtaq	1.0	8.80126738250308E-5
etape	1.0	8.804366966015144E-5
reopen	1.0	8.377314233056883E-5
leopold	1.0	8.755800717975659E-5
undersell	1.0	8.802816901408451E-5
swallows	1.0	8.742022904100009E-5
loadsamoney	1.0	8.812125484666901E-5
starving	1.0	8.805917576611483E-5
ere	1.0	8.699434536755111E-5
torrible	1.0	8.812902088657794E-5
clergy	1.0	8.457374830852504E-5
caldwell	1.0	8.74737578726382E-5
ooops	1.0	8.78966335589347E-5
perceptive	1.0	8.722197993894462E-5
purves	1.0	8.79430129276229E-5
alqaeda	1.0	8.680555555555556E-5
halfadozen	1.0	8.797395970792646E-5
akkadian	1.0	8.791981712678038E-5
spreull	1.0	8.800492827598346E-5
fritillary	1.0	8.786574114752658E-5
tightened	1.0	8.814455707360071E-5
compassionate	1.0	8.637070305752289E-5
hollett	1.0	8.813678829543451E-5
pilgrim	1.0	8.428150021070375E-5
loudmiss	1.0	8.814455707360071E-5
wyse	1.0	8.805917576611483E-5
drinker	1.0	8.621432882145013E-5
rocher	1.0	8.80126738250308E-5
hedon	1.0	8.809796493700995E-5
wilding	1.0	8.76577840112202E-5
refurbishment	1.0	8.252867871585376E-5
franal	1.0	8.814455707360071E-5
plasma	1.0	8.301510874979246E-5
naafi	1.0	8.798169980644026E-5
misselling	1.0	8.768084173608067E-5
tatman	1.0	8.813678829543451E-5
retrieval	1.0	8.258320257659592E-5
esf	1.0	8.476012883539582E-5
multiply	1.0	8.33402783565297E-5
hereonce	1.0	8.814455707360071E-5
privatised	1.0	8.676789587852495E-5
cracking	1.0	8.78348704435661E-5
warship	1.0	8.640801866413204E-5
subjectswomen	1.0	8.814455707360071E-5
rhode	1.0	8.657259111765215E-5
crystalise	1.0	8.812125484666901E-5
ninja	1.0	8.735150244584206E-5
nguyen	1.0	8.785030308354564E-5
crawhall	1.0	8.814455707360071E-5
deferral	1.0	8.758868354208637E-5
teamware	1.0	8.814455707360071E-5
antit	1.0	8.814455707360071E-5
earner	1.0	8.650519031141868E-5
ers	1.0	8.723719794120213E-5
misspell	1.0	8.769622029290537E-5
rhoda	1.0	8.792754770069463E-5
epidemiological	1.0	8.646031471554557E-5
costar	1.0	8.727526618956188E-5
flawed	1.0	8.642295393656556E-5
saidthe	1.0	8.804366966015144E-5
matsuda	1.0	8.805142203046579E-5
dvla	1.0	8.620689655172413E-5
tierneys	1.0	8.814455707360071E-5
rotor	1.0	8.639308855291577E-5
httpwwwlonympicscouk	1.0	8.814455707360071E-5
masquerade	1.0	8.660258075690655E-5
bran	1.0	8.766546857192952E-5
allimporant	1.0	8.814455707360071E-5
transmute	1.0	8.788118463836892E-5
moneyxd	1.0	8.814455707360071E-5
maybeoh	1.0	8.814455707360071E-5
anguish	1.0	8.647526807333103E-5
hippodrome	1.0	8.770391159445712E-5
transitivity	1.0	8.802816901408451E-5
lengthbreadth	1.0	8.814455707360071E-5
llandrindod	1.0	8.785802143735723E-5
merleville	1.0	8.812125484666901E-5
jazztaptheatrehip	1.0	8.814455707360071E-5
reversible	1.0	8.690362388111584E-5
jetblack	1.0	8.809796493700995E-5
smashhit	1.0	8.808244516867788E-5
knowand	1.0	8.813678829543451E-5
moonboots	1.0	8.814455707360071E-5
greatnephew	1.0	8.812125484666901E-5
lightening	1.0	8.802816901408451E-5
muchphotograph	1.0	8.811349017534584E-5
elo	1.0	8.795074758135444E-5
loubets	1.0	8.813678829543451E-5
cpwilks	1.0	8.814455707360071E-5
yetam	1.0	8.814455707360071E-5
overhaul	1.0	8.48824378236143E-5
worthington	1.0	8.70170553428472E-5
wynd	1.0	8.790436005625879E-5
bombazine	1.0	8.814455707360071E-5
makiguchi	1.0	8.81057268722467E-5
matcham	1.0	8.797395970792646E-5
tailors	1.0	8.806693086745927E-5
ema	1.0	8.735150244584206E-5
greenstreet	1.0	8.81057268722467E-5
checksheet	1.0	8.814455707360071E-5
turntablist	1.0	8.811349017534584E-5
emf	1.0	8.778089887640449E-5
tynecastle	1.0	8.80126738250308E-5
doesn	1.0	8.809020436927414E-5
originated	1.0	8.686587908269631E-5
montefiore	1.0	8.805917576611483E-5
bolter	1.0	8.795074758135444E-5
conceive	1.0	8.156606851549755E-5
nightclub	1.0	8.506294658046955E-5
willows	1.0	8.742022904100009E-5
emo	1.0	8.780402142418122E-5
burrator	1.0	8.765010079761592E-5
filth	1.0	8.71839581517001E-5
emi	1.0	8.572653236176597E-5
staalplaat	1.0	8.812902088657794E-5
daughterhe	1.0	8.813678829543451E-5
bailys	1.0	8.814455707360071E-5
wobble	1.0	8.695652173913044E-5
coning	1.0	8.813678829543451E-5
