WORD	FREQ	JACCARD SIMILARITY
wwwcheshirefirecouk	1.0	8.917424647761727E-5
harper	1.0	8.517162081594413E-5
monoclinic	1.0	8.9126559714795E-5
frimley	1.0	8.880994671403197E-5
thoracotomy	1.0	8.910273545397844E-5
garerd	1.0	8.917424647761727E-5
dionne	1.0	8.905512512245079E-5
burmeister	1.0	8.909479686386316E-5
airborne	1.0	8.666262241095416E-5
inductance	1.0	8.902341315766046E-5
enthrall	1.0	8.775008775008775E-5
vanquish	1.0	8.84016973125884E-5
propitiabile	1.0	8.917424647761727E-5
godly	1.0	8.772699359592947E-5
irretrievably	1.0	8.897588753447816E-5
gracilariae	1.0	8.917424647761727E-5
mallow	1.0	8.880994671403197E-5
alistair	1.0	8.568980291345329E-5
gymnasium	1.0	8.760402978537013E-5
thermostat	1.0	8.816787162757891E-5
pdg	1.0	8.908685968819599E-5
regularity	1.0	8.777319406653208E-5
ards	1.0	8.899172376968942E-5
kirwanpractice	1.0	8.917424647761727E-5
freeholder	1.0	8.86839304717985E-5
colonnata	1.0	8.917424647761727E-5
intiatives	1.0	8.909479686386316E-5
fermi	1.0	8.892050506846879E-5
countermeasure	1.0	8.829242450997704E-5
jelly	1.0	8.704735376044568E-5
concessional	1.0	8.91503967192654E-5
wwwpsychotherapyorguk	1.0	8.917424647761727E-5
blogging	1.0	8.551393877201984E-5
sdlp	1.0	8.731336767659129E-5
buildingcontrolcalderdalegovuk	1.0	8.917424647761727E-5
preventlimit	1.0	8.917424647761727E-5
pds	1.0	8.812902088657794E-5
buddha	1.0	8.61103935244984E-5
mcrobb	1.0	8.916629514043692E-5
antiterror	1.0	8.867606632969761E-5
pdm	1.0	8.900756564307967E-5
unpalatable	1.0	8.891259891526629E-5
deadworlds	1.0	8.916629514043692E-5
brotherton	1.0	8.905512512245079E-5
aires	1.0	8.765010079761592E-5
aristotle	1.0	8.700191404210893E-5
whs	1.0	8.873114463176575E-5
pdn	1.0	8.896005693443644E-5
arey	1.0	8.911067545891998E-5
egs	1.0	8.901548869503294E-5
pdo	1.0	8.904719501335708E-5
montecarlo	1.0	8.909479686386316E-5
headline	1.0	7.75614674629644E-5
hauptschule	1.0	8.904719501335708E-5
nodig	1.0	8.9126559714795E-5
marksmanship	1.0	8.900756564307967E-5
tearoom	1.0	8.847208705653367E-5
itva	1.0	8.917424647761727E-5
