WORD	FREQ	JACCARD SIMILARITY
brave	1.0	8.372404554588077E-5
recirculate	1.0	9.239582370876836E-5
mifare	1.0	9.231053263177328E-5
enquired	1.0	9.117432530999271E-5
filename	1.0	8.952551477170994E-5
degenerate	1.0	9.09090909090909E-5
wording	1.0	8.782715615668365E-5
jedburghthat	1.0	9.253261774775608E-5
ethnoarchaeology	1.0	9.24898261191269E-5
jilau	1.0	9.24129008409574E-5
encyclopedia	1.0	8.778860503906593E-5
whichever	1.0	8.722958827634333E-5
athlon	1.0	9.173470323823502E-5
bonjella	1.0	9.253261774775608E-5
godly	1.0	9.097525473071325E-5
partying	1.0	9.248127254231018E-5
inventor	1.0	8.946944618412812E-5
presidency	1.0	8.866820358219543E-5
alistair	1.0	8.878629139660837E-5
atlas	1.0	8.750437521876094E-5
periods	1.0	9.209799226376865E-5
cruising	1.0	9.1726288754357E-5
gif	1.0	9.018759018759019E-5
inseason	1.0	9.24898261191269E-5
justin	1.0	8.775778850372971E-5
asymmetrical	1.0	9.225092250922509E-5
directing	1.0	9.175153683824204E-5
fortrose	1.0	9.246417013407305E-5
sdlt	1.0	9.194556822361162E-5
blister	1.0	8.949346697691069E-5
smyril	1.0	9.25240562546262E-5
lincs	1.0	9.18105031215571E-5
mareado	1.0	9.253261774775608E-5
grandfather	1.0	8.609556607834697E-5
cohen	1.0	8.884940026654821E-5
sprinticket	1.0	9.24898261191269E-5
protester	1.0	8.942144326209425E-5
por	1.0	9.160864785635764E-5
rebasing	1.0	9.246417013407305E-5
washerdryers	1.0	9.253261774775608E-5
stunkill	1.0	9.25154963456379E-5
pvcaluminiumtimber	1.0	9.253261774775608E-5
colossal	1.0	9.148293843198243E-5
germanbritish	1.0	9.250693802035152E-5
carsharederbyshirecom	1.0	9.253261774775608E-5
alienation	1.0	9.09338910611985E-5
bere	1.0	9.208951100469657E-5
rhyd	1.0	9.242998428690267E-5
seaton	1.0	9.154994049253868E-5
speculation	1.0	8.643042350907519E-5
triplex	1.0	9.238728750923873E-5
manuscripts	1.0	9.107468123861566E-5
ndad	1.0	9.236168837166343E-5
kiln	1.0	9.004141905276428E-5
stroppy	1.0	9.240436148586214E-5
lindo	1.0	9.243852837862822E-5
malmo	1.0	9.238728750923873E-5
polygraph	1.0	9.24727205474385E-5
tomassoni	1.0	9.25240562546262E-5
olympics	1.0	8.817564588660612E-5
swedishfinnish	1.0	9.25240562546262E-5
cosford	1.0	9.202171712524156E-5
mhzghz	1.0	9.25240562546262E-5
gta	1.0	9.134922809902256E-5
