WORD	FREQ	JACCARD SIMILARITY
brave	1.0	8.106355382619974E-5
elephantcouk	1.0	8.913450396648542E-5
indignation	1.0	8.849557522123894E-5
jez	1.0	8.847991505928154E-5
sangusa	1.0	8.92936869363336E-5
isbn	1.0	7.239032865209208E-5
royds	1.0	8.916629514043692E-5
euronextdb	1.0	8.92936869363336E-5
stereo	1.0	8.376612497905847E-5
districts	1.0	8.798944126704795E-5
myanmar	1.0	8.86839304717985E-5
sanders	1.0	8.746610688358261E-5
telephonetics	1.0	8.926180487369455E-5
ehi	1.0	8.927774305865548E-5
wfp	1.0	8.893632159373888E-5
shindig	1.0	8.899172376968942E-5
ninth	1.0	8.583690987124464E-5
lacors	1.0	8.905512512245079E-5
preservative	1.0	8.803591865481116E-5
specials	1.0	8.812902088657794E-5
chaste	1.0	8.89521437466643E-5
arkwright	1.0	8.883361463977969E-5
neck	1.0	7.68344218209758E-5
varieties	1.0	8.87784090909091E-5
stressed	1.0	8.909479686386316E-5
equitably	1.0	8.89521437466643E-5
euphoric	1.0	8.89521437466643E-5
diarrhoea	1.0	8.698677800974252E-5
gotomarket	1.0	8.928571428571429E-5
realign	1.0	8.873114463176575E-5
aren	1.0	8.926180487369455E-5
wjc	1.0	8.907892392659897E-5
manageability	1.0	8.904719501335708E-5
gafurov	1.0	8.889679082585119E-5
ultima	1.0	8.889679082585119E-5
irek	1.0	8.911067545891998E-5
selfarchiving	1.0	8.897588753447816E-5
visitscotland	1.0	8.910273545397844E-5
unipalm	1.0	8.928571428571429E-5
wwwdtigovuk	1.0	8.92299455697332E-5
vhdl	1.0	8.8999644001424E-5
xcdo	1.0	8.927774305865548E-5
coombs	1.0	8.902341315766046E-5
willan	1.0	8.911861687906604E-5
tubing	1.0	8.827683615819209E-5
parreha	1.0	8.927774305865548E-5
collector	1.0	8.08996035919424E-5
ruckus	1.0	8.917424647761727E-5
nebs	1.0	8.926977325477593E-5
cubus	1.0	8.926977325477593E-5
wonderfully	1.0	8.459521191100583E-5
antiterror	1.0	8.87941751021133E-5
shotokan	1.0	8.906305664410402E-5
authoritiesinternational	1.0	8.92936869363336E-5
grp	1.0	8.884940026654821E-5
argyle	1.0	8.842514811212309E-5
nasg	1.0	8.917424647761727E-5
tracklisting	1.0	8.876264867743653E-5
bumper	1.0	8.734387282732117E-5
dispensing	1.0	8.908685968819599E-5
telemedicine	1.0	8.885729518393461E-5
taxpayers	1.0	8.8999644001424E-5
wheatus	1.0	8.92140244446427E-5
babelzqaq	1.0	8.92936869363336E-5
eia	1.0	8.84486113568017E-5
handily	1.0	8.908685968819599E-5
ards	1.0	8.911067545891998E-5
triplet	1.0	8.791208791208791E-5
lordswood	1.0	8.925383791503035E-5
freeholder	1.0	8.880206020779682E-5
intsupportglamacuk	1.0	8.92936869363336E-5
perceivable	1.0	8.92140244446427E-5
elib	1.0	8.889679082585119E-5
teaguejones	1.0	8.928571428571429E-5
eip	1.0	8.919015340706386E-5
hutchison	1.0	8.859750155045628E-5
wwwnetillacom	1.0	8.92936869363336E-5
francois	1.0	8.85661146045523E-5
rigorously	1.0	8.795848359574281E-5
mckenney	1.0	8.926977325477593E-5
wht	1.0	8.904719501335708E-5
tearoom	1.0	8.858965272856131E-5
standardsbased	1.0	8.899172376968942E-5
chapman	1.0	8.478887569950823E-5
vandyk	1.0	8.92936869363336E-5
accompianied	1.0	8.92936869363336E-5
robertswanneydigbybrowncouk	1.0	8.92936869363336E-5
shorthaul	1.0	8.911067545891998E-5
openhand	1.0	8.928571428571429E-5
israelis	1.0	8.751203290452437E-5
etrading	1.0	8.908685968819599E-5
dorr	1.0	8.92140244446427E-5
eim	1.0	8.920606601248885E-5
reactive	1.0	8.642295393656556E-5
nass	1.0	8.869966294128082E-5
httpwwwcepslu	1.0	8.92936869363336E-5
harewood	1.0	8.858180529719195E-5
greenkeeping	1.0	8.898380494749955E-5
downhill	1.0	8.669267446900737E-5
teignbridge	1.0	8.872327211427557E-5
allnatural	1.0	8.916629514043692E-5
partneroriented	1.0	8.92936869363336E-5
bilogical	1.0	8.928571428571429E-5
comradeship	1.0	8.902341315766046E-5
railways	1.0	8.550662676357418E-5
nast	1.0	8.898380494749955E-5
upandcoming	1.0	8.880994671403197E-5
haider	1.0	8.91503967192654E-5
worksop	1.0	8.872327211427557E-5
isleworth	1.0	8.903133903133904E-5
