WORD	FREQ	JACCARD SIMILARITY
thoracotomy	1.0	9.044044496698923E-5
harper	1.0	8.639308855291577E-5
undertakings	1.0	9.019572472264814E-5
sonority	1.0	9.040773890245005E-5
garrai	1.0	9.051412020275162E-5
hannibal	1.0	8.965393580778196E-5
brainsystems	1.0	9.051412020275162E-5
epsilonsigma	1.0	8.987148377819718E-5
sayyid	1.0	9.034239768723462E-5
preapproval	1.0	9.03995660820828E-5
thomley	1.0	9.049773755656108E-5
vrjon	1.0	9.051412020275162E-5
eskimo	1.0	8.962179602079225E-5
directing	1.0	8.976660682226212E-5
exoskeletal	1.0	9.051412020275162E-5
weekday	1.0	8.70170553428472E-5
conceived	1.0	9.004141905276428E-5
intermix	1.0	9.030160736861116E-5
databad	1.0	9.049773755656108E-5
diasporic	1.0	9.026900162484202E-5
pimage	1.0	9.050592813829306E-5
distally	1.0	9.047317470370036E-5
microcomputer	1.0	8.97827258035554E-5
cashmachine	1.0	9.050592813829306E-5
dressings	1.0	8.99685110211426E-5
titillate	1.0	9.036688957166094E-5
sherwin	1.0	9.027715085311908E-5
sukey	1.0	9.04649900488511E-5
fotheringay	1.0	9.04649900488511E-5
mcnally	1.0	8.98391878537418E-5
meetic	1.0	8.951750067138126E-5
benign	1.0	8.793527963418924E-5
ticklish	1.0	9.043226623259179E-5
semiinclusive	1.0	9.051412020275162E-5
driscoll	1.0	8.984725965858041E-5
subclauses	1.0	9.047317470370036E-5
tshikanda	1.0	9.03750564844103E-5
sulphur	1.0	8.828462964597864E-5
buzzcocks	1.0	9.021199819576004E-5
cadcalcs	1.0	9.04895484571532E-5
formidable	1.0	8.734387282732117E-5
hypothesise	1.0	9.003331232556046E-5
chattles	1.0	9.042408897730355E-5
azzubeir	1.0	9.03995660820828E-5
barnett	1.0	8.798944126704795E-5
serocki	1.0	9.051412020275162E-5
madame	1.0	8.852691218130312E-5
alphabetically	1.0	8.89284126278346E-5
ballast	1.0	8.911861687906604E-5
grafix	1.0	9.040773890245005E-5
batter	1.0	8.775008775008775E-5
botanical	1.0	8.736676568233443E-5
crapshooter	1.0	9.051412020275162E-5
topiary	1.0	9.010632546404758E-5
ramis	1.0	9.050592813829306E-5
serialisation	1.0	9.035872413481521E-5
createresponse	1.0	9.050592813829306E-5
raffle	1.0	8.735150244584206E-5
hewale	1.0	9.050592813829306E-5
inlist	1.0	9.048136083966703E-5
extender	1.0	9.013881377321075E-5
