WORD	FREQ	JACCARD SIMILARITY
helga	1.0	9.053870529651426E-5
champions	1.0	8.666262241095416E-5
biogeochemical	1.0	9.053050878145935E-5
subtype	1.0	8.990380293086398E-5
skullracks	1.0	9.0711175616836E-5
inflatable	1.0	8.89284126278346E-5
westglade	1.0	9.0711175616836E-5
wwwalzheimersorguk	1.0	9.0711175616836E-5
stressed	1.0	9.050592813829306E-5
wimpole	1.0	9.054690329590728E-5
excise	1.0	8.708525646608029E-5
oops	1.0	8.942944017170452E-5
directing	1.0	8.99604174163368E-5
webdisk	1.0	9.0711175616836E-5
benevolent	1.0	8.932559178204556E-5
puritans	1.0	9.03342366757001E-5
wwweducationalpsychologistcouk	1.0	9.0711175616836E-5
yrold	1.0	9.069472156720479E-5
davit	1.0	9.063717937097797E-5
wingfield	1.0	9.035056017347308E-5
plucknett	1.0	9.069472156720479E-5
mcgraw	1.0	9.036688957166094E-5
dressings	1.0	9.01631953836444E-5
pima	1.0	9.027715085311908E-5
junaid	1.0	9.070294784580499E-5
requestors	1.0	9.070294784580499E-5
calleran	1.0	9.067827348567283E-5
sao	1.0	8.962982880702697E-5
termite	1.0	9.029345372460496E-5
kushhimalayan	1.0	9.0711175616836E-5
cautious	1.0	8.714596949891067E-5
withinsubject	1.0	9.067005168192946E-5
spacetime	1.0	9.012256669069935E-5
salmon	1.0	8.331944675887353E-5
abledata	1.0	9.069472156720479E-5
bebop	1.0	9.043226623259179E-5
sar	1.0	8.93734918223255E-5
trafodion	1.0	9.070294784580499E-5
blackamiel	1.0	9.0711175616836E-5
sax	1.0	8.910273545397844E-5
florilegium	1.0	9.067005168192946E-5
guestbook	1.0	8.845643520566122E-5
ipwilliamsbhamacuk	1.0	9.0711175616836E-5
carrot	1.0	8.716116098666435E-5
uncomfortable	1.0	8.531695247845747E-5
lintott	1.0	9.065361254645998E-5
seriouslyis	1.0	9.0711175616836E-5
jorg	1.0	9.06043308870164E-5
regret	1.0	8.262414277451872E-5
bundle	1.0	8.507742045261188E-5
womac	1.0	9.070294784580499E-5
ddinbych	1.0	9.070294784580499E-5
glover	1.0	8.876264867743653E-5
guevara	1.0	9.024456276509341E-5
jealousy	1.0	8.858965272856131E-5
radharaman	1.0	9.0711175616836E-5
fildes	1.0	9.045680687471733E-5
dialogs	1.0	9.068649678062936E-5
pile	1.0	8.170602173380178E-5
industrialpower	1.0	9.070294784580499E-5
waterstone	1.0	9.03995660820828E-5
jhutchingsbangoracuk	1.0	9.0711175616836E-5
lybster	1.0	9.062896501721951E-5
hypotheses	1.0	9.058791557206268E-5
gareth	1.0	8.461668641056016E-5
silverstone	1.0	8.902341315766046E-5
charis	1.0	9.057150620414818E-5
corneo	1.0	9.0711175616836E-5
topiccarers	1.0	9.0711175616836E-5
diazfernandez	1.0	9.0711175616836E-5
blunderland	1.0	9.0711175616836E-5
denormalization	1.0	9.0711175616836E-5
crying	1.0	9.039139473922083E-5
teleological	1.0	9.054690329590728E-5
nans	1.0	9.068649678062936E-5
antony	1.0	8.807468733485996E-5
relativism	1.0	9.017132551848512E-5
lubricant	1.0	8.952551477170994E-5
intelligences	1.0	9.058791557206268E-5
disfigure	1.0	9.024456276509341E-5
delaware	1.0	8.800492827598346E-5
meaningbased	1.0	9.069472156720479E-5
kobe	1.0	9.044044496698923E-5
lacors	1.0	9.04649900488511E-5
dermatitis	1.0	8.94134477825465E-5
expedient	1.0	8.919015340706386E-5
redistributive	1.0	9.058791557206268E-5
lyme	1.0	8.955758552749418E-5
categorization	1.0	8.961376467425397E-5
histopathologic	1.0	9.068649678062936E-5
ematologia	1.0	9.0711175616836E-5
ayudante	1.0	9.0711175616836E-5
jelonet	1.0	9.066183136899366E-5
kerberos	1.0	9.017132551848512E-5
thurley	1.0	9.062896501721951E-5
nilsson	1.0	9.039139473922083E-5
medix	1.0	9.067827348567283E-5
wwwrdocorguk	1.0	9.0711175616836E-5
wyse	1.0	9.062075215224287E-5
dogma	1.0	8.883361463977969E-5
medio	1.0	9.057150620414818E-5
signals	1.0	8.958967926894822E-5
schoolswe	1.0	9.070294784580499E-5
ameliorate	1.0	9.013068949977468E-5
englishfrench	1.0	9.06043308870164E-5
gfpcssfforguk	1.0	9.0711175616836E-5
booked	1.0	9.029345372460496E-5
commissions	1.0	8.995232526760817E-5
nusrat	1.0	9.067005168192946E-5
localhost	1.0	9.034239768723462E-5
lyle	1.0	8.955758552749418E-5
artsweek	1.0	9.0711175616836E-5
keyfields	1.0	9.0711175616836E-5
redbrick	1.0	9.035056017347308E-5
transmissiongearbox	1.0	9.0711175616836E-5
shockers	1.0	9.067827348567283E-5
archway	1.0	8.950147677436678E-5
thurso	1.0	9.021199819576004E-5
talim	1.0	9.070294784580499E-5
knowledgeskills	1.0	9.066183136899366E-5
catalan	1.0	8.991188635137565E-5
withobserving	1.0	9.0711175616836E-5
forthview	1.0	9.0711175616836E-5
handedly	1.0	9.063717937097797E-5
