WORD	FREQ	JACCARD SIMILARITY
winrar	1.0	9.24898261191269E-5
microloan	1.0	9.27213722763097E-5
jew	1.0	8.573388203017832E-5
disabilities	1.0	8.979078746520607E-5
rheumatology	1.0	9.213193292795283E-5
redeployees	1.0	9.27299703264095E-5
grandma	1.0	9.108297659167502E-5
decisive	1.0	8.86053517632465E-5
sigmoidoscope	1.0	9.270418095856123E-5
kysti	1.0	9.27299703264095E-5
excelled	1.0	9.27299703264095E-5
bludgeon	1.0	9.245562130177515E-5
drills	1.0	9.262689885142645E-5
repeatability	1.0	9.24727205474385E-5
undermined	1.0	9.267840593141798E-5
shark	1.0	8.687342541916427E-5
repor	1.0	9.266981744045964E-5
sonography	1.0	9.266123054114158E-5
reseeding	1.0	9.260974254491573E-5
doublesided	1.0	9.237021984112322E-5
realign	1.0	9.212344541685859E-5
isplotplots	1.0	9.27213722763097E-5
bot	1.0	9.13575735428467E-5
bos	1.0	9.214891264283081E-5
youthful	1.0	9.04649900488511E-5
doca	1.0	9.27299703264095E-5
herzegovina	1.0	9.168423947923352E-5
veterinarians	1.0	9.264406151565684E-5
httphtauviccaglossaryhtmlhta	1.0	9.27299703264095E-5
custumals	1.0	9.27299703264095E-5
jelly	1.0	9.043226623259179E-5
evolutec	1.0	9.249838127832763E-5
ehaymotorscom	1.0	9.27299703264095E-5
intradialytic	1.0	9.269558769002595E-5
signon	1.0	9.225092250922509E-5
bow	1.0	8.217602103706138E-5
miniature	1.0	8.781173164734808E-5
caseworking	1.0	9.27213722763097E-5
unsubscribe	1.0	8.987956138774042E-5
contentious	1.0	9.018759018759019E-5
rout	1.0	8.956560680698612E-5
subcontractor	1.0	9.146620323790359E-5
clockwise	1.0	9.143275121148396E-5
cwgl	1.0	9.268699601445917E-5
monomorphism	1.0	9.27299703264095E-5
biohazard	1.0	9.254974548819991E-5
conveyancer	1.0	9.231053263177328E-5
wingate	1.0	9.222539887485013E-5
bosniaherzegovina	1.0	9.243852837862822E-5
noticedirection	1.0	9.27299703264095E-5
refined	1.0	9.051412020275162E-5
choledochoduodenostomy	1.0	9.27299703264095E-5
pigment	1.0	9.053870529651426E-5
aktaexpress	1.0	9.27299703264095E-5
abreast	1.0	9.122422915526363E-5
girdlers	1.0	9.27213722763097E-5
httpwwwcmacorgkh	1.0	9.27299703264095E-5
evaporation	1.0	9.161704076958314E-5
obedience	1.0	8.981498113885396E-5
intentioned	1.0	9.260116677470137E-5
minnesota	1.0	8.981498113885396E-5
awesome	1.0	8.6244070720138E-5
ukregistered	1.0	9.269558769002595E-5
briz	1.0	9.27299703264095E-5
superstition	1.0	9.101665604805679E-5
mechanics	1.0	9.104980424292088E-5
backyard	1.0	9.164222873900293E-5
tsyganenko	1.0	9.271277582050807E-5
reactive	1.0	8.963786303334529E-5
percival	1.0	9.192866335723479E-5
executorspih	1.0	9.27299703264095E-5
ieps	1.0	9.262689885142645E-5
shooter	1.0	9.056330374932077E-5
