WORD	FREQ	JACCARD SIMILARITY
efface	1.0	9.002520705797624E-5
resins	1.0	9.020386072523904E-5
governmentalstructuralinstitutional	1.0	9.022827754218172E-5
degenerate	1.0	8.86839304717985E-5
irreconcilable	1.0	8.990380293086398E-5
underperforming	1.0	9.007386056566384E-5
strasbourg	1.0	8.81057268722467E-5
timid	1.0	8.92140244446427E-5
murs	1.0	9.008197459688316E-5
eroticisation	1.0	9.022827754218172E-5
hannibal	1.0	8.93734918223255E-5
smartcard	1.0	8.983111749910169E-5
adulation	1.0	9.000900090009E-5
ngospermanent	1.0	9.022827754218172E-5
entrepreneurial	1.0	8.710042679209128E-5
orbis	1.0	8.985533291400844E-5
preimplantation	1.0	9.004952723998198E-5
amitriptyline	1.0	9.010632546404758E-5
continuousplay	1.0	9.021199819576004E-5
draining	1.0	8.98391878537418E-5
genetix	1.0	8.99685110211426E-5
crush	1.0	8.359107247345983E-5
directing	1.0	8.94854586129754E-5
latemedieval	1.0	9.015506671474937E-5
val	1.0	8.571183680466272E-5
crunch	1.0	8.799718409010911E-5
compress	1.0	8.528784648187633E-5
rearguard	1.0	8.994423457456377E-5
vam	1.0	9.007386056566384E-5
fibrinogen	1.0	8.997660608241857E-5
stewert	1.0	9.022013713460844E-5
companys	1.0	8.761170492377782E-5
antiterror	1.0	8.971828458639871E-5
authoritiesinternational	1.0	9.022827754218172E-5
regents	1.0	8.919015340706386E-5
wincanton	1.0	9.002520705797624E-5
fritillaria	1.0	9.008197459688316E-5
presumed	1.0	8.927774305865548E-5
cwgc	1.0	9.013881377321075E-5
facup	1.0	9.017132551848512E-5
negotiable	1.0	8.818342151675486E-5
lewisham	1.0	8.736676568233443E-5
insider	1.0	8.721437292865864E-5
gee	1.0	8.862891075068687E-5
cibocrorguk	1.0	9.022827754218172E-5
viennese	1.0	8.987148377819718E-5
pensuring	1.0	9.022827754218172E-5
ideologicalcultural	1.0	9.022827754218172E-5
triplet	1.0	8.881783462119193E-5
embargo	1.0	8.837044892188053E-5
grifters	1.0	9.019572472264814E-5
arterial	1.0	8.891259891526629E-5
wwwalertnetorgthenewsnewsdesklhtm	1.0	9.022013713460844E-5
kiln	1.0	8.785802143735723E-5
townsewnd	1.0	9.022827754218172E-5
algae	1.0	8.795848359574281E-5
illadvised	1.0	8.993614533681087E-5
policecommunity	1.0	9.017945711966815E-5
irresponsible	1.0	8.81057268722467E-5
nanotechology	1.0	9.022827754218172E-5
researchers	1.0	8.92140244446427E-5
diana	1.0	8.531695247845747E-5
turnbull	1.0	8.908685968819599E-5
vba	1.0	8.971828458639871E-5
intentioned	1.0	9.010632546404758E-5
skillssince	1.0	9.022827754218172E-5
wallis	1.0	8.821453775582216E-5
stale	1.0	8.913450396648542E-5
vinaya	1.0	8.98069151324652E-5
faerie	1.0	8.98069151324652E-5
creance	1.0	9.021199819576004E-5
byrt	1.0	9.022827754218172E-5
whove	1.0	9.010632546404758E-5
emit	1.0	8.61103935244984E-5
shooter	1.0	8.817564588660612E-5
antiretrovirals	1.0	9.010632546404758E-5
quehl	1.0	9.022013713460844E-5
retrofit	1.0	8.98391878537418E-5
replenishment	1.0	8.989572096368213E-5
prepcoms	1.0	9.020386072523904E-5
evop	1.0	9.022827754218172E-5
copenhagen	1.0	8.709284096847239E-5
workforces	1.0	8.994423457456377E-5
thankyou	1.0	8.798944126704795E-5
maunder	1.0	9.000900090009E-5
valvuloplasty	1.0	9.020386072523904E-5
brie	1.0	8.982304859426928E-5
dempsey	1.0	8.964589870013447E-5
