WORD	FREQ	JACCARD SIMILARITY
helge	1.0	9.119927040583675E-5
wishful	1.0	9.070294784580499E-5
undertakings	1.0	9.096697898662786E-5
pssocouk	1.0	9.129085265656382E-5
melbourne	1.0	8.646031471554557E-5
districts	1.0	8.992805755395684E-5
failnot	1.0	9.129085265656382E-5
cumberlege	1.0	9.121590805436468E-5
jay	1.0	8.605851979345956E-5
jot	1.0	9.03179190751445E-5
oktoberfest	1.0	9.122422915526363E-5
irt	1.0	9.115770282588879E-5
subclade	1.0	9.128251939753537E-5
dartford	1.0	8.98391878537418E-5
prion	1.0	9.0711175616836E-5
inventor	1.0	8.830801836806782E-5
shark	1.0	8.56091088091773E-5
gymnasium	1.0	8.964589870013447E-5
diarrhoea	1.0	8.888098835659053E-5
slay	1.0	8.908685968819599E-5
ttl	1.0	9.067827348567283E-5
wwwdefragovuknewslatestclimatehtm	1.0	9.129085265656382E-5
abit	1.0	9.073586788857636E-5
cleansing	1.0	8.890469416785207E-5
godsell	1.0	9.128251939753537E-5
waits	1.0	9.051412020275162E-5
dash	1.0	8.56677803478112E-5
showroom	1.0	8.888888888888889E-5
cohen	1.0	8.770391159445712E-5
vineyards	1.0	9.111617312072893E-5
quicklyso	1.0	9.129085265656382E-5
blowout	1.0	9.104980424292088E-5
dickey	1.0	9.116601331023795E-5
accomodation	1.0	8.91981090000892E-5
stunkill	1.0	9.127418765972983E-5
nontransposition	1.0	9.129085265656382E-5
handy	1.0	8.361204013377926E-5
dard	1.0	9.095043201455206E-5
carecognised	1.0	9.128251939753537E-5
childrenswear	1.0	9.112447603426281E-5
motherstobe	1.0	9.121590805436468E-5
morse	1.0	8.958165367732689E-5
grammer	1.0	9.105809506465124E-5
premiumquality	1.0	9.124920156948626E-5
inconvenience	1.0	8.7404947120007E-5
applicantsproprietors	1.0	9.129085265656382E-5
triplet	1.0	8.984725965858041E-5
gorenje	1.0	9.108297659167502E-5
drage	1.0	9.122422915526363E-5
ncrn	1.0	9.113278046113187E-5
kiln	1.0	8.88651915044877E-5
beverage	1.0	8.831581736288969E-5
kilt	1.0	9.04895484571532E-5
funtion	1.0	9.128251939753537E-5
impressively	1.0	9.007386056566384E-5
destinet	1.0	9.092562284051645E-5
attacker	1.0	8.872327211427557E-5
costcutting	1.0	9.1000091000091E-5
bnfl	1.0	9.057971014492754E-5
barringtonward	1.0	9.129085265656382E-5
researchers	1.0	9.025270758122743E-5
offchance	1.0	9.120758847136082E-5
sldt	1.0	9.126585744273067E-5
pele	1.0	9.095043201455206E-5
abio	1.0	9.129085265656382E-5
filmgoer	1.0	9.125752874612155E-5
qeh	1.0	9.114939385653085E-5
stodmarsh	1.0	9.128251939753537E-5
ramstedt	1.0	9.129085265656382E-5
gamh	1.0	9.128251939753537E-5
stages	1.0	8.95335303071E-5
concertina	1.0	9.096697898662786E-5
technophobia	1.0	9.124087591240875E-5
alchemia	1.0	9.129085265656382E-5
guatemala	1.0	8.96700143472023E-5
volkswagen	1.0	8.972633467922836E-5
wwwnorthamptonacukfees	1.0	9.125752874612155E-5
ensuma	1.0	9.129085265656382E-5
justly	1.0	8.98069151324652E-5
pacifism	1.0	9.099181073703367E-5
girlhood	1.0	9.122422915526363E-5
clearing	1.0	8.693384334521429E-5
multifranchise	1.0	9.127418765972983E-5
workwhen	1.0	9.128251939753537E-5
workshy	1.0	9.123255177447313E-5
aerosol	1.0	8.946944618412812E-5
vvomax	1.0	9.121590805436468E-5
rationally	1.0	9.04895484571532E-5
dilemmas	1.0	9.104980424292088E-5
unfinanced	1.0	9.129085265656382E-5
stipulate	1.0	8.854258898530193E-5
contra	1.0	9.05961224859576E-5
pursuivants	1.0	9.129085265656382E-5
nondenominational	1.0	9.106638739641199E-5
cancerrenalchildren	1.0	9.129085265656382E-5
tns	1.0	9.061254077564335E-5
isomerase	1.0	9.124920156948626E-5
intelligentsia	1.0	9.026900162484202E-5
couriers	1.0	9.121590805436468E-5
semiempowering	1.0	9.129085265656382E-5
kilogramme	1.0	9.119927040583675E-5
pacifist	1.0	9.039139473922083E-5
translational	1.0	9.084302325581395E-5
tnm	1.0	9.129085265656382E-5
joynson	1.0	9.123255177447313E-5
militarisation	1.0	9.113278046113187E-5
garment	1.0	8.713078330574191E-5
brim	1.0	9.007386056566384E-5
domesday	1.0	8.943743851176102E-5
fabricant	1.0	9.121590805436468E-5
basketball	1.0	8.778089887640449E-5
raffle	1.0	8.807468733485996E-5
connexions	1.0	8.94134477825465E-5
rocky	1.0	8.533879501621438E-5
mousetrap	1.0	9.114939385653085E-5
tog	1.0	9.086778736937755E-5
raphael	1.0	8.987956138774042E-5
yorpower	1.0	9.125752874612155E-5
hayes	1.0	8.738967054094207E-5
deservedly	1.0	9.042408897730355E-5
momentarily	1.0	9.034239768723462E-5
johnstone	1.0	8.971023593792052E-5
residentled	1.0	9.119927040583675E-5
nctj	1.0	9.120758847136082E-5
firstmentioned	1.0	9.117432530999271E-5
catterson	1.0	9.124087591240875E-5
photoworks	1.0	9.126585744273067E-5
pokeman	1.0	9.129085265656382E-5
cricketer	1.0	9.009009009009009E-5
imrt	1.0	9.122422915526363E-5
noncommercial	1.0	8.8660342228921E-5
miguel	1.0	8.99199712256092E-5
nonuk	1.0	9.002520705797624E-5
toxicology	1.0	9.029345372460496E-5
peng	1.0	9.106638739641199E-5
hawhaw	1.0	9.122422915526363E-5
intimately	1.0	9.000900090009E-5
