WORD	FREQ	JACCARD SIMILARITY
fleamarket	1.0	9.19793966151582E-5
reabsorption	1.0	9.193711501333089E-5
bumpy	1.0	9.119927040583675E-5
adjeef	1.0	9.194556822361162E-5
timea	1.0	9.198785760279643E-5
disabilities	1.0	8.911861687906604E-5
paracitic	1.0	9.200478424878094E-5
paternoster	1.0	9.168423947923352E-5
multispecies	1.0	9.194556822361162E-5
zigzag	1.0	9.097525473071325E-5
christening	1.0	9.084302325581395E-5
euphorbia	1.0	9.188642837452908E-5
muscular	1.0	8.887308922858158E-5
indiarubber	1.0	9.197093718384991E-5
kineto	1.0	9.200478424878094E-5
dimensions	1.0	9.030976248532467E-5
buts	1.0	9.200478424878094E-5
wrightson	1.0	9.194556822361162E-5
sedition	1.0	9.1726288754357E-5
green+black	1.0	9.201324990798675E-5
dakini	1.0	9.201324990798675E-5
smyril	1.0	9.200478424878094E-5
syros	1.0	9.200478424878094E-5
mcphail	1.0	9.151642719868216E-5
dicruridae	1.0	9.201324990798675E-5
litrebox	1.0	9.201324990798675E-5
manchestersalfordsoundcontrolcouk	1.0	9.201324990798675E-5
lejeune	1.0	9.192021325489476E-5
glandarius	1.0	9.200478424878094E-5
cliftonhill	1.0	9.201324990798675E-5
phanes	1.0	9.201324990798675E-5
danusia	1.0	9.200478424878094E-5
belgrave	1.0	9.146620323790359E-5
spinflo	1.0	9.198785760279643E-5
hibernica	1.0	9.195402298850575E-5
excitable	1.0	9.164222873900293E-5
aleatico	1.0	9.200478424878094E-5
camino	1.0	9.156670634557275E-5
bluegrey	1.0	9.181893306399779E-5
ahlam	1.0	9.201324990798675E-5
starwort	1.0	9.195402298850575E-5
ramee	1.0	9.201324990798675E-5
cambodia	1.0	9.013881377321075E-5
somethin	1.0	9.178522257916475E-5
colicky	1.0	9.187798603454613E-5
bayside	1.0	9.191176470588235E-5
percival	1.0	9.122422915526363E-5
marriner	1.0	9.192021325489476E-5
remodelled	1.0	9.1441111923921E-5
somalienglish	1.0	9.201324990798675E-5
pampered	1.0	9.196247930844215E-5
deepskyblue	1.0	9.201324990798675E-5
rockwatch	1.0	9.18105031215571E-5
radebe	1.0	9.171787581399614E-5
befriending	1.0	9.177679882525697E-5
micronesia	1.0	9.184423218221895E-5
slopes	1.0	9.188642837452908E-5
chung	1.0	9.133254178463786E-5
banshees	1.0	9.193711501333089E-5
pidgeon	1.0	9.18105031215571E-5
fandangle	1.0	9.201324990798675E-5
coolpix	1.0	9.143275121148396E-5
laughed	1.0	9.189487226612754E-5
nkvd	1.0	9.193711501333089E-5
cujubi	1.0	9.201324990798675E-5
bethlehem	1.0	9.069472156720479E-5
hospitalise	1.0	9.136592051164915E-5
shouting	1.0	9.10995718320124E-5
smokin	1.0	9.186110600771634E-5
breakin	1.0	9.130752373995617E-5
dateable	1.0	9.193711501333089E-5
ecourier	1.0	9.196247930844215E-5
pansypandoras	1.0	9.201324990798675E-5
fether	1.0	9.19963201471941E-5
gloves	1.0	9.155832265152902E-5
episcia	1.0	9.200478424878094E-5
eiffel	1.0	9.149130832570906E-5
reacting	1.0	9.200478424878094E-5
fontbold	1.0	9.200478424878094E-5
incomes	1.0	9.190331770976932E-5
incomer	1.0	9.19963201471941E-5
