WORD	FREQ	JACCARD SIMILARITY
winrar	1.0	8.811349017534584E-5
agarose	1.0	8.827683615819209E-5
lovelock	1.0	8.812902088657794E-5
nutrifolica	1.0	8.8261253309797E-5
uxga	1.0	8.832361773538245E-5
ringtunes	1.0	8.829242450997704E-5
sanders	1.0	8.654262224145392E-5
recpetscats	1.0	8.830801836806782E-5
esqr	1.0	8.826904404625298E-5
grammarschool	1.0	8.833141948591114E-5
magherafelt	1.0	8.809020436927414E-5
pointbypoint	1.0	8.828462964597864E-5
eric	1.0	7.824113919098662E-5
learndirect	1.0	8.685833405715279E-5
temperance	1.0	8.741258741258741E-5
contributions	1.0	8.754267705506434E-5
alkalinity	1.0	8.819897689186806E-5
dun	1.0	8.670019074041963E-5
rioting	1.0	8.769622029290537E-5
duo	1.0	8.349336227769892E-5
bluewhite	1.0	8.814455707360071E-5
sheltered	1.0	8.455944529003889E-5
abstention	1.0	8.755800717975659E-5
overtake	1.0	8.43810648890389E-5
foirsaidis	1.0	8.832361773538245E-5
cubas	1.0	8.825346394845998E-5
cranioplasty	1.0	8.833141948591114E-5
iceauthfllename	1.0	8.833141948591114E-5
dug	1.0	8.812902088657794E-5
drbig	1.0	8.833141948591114E-5
dub	1.0	8.470269354565475E-5
southall	1.0	8.710801393728223E-5
earmould	1.0	8.828462964597864E-5
widelyhated	1.0	8.833141948591114E-5
termite	1.0	8.793527963418924E-5
somepatternthatmatchestheproblemfile	1.0	8.833141948591114E-5
vortexed	1.0	8.833141948591114E-5
antiterrorist	1.0	8.78966335589347E-5
antiterrorism	1.0	8.732861758798358E-5
hallamshire	1.0	8.805142203046579E-5
thear	1.0	8.830022075055188E-5
orthopaedic	1.0	8.619203585588692E-5
midge	1.0	8.76577840112202E-5
physiographic	1.0	8.815232722143864E-5
drm	1.0	8.7404947120007E-5
crystalline	1.0	8.738967054094207E-5
kinematic	1.0	8.812902088657794E-5
stirred	1.0	8.828462964597864E-5
sekulow	1.0	8.833141948591114E-5
drc	1.0	8.700191404210893E-5
firstnamed	1.0	8.828462964597864E-5
drx	1.0	8.828462964597864E-5
