WORD	FREQ	JACCARD SIMILARITY
sublattice	1.0	9.26526452330214E-5
zeir	1.0	9.263547938860583E-5
champions	1.0	8.843296781039972E-5
efpia	1.0	9.264406151565684E-5
zerorated	1.0	9.231905465288036E-5
fewer	1.0	9.232757824762257E-5
anglicize	1.0	9.262689885142645E-5
proviso	1.0	9.189487226612754E-5
sanders	1.0	9.068649678062936E-5
isa	1.0	8.731336767659129E-5
waye	1.0	9.254974548819991E-5
bustle	1.0	8.858965272856131E-5
gwr	1.0	9.115770282588879E-5
centrality	1.0	9.186954524575104E-5
weinberg	1.0	9.231905465288036E-5
sitting	1.0	9.182736455463728E-5
ramet	1.0	9.264406151565684E-5
diarrhoea	1.0	9.017132551848512E-5
descendant	1.0	8.828462964597864E-5
tumour	1.0	8.599191675982457E-5
gatt	1.0	9.191176470588235E-5
diaries	1.0	9.16254352208173E-5
wrightson	1.0	9.258401999814833E-5
catalunya	1.0	9.231905465288036E-5
rayzer	1.0	9.26526452330214E-5
gat	1.0	9.116601331023795E-5
selffinancing	1.0	9.260974254491573E-5
presidents	1.0	9.158347834050737E-5
subsea	1.0	9.201324990798675E-5
conjectural	1.0	9.255831173639393E-5
checks	1.0	9.195402298850575E-5
downturn	1.0	9.127418765972983E-5
marketonly	1.0	9.26526452330214E-5
ieteke	1.0	9.262689885142645E-5
sourcetodrain	1.0	9.264406151565684E-5
miniature	1.0	8.774238834781083E-5
gav	1.0	9.219988936013277E-5
begg	1.0	9.216589861751152E-5
leonato	1.0	9.260974254491573E-5
dutchman	1.0	9.203018590097552E-5
vantage	1.0	9.09008271975275E-5
giddens	1.0	9.233610341643582E-5
uup	1.0	9.19793966151582E-5
undisturbed	1.0	9.161704076958314E-5
hyperborea	1.0	9.261831990367695E-5
hammers	1.0	9.225943352707814E-5
fourteen	1.0	8.648274669203493E-5
masterplan	1.0	9.134922809902256E-5
smurthwaite	1.0	9.263547938860583E-5
appellantcompany	1.0	9.26526452330214E-5
triplet	1.0	9.116601331023795E-5
uut	1.0	9.263547938860583E-5
crueltyfree	1.0	9.258401999814833E-5
feeder	1.0	8.913450396648542E-5
wellx	1.0	9.26526452330214E-5
studynet	1.0	9.24129008409574E-5
selfgovernment	1.0	9.231053263177328E-5
zakah	1.0	9.257544899092761E-5
wynberg	1.0	9.260974254491573E-5
mckenney	1.0	9.262689885142645E-5
appraiser	1.0	9.227646027498385E-5
unclaimed	1.0	9.197093718384991E-5
philthy	1.0	9.263547938860583E-5
gasp	1.0	8.988764044943821E-5
drafting	1.0	9.240436148586214E-5
widgery	1.0	9.238728750923873E-5
rimes	1.0	9.260116677470137E-5
uvf	1.0	9.216589861751152E-5
researchers	1.0	9.158347834050737E-5
callin	1.0	9.24898261191269E-5
blackheart	1.0	9.263547938860583E-5
marvelous	1.0	9.167583425009168E-5
intravalidation	1.0	9.263547938860583E-5
maktoum	1.0	9.250693802035152E-5
smokeless	1.0	9.177679882525697E-5
concourse	1.0	9.18357975939021E-5
fragrancefree	1.0	9.264406151565684E-5
theresa	1.0	9.129918743723181E-5
reactive	1.0	8.956560680698612E-5
subclauses	1.0	9.260974254491573E-5
percival	1.0	9.18526683200147E-5
informatic	1.0	9.09008271975275E-5
useable	1.0	9.171787581399614E-5
firefighting	1.0	9.233610341643582E-5
blackfriars	1.0	9.139097057210747E-5
sssi	1.0	9.1441111923921E-5
flexibly	1.0	9.149130832570906E-5
argent	1.0	9.179364787956673E-5
packet	1.0	8.486082824168364E-5
lateness	1.0	9.231905465288036E-5
haider	1.0	9.249838127832763E-5
jackpot	1.0	9.101665604805679E-5
birefringence	1.0	9.256687957048968E-5
