WORD	FREQ	JACCARD SIMILARITY
churchbased	1.0	9.221689413500554E-5
srdbuf	1.0	9.237021984112322E-5
enquired	1.0	9.103322712790169E-5
phytooestrogens	1.0	9.237875288683603E-5
degenerate	1.0	9.076881183625306E-5
hollinghurst	1.0	9.229349330872173E-5
assurancecontrol	1.0	9.237875288683603E-5
aimie	1.0	9.235315847801995E-5
sludge	1.0	9.115770282588879E-5
repository	1.0	8.597713008339781E-5
barns	1.0	9.18526683200147E-5
recurrent	1.0	8.972633467922836E-5
aborted	1.0	9.190331770976932E-5
stonebows	1.0	9.238728750923873E-5
cropper	1.0	9.197093718384991E-5
governorates	1.0	9.227646027498385E-5
thungwa	1.0	9.238728750923873E-5
electrification	1.0	9.164222873900293E-5
localregionsdetrgovukbestvaluebvindexhtm	1.0	9.238728750923873E-5
descendant	1.0	8.804366966015144E-5
cllc	1.0	9.237021984112322E-5
gaap	1.0	9.179364787956673E-5
intersection	1.0	9.015506671474937E-5
italic	1.0	8.99847026005579E-5
seditious	1.0	9.203018590097552E-5
womea	1.0	9.238728750923873E-5
ttf	1.0	9.236168837166343E-5
aristocratic	1.0	9.109127345600292E-5
intiatives	1.0	9.230201218386561E-5
wwwdefragovuknewslatestclimatehtm	1.0	9.238728750923873E-5
sdlp	1.0	9.039139473922083E-5
cohen	1.0	8.87154009936125E-5
wwwscottishparliamentlivecom	1.0	9.237875288683603E-5
tto	1.0	9.234463015975621E-5
bnfl	1.0	9.165902841429881E-5
accomplished	1.0	9.043226623259179E-5
capabilitiesbased	1.0	9.236168837166343E-5
authoritiesinternational	1.0	9.238728750923873E-5
cjit	1.0	9.237021984112322E-5
lair	1.0	9.140767824497258E-5
webanimations	1.0	9.225943352707814E-5
mipim	1.0	9.234463015975621E-5
infocityspeakersinternationalcouk	1.0	9.227646027498385E-5
laid	1.0	9.191176470588235E-5
columba	1.0	9.157509157509158E-5
dahlia	1.0	9.202171712524156E-5
alcoholsmoking	1.0	9.238728750923873E-5
dispensing	1.0	9.216589861751152E-5
instinct	1.0	8.847208705653367E-5
entertainments	1.0	9.186954524575104E-5
vlug	1.0	9.238728750923873E-5
horsedrawn	1.0	9.179364787956673E-5
travelscope	1.0	9.236168837166343E-5
triplet	1.0	9.09090909090909E-5
mcgraw	1.0	9.203018590097552E-5
litigator	1.0	9.222539887485013E-5
slam	1.0	8.805142203046579E-5
hoohing	1.0	9.238728750923873E-5
neighborhood	1.0	9.030160736861116E-5
lamyman	1.0	9.233610341643582E-5
childrenswear	1.0	9.221689413500554E-5
enmity	1.0	9.187798603454613E-5
instructions	1.0	9.091735612328394E-5
wwwncmaorguk	1.0	9.233610341643582E-5
sdol	1.0	9.216589861751152E-5
riingtones	1.0	9.238728750923873E-5
belford	1.0	9.208103130755064E-5
duff	1.0	9.022827754218172E-5
miserably	1.0	9.167583425009168E-5
tmc	1.0	9.171787581399614E-5
pristine	1.0	9.051412020275162E-5
shaps	1.0	9.225943352707814E-5
discolour	1.0	9.186954524575104E-5
shorthaul	1.0	9.219138932423711E-5
leedsbradfordhuddersfieldwest	1.0	9.238728750923873E-5
sexpress	1.0	9.237875288683603E-5
israelis	1.0	9.048136083966703E-5
jrht	1.0	9.232757824762257E-5
moniker	1.0	9.202171712524156E-5
braunston	1.0	9.192021325489476E-5
localjobboardcom	1.0	9.232757824762257E-5
mepal	1.0	9.232757824762257E-5
fyi	1.0	9.209799226376865E-5
archery	1.0	9.142439202779301E-5
aifa	1.0	9.235315847801995E-5
daro	1.0	9.216589861751152E-5
tms	1.0	9.198785760279643E-5
pasteurise	1.0	9.228497600590623E-5
awaaz	1.0	9.237021984112322E-5
tenchi	1.0	9.228497600590623E-5
beeper	1.0	9.225943352707814E-5
dari	1.0	9.230201218386561E-5
netskills	1.0	9.177679882525697E-5
guatemala	1.0	9.072763563781528E-5
fripp	1.0	9.226794611551947E-5
anthropogenic	1.0	9.18357975939021E-5
dumbo	1.0	9.231905465288036E-5
swallow	1.0	8.576329331046312E-5
contra	1.0	9.167583425009168E-5
stipulate	1.0	8.957362952346828E-5
seabird	1.0	9.120758847136082E-5
dare	1.0	8.434547908232118E-5
daredevil	1.0	9.189487226612754E-5
consultancychris	1.0	9.238728750923873E-5
landholding	1.0	9.211495946941784E-5
stockman	1.0	9.208103130755064E-5
width	1.0	7.982120051085569E-5
politicise	1.0	9.197093718384991E-5
listings	1.0	9.1000091000091E-5
availablr	1.0	9.238728750923873E-5
agglestone	1.0	9.237875288683603E-5
offroad	1.0	8.972633467922836E-5
jealousy	1.0	9.018759018759019E-5
unpleasant	1.0	8.809796493700995E-5
douglas	1.0	8.296001327360213E-5
trevorseeleywarwickacuk	1.0	9.238728750923873E-5
anarchist	1.0	9.043226623259179E-5
secondment	1.0	9.061254077564335E-5
cimaacca	1.0	9.238728750923873E-5
apprentice	1.0	8.760402978537013E-5
disputes	1.0	9.127418765972983E-5
samantha	1.0	9.020386072523904E-5
staggered	1.0	9.144947416552355E-5
coronary	1.0	8.797395970792646E-5
httpthescotsmanscotsmancombusinesscfmid	1.0	9.237875288683603E-5
schlegel	1.0	9.231905465288036E-5
