WORD	FREQ	JACCARD SIMILARITY
exfurness	1.0	8.87941751021133E-5
harper	1.0	8.482483671218933E-5
hatherall	1.0	8.87784090909091E-5
treason	1.0	8.763473841030585E-5
poppins	1.0	8.848774444739404E-5
windermere	1.0	8.694896095991653E-5
rushing	1.0	8.874689385871494E-5
johnathan	1.0	8.838607035531201E-5
llanwrtyd	1.0	8.864462370357238E-5
esssex	1.0	8.87941751021133E-5
muss	1.0	8.86839304717985E-5
documenthandler	1.0	8.87784090909091E-5
opned	1.0	8.87941751021133E-5
shakira	1.0	8.870753126940477E-5
pomphlett	1.0	8.878629139660837E-5
httpwwwphysorgcomnewshtml	1.0	8.87941751021133E-5
ganga	1.0	8.87154009936125E-5
panticosa	1.0	8.87941751021133E-5
dilip	1.0	8.858180529719195E-5
louisville	1.0	8.837044892188053E-5
albumin	1.0	8.864462370357238E-5
weekday	1.0	8.542627712284299E-5
abowtt	1.0	8.87705281846427E-5
faultfinding	1.0	8.873901854645488E-5
wives	1.0	8.807468733485996E-5
moston	1.0	8.872327211427557E-5
vietnamese	1.0	8.761170492377782E-5
britanny	1.0	8.87784090909091E-5
lizard	1.0	8.690362388111584E-5
sincil	1.0	8.874689385871494E-5
tussauds	1.0	8.84486113568017E-5
forenoon	1.0	8.858965272856131E-5
unlawful	1.0	8.428150021070375E-5
bluegrey	1.0	8.861320336730173E-5
increasing	1.0	8.809796493700995E-5
conjuring	1.0	8.857395925597875E-5
munich	1.0	8.547739123001966E-5
gears	1.0	8.858180529719195E-5
kabbalah	1.0	8.84016973125884E-5
vingoe	1.0	8.873114463176575E-5
sibbs	1.0	8.87941751021133E-5
percival	1.0	8.805917576611483E-5
httpwwwmapincorgdrugnewsindexhtm	1.0	8.87941751021133E-5
arlaadi	1.0	8.87941751021133E-5
manse	1.0	8.826904404625298E-5
useable	1.0	8.793527963418924E-5
marketmaster	1.0	8.874689385871494E-5
isusdm	1.0	8.87941751021133E-5
saleskevinmayhewltdcom	1.0	8.87941751021133E-5
expounder	1.0	8.87705281846427E-5
turnedst	1.0	8.87941751021133E-5
jeffrey	1.0	8.598452278589854E-5
refused	1.0	8.848774444739404E-5
radebe	1.0	8.851907586084801E-5
trifling	1.0	8.848774444739404E-5
sisterhood	1.0	8.86839304717985E-5
apache	1.0	8.661758336942399E-5
aerosol	1.0	8.7070091423596E-5
dbi	1.0	8.784258608573436E-5
brie	1.0	8.84016973125884E-5
dreset	1.0	8.87941751021133E-5
pretention	1.0	8.874689385871494E-5
diemen	1.0	8.825346394845998E-5
vvomax	1.0	8.872327211427557E-5
retrospective	1.0	8.54920064973925E-5
freeroam	1.0	8.87154009936125E-5
kyboshing	1.0	8.87941751021133E-5
immunity	1.0	8.602150537634408E-5
pannel	1.0	8.8660342228921E-5
shouting	1.0	8.79430129276229E-5
blatantly	1.0	8.785030308354564E-5
figures	1.0	8.8261253309797E-5
buuel	1.0	8.830801836806782E-5
thwhite	1.0	8.87941751021133E-5
dal	1.0	8.823788934968675E-5
saltire	1.0	8.842514811212309E-5
druidical	1.0	8.867606632969761E-5
womad	1.0	8.848774444739404E-5
ecowas	1.0	8.861320336730173E-5
dae	1.0	8.858965272856131E-5
woulda	1.0	8.87705281846427E-5
merckx	1.0	8.86053517632465E-5
woulde	1.0	8.87941751021133E-5
scotrail	1.0	8.830801836806782E-5
secrets	1.0	8.719155985700585E-5
ettle	1.0	8.87941751021133E-5
dam	1.0	8.430281571404485E-5
certaine	1.0	8.87154009936125E-5
sauda	1.0	8.863676653075696E-5
quarme	1.0	8.87941751021133E-5
lefthander	1.0	8.851907586084801E-5
addresses	1.0	8.832361773538245E-5
dda	1.0	8.64528399757932E-5
marbles	1.0	8.86053517632465E-5
marubeni	1.0	8.87784090909091E-5
ddb	1.0	8.86839304717985E-5
miniproblems	1.0	8.87941751021133E-5
amphibians	1.0	8.8660342228921E-5
capstan	1.0	8.850340738118418E-5
concise	1.0	8.279516476237788E-5
undersea	1.0	8.839388314328648E-5
marbled	1.0	8.80126738250308E-5
acoss	1.0	8.87784090909091E-5
aruba	1.0	8.84486113568017E-5
speciesatrisk	1.0	8.87941751021133E-5
forebeings	1.0	8.87941751021133E-5
grapple	1.0	8.724480893386844E-5
dishwasher	1.0	8.536064874093044E-5
ceaislington	1.0	8.87784090909091E-5
ddk	1.0	8.861320336730173E-5
easyspice	1.0	8.874689385871494E-5
inkjet	1.0	8.770391159445712E-5
brassa	1.0	8.8660342228921E-5
perceptive	1.0	8.785802143735723E-5
meshell	1.0	8.87941751021133E-5
poultry	1.0	8.473858147614608E-5
scrutinise	1.0	8.650519031141868E-5
gallant	1.0	8.785030308354564E-5
opengl	1.0	8.825346394845998E-5
camogau	1.0	8.87941751021133E-5
sheepskin	1.0	8.858180529719195E-5
portico	1.0	8.827683615819209E-5
cronwallis	1.0	8.87941751021133E-5
popstar	1.0	8.865248226950355E-5
abour	1.0	8.87705281846427E-5
elmer	1.0	8.837825894829872E-5
endear	1.0	8.745845723281441E-5
scarlett	1.0	8.785802143735723E-5
dcd	1.0	8.86839304717985E-5
leveling	1.0	8.858180529719195E-5
hepworth	1.0	8.803591865481116E-5
swinfenn	1.0	8.87941751021133E-5
combestone	1.0	8.87941751021133E-5
discoraiged	1.0	8.87941751021133E-5
folks	1.0	8.838607035531201E-5
hauntings	1.0	8.862105636299185E-5
shoppe	1.0	8.869966294128082E-5
austerely	1.0	8.87705281846427E-5
identifying	1.0	8.79430129276229E-5
disgust	1.0	8.688852202624034E-5
heretic	1.0	8.803591865481116E-5
outsourcing	1.0	8.628872206402623E-5
neverbeforereleased	1.0	8.87705281846427E-5
dingdong	1.0	8.876264867743653E-5
queensberry	1.0	8.85661146045523E-5
paix	1.0	8.86839304717985E-5
existent	1.0	8.830801836806782E-5
cum	1.0	8.778089887640449E-5
attested	1.0	8.86839304717985E-5
naboth	1.0	8.875477056891808E-5
stobart	1.0	8.852691218130312E-5
bengal	1.0	8.793527963418924E-5
twikiadmingroup	1.0	8.874689385871494E-5
brocade	1.0	8.849557522123894E-5
crosstalk	1.0	8.844078889183692E-5
exetergrecia	1.0	8.873114463176575E-5
answeare	1.0	8.878629139660837E-5
respectability	1.0	8.816787162757891E-5
unlined	1.0	8.8660342228921E-5
yahweh	1.0	8.771929824561403E-5
audacious	1.0	8.821453775582216E-5
digitalthink	1.0	8.869966294128082E-5
turnedon	1.0	8.878629139660837E-5
catogorise	1.0	8.87941751021133E-5
poppies	1.0	8.864462370357238E-5
ordering	1.0	8.751969193068441E-5
diviase	1.0	8.87941751021133E-5
wallop	1.0	8.842514811212309E-5
cruiser	1.0	8.638562543192812E-5
matsuda	1.0	8.869966294128082E-5
fightbecause	1.0	8.878629139660837E-5
bray	1.0	8.746610688358261E-5
intone	1.0	8.847208705653367E-5
minnie	1.0	8.773469029654326E-5
icta	1.0	8.811349017534584E-5
shopit	1.0	8.878629139660837E-5
ssetelementhandlerbooks	1.0	8.87941751021133E-5
manchesterliverpool	1.0	8.87941751021133E-5
aphek	1.0	8.876264867743653E-5
rapier	1.0	8.855042946958293E-5
potboiler	1.0	8.870753126940477E-5
iiij	1.0	8.873901854645488E-5
rossini	1.0	8.849557522123894E-5
riflecraft	1.0	8.87941751021133E-5
dipteroi	1.0	8.87941751021133E-5
infoceylonhotelslk	1.0	8.87941751021133E-5
cth	1.0	8.812902088657794E-5
rambo	1.0	8.849557522123894E-5
ctc	1.0	8.716875871687587E-5
soprano	1.0	8.69414014953921E-5
iiii	1.0	8.858965272856131E-5
celestine	1.0	8.854258898530193E-5
kazar	1.0	8.869966294128082E-5
packets	1.0	8.874689385871494E-5
firearms	1.0	8.811349017534584E-5
mcginn	1.0	8.866820358219543E-5
unauthorized	1.0	8.729812309035356E-5
tightxxx	1.0	8.87941751021133E-5
bassline	1.0	8.847991505928154E-5
equating	1.0	8.875477056891808E-5
descendantsincluding	1.0	8.87941751021133E-5
shopaholics	1.0	8.874689385871494E-5
periodicals	1.0	8.827683615819209E-5
foles	1.0	8.87784090909091E-5
beirut	1.0	8.758868354208637E-5
harvester	1.0	8.825346394845998E-5
hazel	1.0	8.444519506840061E-5
ayurveda	1.0	8.833922261484099E-5
icts	1.0	8.745845723281441E-5
thriller	1.0	8.555783709787816E-5
jitter	1.0	8.834702712253733E-5
csp	1.0	8.721437292865864E-5
ipcassociation	1.0	8.87941751021133E-5
staalplaat	1.0	8.87784090909091E-5
csr	1.0	8.578536501672814E-5
outwood	1.0	8.873114463176575E-5
pensions	1.0	8.098477486232588E-5
cwo	1.0	8.849557522123894E-5
shamanism	1.0	8.847208705653367E-5
lise	1.0	8.85112409275978E-5
cws	1.0	8.842514811212309E-5
chaudry	1.0	8.878629139660837E-5
manythey	1.0	8.878629139660837E-5
mantelpiece	1.0	8.846426043878273E-5
messjust	1.0	8.87941751021133E-5
immunology	1.0	8.727526618956188E-5
countryand	1.0	8.875477056891808E-5
courteous	1.0	8.727526618956188E-5
sending	1.0	8.818342151675486E-5
lita	1.0	8.8660342228921E-5
satement	1.0	8.87941751021133E-5
schmidt	1.0	8.76731544800982E-5
telecom	1.0	8.54920064973925E-5
alleyne	1.0	8.844078889183692E-5
kenward	1.0	8.865248226950355E-5
stretchered	1.0	8.859750155045628E-5
pade	1.0	8.87784090909091E-5
hols	1.0	8.829242450997704E-5
accompanying	1.0	8.401243384020835E-5
polytechnic	1.0	8.705493166187865E-5
tobaccorelated	1.0	8.87154009936125E-5
potatoes	1.0	8.804366966015144E-5
profcareactionstotalresponserecoveryknowledgeprofcarerateoflearning	1.0	8.87941751021133E-5
monochrome	1.0	8.758101243650377E-5
padi	1.0	8.766546857192952E-5
satisfying	1.0	8.557980316645271E-5
freeholders	1.0	8.87784090909091E-5
bunsen	1.0	8.861320336730173E-5
aliengovernment	1.0	8.87941751021133E-5
jugera	1.0	8.87941751021133E-5
terrance	1.0	8.87154009936125E-5
gules	1.0	8.840951286358412E-5
apps	1.0	8.782715615668365E-5
technologist	1.0	8.755034144633164E-5
myford	1.0	8.869179600886918E-5
cambrian	1.0	8.806693086745927E-5
populous	1.0	8.830022075055188E-5
homer	1.0	8.71839581517001E-5
lugosi	1.0	8.861320336730173E-5
topnotch	1.0	8.826904404625298E-5
annoie	1.0	8.87941751021133E-5
youthe	1.0	8.872327211427557E-5
pettey	1.0	8.87941751021133E-5
lethargy	1.0	8.835483300936562E-5
gull	1.0	8.628872206402623E-5
northernlandscapecouk	1.0	8.87941751021133E-5
homo	1.0	8.78348704435661E-5
dummies	1.0	8.848774444739404E-5
grandscale	1.0	8.878629139660837E-5
