WORD	FREQ	JACCARD SIMILARITY
dinah	1.0	9.050592813829306E-5
wishful	1.0	9.022013713460844E-5
treason	1.0	8.958967926894822E-5
degenerate	1.0	8.92379082634303E-5
computerise	1.0	8.775008775008775E-5
sleeve	1.0	8.511362669163333E-5
buttonholes	1.0	9.080177971488241E-5
jaw	1.0	8.749671887304226E-5
jpl	1.0	9.068649678062936E-5
allansford	1.0	9.080177971488241E-5
dangerously	1.0	8.916629514043692E-5
verona	1.0	9.020386072523904E-5
shoebox	1.0	9.062075215224287E-5
footballi	1.0	9.078529278256922E-5
pinault	1.0	9.079353550027238E-5
interserve	1.0	9.072763563781528E-5
godly	1.0	8.93016610108948E-5
protester	1.0	8.780402142418122E-5
alcorcon	1.0	9.080177971488241E-5
lewisham	1.0	8.790436005625879E-5
janney	1.0	9.075233687267448E-5
threetime	1.0	9.062075215224287E-5
jointed	1.0	9.049773755656108E-5
heavenas	1.0	9.080177971488241E-5
herold	1.0	9.073586788857636E-5
maidonian	1.0	9.080177971488241E-5
mjod	1.0	9.080177971488241E-5
closedfortheholiday	1.0	9.080177971488241E-5
epigraphic	1.0	9.06043308870164E-5
malmo	1.0	9.066183136899366E-5
sodje	1.0	9.056330374932077E-5
piscatorial	1.0	9.076881183625306E-5
amadigi	1.0	9.075233687267448E-5
tackler	1.0	9.075233687267448E-5
skinny	1.0	8.98391878537418E-5
hunstanton	1.0	9.03342366757001E-5
peltate	1.0	9.079353550027238E-5
expos	1.0	9.053050878145935E-5
knowledgeable	1.0	8.745845723281441E-5
cosford	1.0	9.030976248532467E-5
locust	1.0	8.992805755395684E-5
poetic	1.0	8.749671887304226E-5
meaty	1.0	9.020386072523904E-5
akbar	1.0	9.041591320072333E-5
cordell	1.0	9.077705156136529E-5
linea	1.0	9.068649678062936E-5
underside	1.0	8.87705281846427E-5
invariable	1.0	9.044044496698923E-5
emit	1.0	8.663259118080222E-5
tavern	1.0	8.845643520566122E-5
isobel	1.0	8.993614533681087E-5
fromage	1.0	9.052231375033946E-5
foliar	1.0	9.06043308870164E-5
gruesome	1.0	8.974243919949744E-5
seaton	1.0	8.985533291400844E-5
topshop	1.0	9.053870529651426E-5
radnor	1.0	9.050592813829306E-5
prefix	1.0	8.805917576611483E-5
haddington	1.0	9.021199819576004E-5
sculthorpe	1.0	9.070294784580499E-5
areafour	1.0	9.080177971488241E-5
gravesen	1.0	9.072763563781528E-5
inbreeding	1.0	9.057150620414818E-5
teddyboy	1.0	9.078529278256922E-5
pry	1.0	9.023641941887746E-5
eynon	1.0	9.053870529651426E-5
redgrave	1.0	9.022827754218172E-5
bloopers	1.0	9.078529278256922E-5
topend	1.0	9.050592813829306E-5
wallwork	1.0	9.067827348567283E-5
recognisable	1.0	8.784258608573436E-5
vgc	1.0	9.078529278256922E-5
uncle	1.0	8.300132802124833E-5
vey	1.0	9.071940488070398E-5
positon	1.0	9.077705156136529E-5
beaconsfield	1.0	9.029345372460496E-5
saker	1.0	9.071940488070398E-5
geopark	1.0	9.062075215224287E-5
specif	1.0	9.078529278256922E-5
inchperfect	1.0	9.075233687267448E-5
cambodia	1.0	8.897588753447816E-5
kavi	1.0	9.07605736068252E-5
hazardous	1.0	8.456659619450317E-5
zune	1.0	9.061254077564335E-5
outfront	1.0	9.080177971488241E-5
ver	1.0	8.995232526760817E-5
lbsft	1.0	9.078529278256922E-5
benn	1.0	8.943743851176102E-5
shooter	1.0	8.872327211427557E-5
legume	1.0	9.029345372460496E-5
accomodating	1.0	9.066183136899366E-5
speyside	1.0	9.010632546404758E-5
sandwell	1.0	9.003331232556046E-5
rejects	1.0	9.058791557206268E-5
detract	1.0	8.855042946958293E-5
sevenday	1.0	9.04649900488511E-5
carmaine	1.0	9.075233687267448E-5
settee	1.0	8.987956138774042E-5
upandcoming	1.0	9.030160736861116E-5
medjani	1.0	9.079353550027238E-5
redgreen	1.0	9.065361254645998E-5
scrappy	1.0	9.023641941887746E-5
additive	1.0	8.769622029290537E-5
mesopause	1.0	9.078529278256922E-5
ticke	1.0	9.080177971488241E-5
benz	1.0	9.045680687471733E-5
setter	1.0	9.000090000900009E-5
byoc	1.0	9.079353550027238E-5
stilian	1.0	9.07605736068252E-5
turves	1.0	9.064539521392314E-5
soundly	1.0	9.025270758122743E-5
earlybird	1.0	9.074410163339382E-5
hajar	1.0	9.071940488070398E-5
wedlock	1.0	9.063717937097797E-5
barrassi	1.0	9.080177971488241E-5
audiodescribed	1.0	9.074410163339382E-5
slovenian	1.0	9.036688957166094E-5
doubletwin	1.0	9.049773755656108E-5
shank	1.0	8.973438621679828E-5
shouting	1.0	8.991188635137565E-5
mismatch	1.0	8.91981090000892E-5
forinton	1.0	9.079353550027238E-5
tsgu	1.0	9.080177971488241E-5
encyclopaedia	1.0	8.833922261484099E-5
twoone	1.0	9.076881183625306E-5
kinallen	1.0	9.080177971488241E-5
mccandlish	1.0	9.07605736068252E-5
dunemann	1.0	9.079353550027238E-5
fieldtrips	1.0	9.067005168192946E-5
impressedsuch	1.0	9.080177971488241E-5
watertables	1.0	9.079353550027238E-5
renown	1.0	8.608074373762589E-5
earmark	1.0	8.888098835659053E-5
maisie	1.0	9.03995660820828E-5
aunt	1.0	8.637070305752289E-5
boldin	1.0	9.080177971488241E-5
triumphantly	1.0	9.032607713846988E-5
constellation	1.0	8.884150675195451E-5
greed	1.0	8.820675663755844E-5
hayonwye	1.0	9.073586788857636E-5
dyrectlie	1.0	9.080177971488241E-5
dhal	1.0	9.072763563781528E-5
maltings	1.0	9.044862518089724E-5
momentarily	1.0	8.986340762041697E-5
holidaycan	1.0	9.080177971488241E-5
inexplicably	1.0	9.012256669069935E-5
bassist	1.0	8.943743851176102E-5
hamer	1.0	8.999280057595392E-5
tussock	1.0	9.06043308870164E-5
hennessey	1.0	9.065361254645998E-5
techdel	1.0	9.075233687267448E-5
unpopular	1.0	8.8660342228921E-5
doumbe	1.0	9.077705156136529E-5
beis	1.0	9.074410163339382E-5
diminished	1.0	9.006574799603711E-5
httpwwwusairwayscom	1.0	9.078529278256922E-5
appointed	1.0	8.835483300936562E-5
unfreeze	1.0	9.063717937097797E-5
mummer	1.0	9.069472156720479E-5
botanic	1.0	8.907098957869422E-5
antaly	1.0	9.080177971488241E-5
selfimportant	1.0	9.064539521392314E-5
postal	1.0	8.085381630012937E-5
summerseason	1.0	9.079353550027238E-5
katy	1.0	8.966197435667533E-5
gwain	1.0	9.07605736068252E-5
conmen	1.0	9.073586788857636E-5
ger	1.0	9.029345372460496E-5
schfer	1.0	9.074410163339382E-5
allowable	1.0	8.904719501335708E-5
vermeulen	1.0	9.063717937097797E-5
granary	1.0	8.98391878537418E-5
marney	1.0	9.036688957166094E-5
easyrider	1.0	9.079353550027238E-5
ukwide	1.0	8.917424647761727E-5
bryant	1.0	8.882572392965002E-5
boothegoose	1.0	9.076881183625306E-5
uninvited	1.0	9.044862518089724E-5
inaugral	1.0	9.075233687267448E-5
becta	1.0	8.92140244446427E-5
draining	1.0	9.040773890245005E-5
scorpionfish	1.0	9.077705156136529E-5
finchley	1.0	8.92458723784025E-5
polytunnel	1.0	9.068649678062936E-5
orbis	1.0	9.042408897730355E-5
buildings	1.0	8.446659346228566E-5
selfprotection	1.0	9.061254077564335E-5
stopover	1.0	9.013068949977468E-5
shaggy	1.0	9.000900090009E-5
armchair	1.0	8.862105636299185E-5
mickelson	1.0	9.063717937097797E-5
whiny	1.0	9.075233687267448E-5
ish	1.0	8.899172376968942E-5
testimonials	1.0	9.030160736861116E-5
nonbreeders	1.0	9.080177971488241E-5
njenga	1.0	9.080177971488241E-5
unending	1.0	9.04649900488511E-5
middleorder	1.0	9.07605736068252E-5
vcd	1.0	9.057150620414818E-5
damaging	1.0	8.670770831526923E-5
racha	1.0	9.077705156136529E-5
httpchristianscomchristianschristmasrecipesindexhtml	1.0	9.080177971488241E-5
bartered	1.0	9.076881183625306E-5
replant	1.0	9.017132551848512E-5
vogue	1.0	8.971023593792052E-5
gez	1.0	9.070294784580499E-5
behn	1.0	9.071940488070398E-5
mackenzie	1.0	8.787346221441125E-5
peform	1.0	9.07605736068252E-5
gape	1.0	8.98391878537418E-5
scarlett	1.0	8.982304859426928E-5
everalert	1.0	9.079353550027238E-5
aisle	1.0	8.765010079761592E-5
episodes	1.0	9.045680687471733E-5
bred	1.0	9.062896501721951E-5
exhausting	1.0	8.99847026005579E-5
wwwiwrsccom	1.0	9.080177971488241E-5
woodwork	1.0	8.949346697691069E-5
sible	1.0	9.073586788857636E-5
nonchampionship	1.0	9.075233687267448E-5
vam	1.0	9.064539521392314E-5
massimo	1.0	9.041591320072333E-5
dogberry	1.0	9.076881183625306E-5
incomplete	1.0	8.661008141347653E-5
screwedup	1.0	9.074410163339382E-5
companys	1.0	8.815232722143864E-5
booker	1.0	8.933357155619081E-5
breakup	1.0	8.958967926894822E-5
szymanski	1.0	9.070294784580499E-5
httpwwwboeingcom	1.0	9.07605736068252E-5
perception	1.0	7.220216606498195E-5
westonsupermare	1.0	9.017132551848512E-5
guestfocused	1.0	9.080177971488241E-5
tibia	1.0	9.062075215224287E-5
negotiable	1.0	8.873114463176575E-5
everytime	1.0	8.947745168217609E-5
hungarian	1.0	8.82223202470225E-5
galway	1.0	8.950948800572861E-5
insider	1.0	8.775008775008775E-5
letts	1.0	9.062896501721951E-5
repel	1.0	8.927774305865548E-5
+postage	1.0	9.079353550027238E-5
princeton	1.0	8.889679082585119E-5
algae	1.0	8.850340738118418E-5
ambassadors	1.0	8.99847026005579E-5
backpacker	1.0	8.971828458639871E-5
manofthematch	1.0	9.065361254645998E-5
rigoletto	1.0	9.075233687267448E-5
blogger	1.0	8.94854586129754E-5
burkina	1.0	8.927774305865548E-5
lorraine	1.0	8.857395925597875E-5
scientificmonitoring	1.0	9.080177971488241E-5
vacate	1.0	8.897588753447816E-5
ortress	1.0	9.080177971488241E-5
brooklands	1.0	8.982304859426928E-5
karn	1.0	9.075233687267448E-5
gee	1.0	8.918219923303308E-5
abseil	1.0	8.942144326209425E-5
hexagram	1.0	8.97021887334051E-5
eaddress	1.0	9.076881183625306E-5
whitney	1.0	8.979885057471264E-5
efthymiadis	1.0	9.079353550027238E-5
heavilypregnant	1.0	9.080177971488241E-5
footballs	1.0	9.072763563781528E-5
connections	1.0	8.889679082585119E-5
ofat	1.0	9.077705156136529E-5
ordering	1.0	8.946944618412812E-5
portadownbased	1.0	9.080177971488241E-5
grebe	1.0	9.017132551848512E-5
maley	1.0	9.053870529651426E-5
coaster	1.0	8.93734918223255E-5
ged	1.0	9.030976248532467E-5
salmonslayer	1.0	9.079353550027238E-5
quarterfinalists	1.0	9.080177971488241E-5
kovac	1.0	9.070294784580499E-5
dazzla	1.0	9.067827348567283E-5
romans	1.0	8.760402978537013E-5
warlords	1.0	9.072763563781528E-5
owens	1.0	8.971023593792052E-5
clancy	1.0	9.023641941887746E-5
males	1.0	9.04649900488511E-5
bluehat	1.0	9.080177971488241E-5
vonnegut	1.0	9.070294784580499E-5
credability	1.0	9.077705156136529E-5
internationales	1.0	9.076881183625306E-5
rinaldo	1.0	9.062896501721951E-5
etosha	1.0	9.061254077564335E-5
sevilla	1.0	9.061254077564335E-5
holms	1.0	9.075233687267448E-5
wonderin	1.0	9.076881183625306E-5
backovic	1.0	9.080177971488241E-5
symington	1.0	9.064539521392314E-5
exbees	1.0	9.080177971488241E-5
fabricwinged	1.0	9.080177971488241E-5
wider	1.0	8.942944017170452E-5
joyous	1.0	8.985533291400844E-5
iroquois	1.0	9.073586788857636E-5
swallowtailed	1.0	9.062896501721951E-5
kieren	1.0	9.052231375033946E-5
irresponsible	1.0	8.865248226950355E-5
widen	1.0	8.183306055646482E-5
stickmakers	1.0	9.080177971488241E-5
cooke	1.0	8.854258898530193E-5
ankara	1.0	9.024456276509341E-5
affliction	1.0	8.958165367732689E-5
vac	1.0	9.041591320072333E-5
puk	1.0	9.041591320072333E-5
oxycontin	1.0	9.078529278256922E-5
peanut	1.0	8.815232722143864E-5
mapping	1.0	8.176614881439084E-5
scilly	1.0	8.93814801573114E-5
fleischman	1.0	9.076881183625306E-5
scotch	1.0	8.892050506846879E-5
lopez	1.0	8.975854950184004E-5
thirdminute	1.0	9.079353550027238E-5
sugarobsessed	1.0	9.080177971488241E-5
fluidity	1.0	9.022827754218172E-5
museumsexhibitions	1.0	9.080177971488241E-5
brotherhood	1.0	8.935751943526048E-5
hosthe	1.0	9.080177971488241E-5
haydock	1.0	9.038322487346348E-5
rethemed	1.0	9.080177971488241E-5
unwise	1.0	8.962982880702697E-5
majeika	1.0	9.080177971488241E-5
fifthbiggest	1.0	9.079353550027238E-5
mathias	1.0	9.049773755656108E-5
burchatt	1.0	9.079353550027238E-5
bela	1.0	9.043226623259179E-5
soprano	1.0	8.88651915044877E-5
succour	1.0	9.05961224859576E-5
piggyback	1.0	9.053050878145935E-5
boldon	1.0	9.071940488070398E-5
mytravel	1.0	9.068649678062936E-5
varla	1.0	9.080177971488241E-5
postpits	1.0	9.077705156136529E-5
stant	1.0	9.075233687267448E-5
janel	1.0	9.078529278256922E-5
homeware	1.0	9.065361254645998E-5
portheothan	1.0	9.080177971488241E-5
gillian	1.0	8.7404947120007E-5
trends	1.0	8.839388314328648E-5
vincenzo	1.0	9.065361254645998E-5
easton	1.0	8.976660682226212E-5
pvr	1.0	8.98391878537418E-5
yasir	1.0	9.070294784580499E-5
digitalnet	1.0	9.080177971488241E-5
xcif	1.0	9.07605736068252E-5
principally	1.0	8.577800651912849E-5
bracknell	1.0	8.958165367732689E-5
raining	1.0	9.053050878145935E-5
chauffeur	1.0	8.933357155619081E-5
handrail	1.0	8.999280057595392E-5
doyly	1.0	9.07605736068252E-5
honolulu	1.0	9.036688957166094E-5
southout	1.0	9.080177971488241E-5
boates	1.0	9.080177971488241E-5
larkin	1.0	9.017945711966815E-5
tedious	1.0	8.85661146045523E-5
sunnegga	1.0	9.080177971488241E-5
athenry	1.0	9.078529278256922E-5
watercourse	1.0	8.96700143472023E-5
trapeze	1.0	9.038322487346348E-5
chingford	1.0	9.03342366757001E-5
leagueexengland	1.0	9.080177971488241E-5
insinuation	1.0	9.062896501721951E-5
kernel	1.0	8.573388203017832E-5
inexhausible	1.0	9.080177971488241E-5
panis	1.0	9.072763563781528E-5
susceptible	1.0	8.737439930100481E-5
embarks	1.0	9.080177971488241E-5
hamed	1.0	9.072763563781528E-5
tribesman	1.0	9.057971014492754E-5
competitions	1.0	8.999280057595392E-5
murphytrained	1.0	9.080177971488241E-5
wilkenson	1.0	9.080177971488241E-5
smack	1.0	8.873901854645488E-5
hexagon	1.0	9.041591320072333E-5
navelwort	1.0	9.078529278256922E-5
packers	1.0	9.073586788857636E-5
gann	1.0	9.062896501721951E-5
earmarked	1.0	9.077705156136529E-5
handicrafts	1.0	9.062896501721951E-5
monthlyclassic	1.0	9.080177971488241E-5
bectu	1.0	8.944543828264758E-5
inversnaid	1.0	9.073586788857636E-5
ggoals	1.0	9.080177971488241E-5
sargasso	1.0	9.063717937097797E-5
miscellaneous	1.0	8.550662676357418E-5
jpn	1.0	9.061254077564335E-5
throes	1.0	9.038322487346348E-5
trolley	1.0	8.79430129276229E-5
twoway	1.0	8.880994671403197E-5
wwtjncc	1.0	9.079353550027238E-5
imghttpwwwayfcorgukforumimagessigmarcgifimg	1.0	9.077705156136529E-5
michell	1.0	9.055510278004166E-5
divinity	1.0	8.900756564307967E-5
elkasim	1.0	9.079353550027238E-5
entomological	1.0	9.065361254645998E-5
paddington	1.0	8.814455707360071E-5
meadowland	1.0	9.0711175616836E-5
meshach	1.0	9.076881183625306E-5
northcott	1.0	9.045680687471733E-5
luffield	1.0	9.073586788857636E-5
skeletal	1.0	8.951750067138126E-5
ethnikos	1.0	9.080177971488241E-5
coown	1.0	9.069472156720479E-5
vitor	1.0	9.075233687267448E-5
starship	1.0	9.039139473922083E-5
goaltender	1.0	9.080177971488241E-5
retied	1.0	9.080177971488241E-5
ucce	1.0	9.076881183625306E-5
helmets	1.0	9.067005168192946E-5
wpec	1.0	9.078529278256922E-5
baroque	1.0	8.8660342228921E-5
partially	1.0	8.198737394441256E-5
outlet	1.0	8.073631519457452E-5
vanbrugh	1.0	9.054690329590728E-5
beec	1.0	9.080177971488241E-5
filmmakers	1.0	8.957362952346828E-5
huyton	1.0	9.067005168192946E-5
hasselhoff	1.0	9.064539521392314E-5
ranked	1.0	9.06043308870164E-5
telecom	1.0	8.735150244584206E-5
