WORD	FREQ	JACCARD SIMILARITY
brave	1.0	8.034064433196755E-5
undertakings	1.0	8.811349017534584E-5
sometymes	1.0	8.836264027569144E-5
burmeister	1.0	8.833922261484099E-5
hangin	1.0	8.831581736288969E-5
joi	1.0	8.838607035531201E-5
fosters	1.0	8.802816901408451E-5
lightning	1.0	8.380824673147838E-5
wwwmyspacecomaaronjerome	1.0	8.841732979664014E-5
wednesdayroll	1.0	8.841732979664014E-5
objector	1.0	8.74737578726382E-5
blockparser	1.0	8.841732979664014E-5
pointbypoint	1.0	8.837044892188053E-5
stained	1.0	8.802816901408451E-5
cordhealing	1.0	8.841732979664014E-5
sharpness	1.0	8.725242125468982E-5
shari	1.0	8.830801836806782E-5
relationshipbuilding	1.0	8.838607035531201E-5
negro	1.0	8.716116098666435E-5
wwwmarxorg	1.0	8.841732979664014E-5
pba	1.0	8.835483300936562E-5
releasing	1.0	8.823788934968675E-5
hattrick	1.0	8.715356458079135E-5
rigorously	1.0	8.710801393728223E-5
eis	1.0	8.754267705506434E-5
ilam	1.0	8.821453775582216E-5
wgs	1.0	8.823788934968675E-5
umts	1.0	8.811349017534584E-5
sdlx	1.0	8.837825894829872E-5
tenancies	1.0	8.81057268722467E-5
sixthwicket	1.0	8.841732979664014E-5
proofreader	1.0	8.8261253309797E-5
cohen	1.0	8.504847763225038E-5
easterjuly	1.0	8.841732979664014E-5
indi	1.0	8.832361773538245E-5
circa	1.0	8.418925745074928E-5
prehistory	1.0	8.7070091423596E-5
indierock	1.0	8.829242450997704E-5
dorr	1.0	8.833922261484099E-5
ddmmyyyy	1.0	8.833922261484099E-5
presentationmind	1.0	8.841732979664014E-5
negre	1.0	8.837825894829872E-5
barefootin	1.0	8.840951286358412E-5
spodded	1.0	8.841732979664014E-5
livesley	1.0	8.838607035531201E-5
unfamiliarity	1.0	8.821453775582216E-5
hypotheticals	1.0	8.838607035531201E-5
switching	1.0	8.700948403375968E-5
obesity	1.0	8.351428094204109E-5
sybil	1.0	8.796622097114708E-5
considerably	1.0	7.866582756450598E-5
neat	1.0	8.262414277451872E-5
excitable	1.0	8.807468733485996E-5
godfrey	1.0	8.685079034219212E-5
iterative	1.0	8.742787200559538E-5
shindig	1.0	8.812125484666901E-5
braier	1.0	8.841732979664014E-5
lubricant	1.0	8.729050279329609E-5
nonplace	1.0	8.825346394845998E-5
