WORD	FREQ	JACCARD SIMILARITY
bumpy	1.0	8.946144211844694E-5
jeannette	1.0	8.999280057595392E-5
harper	1.0	8.614748449345279E-5
longawaited	1.0	8.91981090000892E-5
champions	1.0	8.623663332183511E-5
zeim	1.0	9.024456276509341E-5
rickposhotmailcom	1.0	9.024456276509341E-5
timer	1.0	8.650519031141868E-5
unrest	1.0	8.857395925597875E-5
lyons	1.0	8.762705923589205E-5
yuletide	1.0	9.008197459688316E-5
murther	1.0	9.017132551848512E-5
steph	1.0	8.94854586129754E-5
phantomgerry	1.0	9.024456276509341E-5
weekday	1.0	8.676789587852495E-5
glencairn	1.0	9.013881377321075E-5
breviary	1.0	9.013068949977468E-5
fulfilment	1.0	8.692628650904033E-5
sanjala	1.0	9.024456276509341E-5
metaphysics	1.0	8.894423196655697E-5
rhs	1.0	8.791208791208791E-5
simone	1.0	8.93814801573114E-5
heed	1.0	8.798944126704795E-5
liable	1.0	7.665184730952016E-5
bewilder	1.0	8.825346394845998E-5
enounce	1.0	9.024456276509341E-5
reactive	1.0	8.731336767659129E-5
aquasplash	1.0	9.024456276509341E-5
triennial	1.0	8.983111749910169E-5
rfu	1.0	8.993614533681087E-5
useable	1.0	8.935751943526048E-5
newscaster	1.0	9.01631953836444E-5
squashy	1.0	9.018759018759019E-5
rousseau	1.0	8.96941429724639E-5
muhuyuvhoya	1.0	9.024456276509341E-5
pasteurise	1.0	9.014693951140358E-5
commonsselect	1.0	9.023641941887746E-5
kepler	1.0	8.94054537326777E-5
sisterhood	1.0	9.013068949977468E-5
kline	1.0	8.985533291400844E-5
mikieyahoocom	1.0	9.024456276509341E-5
asus	1.0	8.97827258035554E-5
wrytree	1.0	9.019572472264814E-5
micheal	1.0	8.98391878537418E-5
hebe	1.0	9.007386056566384E-5
decadent	1.0	8.939746111210442E-5
bhatti	1.0	9.010632546404758E-5
rey	1.0	8.983111749910169E-5
httpwwwpublicationsparliamentukpacmcmselectc	1.0	9.024456276509341E-5
suitability	1.0	8.510638297872341E-5
