WORD	FREQ	JACCARD SIMILARITY
toblerone	1.0	9.36768149882904E-5
hatherall	1.0	9.374707040404987E-5
jed	1.0	9.338812103100486E-5
jew	1.0	8.661758336942399E-5
vibrations	1.0	9.310120100549297E-5
airguns	1.0	9.358914365933551E-5
lyons	1.0	9.094216078574027E-5
nitrous	1.0	9.324009324009324E-5
maccabiah	1.0	9.372949667260286E-5
gpf	1.0	9.372071227741331E-5
miginiac	1.0	9.376465072667604E-5
shortlength	1.0	9.376465072667604E-5
tymoczko	1.0	9.373828271466067E-5
underestimate	1.0	8.954956568460644E-5
leatherhead	1.0	9.300595238095238E-5
reprint	1.0	8.753501400560224E-5
crumpled	1.0	9.351912466099317E-5
greats	1.0	9.358914365933551E-5
upand	1.0	9.366804046459348E-5
englishness	1.0	9.333582228859437E-5
imaging	1.0	8.411136344520145E-5
directing	1.0	9.296272194849865E-5
crystalclear	1.0	9.34317481080071E-5
sdlt	1.0	9.31619154089808E-5
printers	1.0	9.24898261191269E-5
topeka	1.0	9.365049634763064E-5
programmed	1.0	9.284189026088571E-5
closet	1.0	9.18357975939021E-5
aggleton	1.0	9.372949667260286E-5
rios	1.0	9.352787130564908E-5
pollutioncausing	1.0	9.376465072667604E-5
httpwwwdodgecomtomahawkflashhtml	1.0	9.376465072667604E-5
nazis	1.0	9.176837661741764E-5
goalline	1.0	9.34317481080071E-5
silva	1.0	9.24898261191269E-5
constituent	1.0	8.634832915983076E-5
decliners	1.0	9.376465072667604E-5
pgc	1.0	9.350163627863488E-5
pilkington	1.0	9.298000929800093E-5
alpinismo	1.0	9.376465072667604E-5
boutique	1.0	9.105809506465124E-5
magistrates	1.0	9.102494083378845E-5
commenee	1.0	9.372949667260286E-5
retailcustomer	1.0	9.376465072667604E-5
outdoorindoor	1.0	9.375585974123383E-5
sculthorpe	1.0	9.365926758452749E-5
wmmr	1.0	9.376465072667604E-5
xcel	1.0	9.375585974123383E-5
redistribution	1.0	9.177679882525697E-5
sportseventsnet	1.0	9.373828271466067E-5
caravanning	1.0	9.362419249133976E-5
wingate	1.0	9.324878776575905E-5
mcconaughey	1.0	9.368559115608019E-5
workshops	1.0	8.99685110211426E-5
pgd	1.0	9.321401938851603E-5
tradideria	1.0	9.376465072667604E-5
mumble	1.0	9.289363678588016E-5
kilt	1.0	9.291953168556031E-5
smithkristensencapello	1.0	9.376465072667604E-5
deathdealing	1.0	9.365926758452749E-5
holst	1.0	9.329228472805298E-5
multiplate	1.0	9.372949667260286E-5
genealogical	1.0	9.177679882525697E-5
mcnally	1.0	9.304056568663938E-5
eamoon	1.0	9.376465072667604E-5
nantes	1.0	9.33009889904833E-5
overstock	1.0	9.364172675344133E-5
greenway	1.0	9.33184023889511E-5
intentioned	1.0	9.363295880149813E-5
residency	1.0	9.005763688760806E-5
interalcoholic	1.0	9.376465072667604E-5
wwwaudaxukcom	1.0	9.376465072667604E-5
kielty	1.0	9.374707040404987E-5
muttonchop	1.0	9.375585974123383E-5
hayward	1.0	9.18357975939021E-5
parenttoddler	1.0	9.372071227741331E-5
mears	1.0	9.328358208955224E-5
carrie	1.0	9.126585744273067E-5
tameside	1.0	9.191176470588235E-5
turnstile	1.0	9.315323707498835E-5
testicular	1.0	9.28332714444857E-5
herman	1.0	9.224241306152569E-5
andorra	1.0	9.317059536010435E-5
householder	1.0	9.038322487346348E-5
sportsbookcom	1.0	9.372949667260286E-5
jarge	1.0	9.347541596560104E-5
userspecified	1.0	9.365926758452749E-5
adress	1.0	9.351912466099317E-5
llangollen	1.0	9.268699601445917E-5
brig	1.0	9.304922303898763E-5
rethymnon	1.0	9.352787130564908E-5
philharmonia	1.0	9.344921035417251E-5
nmlbft	1.0	9.376465072667604E-5
eamonn	1.0	9.315323707498835E-5
taichung	1.0	9.371192952862899E-5
downpipe	1.0	9.359790340696369E-5
entrpreneurial	1.0	9.376465072667604E-5
wwwbrltishcarauctionscouk	1.0	9.376465072667604E-5
bombers	1.0	9.353661958656815E-5
slovenian	1.0	9.33009889904833E-5
picasso	1.0	9.220839096357768E-5
obos	1.0	9.376465072667604E-5
kidscan	1.0	9.375585974123383E-5
kosova	1.0	9.36768149882904E-5
birthdays	1.0	9.348415443582313E-5
pannal	1.0	9.373828271466067E-5
fclongmeadow	1.0	9.376465072667604E-5
shane	1.0	9.075233687267448E-5
dictator	1.0	9.163383121048291E-5
subtle	1.0	8.49689863199932E-5
harddriven	1.0	9.374707040404987E-5
handlers	1.0	9.361542782250516E-5
rayban	1.0	9.372071227741331E-5
olympika	1.0	9.376465072667604E-5
bulkhead	1.0	9.310986964618249E-5
mongoose	1.0	9.365049634763064E-5
greengairs	1.0	9.374707040404987E-5
archaeologist	1.0	8.878629139660837E-5
dentists	1.0	9.325748391308402E-5
pgl	1.0	9.337068160597572E-5
yourorg	1.0	9.376465072667604E-5
pesonality	1.0	9.375585974123383E-5
scepticism	1.0	9.192866335723479E-5
roadside	1.0	8.952551477170994E-5
homosexual	1.0	9.022013713460844E-5
skytower	1.0	9.376465072667604E-5
subect	1.0	9.376465072667604E-5
holty	1.0	9.3694368968425E-5
gow	1.0	9.305788200260562E-5
raincoat	1.0	9.341429238673517E-5
zany	1.0	9.337940050424876E-5
engraving	1.0	9.09338910611985E-5
wwwdsportscouk	1.0	9.376465072667604E-5
kino	1.0	9.352787130564908E-5
trainingorientated	1.0	9.376465072667604E-5
flanagans	1.0	9.374707040404987E-5
southerly	1.0	9.266123054114158E-5
discursive	1.0	9.256687957048968E-5
sartorial	1.0	9.358914365933551E-5
serena	1.0	9.287638153617534E-5
pfa	1.0	9.304056568663938E-5
needham	1.0	9.271277582050807E-5
feegan	1.0	9.376465072667604E-5
keyholes	1.0	9.376465072667604E-5
quarterfinal	1.0	9.24129008409574E-5
outtakes	1.0	9.358038555118848E-5
babysit	1.0	9.297136481963555E-5
pique	1.0	9.324878776575905E-5
pew	1.0	9.238728750923873E-5
gentleness	1.0	9.321401938851603E-5
grayed	1.0	9.375585974123383E-5
macau	1.0	9.327488107452663E-5
subpopulation	1.0	9.358038555118848E-5
farsley	1.0	9.374707040404987E-5
sicknote	1.0	9.372071227741331E-5
blasts	1.0	9.371192952862899E-5
atlanta	1.0	9.097525473071325E-5
fractured	1.0	9.242144177449168E-5
nother	1.0	9.360666479453337E-5
nonexclusive	1.0	9.285913269570062E-5
cdalewlvacuk	1.0	9.376465072667604E-5
wan	1.0	9.219138932423711E-5
convincingly	1.0	9.228497600590623E-5
wal	1.0	9.310120100549297E-5
lowspec	1.0	9.376465072667604E-5
montagne	1.0	9.37031484257871E-5
uniquehost	1.0	9.376465072667604E-5
grapple	1.0	9.203865623561896E-5
inaugral	1.0	9.371192952862899E-5
trebaluger	1.0	9.376465072667604E-5
wwwcoachingwalescom	1.0	9.376465072667604E-5
fitnesstraining	1.0	9.375585974123383E-5
argyle	1.0	9.280742459396752E-5
colwell	1.0	9.349289454001496E-5
jeancharles	1.0	9.375585974123383E-5
rappelyea	1.0	9.374707040404987E-5
zindine	1.0	9.376465072667604E-5
mixup	1.0	9.332711152589827E-5
pfs	1.0	9.332711152589827E-5
fourtimes	1.0	9.375585974123383E-5
patrinos	1.0	9.376465072667604E-5
mussolini	1.0	9.311853990129435E-5
alignment	1.0	8.684324793747286E-5
poultry	1.0	8.925383791503035E-5
invitational	1.0	9.344921035417251E-5
haggs	1.0	9.372949667260286E-5
hymns	1.0	9.338812103100486E-5
shipton	1.0	9.330969487729775E-5
cdoreepiranhagroupcom	1.0	9.376465072667604E-5
pfi	1.0	8.990380293086398E-5
cutthroat	1.0	9.348415443582313E-5
hirwaun	1.0	9.375585974123383E-5
ladieschildren	1.0	9.376465072667604E-5
camberwell	1.0	9.297136481963555E-5
lubricate	1.0	9.269558769002595E-5
wwweasyoddscom	1.0	9.376465072667604E-5
tallinn	1.0	9.336196433572963E-5
wwwbetonsportscom	1.0	9.376465072667604E-5
hopeless	1.0	9.159186664224217E-5
hallshe	1.0	9.376465072667604E-5
peerreviewed	1.0	9.233610341643582E-5
futsal	1.0	9.363295880149813E-5
ritz	1.0	9.30925339787749E-5
latemodern	1.0	9.373828271466067E-5
encarta	1.0	9.358914365933551E-5
weighttrain	1.0	9.36768149882904E-5
midulster	1.0	9.300595238095238E-5
fdscsc	1.0	9.376465072667604E-5
nare	1.0	9.373828271466067E-5
prune	1.0	9.044862518089724E-5
pea	1.0	8.950948800572861E-5
vogts	1.0	9.363295880149813E-5
colombo	1.0	9.29022668153103E-5
morton	1.0	9.138261902586128E-5
inyourface	1.0	9.362419249133976E-5
httpwwwapsportcom	1.0	9.376465072667604E-5
maine	1.0	9.231905465288036E-5
nflsen	1.0	9.376465072667604E-5
gillmore	1.0	9.375585974123383E-5
primrose	1.0	9.19793966151582E-5
dorneywood	1.0	9.374707040404987E-5
neky	1.0	9.376465072667604E-5
russo	1.0	9.351912466099317E-5
yoal	1.0	9.373828271466067E-5
cameratracking	1.0	9.375585974123383E-5
illes	1.0	9.373828271466067E-5
juniorschool	1.0	9.376465072667604E-5
tuileries	1.0	9.374707040404987E-5
marxist	1.0	9.095043201455206E-5
brdc	1.0	9.341429238673517E-5
megalithic	1.0	9.308386856557759E-5
existent	1.0	9.322270905192505E-5
partcipated	1.0	9.376465072667604E-5
ethnically	1.0	9.320533134495293E-5
sissy	1.0	9.359790340696369E-5
irene	1.0	9.142439202779301E-5
nars	1.0	9.337940050424876E-5
wwwwinwinspreadbettingcouk	1.0	9.376465072667604E-5
cairo	1.0	9.113278046113187E-5
fibrotic	1.0	9.372071227741331E-5
leacy	1.0	9.375585974123383E-5
bucks	1.0	9.09008271975275E-5
evacuate	1.0	9.075233687267448E-5
calendula	1.0	9.357162908206232E-5
dystrophy	1.0	9.313588525658937E-5
mcdowall	1.0	9.352787130564908E-5
libertine	1.0	9.345794392523364E-5
finned	1.0	9.372071227741331E-5
chatburn	1.0	9.348415443582313E-5
rita	1.0	9.131586156515387E-5
wai	1.0	9.298865538404315E-5
ertificate	1.0	9.376465072667604E-5
llanelli	1.0	9.30925339787749E-5
respectability	1.0	9.306654257794323E-5
httpclinicalmassagenet	1.0	9.376465072667604E-5
nell	1.0	9.305788200260562E-5
leach	1.0	9.187798603454613E-5
earner	1.0	9.191176470588235E-5
wac	1.0	9.33184023889511E-5
freefungamefreefungame	1.0	9.376465072667604E-5
handout	1.0	9.022827754218172E-5
wad	1.0	9.310120100549297E-5
opposing	1.0	9.308386856557759E-5
plen	1.0	9.375585974123383E-5
kellet	1.0	9.36768149882904E-5
ueyama	1.0	9.376465072667604E-5
goossensmatthewstinseau	1.0	9.376465072667604E-5
maximised	1.0	9.376465072667604E-5
arty	1.0	9.29368029739777E-5
positional	1.0	9.275577404693442E-5
limousines	1.0	9.365926758452749E-5
brax	1.0	9.375585974123383E-5
informally	1.0	9.131586156515387E-5
dunstablians	1.0	9.373828271466067E-5
gsg	1.0	9.349289454001496E-5
orioles	1.0	9.366804046459348E-5
unspoiled	1.0	9.301460329271696E-5
hahn	1.0	9.338812103100486E-5
kelley	1.0	9.311853990129435E-5
firstyears	1.0	9.375585974123383E-5
solvent	1.0	9.049773755656108E-5
trench	1.0	8.823788934968675E-5
myspace	1.0	9.200478424878094E-5
anywayxd	1.0	9.376465072667604E-5
popin	1.0	9.36768149882904E-5
brag	1.0	9.280742459396752E-5
flourist	1.0	9.376465072667604E-5
gilwell	1.0	9.326618168252192E-5
crimecutting	1.0	9.376465072667604E-5
theraphy	1.0	9.375585974123383E-5
fict	1.0	9.376465072667604E-5
neva	1.0	9.335324869305452E-5
pes	1.0	9.312721177127957E-5
woos	1.0	9.376465072667604E-5
familly	1.0	9.372949667260286E-5
reversi	1.0	9.356287425149701E-5
unclimbed	1.0	9.359790340696369E-5
arte	1.0	9.322270905192505E-5
diligence	1.0	9.126585744273067E-5
villas	1.0	9.235315847801995E-5
activies	1.0	9.372071227741331E-5
wessels	1.0	9.36768149882904E-5
gravitydefy	1.0	9.37031484257871E-5
dacio	1.0	9.376465072667604E-5
formica	1.0	9.334453467749463E-5
chattanooga	1.0	9.363295880149813E-5
harefield	1.0	9.346667912889055E-5
pee	1.0	9.285051067780872E-5
bookmark	1.0	9.000090000900009E-5
flair	1.0	9.13575735428467E-5
monoblock	1.0	9.368559115608019E-5
pel	1.0	9.356287425149701E-5
recapture	1.0	9.259259259259259E-5
agegroup	1.0	9.34317481080071E-5
dartmouth	1.0	9.228497600590623E-5
mllerekblom	1.0	9.376465072667604E-5
wwwvoiceonlinenetcontent	1.0	9.376465072667604E-5
radiographer	1.0	9.28332714444857E-5
caravanettes	1.0	9.376465072667604E-5
centrecourt	1.0	9.374707040404987E-5
bharadia	1.0	9.376465072667604E-5
fingerposts	1.0	9.373828271466067E-5
chewing	1.0	9.365049634763064E-5
httpwwwnasdukcom	1.0	9.376465072667604E-5
decode	1.0	9.152480322167308E-5
arse	1.0	9.149967975112087E-5
betw	1.0	9.373828271466067E-5
bracknell	1.0	9.246417013407305E-5
httpwwwjaguarcomuk	1.0	9.376465072667604E-5
advatage	1.0	9.375585974123383E-5
investors	1.0	9.227646027498385E-5
latitude	1.0	8.658758334054896E-5
wong	1.0	9.200478424878094E-5
ooficials	1.0	9.376465072667604E-5
gardiner	1.0	9.222539887485013E-5
celllike	1.0	9.373828271466067E-5
inconclusive	1.0	9.300595238095238E-5
traincycle	1.0	9.376465072667604E-5
jgordon	1.0	9.376465072667604E-5
