WORD	FREQ	JACCARD SIMILARITY
allamki	1.0	8.805917576611483E-5
brave	1.0	8.004482510205715E-5
selfposed	1.0	8.805917576611483E-5
efface	1.0	8.786574114752658E-5
computerise	1.0	8.51861316977596E-5
poppins	1.0	8.775778850372971E-5
nonreaders	1.0	8.802816901408451E-5
sanders	1.0	8.628127696289905E-5
decisive	1.0	8.433125316242199E-5
ashraf	1.0	8.798169980644026E-5
treason	1.0	8.69187309865276E-5
jen	1.0	8.685833405715279E-5
dewulf	1.0	8.805142203046579E-5
beaton	1.0	8.773469029654326E-5
boys	1.0	8.062565508344755E-5
capitalising	1.0	8.802816901408451E-5
swine	1.0	8.729050279329609E-5
selffinance	1.0	8.762705923589205E-5
eckersley	1.0	8.793527963418924E-5
margaretlouise	1.0	8.805142203046579E-5
tuc	1.0	8.24334350012365E-5
gymnasium	1.0	8.652764558276369E-5
scienze	1.0	8.80126738250308E-5
sympathise	1.0	8.693384334521429E-5
fullblown	1.0	8.754267705506434E-5
flatsitting	1.0	8.805917576611483E-5
einsatz	1.0	8.804366966015144E-5
fragmentary	1.0	8.733624454148471E-5
trafalgar	1.0	8.538251366120219E-5
webmasterpadicom	1.0	8.805917576611483E-5
preadolescent	1.0	8.800492827598346E-5
corbyn	1.0	8.764241893076249E-5
hostbtinternetcom	1.0	8.724480893386844E-5
fireman	1.0	8.622919720617402E-5
damnedest	1.0	8.803591865481116E-5
haigh	1.0	8.761170492377782E-5
zehra	1.0	8.802816901408451E-5
jelle	1.0	8.803591865481116E-5
studyweb	1.0	8.805917576611483E-5
brooke	1.0	8.643789437289307E-5
hostage	1.0	8.59697386519945E-5
fanny	1.0	8.71839581517001E-5
anunnaki	1.0	8.802042073761112E-5
farmhouse	1.0	8.300132802124833E-5
cockerill	1.0	8.787346221441125E-5
bobble	1.0	8.781173164734808E-5
sentry	1.0	8.754267705506434E-5
walsila	1.0	8.805917576611483E-5
bodies	1.0	8.504124500382685E-5
txt	1.0	8.71763577717723E-5
morse	1.0	8.64677907479464E-5
murree	1.0	8.805142203046579E-5
chimpanzee	1.0	8.700191404210893E-5
atma	1.0	8.798944126704795E-5
inconvenience	1.0	8.443806467955755E-5
laud	1.0	8.698677800974252E-5
europride	1.0	8.800492827598346E-5
wwwchannelcomlearning	1.0	8.805142203046579E-5
wingate	1.0	8.760402978537013E-5
mcgough	1.0	8.790436005625879E-5
draadded	1.0	8.805917576611483E-5
zawojewski	1.0	8.805917576611483E-5
methuen	1.0	8.748906386701662E-5
inability	1.0	8.310479514667997E-5
letch	1.0	8.802042073761112E-5
stack	1.0	7.934618741569468E-5
holst	1.0	8.764241893076249E-5
jabu	1.0	8.802816901408451E-5
wilton	1.0	8.704735376044568E-5
