WORD	FREQ	JACCARD SIMILARITY
newcomer	1.0	8.836264027569144E-5
newcomen	1.0	9.310120100549297E-5
bravo	1.0	9.225943352707814E-5
bexleyheath	1.0	9.281603861147207E-5
salient	1.0	9.18526683200147E-5
infolink	1.0	9.340556697179151E-5
wwwnhscom	1.0	9.341429238673517E-5
europeo	1.0	9.337940050424876E-5
suzy	1.0	9.27213722763097E-5
numismatics	1.0	9.333582228859437E-5
googlecomtalk	1.0	9.341429238673517E-5
malloy	1.0	9.324009324009324E-5
applicationthe	1.0	9.341429238673517E-5
calendars	1.0	9.261831990367695E-5
ctaxsouthendgovuk	1.0	9.341429238673517E-5
forfeit	1.0	9.181893306399779E-5
jonzes	1.0	9.341429238673517E-5
racetrack	1.0	9.300595238095238E-5
highlycongested	1.0	9.341429238673517E-5
southview	1.0	9.332711152589827E-5
bosworth	1.0	9.25240562546262E-5
salman	1.0	9.289363678588016E-5
milesthe	1.0	9.340556697179151E-5
scribner	1.0	9.31619154089808E-5
sloping	1.0	9.179364787956673E-5
anlaimhrig	1.0	9.341429238673517E-5
compulsary	1.0	9.33184023889511E-5
vasey	1.0	9.322270905192505E-5
rosovske	1.0	9.341429238673517E-5
trials	1.0	8.976660682226212E-5
wwwscholarshipsedacuk	1.0	9.341429238673517E-5
computershare	1.0	9.338812103100486E-5
roulston	1.0	9.337940050424876E-5
valuables	1.0	9.334453467749463E-5
iteration	1.0	9.123255177447313E-5
kofi	1.0	9.230201218386561E-5
morse	1.0	9.16254352208173E-5
cwgl	1.0	9.337068160597572E-5
changed	1.0	9.086778736937755E-5
adviceguide	1.0	9.333582228859437E-5
hyderabad	1.0	9.315323707498835E-5
pamby	1.0	9.337940050424876E-5
backfall	1.0	9.341429238673517E-5
infofriezeartfaircom	1.0	9.341429238673517E-5
pls	1.0	9.235315847801995E-5
neta	1.0	9.327488107452663E-5
affluent	1.0	9.1441111923921E-5
definite	1.0	8.695652173913044E-5
stagnant	1.0	9.260116677470137E-5
rockolaconcertstalkcom	1.0	9.340556697179151E-5
shopcountrysidecaravanscom	1.0	9.341429238673517E-5
misrepresentations	1.0	9.340556697179151E-5
beingand	1.0	9.341429238673517E-5
bcomerfordiolie	1.0	9.341429238673517E-5
barefoot	1.0	9.244707405010632E-5
egg	1.0	7.453786523553965E-5
balearic	1.0	9.274717121127805E-5
reluctance	1.0	9.053870529651426E-5
vxt	1.0	9.337068160597572E-5
trialled	1.0	9.255831173639393E-5
archery	1.0	9.242998428690267E-5
medianacroorguk	1.0	9.341429238673517E-5
niver	1.0	9.341429238673517E-5
wwwhmrcgovuktaxcreditsdowntimehtm	1.0	9.341429238673517E-5
sdne	1.0	9.341429238673517E-5
ness	1.0	9.10995718320124E-5
kindu	1.0	9.337940050424876E-5
balliol	1.0	9.100837277029486E-5
replenishment	1.0	9.305788200260562E-5
instaffs	1.0	9.326618168252192E-5
ply	1.0	9.152480322167308E-5
wwwsurgeryoxacuk	1.0	9.341429238673517E-5
notebook	1.0	8.788890841975742E-5
tudor	1.0	8.884150675195451E-5
hoggett	1.0	9.329228472805298E-5
printwize	1.0	9.341429238673517E-5
squad	1.0	7.863489816780687E-5
landlords	1.0	9.224241306152569E-5
