WORD	FREQ	JACCARD SIMILARITY
winrar	1.0	9.080177971488241E-5
harper	1.0	8.686587908269631E-5
microloan	1.0	9.102494083378845E-5
ukorgogsadaiclienttoolkitactivityexamples	1.0	9.103322712790169E-5
dewulf	1.0	9.102494083378845E-5
relied	1.0	9.101665604805679E-5
esru	1.0	9.102494083378845E-5
nonadministrative	1.0	9.101665604805679E-5
helzi	1.0	9.103322712790169E-5
naturalreader	1.0	9.102494083378845E-5
resharper	1.0	9.103322712790169E-5
courteous	1.0	8.943743851176102E-5
spriggs	1.0	9.097525473071325E-5
sdmi	1.0	9.100837277029486E-5
justin	1.0	8.640801866413204E-5
responsiveness	1.0	8.950147677436678E-5
esotericism	1.0	9.097525473071325E-5
weekday	1.0	8.749671887304226E-5
pipefitting	1.0	9.102494083378845E-5
fluidssoft	1.0	9.103322712790169E-5
socialize	1.0	9.064539521392314E-5
waveguides	1.0	9.102494083378845E-5
runscanner	1.0	9.103322712790169E-5
kenji	1.0	9.097525473071325E-5
mentalist	1.0	9.09008271975275E-5
latchways	1.0	9.103322712790169E-5
mayo	1.0	8.96780557797507E-5
beret	1.0	9.053870529651426E-5
mentalism	1.0	9.073586788857636E-5
bolognini	1.0	9.102494083378845E-5
postdamage	1.0	9.103322712790169E-5
parsing	1.0	9.085127646043427E-5
kamran	1.0	9.086778736937755E-5
intravalidation	1.0	9.101665604805679E-5
crinan	1.0	9.096697898662786E-5
coreutils	1.0	9.103322712790169E-5
youre	1.0	8.562376915831835E-5
cadillaccom	1.0	9.102494083378845E-5
bdftopcf	1.0	9.1000091000091E-5
workgroups	1.0	9.066183136899366E-5
crossselling	1.0	9.09090909090909E-5
exchangeable	1.0	9.082652134423252E-5
shooter	1.0	8.894423196655697E-5
cadcalcs	1.0	9.100837277029486E-5
costud	1.0	9.103322712790169E-5
saidalso	1.0	9.103322712790169E-5
witty	1.0	8.79430129276229E-5
packagehttpmusicmsncommusicnewthisweekhot	1.0	9.103322712790169E-5
dmt	1.0	9.088430428065073E-5
haider	1.0	9.088430428065073E-5
worksop	1.0	9.044044496698923E-5
maxi	1.0	8.987956138774042E-5
httpwwwstablewisecom	1.0	9.103322712790169E-5
dmr	1.0	9.081827263645445E-5
seasons	1.0	8.946944618412812E-5
akron	1.0	9.095870474804439E-5
gproms	1.0	9.103322712790169E-5
securityrelated	1.0	9.094216078574027E-5
dmx	1.0	9.044862518089724E-5
clon	1.0	8.720676724513822E-5
humanistic	1.0	9.017132551848512E-5
holus	1.0	9.103322712790169E-5
workwear	1.0	9.09008271975275E-5
icaptureit	1.0	9.103322712790169E-5
axent	1.0	9.102494083378845E-5
httpwwwbbccoukeducationbetsie	1.0	9.103322712790169E-5
shereen	1.0	9.091735612328394E-5
sqltranslator	1.0	9.103322712790169E-5
embracing	1.0	9.095870474804439E-5
httpwwwmoorlandforumorguk	1.0	9.103322712790169E-5
dmy	1.0	9.09338910611985E-5
davew	1.0	9.092562284051645E-5
onelook	1.0	9.101665604805679E-5
maintable	1.0	9.102494083378845E-5
dnd	1.0	9.092562284051645E-5
glasswork	1.0	9.091735612328394E-5
georg	1.0	9.029345372460496E-5
hardening	1.0	9.054690329590728E-5
saefty	1.0	9.103322712790169E-5
uportal	1.0	9.1000091000091E-5
lexis	1.0	9.055510278004166E-5
dnv	1.0	9.083477155054956E-5
natsem	1.0	9.080177971488241E-5
assassin	1.0	8.950948800572861E-5
archie	1.0	8.956560680698612E-5
xcad	1.0	9.099181073703367E-5
lastminutecom	1.0	9.084302325581395E-5
pretheoretical	1.0	9.103322712790169E-5
leaver	1.0	8.898380494749955E-5
lockwood	1.0	9.023641941887746E-5
hieroglyphics	1.0	9.091735612328394E-5
marlowe	1.0	9.009009009009009E-5
habilis	1.0	9.095870474804439E-5
excite	1.0	8.21962847279303E-5
smartwhois	1.0	9.103322712790169E-5
perceptive	1.0	9.004952723998198E-5
navigations	1.0	9.089256498818396E-5
westwood	1.0	8.965393580778196E-5
wwwcharcroftcom	1.0	9.103322712790169E-5
catia	1.0	9.096697898662786E-5
sportex	1.0	9.1000091000091E-5
doe	1.0	8.850340738118418E-5
voplot	1.0	9.101665604805679E-5
byegone	1.0	9.103322712790169E-5
intolerance	1.0	8.896005693443644E-5
webmail	1.0	8.991188635137565E-5
surgeons	1.0	8.91981090000892E-5
wonders	1.0	9.03342366757001E-5
wwwgpsessende	1.0	9.103322712790169E-5
tamecrest	1.0	9.103322712790169E-5
clot	1.0	8.902341315766046E-5
trillium	1.0	9.081002542680712E-5
cubic	1.0	8.890469416785207E-5
introductions	1.0	9.062075215224287E-5
supposedly	1.0	8.638562543192812E-5
marrow	1.0	8.867606632969761E-5
artificialcell	1.0	9.103322712790169E-5
animatronic	1.0	9.099181073703367E-5
kundu	1.0	9.1000091000091E-5
nondiscriminatory	1.0	9.05961224859576E-5
dtb	1.0	9.09008271975275E-5
juror	1.0	9.042408897730355E-5
goodfunctional	1.0	9.103322712790169E-5
formability	1.0	9.097525473071325E-5
archaeopteryx	1.0	9.083477155054956E-5
packs	1.0	8.942944017170452E-5
collecting	1.0	8.909479686386316E-5
slovak	1.0	9.030160736861116E-5
schraeder	1.0	9.09835319807115E-5
manhood	1.0	9.047317470370036E-5
opinionated	1.0	9.049773755656108E-5
existent	1.0	9.052231375033946E-5
trustcacerts	1.0	9.1000091000091E-5
borosilicate	1.0	9.101665604805679E-5
caseload	1.0	9.014693951140358E-5
dsat	1.0	9.09090909090909E-5
messager	1.0	9.101665604805679E-5
clog	1.0	8.928571428571429E-5
programmme	1.0	9.102494083378845E-5
manx	1.0	8.985533291400844E-5
conglomerate	1.0	9.000900090009E-5
ozonic	1.0	9.101665604805679E-5
fatiguerelated	1.0	9.102494083378845E-5
proudly	1.0	8.823010411152286E-5
avocet	1.0	9.0711175616836E-5
httpwwwmimasacukdescartes	1.0	9.103322712790169E-5
dub	1.0	8.71839581517001E-5
esearch	1.0	9.095870474804439E-5
bayonet	1.0	9.035872413481521E-5
dud	1.0	9.062896501721951E-5
mirnet	1.0	9.103322712790169E-5
webapptoolsink	1.0	9.103322712790169E-5
commandments	1.0	9.094216078574027E-5
mcpsprs	1.0	9.091735612328394E-5
antiterrorist	1.0	9.057150620414818E-5
nationstate	1.0	9.030160736861116E-5
trouser	1.0	8.613264427217915E-5
canary	1.0	8.706251088281386E-5
estrange	1.0	9.044862518089724E-5
freddy	1.0	8.984725965858041E-5
clockwork	1.0	9.000900090009E-5
antiterrorism	1.0	8.99685110211426E-5
stateful	1.0	9.09338910611985E-5
johndayonecouk	1.0	9.103322712790169E-5
technomathematical	1.0	9.103322712790169E-5
textsize	1.0	9.102494083378845E-5
swstab	1.0	9.095870474804439E-5
ropework	1.0	9.095043201455206E-5
dsei	1.0	9.048136083966703E-5
hotly	1.0	9.020386072523904E-5
rince	1.0	9.101665604805679E-5
unbeknown	1.0	9.082652134423252E-5
watched	1.0	9.078529278256922E-5
ambitions	1.0	9.091735612328394E-5
behaviours	1.0	9.082652134423252E-5
solidfontsize	1.0	9.100837277029486E-5
gwynne	1.0	9.053870529651426E-5
aligning	1.0	9.095870474804439E-5
messages	1.0	8.745080891998251E-5
uknet	1.0	9.09835319807115E-5
musica	1.0	9.057150620414818E-5
bracknell	1.0	8.98069151324652E-5
taguchi	1.0	9.103322712790169E-5
pedal	1.0	8.641548565502938E-5
hackers	1.0	9.095043201455206E-5
processingediting	1.0	9.103322712790169E-5
hotls	1.0	9.103322712790169E-5
debuggercompilereditor	1.0	9.103322712790169E-5
mainstay	1.0	9.002520705797624E-5
applicationsan	1.0	9.103322712790169E-5
lutheran	1.0	9.039139473922083E-5
reinvigorate	1.0	9.034239768723462E-5
peroxisome	1.0	9.095870474804439E-5
prettyrockcom	1.0	9.103322712790169E-5
dsdm	1.0	9.094216078574027E-5
resuscitation	1.0	8.962179602079225E-5
dsm	1.0	9.085127646043427E-5
stegosaurus	1.0	9.101665604805679E-5
creanor	1.0	9.095043201455206E-5
conyers	1.0	9.087604507451835E-5
watcher	1.0	8.931761343336905E-5
catamaran	1.0	9.053870529651426E-5
boardroom	1.0	8.954154727793696E-5
raube	1.0	9.101665604805679E-5
openurl	1.0	9.083477155054956E-5
assertiveness	1.0	9.034239768723462E-5
closeddoor	1.0	9.09338910611985E-5
delimiters	1.0	9.09338910611985E-5
embankment	1.0	8.809796493700995E-5
accessibilityprompt	1.0	9.103322712790169E-5
gullible	1.0	9.044044496698923E-5
hecua	1.0	9.101665604805679E-5
watches	1.0	9.05961224859576E-5
guis	1.0	9.09008271975275E-5
streetworksutilities	1.0	9.103322712790169E-5
maritimeexodus	1.0	9.092562284051645E-5
interactiv	1.0	9.103322712790169E-5
gripclean	1.0	9.103322712790169E-5
esds	1.0	9.020386072523904E-5
autoconf	1.0	9.084302325581395E-5
mullet	1.0	9.041591320072333E-5
wsresourcereporties	1.0	9.103322712790169E-5
sceptical	1.0	8.82223202470225E-5
compel	1.0	8.643042350907519E-5
unemployed	1.0	8.47314014573801E-5
semitechnical	1.0	9.103322712790169E-5
allround	1.0	8.954956568460644E-5
effie	1.0	9.087604507451835E-5
ecert	1.0	9.1000091000091E-5
hardwin	1.0	9.0711175616836E-5
novnov	1.0	9.094216078574027E-5
merrill	1.0	9.025270758122743E-5
rollaround	1.0	9.102494083378845E-5
httpwwwdiamondtechcom	1.0	9.103322712790169E-5
militate	1.0	9.068649678062936E-5
giles	1.0	8.514261387824607E-5
dia	1.0	8.989572096368213E-5
ilrtdeveloped	1.0	9.103322712790169E-5
bipolar	1.0	9.014693951140358E-5
elasticity	1.0	8.983111749910169E-5
male	1.0	6.407791874919902E-5
hamlets	1.0	8.798169980644026E-5
leadhills	1.0	9.082652134423252E-5
hitchhikers	1.0	9.09090909090909E-5
beads	1.0	9.085953116481919E-5
societal	1.0	8.942944017170452E-5
flavour	1.0	7.941550190597205E-5
dhp	1.0	9.092562284051645E-5
scarab	1.0	9.09008271975275E-5
multipleuse	1.0	9.1000091000091E-5
joinery	1.0	9.025270758122743E-5
dhl	1.0	9.03750564844103E-5
causeandeffect	1.0	9.096697898662786E-5
intl	1.0	9.070294784580499E-5
requestsqueries	1.0	9.103322712790169E-5
linz	1.0	9.080177971488241E-5
wellindexed	1.0	9.103322712790169E-5
projectscentres	1.0	9.06043308870164E-5
dex	1.0	9.085953116481919E-5
escalate	1.0	8.798169980644026E-5
implified	1.0	9.103322712790169E-5
schemes	1.0	8.666262241095416E-5
