WORD	FREQ	JACCARD SIMILARITY
zeit	1.0	8.812902088657794E-5
treason	1.0	8.71763577717723E-5
harcamlow	1.0	8.831581736288969E-5
jilly	1.0	8.809020436927414E-5
mevagisse	1.0	8.832361773538245E-5
smallroad	1.0	8.832361773538245E-5
affectionate	1.0	8.694896095991653E-5
nissenbaum	1.0	8.828462964597864E-5
creole	1.0	8.784258608573436E-5
crossacres	1.0	8.831581736288969E-5
sovereignty	1.0	8.453799983092401E-5
novels	1.0	8.77963125548727E-5
justin	1.0	8.396305625524769E-5
goriska	1.0	8.832361773538245E-5
environmentally	1.0	8.231130134167421E-5
unstone	1.0	8.831581736288969E-5
rywlyfnyd	1.0	8.832361773538245E-5
corracles	1.0	8.832361773538245E-5
reculvers	1.0	8.830801836806782E-5
downes	1.0	8.763473841030585E-5
barbeque	1.0	8.735150244584206E-5
listcommentsandersosbornecom	1.0	8.832361773538245E-5
sonatas	1.0	8.819119851838787E-5
morristhenude	1.0	8.832361773538245E-5
grampian	1.0	8.695652173913044E-5
chble	1.0	8.830022075055188E-5
excitable	1.0	8.798169980644026E-5
singlehand	1.0	8.829242450997704E-5
ojays	1.0	8.829242450997704E-5
mockbeggar	1.0	8.831581736288969E-5
httpdspacedialpipexcomtownsquareacburgheadhtm	1.0	8.832361773538245E-5
franklin	1.0	8.528057308545113E-5
toolmanager	1.0	8.832361773538245E-5
makeshift	1.0	8.761938140716727E-5
carbide	1.0	8.769622029290537E-5
kona	1.0	8.825346394845998E-5
conform	1.0	8.14265939255761E-5
poiares	1.0	8.830801836806782E-5
rhandirmwyn	1.0	8.831581736288969E-5
framboise	1.0	8.820675663755844E-5
irrelevant	1.0	8.311170212765957E-5
useable	1.0	8.74737578726382E-5
brownrigg	1.0	8.827683615819209E-5
unrated	1.0	8.712319219376198E-5
password	1.0	6.488871585231328E-5
kherson	1.0	8.830022075055188E-5
deepen	1.0	8.454514710855597E-5
killingholme	1.0	8.830022075055188E-5
sibiu	1.0	8.824567596187787E-5
taillwyd	1.0	8.824567596187787E-5
gordale	1.0	8.830022075055188E-5
subvillages	1.0	8.832361773538245E-5
barnett	1.0	8.591803419537761E-5
echoupals	1.0	8.832361773538245E-5
conservatorywhilst	1.0	8.832361773538245E-5
unitary	1.0	8.617718028266115E-5
garner	1.0	8.59697386519945E-5
bilharizia	1.0	8.831581736288969E-5
hurstwood	1.0	8.827683615819209E-5
americas	1.0	8.787346221441125E-5
raffle	1.0	8.530967411704488E-5
overbridge	1.0	8.816009873931059E-5
dodgems	1.0	8.826904404625298E-5
colossus	1.0	8.787346221441125E-5
initiatives	1.0	8.619203585588692E-5
horham	1.0	8.830022075055188E-5
emptying	1.0	8.8261253309797E-5
proverb	1.0	8.731336767659129E-5
trafficfree	1.0	8.813678829543451E-5
duststormlike	1.0	8.832361773538245E-5
penne	1.0	8.818342151675486E-5
acclivity	1.0	8.830022075055188E-5
newtonjohn	1.0	8.8261253309797E-5
biddul	1.0	8.832361773538245E-5
listerhill	1.0	8.832361773538245E-5
workman	1.0	8.6244070720138E-5
mummer	1.0	8.82223202470225E-5
landridge	1.0	8.832361773538245E-5
defra	1.0	8.124796880077999E-5
highpolicy	1.0	8.832361773538245E-5
dissertation	1.0	7.748334108166744E-5
agen	1.0	8.818342151675486E-5
whitebilled	1.0	8.832361773538245E-5
mytchett	1.0	8.829242450997704E-5
tyrolean	1.0	8.819119851838787E-5
freiherr	1.0	8.826904404625298E-5
convincingly	1.0	8.700948403375968E-5
wellposition	1.0	8.826904404625298E-5
manorbier	1.0	8.828462964597864E-5
pomeroy	1.0	8.814455707360071E-5
inaugral	1.0	8.827683615819209E-5
maloney	1.0	8.791208791208791E-5
aldcliffe	1.0	8.830022075055188E-5
timeworn	1.0	8.828462964597864E-5
valiant	1.0	8.73591333973967E-5
barbary	1.0	8.793527963418924E-5
perton	1.0	8.830022075055188E-5
awfox	1.0	8.832361773538245E-5
reynaldo	1.0	8.826904404625298E-5
httptmsynwcaskcomrtanshbuidd	1.0	8.830022075055188E-5
nosterfield	1.0	8.830022075055188E-5
equiv	1.0	8.817564588660612E-5
brasso	1.0	8.821453775582216E-5
aulin	1.0	8.829242450997704E-5
emplacement	1.0	8.750437521876094E-5
exc	1.0	8.788118463836892E-5
tiaras	1.0	8.827683615819209E-5
shorne	1.0	8.826904404625298E-5
shavenheaded	1.0	8.828462964597864E-5
mesnerkeller	1.0	8.832361773538245E-5
aleksandrovich	1.0	8.832361773538245E-5
pilchard	1.0	8.804366966015144E-5
degaldoruwa	1.0	8.832361773538245E-5
defoe	1.0	8.790436005625879E-5
silicon	1.0	8.537522410996328E-5
mallerstang	1.0	8.830022075055188E-5
aleksandar	1.0	8.826904404625298E-5
elmet	1.0	8.816009873931059E-5
attachment	1.0	7.832080200501253E-5
heyday	1.0	8.73591333973967E-5
bioware	1.0	8.828462964597864E-5
informatics	1.0	8.600670852326481E-5
boeing	1.0	8.641548565502938E-5
butte	1.0	8.821453775582216E-5
vivellii	1.0	8.832361773538245E-5
distributor	1.0	8.160600620205648E-5
sible	1.0	8.8261253309797E-5
warhurst	1.0	8.826904404625298E-5
mardin	1.0	8.827683615819209E-5
translink	1.0	8.771929824561403E-5
eza	1.0	8.832361773538245E-5
slavoljub	1.0	8.832361773538245E-5
kachchh	1.0	8.830801836806782E-5
plimothonweb	1.0	8.832361773538245E-5
forres	1.0	8.807468733485996E-5
bimbo	1.0	8.813678829543451E-5
plews	1.0	8.826904404625298E-5
lucille	1.0	8.809796493700995E-5
auschwitz	1.0	8.729050279329609E-5
wwwbrookesacukaccommodation	1.0	8.832361773538245E-5
repel	1.0	8.688097306689835E-5
thoughtless	1.0	8.80126738250308E-5
brownie	1.0	8.74355163067238E-5
lanteglosbyfowey	1.0	8.832361773538245E-5
ratrun	1.0	8.830022075055188E-5
submerge	1.0	8.732861758798358E-5
brooklands	1.0	8.739730816290858E-5
lushly	1.0	8.827683615819209E-5
facilitiesservices	1.0	8.830801836806782E-5
courtship	1.0	8.775008775008775E-5
grief	1.0	8.401949252226517E-5
tonycocksnildramcouk	1.0	8.832361773538245E-5
crdito	1.0	8.830022075055188E-5
canker	1.0	8.812125484666901E-5
decapitate	1.0	8.802816901408451E-5
brislington	1.0	8.816009873931059E-5
