WORD	FREQ	JACCARD SIMILARITY
newcomer	1.0	8.738967054094207E-5
uninstalldirroot	1.0	9.232757824762257E-5
insinuate	1.0	9.192866335723479E-5
soundinduced	1.0	9.231905465288036E-5
jeb	1.0	9.206407659731172E-5
monoclinic	1.0	9.227646027498385E-5
foglamp	1.0	9.231053263177328E-5
jfk	1.0	9.164222873900293E-5
michaela	1.0	9.203018590097552E-5
entrancesexits	1.0	9.231053263177328E-5
subminiature	1.0	9.229349330872173E-5
janners	1.0	9.232757824762257E-5
gracefully	1.0	9.151642719868216E-5
fractured	1.0	9.102494083378845E-5
shark	1.0	8.652015919709292E-5
alistair	1.0	8.859750155045628E-5
designa	1.0	9.232757824762257E-5
scarce	1.0	8.819897689186806E-5
dsysisunix	1.0	9.231053263177328E-5
livingporch	1.0	9.231905465288036E-5
justin	1.0	8.757334267448988E-5
overbearing	1.0	9.18357975939021E-5
environmentally	1.0	8.577800651912849E-5
wwwbusinesscomdirectorymediaandentertainmentfilmdistributorscompanyprofilesasp	1.0	9.232757824762257E-5
brizes	1.0	9.232757824762257E-5
simkin	1.0	9.226794611551947E-5
giannineo	1.0	9.225943352707814E-5
databasezip	1.0	9.231905465288036E-5
uncompromising	1.0	9.126585744273067E-5
villas	1.0	9.095870474804439E-5
headpiecehelmet	1.0	9.232757824762257E-5
sketchbook	1.0	9.170946441672781E-5
vessels	1.0	9.168423947923352E-5
crocketed	1.0	9.230201218386561E-5
inde	1.0	9.224241306152569E-5
apses	1.0	9.232757824762257E-5
streaks	1.0	9.232757824762257E-5
classact	1.0	9.232757824762257E-5
presumed	1.0	9.133254178463786E-5
kerberos	1.0	9.176837661741764E-5
proceeding	1.0	7.047216349541931E-5
smartdrv	1.0	9.232757824762257E-5
faries	1.0	9.230201218386561E-5
morse	1.0	9.057971014492754E-5
comins	1.0	9.228497600590623E-5
hinkley	1.0	9.213193292795283E-5
topshop	1.0	9.205560158335634E-5
windowslike	1.0	9.229349330872173E-5
triplet	1.0	9.085127646043427E-5
irene	1.0	9.005763688760806E-5
spectacles	1.0	9.189487226612754E-5
creadit	1.0	9.232757824762257E-5
winforms	1.0	9.231053263177328E-5
domal	1.0	9.231905465288036E-5
vnsp	1.0	9.231905465288036E-5
judas	1.0	9.04895484571532E-5
largescale	1.0	8.609556607834697E-5
elgar	1.0	9.106638739641199E-5
usenet	1.0	9.05961224859576E-5
clickability	1.0	9.232757824762257E-5
wwwsysinternalscom	1.0	9.232757824762257E-5
navigatorcommunicator	1.0	9.229349330872173E-5
morph	1.0	9.170105456212746E-5
lamont	1.0	9.173470323823502E-5
hawrd	1.0	9.232757824762257E-5
wishy	1.0	9.207255317189946E-5
trojwebdropa	1.0	9.232757824762257E-5
xvendorph	1.0	9.232757824762257E-5
kitchendiningthe	1.0	9.232757824762257E-5
israelis	1.0	9.042408897730355E-5
tubing	1.0	9.124087591240875E-5
sendmessageedit	1.0	9.231905465288036E-5
pebbledashing	1.0	9.231905465288036E-5
whirling	1.0	9.225943352707814E-5
cached	1.0	9.076881183625306E-5
nasa	1.0	8.851907586084801E-5
enquiriesirhrgorguk	1.0	9.232757824762257E-5
bookletthis	1.0	9.231053263177328E-5
phd	1.0	7.135721421435707E-5
aspen	1.0	9.171787581399614E-5
bounty	1.0	9.080177971488241E-5
wwwhorchercouk	1.0	9.232757824762257E-5
blowfish	1.0	9.221689413500554E-5
molly	1.0	9.024456276509341E-5
knowing	1.0	9.149967975112087E-5
fullsized	1.0	9.206407659731172E-5
cocket	1.0	9.232757824762257E-5
xobjecth	1.0	9.232757824762257E-5
timbuktu	1.0	9.217439395335975E-5
incinerator	1.0	9.094216078574027E-5
brie	1.0	9.190331770976932E-5
pretention	1.0	9.227646027498385E-5
ytracery	1.0	9.232757824762257E-5
wheatley	1.0	9.126585744273067E-5
handover	1.0	9.057971014492754E-5
hanifah	1.0	9.231905465288036E-5
programmes	1.0	8.625150940141452E-5
rift	1.0	8.94854586129754E-5
paddy	1.0	8.908685968819599E-5
telemetry	1.0	9.156670634557275E-5
lozenge	1.0	9.201324990798675E-5
deafnessif	1.0	9.232757824762257E-5
sumthing	1.0	9.225943352707814E-5
grame	1.0	9.231905465288036E-5
httpwwwdurhamrecordsonlinecom	1.0	9.232757824762257E-5
cobblers	1.0	9.210647508519849E-5
intil	1.0	9.231053263177328E-5
shane	1.0	8.94054537326777E-5
boundless	1.0	9.153318077803204E-5
murray	1.0	8.233841086867023E-5
acids	1.0	9.157509157509158E-5
riga	1.0	9.181893306399779E-5
paperwork	1.0	8.780402142418122E-5
vth	1.0	9.226794611551947E-5
prix	1.0	8.853474988933157E-5
regmon	1.0	9.228497600590623E-5
xcontribrclients	1.0	9.232757824762257E-5
factbased	1.0	9.228497600590623E-5
apprentice	1.0	8.755034144633164E-5
younggovuk	1.0	9.232757824762257E-5
stretching	1.0	9.212344541685859E-5
doortops	1.0	9.232757824762257E-5
typesassociated	1.0	9.232757824762257E-5
dbsetup	1.0	9.228497600590623E-5
wwwpreparingforemergenciesgovuk	1.0	9.231905465288036E-5
cingular	1.0	9.196247930844215E-5
struck	1.0	9.205560158335634E-5
disused	1.0	9.006574799603711E-5
standardsbased	1.0	9.200478424878094E-5
dreamhole	1.0	9.232757824762257E-5
timewaster	1.0	9.226794611551947E-5
ransom	1.0	9.081002542680712E-5
rsladevcnbcca	1.0	9.219988936013277E-5
workdiaries	1.0	9.231905465288036E-5
plunder	1.0	9.072763563781528E-5
entrace	1.0	9.230201218386561E-5
mixedup	1.0	9.223390518354546E-5
nero	1.0	9.132420091324201E-5
netherland	1.0	9.222539887485013E-5
etherington	1.0	9.203018590097552E-5
macedonia	1.0	9.013068949977468E-5
nast	1.0	9.19963201471941E-5
proximal	1.0	9.191176470588235E-5
plasterboard	1.0	9.179364787956673E-5
raggle	1.0	9.231905465288036E-5
imbruglia	1.0	9.220839096357768E-5
wizards	1.0	9.211495946941784E-5
trafford	1.0	8.922198429693076E-5
brynmair	1.0	9.232757824762257E-5
nerd	1.0	9.156670634557275E-5
delayedonset	1.0	9.231905465288036E-5
boxmeasuringline	1.0	9.232757824762257E-5
precoloured	1.0	9.231905465288036E-5
wwwemployersforumcouk	1.0	9.231905465288036E-5
qasd	1.0	9.232757824762257E-5
pestsinsects	1.0	9.232757824762257E-5
pecvniis	1.0	9.232757824762257E-5
delaware	1.0	8.952551477170994E-5
mislabelling	1.0	9.231905465288036E-5
cibse	1.0	9.219988936013277E-5
marbled	1.0	9.148293843198243E-5
barhotlistgif	1.0	9.231053263177328E-5
smartpath	1.0	9.230201218386561E-5
storytellers	1.0	9.222539887485013E-5
fredrico	1.0	9.231053263177328E-5
bellcote	1.0	9.222539887485013E-5
inthe	1.0	9.197093718384991E-5
filemaker	1.0	9.219138932423711E-5
dressinggown	1.0	9.226794611551947E-5
unconstrain	1.0	9.218289085545723E-5
graft	1.0	9.038322487346348E-5
engulf	1.0	9.124087591240875E-5
justiciar	1.0	9.229349330872173E-5
balata	1.0	9.225943352707814E-5
cathy	1.0	8.836264027569144E-5
roads	1.0	8.819897689186806E-5
transistors	1.0	9.231053263177328E-5
razer	1.0	9.227646027498385E-5
frags	1.0	9.230201218386561E-5
encapsulite	1.0	9.231905465288036E-5
hafd	1.0	9.232757824762257E-5
pubwwwmackayitprnncodeneuron	1.0	9.232757824762257E-5
bucio	1.0	9.232757824762257E-5
dixon	1.0	8.854258898530193E-5
garfield	1.0	9.18105031215571E-5
movers	1.0	9.214891264283081E-5
cambrensis	1.0	9.218289085545723E-5
xeventsqueued	1.0	9.232757824762257E-5
windowflap	1.0	9.232757824762257E-5
asiakabul	1.0	9.232757824762257E-5
onlineapplicationsessentialinfopdf	1.0	9.232757824762257E-5
palliative	1.0	8.939746111210442E-5
neoplanet	1.0	9.232757824762257E-5
himalayas	1.0	9.150805270863836E-5
brentwood	1.0	9.126585744273067E-5
hesse	1.0	9.203865623561896E-5
referential	1.0	9.203018590097552E-5
arjun	1.0	9.209799226376865E-5
prune	1.0	8.911067545891998E-5
bred	1.0	9.214891264283081E-5
rostock	1.0	9.219138932423711E-5
itso	1.0	9.216589861751152E-5
bloa	1.0	9.232757824762257E-5
ncurseskeysenter	1.0	9.229349330872173E-5
carcase	1.0	9.192866335723479E-5
sherqa	1.0	9.232757824762257E-5
automaker	1.0	9.219138932423711E-5
macrobert	1.0	9.221689413500554E-5
secretly	1.0	8.954956568460644E-5
painlessly	1.0	9.206407659731172E-5
stoning	1.0	9.231053263177328E-5
farremoved	1.0	9.231053263177328E-5
ruffle	1.0	9.154155986818015E-5
haem	1.0	9.219988936013277E-5
galore	1.0	9.097525473071325E-5
shaio	1.0	9.232757824762257E-5
dequeued	1.0	9.232757824762257E-5
metres	1.0	9.182736455463728E-5
sddl	1.0	9.228497600590623E-5
cocktail	1.0	8.729812309035356E-5
gowrings	1.0	9.212344541685859E-5
wwwcoopcouk	1.0	9.231905465288036E-5
carcass	1.0	9.049773755656108E-5
+bruce	1.0	9.232757824762257E-5
nichols	1.0	9.083477155054956E-5
goethehaus	1.0	9.232757824762257E-5
assignees	1.0	9.231905465288036E-5
trys	1.0	9.225092250922509E-5
existent	1.0	9.180207472688883E-5
gopher	1.0	9.1726288754357E-5
