WORD	FREQ	JACCARD SIMILARITY
holding	1.0	4.450378282153983E-4
incentive	1.0	4.833252779120348E-4
greenock	1.0	0.0016474464579901153
roll	1.0	1.8796992481203009E-4
comic	1.0	5.714285714285715E-4
themesstandout	1.0	0.001953125
library	1.0	6.491398896462187E-5
summer	1.0	8.296689620841284E-5
olympic	1.0	5.711022272986865E-4
largely	1.0	2.449179524859172E-4
croat	1.0	0.0017699115044247787
shotgun	1.0	0.0013297872340425532
monster	1.0	5.858230814294083E-4
hedge	1.0	5.892751915144372E-4
reallocate	1.0	0.001763668430335097
shock	1.0	3.348961821835231E-4
elijah	1.0	0.001402524544179523
fold	1.0	5.076142131979696E-4
somethingit	1.0	0.0019880715705765406
origin	1.0	2.2862368541380886E-4
left	1.0	1.355197181189863E-4
httpwwwbisorgpublworkhtm	1.0	0.0019880715705765406
mar	1.0	2.8042624789680314E-4
expectantly	1.0	0.0019083969465648854
painting	1.0	2.4313153415998054E-4
loom	1.0	9.689922480620155E-4
die	1.0	7.598206823189727E-5
reaper	1.0	0.0018018018018018018
rare	1.0	1.9904458598726116E-4
industry	1.0	4.81000481000481E-5
afraid	1.0	4.314063848144953E-4
stood	1.0	0.0018832391713747645
install	1.0	1.3594344752582924E-4
working	1.0	1.1818933932159319E-4
weekly	1.0	2.4113817217265494E-4
update	1.0	6.947821857847565E-5
webster	1.0	0.0010309278350515464
direction	1.0	1.1958861516383641E-4
copyrightwise	1.0	0.0019880715705765406
revenge	1.0	8.787346221441124E-4
seachange	1.0	0.0019342359767891683
treat	1.0	9.817396426467701E-5
commemorate	1.0	8.038585209003215E-4
afters	1.0	0.00196078431372549
budgie	1.0	0.001869158878504673
identical	1.0	5.390835579514825E-4
amplification	1.0	0.001455604075691412
intro	1.0	0.0011273957158962795
permalink	1.0	7.58150113722517E-4
herzog	1.0	0.00186219739292365
vicar	1.0	8.888888888888889E-4
eh	1.0	6.191950464396285E-4
bubble	1.0	6.765899864682003E-4
technically	1.0	7.78816199376947E-4
nervous	1.0	5.681818181818182E-4
symbol	1.0	3.4722222222222224E-4
srajbellcorecom	1.0	0.0019880715705765406
selfhelp	1.0	0.0011976047904191617
shoe	1.0	3.755163349605708E-4
neighbour	1.0	2.5056376847907793E-4
reduction	1.0	1.8552875695732838E-4
fisher	1.0	8.216926869350862E-4
repair	1.0	1.9692792437967703E-4
rings	1.0	0.001092896174863388
avi	1.0	0.0016474464579901153
yep	1.0	0.0013605442176870747
shag	1.0	0.0016778523489932886
martin	1.0	1.6377333770062233E-4
bucket	1.0	9.090909090909091E-4
ep	1.0	8.665511265164644E-4
dade	1.0	0.0019455252918287938
hajj	1.0	0.0016750418760469012
configuration	1.0	4.008016032064128E-4
celestine	1.0	0.001869158878504673
shot	1.0	2.0622808826562179E-4
fool	1.0	6.293266205160479E-4
horatio	1.0	0.0017421602787456446
bickering	1.0	0.0018552875695732839
angeles	1.0	7.434944237918215E-4
sequelthat	1.0	0.0019880715705765406
grab	1.0	4.935834155972359E-4
extinction	1.0	0.0011389521640091116
