WORD	FREQ	JACCARD SIMILARITY
verdi	1.0	0.0017889087656529517
president	1.0	1.295001295001295E-4
guarantee	1.0	1.6028209648982208E-4
chance	1.0	8.321544478655238E-5
mmc	1.0	0.0016501650165016502
londons	1.0	0.0014388489208633094
touch	1.0	1.2613521695257316E-4
rds	1.0	0.0014749262536873156
djs	1.0	0.0012437810945273632
adviser	1.0	3.248862897985705E-4
kilburn	1.0	0.0016286644951140066
ys	1.0	0.0015151515151515152
mynes	1.0	0.0019801980198019802
shock	1.0	3.3478406427854036E-4
associate	1.0	9.065361254645998E-5
women	1.0	3.356831151393085E-4
alginate	1.0	0.0019646365422396855
gbpounds	1.0	0.001984126984126984
infowenlockbookscouk	1.0	0.001984126984126984
folk	1.0	3.3760972316002703E-4
repertoire	1.0	8.496176720475786E-4
providers	1.0	0.0010615711252653928
yh	1.0	0.001834862385321101
distillery	1.0	0.0012106537530266344
printers	1.0	0.0015360983102918587
pool	1.0	1.6345210853220007E-4
wwwactiveaboynecouk	1.0	0.001984126984126984
robbie	1.0	9.276437847866419E-4
tariff	1.0	7.987220447284345E-4
nikki	1.0	0.0014104372355430183
accidents	1.0	0.0016260162601626016
girl	1.0	1.178967224711153E-4
sept	1.0	6.257822277847309E-4
regents	1.0	0.001579778830963665
participate	1.0	1.768033946251768E-4
trader	1.0	5.414185165132648E-4
cane	1.0	0.0012531328320802004
admission	1.0	2.518257365902795E-4
davis	1.0	5.387931034482759E-4
specialise	1.0	2.382654276864427E-4
kempadooghosting	1.0	0.001984126984126984
bornat	1.0	0.001976284584980237
images	1.0	0.0011074197120708748
happen	1.0	5.617030837499298E-5
workshops	1.0	0.0010482180293501049
pact	1.0	0.001148105625717566
disposable	1.0	0.0011001100110011
existingex	1.0	0.001984126984126984
sunlight	1.0	9.354536950420954E-4
manspdf	1.0	0.001984126984126984
imply	1.0	3.616636528028933E-4
preparing	1.0	0.0014367816091954023
elland	1.0	0.001597444089456869
introtofrnttfundraisingcouk	1.0	0.001984126984126984
symbol	1.0	3.471017007983339E-4
definition	1.0	1.7822135091783995E-4
systems	1.0	2.315886984715146E-4
ecvbmca	1.0	0.001984126984126984
gluten	1.0	0.0014858841010401188
stephanie	1.0	0.0012345679012345679
reduction	1.0	1.854943424225561E-4
wwwbradacukadminstaffdevprogrammesbookinghtml	1.0	0.001984126984126984
pesto	1.0	0.0018214936247723133
tacs	1.0	0.0019305019305019305
marianne	1.0	0.001584786053882726
middeeside	1.0	0.001984126984126984
wattage	1.0	0.001876172607879925
