WORD	FREQ	JACCARD SIMILARITY
newcomer	1.0	9.009009009009009E-4
wishful	1.0	0.0017574692442882249
holding	1.0	4.4603033006244426E-4
context	1.0	1.0755001075500108E-4
djs	1.0	0.0012531328320802004
massive	1.0	2.577319587628866E-4
celebrity	1.0	5.089058524173028E-4
cromer	1.0	0.0017152658662092624
mandy	1.0	0.0012953367875647669
sortcode	1.0	0.002008032128514056
resign	1.0	6.954102920723226E-4
graffiti	1.0	0.001718213058419244
earlier	1.0	1.8782870022539445E-4
mars	1.0	7.462686567164179E-4
pundit	1.0	0.001597444089456869
presentation	1.0	1.1261261261261261E-4
nother	1.0	0.001937984496124031
skill	1.0	4.24881033310673E-5
administration	1.0	1.5576323987538941E-4
graduate	1.0	1.3871549452073797E-4
newington	1.0	0.001692047377326565
complex	1.0	1.139211665527455E-4
ifas	1.0	0.0017513134851138354
swipe	1.0	0.0015873015873015873
hamptons	1.0	0.001890359168241966
apartments	1.0	0.0013850415512465374
disadvantage	1.0	5.390835579514825E-4
pick	1.0	1.1977482333213559E-4
experienced	1.0	2.7793218454697053E-4
magazine	1.0	1.2608750472828143E-4
permalink	1.0	7.6103500761035E-4
uksituate	1.0	0.002008032128514056
default	1.0	2.2904260192395785E-4
shape	1.0	1.368738023542294E-4
tfm	1.0	0.0019120458891013384
amec	1.0	0.0018450184501845018
southeast	1.0	6.28140703517588E-4
delivery	1.0	9.900990099009902E-5
irrelevant	1.0	8.278145695364238E-4
notorized	1.0	0.002004008016032064
scott	1.0	3.1055900621118014E-4
pets	1.0	0.0012406947890818859
stressfull	1.0	0.00199203187250996
vision	1.0	1.5401201293700908E-4
wwwnpbscouk	1.0	0.002004008016032064
unacceptable	1.0	7.027406886858749E-4
spectacle	1.0	8.952551477170994E-4
american	1.0	8.266512358435976E-5
overpay	1.0	0.0017035775127768314
menswear	1.0	0.0017857142857142857
miss	1.0	8.444519506840061E-5
educate	1.0	3.635041802980734E-4
qualification	1.0	1.6121231662098983E-4
row	1.0	2.635740643120717E-4
scunthorpe	1.0	0.001610305958132045
catalogue	1.0	2.345765892563922E-4
mountain	1.0	1.575795776867318E-4
