WORD	FREQ	JACCARD SIMILARITY
plastic	1.0	2.8843380444188056E-4
compete	1.0	2.735229759299781E-4
heel	1.0	7.575757575757576E-4
relief	1.0	2.3239600278875203E-4
transform	1.0	2.7586206896551725E-4
entity	1.0	4.3782837127845885E-4
bronze	1.0	5.14668039114771E-4
nutting	1.0	0.001937984496124031
ending	1.0	8.244023083264633E-4
sbp	1.0	0.001937984496124031
keywords	1.0	5.302226935312832E-4
proof	1.0	2.858776443682104E-4
topoisomerase	1.0	0.00199203187250996
investment	1.0	9.402914903620122E-5
webmaste	1.0	0.0019880715705765406
reseacrh	1.0	0.002008032128514056
distribute	1.0	2.1743857360295715E-4
kings	1.0	4.975124378109452E-4
treble	1.0	0.0012755102040816326
relevant	1.0	7.249003262051468E-5
invaluable	1.0	5.941770647653001E-4
german	1.0	1.6059097478721696E-4
pubmed	1.0	0.0012453300124533001
crown	1.0	2.444390124663896E-4
metastatic	1.0	0.0017699115044247787
davis	1.0	5.405405405405405E-4
headline	1.0	4.5934772622875517E-4
bute	1.0	0.0013245033112582781
fichtner	1.0	0.0019880715705765406
dudchenko	1.0	0.002008032128514056
talented	1.0	5.564830272676684E-4
supported	1.0	0.001364256480218281
kilo	1.0	0.0014705882352941176
phlegm	1.0	0.0019267822736030828
interface	1.0	1.951219512195122E-4
leicestershire	1.0	8.460236886632825E-4
laugh	1.0	2.835270768358378E-4
frecknall	1.0	0.002004008016032064
shirt	1.0	5.858230814294083E-4
lugano	1.0	0.0019193857965451055
sexually	1.0	0.0010964912280701754
queens	1.0	7.457121551081282E-4
identification	1.0	3.225806451612903E-4
becker	1.0	0.0014064697609001407
lowlevel	1.0	0.001483679525222552
louis	1.0	6.321112515802782E-4
microbiology	1.0	0.0012121212121212121
enthusiasm	1.0	4.1254125412541255E-4
password	1.0	2.1800741225201656E-4
myc	1.0	0.0019193857965451055
perth	1.0	9.596928982725527E-4
limited	1.0	1.1026574043444702E-4
cowan	1.0	0.0015698587127158557
functional	1.0	4.5475216007276033E-4
