WORD	FREQ	JACCARD SIMILARITY
attended	1.0	0.0019157088122605363
holding	1.0	4.472271914132379E-4
compete	1.0	2.73972602739726E-4
event	1.0	2.7767750534529196E-5
worldpand	1.0	0.0020325203252032522
situated	1.0	0.0012077294685990338
namierite	1.0	0.001996007984031936
bronze	1.0	5.162622612287042E-4
roes	1.0	0.0020242914979757085
decjun	1.0	0.002028397565922921
spirek	1.0	0.0020325203252032522
daytoday	1.0	7.627765064836003E-4
backgrounds	1.0	0.001953125
ideologies	1.0	0.001976284584980237
sharp	1.0	3.367003367003367E-4
campbell	1.0	5.382131324004305E-4
tredegar	1.0	0.00196078431372549
dig	1.0	4.2140750105351877E-4
tuc	1.0	7.892659826361484E-4
playhouses	1.0	0.002012072434607646
cohen	1.0	0.0010638297872340426
voijvodina	1.0	0.002028397565922921
share	1.0	4.982064567556796E-5
prehistory	1.0	0.0014992503748125937
postreformation	1.0	0.0019880715705765406
accabler	1.0	0.0020325203252032522
jack	1.0	2.2416498542927594E-4
santo	1.0	0.0017331022530329288
plain	1.0	2.933411557641537E-4
qs	1.0	0.0016556291390728477
manufactory	1.0	0.0018450184501845018
treat	1.0	9.828009828009828E-5
eastry	1.0	0.001941747572815534
monetary	1.0	7.342143906020558E-4
beauty	1.0	2.49500998003992E-4
talented	1.0	5.583472920156337E-4
demise	1.0	0.0010649627263045794
webpage	1.0	8.445945945945946E-4
react	1.0	5.186721991701245E-4
paratext	1.0	0.0020325203252032522
blanning	1.0	0.0020325203252032522
hismay	1.0	0.002008032128514056
scotus	1.0	0.0019569471624266144
father	1.0	1.0215548064153642E-4
foul	1.0	7.94912559618442E-4
whitehead	1.0	0.0014044943820224719
sceptical	1.0	0.0011876484560570072
etext	1.0	0.001968503937007874
soil	1.0	2.3496240601503758E-4
environment	1.0	4.784917938657352E-5
qui	1.0	0.001589825119236884
gibraltar	1.0	0.00117096018735363
shirt	1.0	5.878894767783657E-4
lacy	1.0	0.0017667844522968198
selected	1.0	3.8138825324180017E-4
reduction	1.0	1.8590816136828406E-4
mineral	1.0	4.3252595155709344E-4
confession	1.0	0.001095290251916758
suspect	1.0	3.002101471029721E-4
plantations	1.0	0.002004008016032064
zenji	1.0	0.0020325203252032522
charity	1.0	1.0235414534288638E-4
peel	1.0	7.496251874062968E-4
exchequer	1.0	0.0012391573729863693
manufacturer	1.0	2.1123785382340515E-4
pioneer	1.0	3.996802557953637E-4
icon	1.0	4.012841091492777E-4
russians	1.0	0.0011933174224343676
caxton	1.0	0.001869158878504673
regency	1.0	0.001557632398753894
separate	1.0	1.0694043417816276E-4
fochabers	1.0	0.0020
massachusetts	1.0	0.001053740779768177
dominate	1.0	3.711952487008166E-4
vale	1.0	7.616146230007616E-4
infinityedge	1.0	0.0020325203252032522
twothird	1.0	0.001076426264800861
contra	1.0	0.001736111111111111
wednesday	1.0	1.3631406761177754E-4
absorb	1.0	4.901960784313725E-4
divinity	1.0	0.0014005602240896359
rating	1.0	1.768972227136034E-4
baroness	1.0	0.0012853470437017994
barkerbenfield	1.0	0.0020325203252032522
tucorguk	1.0	0.0020325203252032522
ethic	1.0	5.125576627370579E-4
insistence	1.0	0.0013774104683195593
anarchist	1.0	0.0013774104683195593
command	1.0	1.4738393515106854E-4
hotel	1.0	7.658140603461479E-5
lisa	1.0	7.102272727272727E-4
conservationism	1.0	0.0020325203252032522
mathers	1.0	0.001876172607879925
dor	1.0	0.001594896331738437
burton	1.0	7.564296520423601E-4
refine	1.0	7.892659826361484E-4
rest	1.0	8.508465923593976E-5
charyte	1.0	0.0020325203252032522
poetics	1.0	0.0016863406408094434
don	1.0	4.4072278536800354E-4
dale	1.0	8.547008547008547E-4
rebellion	1.0	9.794319294809011E-4
increasingly	1.0	2.028809089064719E-4
diary	1.0	3.3200531208499334E-4
rubens	1.0	0.0017271157167530224
tracy	1.0	0.0011534025374855825
financing	1.0	7.518796992481203E-4
assistant	1.0	2.2878059940517045E-4
uvedale	1.0	0.0020
flavour	1.0	4.764173415912339E-4
security	1.0	6.597176408497163E-5
ruling	1.0	5.906674542232723E-4
canadian	1.0	4.616805170821791E-4
waterlanders	1.0	0.0020325203252032522
racism	1.0	6.5359477124183E-4
fence	1.0	5.515719801434088E-4
dynasties	1.0	0.001996007984031936
imaginative	1.0	7.656967840735069E-4
problematics	1.0	0.0019801980198019802
disagree	1.0	5.834305717619603E-4
experimental	1.0	3.944773175542406E-4
dame	1.0	0.0010905125408942203
sentimentality	1.0	0.0018214936247723133
flower	1.0	1.9527436047646945E-4
hornstein	1.0	0.00202020202020202
