WORD	FREQ	JACCARD SIMILARITY
bscemgt	1.0	0.00199203187250996
institutional	1.0	4.576659038901602E-4
distinction	1.0	4.0048057669203043E-4
newish	1.0	0.001890359168241966
topup	1.0	0.0011918951132300357
durham	1.0	4.7824007651841227E-4
lower	1.0	3.0048076923076925E-4
sedwlvacuk	1.0	0.00199203187250996
levelheaded	1.0	0.0019230769230769232
darlington	1.0	0.0010548523206751054
wrexham	1.0	0.0012077294685990338
classroom	1.0	2.841716396703609E-4
multimedia	1.0	4.07000407000407E-4
regensburg	1.0	0.0019230769230769232
pencil	1.0	8.8261253309797E-4
yr	1.0	8.976660682226212E-4
processors	1.0	0.0018552875695732839
specification	1.0	2.295684113865932E-4
origin	1.0	2.28675966155957E-4
enthusiastic	1.0	5.512679162072767E-4
veterinarians	1.0	0.001953125
lsbf	1.0	0.00196078431372549
monument	1.0	5.47945205479452E-4
summer	1.0	8.297378028542981E-5
derive	1.0	2.71370420624152E-4
dip	1.0	6.402048655569782E-4
biotechnology	1.0	6.086427267194157E-4
widening	1.0	9.42507068803016E-4
invaluable	1.0	5.927682276229994E-4
faculty	1.0	2.5412960609911054E-4
audits	1.0	0.0011494252873563218
unique	1.0	1.0267994660642776E-4
beneficial	1.0	4.701457451810061E-4
structured	1.0	6.25E-4
division	1.0	1.462843768285547E-4
acca	1.0	0.0015408320493066256
jewish	1.0	3.2362459546925567E-4
communications	1.0	3.2133676092544985E-4
prescribe	1.0	4.462293618920125E-4
wrightington	1.0	0.001976284584980237
market	1.0	4.101554489151388E-5
locations	1.0	0.001392757660167131
rough	1.0	4.3956043956043956E-4
aviation	1.0	5.537098560354374E-4
lack	1.0	1.0741138560687433E-4
accommodate	1.0	3.7778617302606723E-4
patient	1.0	5.6947608200455584E-5
france	1.0	1.3875398917718884E-4
mayhew	1.0	0.0017152658662092624
jnc	1.0	0.0019267822736030828
dietetics	1.0	0.0017211703958691911
tutorsupported	1.0	0.0019880715705765406
proper	1.0	2.008838891120932E-4
appplication	1.0	0.001984126984126984
bbbbbc	1.0	0.001976284584980237
define	1.0	1.0052271813429835E-4
integrative	1.0	0.0016207455429497568
impact	1.0	7.214486689272058E-5
pack	1.0	1.2743723716069835E-4
structures	1.0	0.0013175230566534915
prise	1.0	2.2794620469569182E-4
occupationaltherapy	1.0	0.00199203187250996
keyboard	1.0	4.137360364087712E-4
enrolment	1.0	0.0010141987829614604
shop	1.0	8.099789405475457E-5
hartlepool	1.0	0.0010570824524312897
as+	1.0	0.00199203187250996
humancomputer	1.0	0.0015748031496062992
attach	1.0	2.0312817387771684E-4
preview	1.0	5.058168942842691E-4
teambased	1.0	0.0018975332068311196
screening	1.0	4.952947003467063E-4
avcebtec	1.0	0.00199203187250996
eurocontrol	1.0	0.0019047619047619048
projectorpcinternet	1.0	0.00199203187250996
wed	1.0	3.8284839203675346E-4
ukcc	1.0	0.0017730496453900709
webbased	1.0	7.6103500761035E-4
informal	1.0	3.3344448149383126E-4
bolivian	1.0	0.0017152658662092624
insufficient	1.0	7.390983000739098E-4
identity	1.0	1.7611835153222966E-4
globalisation	1.0	8.525149190110827E-4
circuits	1.0	0.0017241379310344827
client	1.0	6.851661527920521E-5
qualitative	1.0	6.882312456985547E-4
conform	1.0	6.844626967830253E-4
pdf	1.0	1.4708045300779526E-4
cavendish	1.0	0.0013157894736842105
lcf	1.0	0.001937984496124031
neuchatel	1.0	0.001984126984126984
yearnursing	1.0	0.00199203187250996
band	1.0	8.187996397281586E-5
uwbsgraduatewlvacuk	1.0	0.00199203187250996
forage	1.0	0.0014044943820224719
pct	1.0	6.357279084551812E-4
bamktfr	1.0	0.00199203187250996
paulekaite	1.0	0.00199203187250996
barrister	1.0	0.0011494252873563218
microprocessors	1.0	0.001968503937007874
asa	1.0	0.0011494252873563218
perspective	1.0	1.8125793003443902E-4
sucessful	1.0	0.0018832391713747645
duncan	1.0	6.071645415907711E-4
courseit	1.0	0.0019801980198019802
behalf	1.0	1.8667164457718873E-4
monitor	1.0	1.238850346878097E-4
welsh	1.0	2.2237046920169E-4
mandatory	1.0	7.052186177715092E-4
horticulture	1.0	0.001288659793814433
improvisation	1.0	0.001326259946949602
components	1.0	0.0013440860215053765
describe	1.0	5.824451045488963E-5
initial	1.0	1.3636983499249966E-4
designing	1.0	0.0013623978201634877
ibsenite	1.0	0.00199203187250996
governingprofessional	1.0	0.00199203187250996
lively	1.0	5.055611729019212E-4
edition	1.0	1.4777597162701344E-4
wtra	1.0	0.00199203187250996
weakness	1.0	4.655493482309125E-4
toolbar	1.0	0.0011312217194570137
physician	1.0	7.347538574577516E-4
factors	1.0	0.0012755102040816326
factory	1.0	2.7122321670735016E-4
constructing	1.0	0.00186219739292365
accordance	1.0	2.4307243558580456E-4
certhe	1.0	0.0019455252918287938
fast	1.0	1.0594342621040364E-4
proven	1.0	6.51890482398957E-4
large	1.0	2.5593775593775595E-5
advise	1.0	1.1519410206197443E-4
mike	1.0	1.8996960486322188E-4
governance	1.0	3.70919881305638E-4
hope	1.0	4.9431537320810677E-5
accelerate	1.0	7.087172218284905E-4
agricultural	1.0	2.809778027535825E-4
qb	1.0	0.0016339869281045752
principles	1.0	9.233610341643582E-4
broadsheet	1.0	0.0016286644951140066
prune	1.0	0.0011198208286674132
exemplify	1.0	0.0012738853503184713
bourque	1.0	0.001984126984126984
ocr	1.0	0.0013404825737265416
fellowship	1.0	4.5662100456621003E-4
satisfactorily	1.0	0.0012300123001230013
boundary	1.0	2.3573785950023574E-4
membership	1.0	1.274534794799898E-4
sda	1.0	0.001652892561983471
promotion	1.0	2.1920210434020167E-4
react	1.0	5.159958720330237E-4
exercise	1.0	9.567546880979717E-5
hrm	1.0	0.001644736842105263
wwwlnatacuk	1.0	0.0019880715705765406
graduation	1.0	9.407337723424271E-4
par	1.0	8.176614881439084E-4
asylum	1.0	4.2498937526561835E-4
sussex	1.0	3.4305317324185246E-4
altogether	1.0	5.813953488372093E-4
victoria	1.0	3.368137420006736E-4
uniquely	1.0	8.849557522123894E-4
exception	1.0	2.486325211337643E-4
connexions	1.0	0.001366120218579235
eus	1.0	0.0018656716417910447
alternatively	1.0	3.1084861672365556E-4
nneb	1.0	0.001890359168241966
enormously	1.0	0.0010649627263045794
facilities	1.0	7.037297677691766E-4
bologna	1.0	0.0014326647564469914
pad	1.0	5.307855626326964E-4
sh	1.0	0.0011363636363636363
mathematicsstatistics	1.0	0.001976284584980237
xxxx	1.0	0.0016501650165016502
lay	1.0	1.5598190609889253E-4
ukoverseas	1.0	0.00199203187250996
keywords	1.0	5.291005291005291E-4
wwwedgehillacukhealth	1.0	0.00199203187250996
packages	1.0	0.0015128593040847202
wider	1.0	0.0014903129657228018
oldham	1.0	0.0010460251046025104
script	1.0	2.3234200743494423E-4
caring	1.0	7.41839762611276E-4
wwwwlvacuksed	1.0	0.00199203187250996
eligibility	1.0	7.158196134574087E-4
engineers	1.0	8.583690987124463E-4
identify	1.0	5.6785917092561044E-5
worker	1.0	9.467007478935909E-5
executive	1.0	7.935248373274083E-5
dakin	1.0	0.0018484288354898336
phd	1.0	2.71370420624152E-4
considerably	1.0	5.252100840336134E-4
verify	1.0	5.698005698005698E-4
spotlight	1.0	8.936550491510277E-4
abbb	1.0	0.0019880715705765406
retailing	1.0	0.0012738853503184713
merits	1.0	0.001953125
septemberdecember	1.0	0.001976284584980237
sciencestudies	1.0	0.00199203187250996
cullen	1.0	0.0014925373134328358
sensitive	1.0	3.04228780042592E-4
thing	1.0	2.493206013612905E-5
poetry	1.0	2.9994001199760045E-4
brayford	1.0	0.001937984496124031
liberally	1.0	0.0017123287671232876
podiatry	1.0	0.0016835016835016834
bbc	1.0	1.284191601386927E-4
stroke	1.0	4.084967320261438E-4
trafford	1.0	0.0011376564277588168
possibly	1.0	1.9036740909956216E-4
disabilities	1.0	0.0011695906432748538
architecture	1.0	2.583311805734952E-4
longterm	1.0	2.257336343115124E-4
protective	1.0	6.397952655150352E-4
pgc	1.0	0.0018796992481203006
pgd	1.0	0.0017699115044247787
bschons	1.0	0.00186219739292365
vn	1.0	0.0017857142857142857
franchise	1.0	6.373486297004461E-4
reapproval	1.0	0.0019801980198019802
collection	1.0	6.608948516291058E-5
data	1.0	9.028530155290719E-5
actuarial	1.0	0.001402524544179523
bar	1.0	9.681479330041631E-5
shool	1.0	0.001949317738791423
assurance	1.0	3.5236081747709656E-4
newspaper	1.0	1.8426386585590566E-4
wb	1.0	0.0015151515151515152
virtual	1.0	2.3668639053254438E-4
leading	1.0	1.487652484379649E-4
diplomacertificate	1.0	0.001941747572815534
dairy	1.0	7.22543352601156E-4
abolition	1.0	0.0011135857461024498
wv	1.0	0.0017793594306049821
tropical	1.0	5.662514156285391E-4
