WORD	FREQ	JACCARD SIMILARITY
institutional	1.0	4.5682960255824577E-4
vicepresidents	1.0	0.0018587360594795538
advocacy	1.0	7.79423226812159E-4
pitcher	1.0	0.0017301038062283738
context	1.0	1.074575542660649E-4
pyry	1.0	0.001976284584980237
administrator	1.0	3.444712366517396E-4
religion	1.0	1.934984520123839E-4
troubled	1.0	0.001142857142857143
labor	1.0	8.920606601248885E-4
jda	1.0	0.0019342359767891683
susy	1.0	0.0019193857965451055
turley	1.0	0.0019305019305019305
shock	1.0	3.3456005352960856E-4
clare	1.0	7.173601147776184E-4
tv	1.0	1.0437323870159691E-4
seabeck	1.0	0.0019723865877712033
string	1.0	2.181500872600349E-4
dowden	1.0	0.0019011406844106464
burke	1.0	0.0012484394506866417
higgins	1.0	0.001076426264800861
aurora	1.0	0.001488095238095238
dorisdirector	1.0	0.001976284584980237
terror	1.0	5.52791597567717E-4
exempt	1.0	5.896226415094339E-4
crowd	1.0	2.5056376847907793E-4
die	1.0	7.596475235490732E-5
charlesworth	1.0	0.0017825311942959
jacquie	1.0	0.0018552875695732839
genuinely	1.0	6.891798759476223E-4
tiffin	1.0	0.0019011406844106464
gemmell	1.0	0.0018552875695732839
undertake	1.0	9.934432743890324E-5
mackes	1.0	0.001976284584980237
military	1.0	1.520912547528517E-4
davis	1.0	5.382131324004305E-4
cwgl	1.0	0.0019569471624266144
headline	1.0	4.576659038901602E-4
putnam	1.0	0.0018115942028985507
nonclients	1.0	0.001968503937007874
lanka	1.0	8.873114463176575E-4
joanna	1.0	0.0011013215859030838
cancer	1.0	1.4072614691809738E-4
atoc	1.0	0.0019267822736030828
jamahiriya	1.0	0.0019646365422396855
endocrinology	1.0	0.0017331022530329288
cehr	1.0	0.0017035775127768314
homes	1.0	5.694760820045558E-4
lack	1.0	1.0736525660296328E-4
holidaybreak	1.0	0.0019305019305019305
nigeria	1.0	8.833922261484099E-4
diana	1.0	8.741258741258741E-4
tfl	1.0	0.0015128593040847202
summerfield	1.0	0.0018656716417910447
sanatani	1.0	0.001976284584980237
gerald	1.0	0.0010683760683760685
tn	1.0	0.0012987012987012987
tm	1.0	9.551098376313276E-4
malaysia	1.0	0.0010080645161290322
quebec	1.0	0.0014705882352941176
enstone	1.0	0.00196078431372549
flag	1.0	3.223726627981947E-4
blaenau	1.0	0.0017094017094017094
antigua	1.0	0.001610305958132045
tl	1.0	0.0014204545454545455
manuals	1.0	0.001594896331738437
kill	1.0	1.1823126034523528E-4
kenya	1.0	7.457121551081282E-4
citizens	1.0	8.960573476702509E-4
farnham	1.0	0.0014925373134328358
pioneer	1.0	3.97456279809221E-4
tomorrows	1.0	0.0018450184501845018
pete	1.0	4.82392667631452E-4
muslims	1.0	4.580852038479157E-4
peta	1.0	0.0017094017094017094
succeed	1.0	2.639218791237794E-4
presign	1.0	0.0019193857965451055
forverts	1.0	0.001976284584980237
wouldnt	1.0	0.0011273957158962795
browne	1.0	0.0011862396204033216
valuable	1.0	2.0576131687242798E-4
handover	1.0	0.0013986013986013986
mix	1.0	1.5992323684631377E-4
frost	1.0	8.305647840531562E-4
twyman	1.0	0.001941747572815534
jack	1.0	2.23463687150838E-4
dominica	1.0	0.0018148820326678765
lizlearninglaborguk	1.0	0.001976284584980237
christmas	1.0	1.539882968894364E-4
marketplace	1.0	7.342143906020558E-4
mis	1.0	0.0014792899408284023
homosexuality	1.0	0.0013157894736842105
wilko	1.0	0.0018552875695732839
wire	1.0	3.8387715930902113E-4
arabia	1.0	9.416195856873823E-4
demise	1.0	0.001049317943336831
turner	1.0	5.319148936170213E-4
identity	1.0	1.7599436818021823E-4
irving	1.0	0.0010245901639344263
japan	1.0	2.679528403001072E-4
inspection	1.0	2.774694783573807E-4
mineral	1.0	4.299226139294927E-4
extent	1.0	1.7455053237912376E-4
temporary	1.0	2.7808676307007786E-4
opare	1.0	0.001976284584980237
class	1.0	4.977848573846384E-5
brooks	1.0	0.0010319917440660474
territories	1.0	0.001557632398753894
zimbabwe	1.0	8.795074758135445E-4
shame	1.0	4.904364884747426E-4
multiyear	1.0	0.0018656716417910447
cross	1.0	8.7527352297593E-5
restrictive	1.0	0.001152073732718894
ifyc	1.0	0.001941747572815534
macau	1.0	0.0017793594306049821
canadian	1.0	4.5871559633027525E-4
vittecoq	1.0	0.001976284584980237
campaigns	1.0	0.0013717421124828531
kouame	1.0	0.001976284584980237
suspect	1.0	2.9895366218236175E-4
httpwwwcarescotlandorgukoriginalaudiovideoscotsmankatevincentkavivfworksupportsrolem	1.0	0.001976284584980237
spina	1.0	0.0018148820326678765
alert	1.0	3.8109756097560977E-4
rtgs	1.0	0.00196078431372549
metrics	1.0	0.001869158878504673
kirby	1.0	0.0013245033112582781
peel	1.0	7.41839762611276E-4
peer	1.0	3.5174111853675694E-4
wilks	1.0	0.0017889087656529517
medargould	1.0	0.001976284584980237
attendees	1.0	0.001876172607879925
continents	1.0	0.0019305019305019305
katalysis	1.0	0.001976284584980237
