WORD	FREQ	JACCARD SIMILARITY
institutional	1.0	4.5955882352941176E-4
pronazis	1.0	0.002028397565922921
largelu	1.0	0.002028397565922921
corpwarhtml	1.0	0.002028397565922921
wolsey	1.0	0.0017921146953405018
taiwan	1.0	7.6103500761035E-4
petrol	1.0	5.868544600938967E-4
consultant	1.0	1.802451333813987E-4
andrei	1.0	0.0018181818181818182
taft	1.0	0.0019880715705765406
classroom	1.0	2.849002849002849E-4
dodge	1.0	0.0012285012285012285
antiwar	1.0	0.0010976948408342481
touch	1.0	1.2631047113805733E-4
native	1.0	3.1026993484331366E-4
exacerbate	1.0	0.0011037527593818985
ifthings	1.0	0.002028397565922921
ministers	1.0	5.405405405405405E-4
annan	1.0	0.0015037593984962407
secondary	1.0	1.9069412662090009E-4
sympathise	1.0	0.0015625
wait	1.0	9.353661958656815E-5
razor	1.0	0.0013698630136986301
hist	1.0	0.001669449081803005
eighty	1.0	0.0012091898428053204
conversation	1.0	3.0646644192460924E-4
democratization	1.0	0.001851851851851852
trial	1.0	1.27000254000508E-4
share	1.0	4.981816370248592E-5
physical	1.0	1.1220825852782765E-4
sands	1.0	0.0011160714285714285
prehistory	1.0	0.0014970059880239522
undertake	1.0	9.947279419078882E-5
protestantism	1.0	0.0016835016835016834
direction	1.0	1.1973180076628352E-4
ridiculous	1.0	8.741258741258741E-4
bosnian	1.0	0.0017123287671232876
davis	1.0	5.420054200542005E-4
aleur	1.0	0.002028397565922921
headline	1.0	4.6040515653775324E-4
lacuna	1.0	0.001893939393939394
doctrine	1.0	5.235602094240838E-4
talented	1.0	5.580357142857143E-4
diversify	1.0	0.001288659793814433
workshops	1.0	0.0010604453870625664
bosniaherzegovina	1.0	0.0018975332068311196
visible	1.0	3.083564600678384E-4
delusion	1.0	0.0015290519877675841
triplea	1.0	0.002004008016032064
ottawa	1.0	0.0014684287812041115
excel	1.0	5.347593582887701E-4
blaircritic	1.0	0.002028397565922921
colossi	1.0	0.0020
diana	1.0	8.841732979664014E-4
postcolony	1.0	0.0020242914979757085
reinstein	1.0	0.002028397565922921
israelis	1.0	0.0013869625520110957
enjoy	1.0	6.0849458439819885E-5
pdf	1.0	1.4727540500736376E-4
holocaust	1.0	9.380863039399625E-4
tack	1.0	0.0013513513513513514
essentially	1.0	4.0241448692152917E-4
brazil	1.0	4.950495049504951E-4
adversary	1.0	0.001440922190201729
sustainability	1.0	4.3497172683775554E-4
lucius	1.0	0.001890359168241966
predict	1.0	2.9515938606847696E-4
jenkins	1.0	8.431703204047217E-4
dunkerley	1.0	0.0020
mls	1.0	0.0016366612111292963
woodrow	1.0	0.0016835016835016834
novels	1.0	0.0017825311942959
pioneer	1.0	3.9952057530962844E-4
ballet	1.0	7.017543859649122E-4
planet	1.0	2.5673940949935817E-4
settings	1.0	0.0011904761904761906
redraft	1.0	0.0018552875695732839
nkvd	1.0	0.00199203187250996
repression	1.0	0.0012468827930174563
rim	1.0	0.0010893246187363835
dfi	1.0	0.0019801980198019802
black	1.0	7.299270072992701E-5
endrun	1.0	0.002028397565922921
overthrow	1.0	0.0011682242990654205
honorary	1.0	6.557377049180328E-4
likeshows	1.0	0.002028397565922921
abstention	1.0	0.0016863406408094434
personnel	1.0	3.0478512648582747E-4
correctly	1.0	3.8880248833592535E-4
speaker	1.0	1.7185083347654237E-4
scares	1.0	0.0020161290322580645
lewinsky	1.0	0.0019801980198019802
protestants	1.0	0.001184834123222749
dem	1.0	0.0011074197120708748
revolutions	1.0	0.0018587360594795538
comrades	1.0	0.0018214936247723133
drukerirving	1.0	0.002028397565922921
partnership	1.0	7.937767899666614E-5
espagne	1.0	0.0020161290322580645
negotiator	1.0	0.0014388489208633094
impend	1.0	0.0020161290322580645
merryhills	1.0	0.002028397565922921
fax	1.0	1.446968600781363E-4
anglofrench	1.0	0.001893939393939394
ndp	1.0	0.0018867924528301887
refuse	1.0	1.7424638438752395E-4
trekking	1.0	0.0018281535648994515
bioethics	1.0	0.001692047377326565
convention	1.0	2.607561929595828E-4
zhou	1.0	0.0019011406844106464
fanfare	1.0	0.0016722408026755853
rentenmark	1.0	0.002028397565922921
berlioz	1.0	0.0019120458891013384
des	1.0	4.3010752688172043E-4
antiheroes	1.0	0.0020242914979757085
roof	1.0	2.484472049689441E-4
aesthetics	1.0	0.0012330456226880395
reaction	1.0	2.2163120567375886E-4
exposition	1.0	0.0012706480304955528
maestro	1.0	0.0013351134846461949
leak	1.0	6.720430107526882E-4
tough	1.0	3.053435114503817E-4
religious	1.0	1.657550140891762E-4
behavioral	1.0	0.0014792899408284023
promptly	1.0	7.380073800738007E-4
active	1.0	1.235635734585444E-4
hivaids	1.0	0.001081081081081081
keighley	1.0	0.0015923566878980893
nam	1.0	0.0012853470437017994
fence	1.0	5.512679162072767E-4
gardens	1.0	4.246284501061571E-4
andrea	1.0	0.0011363636363636363
noeud	1.0	0.002028397565922921
peacekeeping	1.0	0.0018587360594795538
unholy	1.0	0.0017889087656529517
legitimate	1.0	5.605381165919282E-4
politicsperformance	1.0	0.002028397565922921
armed	1.0	5.175983436853002E-4
arming	1.0	0.0018796992481203006
avantgardes	1.0	0.0020242914979757085
skelly	1.0	0.0019801980198019802
shaky	1.0	0.0015698587127158557
prerogative	1.0	0.0016207455429497568
therapeutic	1.0	6.544502617801048E-4
indication	1.0	3.979307600477517E-4
steven	1.0	6.25E-4
thu	1.0	4.5641259698767686E-4
flattenedon	1.0	0.002028397565922921
education	1.0	3.329559832190184E-5
atomic	1.0	7.698229407236335E-4
fanaticism	1.0	0.001838235294117647
landscape	1.0	1.7143836790673754E-4
tie	1.0	3.1756113051762465E-4
akkadian	1.0	0.0019157088122605363
shelby	1.0	0.0019120458891013384
pearson	1.0	0.0010050251256281408
mais	1.0	0.0018867924528301887
godblinded	1.0	0.002028397565922921
southtonorth	1.0	0.0020242914979757085
tunisia	1.0	0.0015772870662460567
staunchly	1.0	0.001976284584980237
equal	1.0	1.7464198393293747E-4
nonpartisan	1.0	0.001851851851851852
par	1.0	8.237232289950577E-4
snatch	1.0	0.0012165450121654502
tremendous	1.0	5.777007510109763E-4
larijani	1.0	0.002004008016032064
gram	1.0	0.0010330578512396695
regrettably	1.0	0.0015082956259426848
cities	1.0	0.0010845986984815619
rome	1.0	4.3535045711797995E-4
freeze	1.0	6.385696040868455E-4
inside	1.0	1.272264631043257E-4
separately	1.0	4.985044865403788E-4
custodian	1.0	0.0014124293785310734
prominent	1.0	5.288207297726071E-4
tom	1.0	2.0802995631370917E-4
controversy	1.0	6.997900629811056E-4
venezuelan	1.0	0.0016
advance	1.0	1.295840352468576E-4
historiographical	1.0	0.0019157088122605363
algemeiner	1.0	0.0020242914979757085
developmentshave	1.0	0.002028397565922921
pilot	1.0	2.0597322348094748E-4
militarisation	1.0	0.001953125
crosscurrents	1.0	0.0020242914979757085
shiitedominated	1.0	0.002028397565922921
rant	1.0	0.0010964912280701754
enormously	1.0	0.001075268817204301
plumber	1.0	0.0014577259475218659
influences	1.0	0.0018552875695732839
mistrust	1.0	0.0016863406408094434
toynbee	1.0	0.0017035775127768314
absorption	1.0	9.363295880149813E-4
permitted	1.0	0.0016207455429497568
chris	1.0	1.58052789631737E-4
weigh	1.0	4.434589800443459E-4
logic	1.0	4.108463434675431E-4
peaks	1.0	0.0016501650165016502
soas	1.0	0.0015503875968992248
cocaine	1.0	0.001288659793814433
music	1.0	4.615313610559837E-5
novice	1.0	8.051529790660225E-4
interagency	1.0	0.0015479876160990713
collapse	1.0	4.127115146512588E-4
winwood	1.0	0.001953125
nuti	1.0	0.0020161290322580645
carrier	1.0	4.894762604013706E-4
famously	1.0	0.0012919896640826874
nestle	1.0	0.0012062726176115801
europolice	1.0	0.0020242914979757085
publications	1.0	3.8153376573826786E-4
membernation	1.0	0.002028397565922921
optimum	1.0	8.045052292839903E-4
consistently	1.0	5.042864346949068E-4
theoretical	1.0	3.6310820624546115E-4
atlanticist	1.0	0.0020242914979757085
silence	1.0	4.6707146193367583E-4
discreetly	1.0	0.0017094017094017094
invigorate	1.0	0.0016025641025641025
harry	1.0	3.473428273706148E-4
antarctic	1.0	0.0010245901639344263
nonalignment	1.0	0.002012072434607646
eastward	1.0	0.0015384615384615385
spotlight	1.0	9.009009009009009E-4
broad	1.0	1.642845408247084E-4
votes	1.0	0.0015220700152207
dog	1.0	1.2960082944530845E-4
marisa	1.0	0.0019305019305019305
findesicle	1.0	0.0019880715705765406
documentation	1.0	2.975304968759298E-4
lords	1.0	4.610419548178884E-4
faction	1.0	0.001177856301531213
