WORD	FREQ	JACCARD SIMILARITY
pharmacy	1.0	5.797101449275362E-4
newcomer	1.0	8.944543828264759E-4
sacre	1.0	0.0018115942028985507
muga	1.0	0.0019569471624266144
bangladesh	1.0	0.0011148272017837235
entity	1.0	4.363001745200698E-4
suppose	1.0	1.979414093428345E-4
massive	1.0	2.57201646090535E-4
machinery	1.0	5.50357732526142E-4
cefn	1.0	0.0017889087656529517
vidal	1.0	0.0017730496453900709
welwyn	1.0	0.0015151515151515152
women	1.0	3.354579000335458E-4
suit	1.0	1.536806516059628E-4
mmr	1.0	0.0014204545454545455
tolerate	1.0	8.136696501220504E-4
origin	1.0	2.284669865204478E-4
onward	1.0	0.00125
environmentally	1.0	7.501875468867217E-4
arrest	1.0	3.2829940906106366E-4
hiac	1.0	0.0019569471624266144
passport	1.0	5.574136008918618E-4
ingest	1.0	0.0016207455429497568
parameter	1.0	2.5201612903225806E-4
reconstruct	1.0	0.0010893246187363835
sort	1.0	9.302325581395348E-5
rrthen	1.0	0.001976284584980237
departments	1.0	6.934812760055479E-4
ifas	1.0	0.0017271157167530224
constituent	1.0	7.032348804500703E-4
privately	1.0	7.112375533428165E-4
dispensing	1.0	0.0018796992481203006
path	1.0	1.475143826523086E-4
devils	1.0	0.0015873015873015873
inconvenience	1.0	0.0010070493454179255
fringe	1.0	6.756756756756757E-4
bid	1.0	2.6925148088314486E-4
subsidy	1.0	7.077140835102619E-4
pest	1.0	7.651109410864575E-4
minimum	1.0	1.3659336156262805E-4
visas	1.0	0.0017985611510791368
prosecutions	1.0	0.0018083182640144665
draftsman	1.0	0.0019157088122605363
trudgill	1.0	0.0019342359767891683
controls	1.0	0.001358695652173913
neuter	1.0	0.0013986013986013986
hazardous	1.0	7.587253414264037E-4
neighbour	1.0	2.503755633450175E-4
wow	1.0	7.541478129713424E-4
reduction	1.0	1.8542555164101615E-4
hempstead	1.0	0.001579778830963665
political	1.0	7.532389273877674E-5
details	1.0	3.875968992248062E-4
resubmission	1.0	0.0018484288354898336
vision	1.0	1.5382248884786957E-4
disabilitynetcouk	1.0	0.001976284584980237
validation	1.0	7.44047619047619E-4
pmpm	1.0	0.001326259946949602
serendipity	1.0	0.0017921146953405018
dyslexic	1.0	0.001564945226917058
amaze	1.0	8.19000819000819E-4
policies	1.0	0.001364256480218281
salford	1.0	8.944543828264759E-4
verification	1.0	7.974481658692185E-4
spirit	1.0	1.291655902867476E-4
stations	1.0	0.0012970168612191958
mutual	1.0	4.597701149425287E-4
valuable	1.0	2.0576131687242798E-4
obtaining	1.0	0.0017730496453900709
nosey	1.0	0.0018867924528301887
irritability	1.0	0.0017391304347826088
descriptioncomments	1.0	5.624296962879641E-4
okane	1.0	0.001451378809869376
past	1.0	5.7359183205231155E-5
christmas	1.0	1.539882968894364E-4
schengen	1.0	0.0018450184501845018
score	1.0	1.2924906294429367E-4
election	1.0	1.5250876925423213E-4
holborn	1.0	0.0014285714285714286
ordinary	1.0	2.6062027625749283E-4
bedir	1.0	0.001976284584980237
apprentice	1.0	9.115770282588879E-4
pwllheli	1.0	0.0018281535648994515
refurbish	1.0	7.047216349541931E-4
discrimination	1.0	3.056234718826406E-4
creative	1.0	1.626280696048138E-4
stevenage	1.0	0.0015105740181268882
football	1.0	1.5008254539996998E-4
hospitality	1.0	5.467468562055768E-4
collaboration	1.0	2.4295432458697764E-4
ohu	1.0	0.0019011406844106464
psychological	1.0	3.7993920972644377E-4
reaction	1.0	2.2099447513812155E-4
avenue	1.0	4.4682752457551384E-4
disgusting	1.0	0.0013812154696132596
podiatrist	1.0	0.0018148820326678765
night	1.0	5.012782595618828E-5
gis	1.0	0.001049317943336831
promptly	1.0	7.309941520467836E-4
competitive	1.0	2.4594195769798326E-4
wca	1.0	0.001736111111111111
stem	1.0	4.3196544276457883E-4
selectaglaze	1.0	0.00196078431372549
editor	1.0	1.4186409419775854E-4
instrumental	1.0	6.83526999316473E-4
ombudsman	1.0	7.57002271006813E-4
qasr	1.0	0.0019455252918287938
insurer	1.0	5.889281507656066E-4
energy	1.0	7.453786523553965E-5
sawbridgeworth	1.0	0.0019455252918287938
principals	1.0	0.0017211703958691911
renaissance	1.0	6.756756756756757E-4
obstruct	1.0	0.0012610340479192938
appraise	1.0	0.001326259946949602
risky	1.0	0.0010570824524312897
shine	1.0	4.870920603994155E-4
acceptability	1.0	0.001483679525222552
bridgnorth	1.0	0.001697792869269949
tif	1.0	0.0018656716417910447
uptake	1.0	0.0010395010395010396
equip	1.0	2.97441998810232E-4
division	1.0	1.4619883040935673E-4
anglican	1.0	8.347245409015025E-4
covenant	1.0	7.91765637371338E-4
mature	1.0	3.8880248833592535E-4
flour	1.0	8.183306055646482E-4
agricultural	1.0	2.80662363177098E-4
arousal	1.0	0.0017605633802816902
guidelines	1.0	7.304601899196494E-4
mandy	1.0	0.001282051282051282
roby	1.0	0.0019569471624266144
sore	1.0	9.216589861751152E-4
instruction	1.0	1.667778519012675E-4
pow	1.0	0.0014749262536873156
intervention	1.0	2.737476047084588E-4
barney	1.0	0.001594896331738437
exterior	1.0	8.81057268722467E-4
prise	1.0	2.277385561375541E-4
cookery	1.0	0.0011507479861910242
diocesan	1.0	0.0012836970474967907
screenings	1.0	0.0013986013986013986
addicted	1.0	0.0017889087656529517
portsmouths	1.0	0.0019723865877712033
living	1.0	2.1003990758244065E-4
significant	1.0	8.161266628580756E-5
harpplaying	1.0	0.001976284584980237
physically	1.0	5.488474204171241E-4
sant	1.0	0.0017035775127768314
woodcock	1.0	0.0014534883720930232
russet	1.0	0.0018656716417910447
buyer	1.0	3.2425421530479895E-4
quantity	1.0	2.905287623474724E-4
railing	1.0	0.0013550135501355014
intermediary	1.0	0.0010427528675703858
mto	1.0	0.0019569471624266144
nutritional	1.0	8.156606851549756E-4
branch	1.0	1.5634771732332708E-4
combine	1.0	1.3539128080151638E-4
auditor	1.0	6.035003017501509E-4
essence	1.0	5.515719801434088E-4
nutrient	1.0	6.906077348066298E-4
wwwpagetorguk	1.0	0.001976284584980237
boundary	1.0	2.3551577955723034E-4
inhibit	1.0	9.442870632672333E-4
integrate	1.0	2.5647601949217746E-4
vote	1.0	1.1946004061641381E-4
expense	1.0	2.2789425706472196E-4
transparency	1.0	6.626905235255136E-4
affairs	1.0	4.219409282700422E-4
prohibitive	1.0	0.0016778523489932886
heads	1.0	9.46073793755913E-4
passage	1.0	2.608242044861763E-4
proofreader	1.0	0.0019011406844106464
consistency	1.0	6.46830530401035E-4
reverse	1.0	3.3211557622052476E-4
extremely	1.0	1.5629884338855892E-4
msc	1.0	4.7938638542665386E-4
decisionmaking	1.0	6.297229219143577E-4
wwwtorticolliskidsorg	1.0	0.001976284584980237
lesson	1.0	1.7094017094017094E-4
marney	1.0	0.0017889087656529517
efficacy	1.0	9.208103130755065E-4
securityrelated	1.0	0.0019342359767891683
collection	1.0	6.607201850016519E-5
temple	1.0	3.414134516899966E-4
simple	1.0	6.87426960885406E-5
nonsmoke	1.0	0.0014858841010401188
rsgb	1.0	0.0019267822736030828
assurance	1.0	3.518648838845883E-4
oct	1.0	2.550369803621525E-4
postcoded	1.0	0.001949317738791423
jnr	1.0	0.0015384615384615385
pick	1.0	1.1966016513102789E-4
nick	1.0	2.6048450117218026E-4
irresponsible	1.0	0.00129366106080207
gem	1.0	8.116883116883117E-4
benfits	1.0	0.00196078431372549
carefully	1.0	2.2232103156958648E-4
disaster	1.0	3.803727653100038E-4
youngolder	1.0	0.001976284584980237
complex	1.0	1.1381743683132256E-4
retire	1.0	3.63901018922853E-4
severely	1.0	7.173601147776184E-4
windows	1.0	1.8583906337112061E-4
rospa	1.0	0.0015600624024961
zaldua	1.0	0.0019646365422396855
trend	1.0	2.4044241404183698E-4
dpp	1.0	0.0017667844522968198
books	1.0	3.51493848857645E-4
coordination	1.0	5.36480686695279E-4
purchase	1.0	9.389671361502347E-5
fundrais	1.0	9.31098696461825E-4
nonsexual	1.0	0.001941747572815534
thames	1.0	3.8476337052712584E-4
