WORD	FREQ	JACCARD SIMILARITY
pharmacy	1.0	5.793742757821553E-4
derrys	1.0	0.0019723865877712033
carvoeiro	1.0	0.001937984496124031
longaberger	1.0	0.00196078431372549
celebrity	1.0	5.065856129685917E-4
timber	1.0	4.7551117451260106E-4
petrol	1.0	5.820721769499418E-4
broomieknowe	1.0	0.0019723865877712033
steamy	1.0	0.0017857142857142857
calle	1.0	0.001834862385321101
invention	1.0	6.5359477124183E-4
owner	1.0	1.097574360662935E-4
socks	1.0	0.001658374792703151
inconveniecegina	1.0	0.0019723865877712033
overlook	1.0	3.869969040247678E-4
leigham	1.0	0.001968503937007874
administrative	1.0	3.1446540880503143E-4
ascot	1.0	0.0014992503748125937
die	1.0	7.59589821496392E-5
luncheon	1.0	0.0015174506828528073
capitol	1.0	0.0015174506828528073
harburn	1.0	0.001968503937007874
sex	1.0	2.4271844660194174E-4
sands	1.0	0.001098901098901099
miniature	1.0	9.000900090009E-4
wentworth	1.0	0.001483679525222552
diy	1.0	8.0E-4
graeme	1.0	0.0011560693641618498
crown	1.0	2.4390243902439024E-4
meaningful	1.0	6.082725060827251E-4
privately	1.0	7.107320540156361E-4
engineer	1.0	2.046245140167792E-4
gutta	1.0	0.0019342359767891683
vere	1.0	0.001669449081803005
treat	1.0	9.813542688910697E-5
illustrious	1.0	0.0014285714285714286
harleston	1.0	0.0018867924528301887
saltburn	1.0	0.0018552875695732839
pest	1.0	7.645259938837921E-4
chill	1.0	7.74593338497289E-4
shape	1.0	1.367053998632946E-4
crackdown	1.0	0.0015360983102918587
astoria	1.0	0.001736111111111111
youre	1.0	8.326394671107411E-4
neighbour	1.0	2.5031289111389235E-4
andor	1.0	1.6983695652173913E-4
tack	1.0	0.001326259946949602
lytham	1.0	0.0018083182640144665
archery	1.0	0.001610305958132045
dedicated	1.0	3.486750348675035E-4
gear	1.0	3.21853878339234E-4
greenkeeping	1.0	0.0018315018315018315
craigmillar	1.0	0.001890359168241966
tribute	1.0	5.05050505050505E-4
appointment	1.0	1.733402669440111E-4
efds	1.0	0.001968503937007874
representative	1.0	1.347164219318335E-4
sandra	1.0	9.861932938856016E-4
attire	1.0	0.0016155088852988692
torpoint	1.0	0.001869158878504673
hadley	1.0	0.0016474464579901153
effect	1.0	4.3790506218251886E-5
clarity	1.0	5.980861244019139E-4
spurt	1.0	0.0017574692442882249
sheffield	1.0	2.960331557134399E-4
wwwguernseytouristboardcom	1.0	0.0019723865877712033
tsgu	1.0	0.0019723865877712033
christmas	1.0	1.5396458814472672E-4
bid	1.0	2.6917900403768504E-4
ingestre	1.0	0.0019723865877712033
despair	1.0	8.431703204047217E-4
mutley	1.0	0.0019723865877712033
likewise	1.0	6.675567423230974E-4
ibiza	1.0	0.0015479876160990713
guys	1.0	0.0015174506828528073
info	1.0	2.0383204239706482E-4
rectangle	1.0	0.001388888888888889
political	1.0	7.531821947729155E-5
grandchild	1.0	0.001037344398340249
wwwvietnamgolfcoukgolfaccommodationhtm	1.0	0.0019569471624266144
preamble	1.0	0.0015600624024961
