WORD	FREQ	JACCARD SIMILARITY
pharmacy	1.0	5.793742757821553E-4
summer	1.0	8.29393713195654E-5
largely	1.0	2.4467824810374357E-4
pinkypushups	1.0	0.0019723865877712033
httpabaptistorg	1.0	0.0019723865877712033
massive	1.0	2.5713551041398817E-4
technologies	1.0	6.93000693000693E-4
plastic	1.0	2.8768699654775604E-4
expendable	1.0	0.0018083182640144665
materials	1.0	5.446623093681918E-4
slot	1.0	4.7460844803037496E-4
crusaders	1.0	0.0015174506828528073
dig	1.0	4.187604690117253E-4
possibly	1.0	1.901863826550019E-4
hislop	1.0	0.0018484288354898336
roar	1.0	0.0010030090270812437
dip	1.0	6.381620931716656E-4
fullstrength	1.0	0.0019305019305019305
undertake	1.0	9.933445912387007E-5
belief	1.0	2.025111381125962E-4
jewish	1.0	3.2310177705977385E-4
wwwfsagovuk	1.0	0.0019305019305019305
motherstobe	1.0	0.001937984496124031
facto	1.0	0.0013280212483399733
aronson	1.0	0.001876172607879925
webpage	1.0	8.340283569641367E-4
await	1.0	4.399472063352398E-4
noncon	1.0	0.0019569471624266144
kieron	1.0	0.0017857142857142857
suspicion	1.0	7.230657989877079E-4
superfinal	1.0	0.0019646365422396855
bury	1.0	3.15059861373661E-4
httpwwwlukuminu	1.0	0.0019723865877712033
opinion	1.0	1.2827090815802975E-4
repair	1.0	1.967729240456513E-4
clifford	1.0	0.001142857142857143
eachway	1.0	0.001953125
occasionally	1.0	3.6429872495446266E-4
writeup	1.0	0.0017271157167530224
kyoto	1.0	0.0011918951132300357
gear	1.0	3.21853878339234E-4
sale	1.0	6.454111268878275E-5
economic	1.0	8.111615833874107E-5
dove	1.0	0.0011668611435239206
httpwwwsympaticocazoroa	1.0	0.0019723865877712033
neck	1.0	4.3047783039173483E-4
mandate	1.0	7.92393026941363E-4
pioneer	1.0	3.972983710766786E-4
jzkuccie	1.0	0.0019723865877712033
sri	1.0	7.057163020465773E-4
spartan	1.0	0.0016286644951140066
bell	1.0	2.8169014084507044E-4
tabs	1.0	0.0018115942028985507
amaze	1.0	8.183306055646482E-4
immediately	1.0	1.337971635001338E-4
mid	1.0	3.201024327784891E-4
sheffield	1.0	2.960331557134399E-4
wagtails	1.0	0.0018181818181818182
princess	1.0	5.393743257820927E-4
style	1.0	7.669888019634913E-5
derek	1.0	5.733944954128441E-4
democracy	1.0	3.074085459575776E-4
slip	1.0	3.61794500723589E-4
correctly	1.0	3.866976024748647E-4
speaker	1.0	1.7143836790673754E-4
oed	1.0	0.0017889087656529517
stamp	1.0	4.1050903119868636E-4
usual	1.0	1.8474043968224645E-4
lewisham	1.0	0.0011494252873563218
restoration	1.0	4.0666937779585197E-4
objection	1.0	5.422993492407809E-4
httpwwwcounterordercomin	1.0	0.0019723865877712033
httpwwwaapsedacukcommitteessenateugscrecentguideindexhtm	1.0	0.001968503937007874
kind	1.0	6.879944960440316E-5
thorpe	1.0	0.0012315270935960591
scientist	1.0	1.901863826550019E-4
stigma	1.0	0.0012484394506866417
hicks	1.0	0.0013679890560875513
shame	1.0	4.901960784313725E-4
ofr	1.0	0.001669449081803005
headquarters	1.0	4.96031746031746E-4
attention	1.0	1.0926573426573427E-4
vaccine	1.0	5.988023952095808E-4
stilt	1.0	0.0015873015873015873
dissertation	1.0	4.7824007651841227E-4
scout	1.0	6.489292667099286E-4
obtain	1.0	8.532423208191126E-5
uncertainty	1.0	5.0E-4
ambitious	1.0	5.963029218843172E-4
mission	1.0	1.858736059479554E-4
damn	1.0	7.22543352601156E-4
grt	1.0	0.0017985611510791368
shiny	1.0	0.0011135857461024498
flower	1.0	1.9470404984423675E-4
undergo	1.0	4.2319085907744394E-4
httpstarburstcardscomkarl	1.0	0.0019723865877712033
propose	1.0	9.669309611293753E-5
downhill	1.0	0.0011862396204033216
bowler	1.0	0.0011862396204033216
intake	1.0	5.76036866359447E-4
damp	1.0	7.283321194464676E-4
chancellor	1.0	4.743833017077799E-4
center	1.0	2.1290185224611454E-4
shine	1.0	4.868549172346641E-4
alesi	1.0	0.0019342359767891683
formation	1.0	2.7495188342040145E-4
plymouth	1.0	5.675368898978433E-4
curl	1.0	0.0010449320794148381
uptake	1.0	0.0010384215991692627
argue	1.0	1.43143429716576E-4
french	1.0	1.2313754463735992E-4
proofing	1.0	0.00186219739292365
mum	1.0	3.2102728731942215E-4
illusion	1.0	8.417508417508417E-4
untested	1.0	0.0016863406408094434
cbt	1.0	0.0014064697609001407
fellowship	1.0	4.5558086560364467E-4
arko	1.0	0.001968503937007874
bread	1.0	4.297378599054577E-4
learner	1.0	2.8620492272467084E-4
tshirt	1.0	7.507507507507507E-4
dickie	1.0	0.001567398119122257
tom	1.0	2.0742584526031943E-4
rambling	1.0	0.0016806722689075631
tetrad	1.0	0.001937984496124031
mountbatten	1.0	0.0017271157167530224
timehopefully	1.0	0.0019723865877712033
stern	1.0	9.727626459143969E-4
cargill	1.0	0.0018484288354898336
orchard	1.0	9.216589861751152E-4
widely	1.0	2.2841480127912289E-4
unpleasant	1.0	9.671179883945841E-4
blogger	1.0	0.0014947683109118087
emerge	1.0	1.8162005085361425E-4
amisulpride	1.0	0.0019569471624266144
extended	1.0	3.9541320680110717E-4
lake	1.0	2.190580503833516E-4
mst	1.0	0.001652892561983471
kathy	1.0	0.0011627906976744186
butterfly	1.0	6.527415143603133E-4
hunter	1.0	5.296610169491525E-4
grc	1.0	0.0019193857965451055
tmt	1.0	0.0018796992481203006
fouls	1.0	0.001968503937007874
reference	1.0	6.736728644570196E-5
heart	1.0	7.167944950182782E-5
stakes	1.0	0.0014534883720930232
immediatly	1.0	0.0019120458891013384
welfare	1.0	2.247696111485727E-4
franks	1.0	0.0017271157167530224
coverage	1.0	2.3441162681669012E-4
portable	1.0	5.096839959225281E-4
campign	1.0	0.00196078431372549
harry	1.0	3.456619426201175E-4
pre	1.0	5.624296962879641E-4
confirm	1.0	1.2413108242303873E-4
edward	1.0	3.0395136778115504E-4
berlin	1.0	5.803830528148578E-4
museum	1.0	1.0237510237510238E-4
flexible	1.0	2.1982853374367993E-4
institute	1.0	9.714396735962697E-5
accommodation	1.0	1.1554015020219527E-4
replace	1.0	1.1436413540713633E-4
prime	1.0	1.7439832577607255E-4
actual	1.0	2.0234722784297855E-4
gas	1.0	1.4624159110851126E-4
