WORD	FREQ	JACCARD SIMILARITY
pharmacy	1.0	5.790387955993051E-4
framlingham	1.0	0.0019011406844106464
swan	1.0	7.782101167315176E-4
slope	1.0	4.253509145044662E-4
cluster	1.0	3.8819875776397513E-4
danish	1.0	9.569377990430622E-4
arthur	1.0	4.399472063352398E-4
tomb	1.0	7.78816199376947E-4
welwyn	1.0	0.0015105740181268882
medieval	1.0	3.0892801977139327E-4
huntingdon	1.0	0.0013774104683195593
mccausland	1.0	0.001949317738791423
campbell	1.0	5.336179295624333E-4
parsons	1.0	0.001081081081081081
scapegoat	1.0	0.0016863406408094434
yield	1.0	3.8925652004671076E-4
rutt	1.0	0.0019120458891013384
alcester	1.0	0.0018656716417910447
gould	1.0	0.0013477088948787063
tweedale	1.0	0.0019305019305019305
investiga	1.0	0.001968503937007874
concern	1.0	4.3896229313901934E-5
innovation	1.0	2.221235006663705E-4
regulation	1.0	9.642271719217047E-5
direction	1.0	1.1951715071112705E-4
pate	1.0	0.0017391304347826088
warminster	1.0	0.0016
dogmobile	1.0	0.001968503937007874
golfmost	1.0	0.001968503937007874
administration	1.0	1.5552099533437013E-4
jane	1.0	3.3534540576794097E-4
devils	1.0	0.0015822784810126582
outperform	1.0	0.0014727540500736377
collar	1.0	8.733624454148472E-4
eyebrow	1.0	0.0013280212483399733
mla	1.0	0.0013157894736842105
attribute	1.0	2.6752273943285177E-4
newsquest	1.0	0.0018214936247723133
score	1.0	1.292156609381057E-4
agreement	1.0	9.344921035417251E-5
disadvantage	1.0	5.361930294906167E-4
opponent	1.0	4.306632213608958E-4
impact	1.0	7.211365111415591E-5
amer	1.0	0.0017953321364452424
appleby	1.0	0.0014749262536873156
details	1.0	3.872966692486445E-4
adolescent	1.0	7.955449482895784E-4
aberdare	1.0	0.0017574692442882249
newsham	1.0	0.0018832391713747645
spirit	1.0	1.2913223140495868E-4
hugely	1.0	7.396449704142012E-4
wilsons	1.0	0.0017699115044247787
shipley	1.0	0.001567398119122257
quote	1.0	1.168907071887785E-4
mutual	1.0	4.5934772622875517E-4
httpwwwmmuacukmicromouseshtml	1.0	0.001968503937007874
mgsonline	1.0	0.0019646365422396855
mix	1.0	1.598721023181455E-4
stevenage	1.0	0.0015060240963855422
endowed	1.0	0.0018975332068311196
stuart	1.0	4.1050903119868636E-4
apparently	1.0	2.31000231000231E-4
speaker	1.0	1.7140898183064793E-4
won	1.0	0.0013774104683195593
min	1.0	2.964719833975689E-4
longworth	1.0	0.0019083969465648854
earl	1.0	6.056935190793458E-4
ordain	1.0	0.0011560693641618498
dec	1.0	2.911208151382824E-4
election	1.0	1.5246226558926666E-4
elect	1.0	2.3691068467187872E-4
worked	1.0	0.0017543859649122807
acton	1.0	0.0013440860215053765
llandderfel	1.0	0.0019455252918287938
unipart	1.0	0.0018796992481203006
extensively	1.0	6.635700066357001E-4
benefit	1.0	4.1869033662703066E-5
scotty	1.0	0.0018248175182481751
budget	1.0	1.4972301242701004E-4
hollingworth	1.0	0.0018315018315018315
kemp	1.0	0.001215066828675577
amazement	1.0	0.001447178002894356
wilma	1.0	0.0017857142857142857
httpwwwkingsparkbournemouthschukpolicypolicyinclusionpdf	1.0	0.001968503937007874
higher	1.0	2.4888003982080636E-4
townhall	1.0	0.001890359168241966
constable	1.0	6.561679790026247E-4
worker	1.0	9.46163307786924E-5
masonic	1.0	0.0015151515151515152
booth	1.0	8.620689655172414E-4
cohesion	1.0	0.0011441647597254005
moore	1.0	5.122950819672131E-4
floyd	1.0	0.0012300123001230013
masson	1.0	0.00186219739292365
initial	1.0	1.362583458236817E-4
refurbish	1.0	7.037297677691766E-4
tim	1.0	2.991325157044571E-4
night	1.0	5.0122800862112174E-5
wch	1.0	0.0014347202295552368
weekend	1.0	1.1802195208308746E-4
equip	1.0	2.9726516052318666E-4
shift	1.0	2.3121387283236994E-4
stem	1.0	4.3159257660768235E-4
psychological	1.0	3.7965072133637056E-4
anglia	1.0	7.79423226812159E-4
reverend	1.0	0.0011467889908256881
agricultural	1.0	2.8050490883590464E-4
crosschannel	1.0	0.001841620626151013
sewell	1.0	0.0014144271570014145
educated	1.0	0.0018214936247723133
bricklaying	1.0	0.0019083969465648854
ohn	1.0	0.0019342359767891683
tom	1.0	2.0738282870178348E-4
destroy	1.0	2.1312872975277067E-4
energy	1.0	7.452675510508272E-5
campion	1.0	0.0016260162601626016
aberlour	1.0	0.0018450184501845018
saps	1.0	0.0018214936247723133
perception	1.0	2.9895366218236175E-4
editor	1.0	1.4182385477237272E-4
weight	1.0	1.321527686005022E-4
southall	1.0	0.0014992503748125937
wrestlers	1.0	0.0019646365422396855
prosaic	1.0	0.0017574692442882249
frame	1.0	1.8005041411595248E-4
reader	1.0	1.038961038961039E-4
attrition	1.0	0.0015313935681470138
alternative	1.0	1.0471204188481675E-4
matched	1.0	0.001937984496124031
carrot	1.0	0.0010449320794148381
swallow	1.0	7.44047619047619E-4
adamant	1.0	0.0014814814814814814
httpwwwnlgflorguk	1.0	0.001968503937007874
division	1.0	1.4615609470914936E-4
bloomfield	1.0	0.0016420361247947454
accommodate	1.0	3.769317753486619E-4
gonville	1.0	0.0018867924528301887
urton	1.0	0.001968503937007874
barnes	1.0	9.70873786407767E-4
advice	1.0	4.849425343096843E-5
harry	1.0	3.455425017277125E-4
mens	1.0	0.001004016064257028
respect	1.0	8.849557522123894E-5
confirm	1.0	1.2411567580985477E-4
abolition	1.0	0.0011061946902654867
doc	1.0	8.56898029134533E-4
windy	1.0	0.0011261261261261261
pot	1.0	3.9840637450199205E-4
ermysteds	1.0	0.001968503937007874
converted	1.0	0.0013227513227513227
employ	1.0	1.4359563469270534E-4
valueadded	1.0	0.0015408320493066256
judges	1.0	0.0012953367875647669
payment	1.0	9.552923194497516E-5
fletcher	1.0	9.380863039399625E-4
apprentices	1.0	0.0018450184501845018
ramsgate	1.0	0.0016051364365971107
web	1.0	3.6561734488684145E-5
fire	1.0	7.376807317792859E-5
prove	1.0	9.801038910124473E-5
wogan	1.0	0.001851851851851852
wynd	1.0	0.0018552875695732839
reestablish	1.0	0.0012345679012345679
churches	1.0	9.652509652509653E-4
westcliff	1.0	0.001876172607879925
johnson	1.0	3.3101621979476995E-4
anchester	1.0	0.00196078431372549
rundown	1.0	0.0015290519877675841
simple	1.0	6.873324627122139E-5
notices	1.0	0.0012165450121654502
mitton	1.0	0.0019083969465648854
clever	1.0	6.265664160401002E-4
finland	1.0	8.210180623973727E-4
knowles	1.0	0.0013568521031207597
stokeontrent	1.0	0.001326259946949602
considerable	1.0	2.0855057351407716E-4
kilbride	1.0	0.0016638935108153079
emergence	1.0	7.674597083653108E-4
mosley	1.0	0.0017857142857142857
doze	1.0	0.001718213058419244
egalitarian	1.0	0.001567398119122257
dutton	1.0	0.0016638935108153079
completion	1.0	2.664535038635758E-4
lampton	1.0	0.001949317738791423
bias	1.0	5.446623093681918E-4
marchioness	1.0	0.0018656716417910447
pgce	1.0	0.0013386880856760374
opinion	1.0	1.2825445684237527E-4
ragged	1.0	0.0015267175572519084
circa	1.0	9.293680297397769E-4
newington	1.0	0.0016638935108153079
norse	1.0	0.0015455950540958269
mph	1.0	5.367686527106817E-4
influx	1.0	0.0013351134846461949
mccandlish	1.0	0.001949317738791423
ealing	1.0	0.001326259946949602
hawkinge	1.0	0.0019569471624266144
easter	1.0	4.737091425864519E-4
catchment	1.0	0.0010940919037199124
welshspeaking	1.0	0.0019120458891013384
chorister	1.0	0.001697792869269949
sting	1.0	0.001128668171557562
jacqueline	1.0	0.0013422818791946308
apology	1.0	6.353240152477764E-4
gcses	1.0	0.0012610340479192938
nick	1.0	2.603488674824265E-4
illness	1.0	2.521432173474534E-4
extent	1.0	1.7448961786773688E-4
duchess	1.0	0.0011037527593818985
britain	1.0	7.076640011322624E-5
identify	1.0	5.676657584014532E-5
hurrell	1.0	0.0019193857965451055
volunteer	1.0	1.2131505519835011E-4
highway	1.0	4.901960784313725E-4
tue	1.0	4.5167118337850043E-4
confident	1.0	3.0892801977139327E-4
alfred	1.0	8.136696501220504E-4
crewkerne	1.0	0.0019267822736030828
herne	1.0	0.001669449081803005
odd	1.0	2.717391304347826E-4
doctorate	1.0	0.0011876484560570072
stratforduponavon	1.0	0.0015015015015015015
pound	1.0	2.3408239700374532E-4
medium	1.0	7.103786318107552E-5
richmal	1.0	0.0019455252918287938
investigation	1.0	1.5913430935709738E-4
peck	1.0	0.0014347202295552368
regularly	1.0	1.9334880123743234E-4
clough	1.0	0.0015037593984962407
wwwchoxorguk	1.0	0.0019646365422396855
coopted	1.0	0.0018484288354898336
quicktime	1.0	0.001366120218579235
gavin	1.0	8.936550491510277E-4
reflection	1.0	3.63901018922853E-4
carefully	1.0	2.2222222222222223E-4
trustees	1.0	8.695652173913044E-4
lara	1.0	0.001488095238095238
jennaorkneytodaycouk	1.0	0.001968503937007874
outcome	1.0	1.4755791648221928E-4
ultima	1.0	0.0017921146953405018
ballyclare	1.0	0.0019120458891013384
ideal	1.0	1.3787398317937404E-4
understanding	1.0	9.100837277029486E-5
hertfordshire	1.0	6.430868167202572E-4
internal	1.0	1.4723203769140164E-4
craigorkneytodaycouk	1.0	0.001968503937007874
ampm	1.0	8.230452674897119E-4
purchase	1.0	9.38790837401427E-5
karen	1.0	5.640157924421884E-4
heanorians	1.0	0.001968503937007874
wren	1.0	0.0012106537530266344
scott	1.0	3.0959752321981426E-4
messrs	1.0	0.0012195121951219512
tobacconist	1.0	0.0019157088122605363
keenly	1.0	0.0015082956259426848
allmale	1.0	0.001890359168241966
divide	1.0	1.9857029388403494E-4
alevel	1.0	8.312551953449709E-4
powerful	1.0	1.6911889058007779E-4
neutralise	1.0	0.001597444089456869
monthly	1.0	2.5233409033560434E-4
presenting	1.0	0.0017452006980802793
swain	1.0	0.0017006802721088435
simon	1.0	2.1791239921551536E-4
wonderfully	1.0	8.849557522123894E-4
