WORD	FREQ	JACCARD SIMILARITY
profession	1.0	3.0950170225936243E-4
italianate	1.0	0.0018832391713747645
possibly	1.0	1.9073049780659929E-4
cluster	1.0	3.90625E-4
wwwofgemgovuktempofgemcachecmsattachfinalpublishedversionpdfwtfromofgemi	1.0	0.0020325203252032522
wwwtendersdirectcouknewsppfidshownewsasp	1.0	0.0020325203252032522
massive	1.0	2.581311306143521E-4
enumerate	1.0	0.001567398119122257
szepesy	1.0	0.0020325203252032522
thq	1.0	0.0019193857965451055
scour	1.0	0.001524390243902439
environmentally	1.0	7.58150113722517E-4
bombs	1.0	0.0018248175182481751
angiographies	1.0	0.0020325203252032522
throw	1.0	1.584032947885316E-4
coaches	1.0	0.0014347202295552368
circulation	1.0	6.565988181221273E-4
buffy	1.0	0.0010822510822510823
sands	1.0	0.0011173184357541898
algarvebased	1.0	0.0020325203252032522
tranquillity	1.0	0.001402524544179523
wit	1.0	7.8003120124805E-4
jockey	1.0	0.0012254901960784314
jewish	1.0	3.246753246753247E-4
swansea	1.0	4.6125461254612545E-4
formed	1.0	0.0017271157167530224
discipline	1.0	2.1645021645021645E-4
scholarship	1.0	4.0E-4
psp	1.0	0.0011641443538998836
multiskilled	1.0	0.0019011406844106464
sibson	1.0	0.0020
shape	1.0	1.36986301369863E-4
objection	1.0	5.467468562055768E-4
neighbour	1.0	2.512562814070352E-4
triodos	1.0	0.0017421602787456446
disabilitiesxxx	1.0	0.0020325203252032522
abolition	1.0	0.0011261261261261261
aston	1.0	7.473841554559044E-4
belief	1.0	2.0312817387771684E-4
biofuels	1.0	0.0015360983102918587
burp	1.0	0.001890359168241966
capable	1.0	2.726281352235551E-4
oft	1.0	9.276437847866419E-4
coreldraw	1.0	0.0018726591760299626
functional	1.0	4.5599635202918376E-4
shirl	1.0	0.0020
amaze	1.0	8.285004142502071E-4
caxton	1.0	0.001869158878504673
c++unix	1.0	0.0020325203252032522
willingness	1.0	7.668711656441718E-4
roast	1.0	9.541984732824427E-4
sheffield	1.0	2.973535533749628E-4
valuable	1.0	2.063557573256294E-4
contractor	1.0	3.4317089910775565E-4
wht	1.0	0.0019120458891013384
slip	1.0	3.637686431429611E-4
redemption	1.0	0.0010080645161290322
murray	1.0	5.537098560354374E-4
tobacco	1.0	5.571030640668524E-4
possibility	1.0	1.670564650851988E-4
court	1.0	5.99880023995201E-5
command	1.0	1.4738393515106854E-4
capabilty	1.0	0.00202020202020202
mjb	1.0	0.0018832391713747645
bike	1.0	2.2851919561243144E-4
private	1.0	6.483402489626556E-5
wwwsparksdatacoukrefocusredesignshowdocaspdocidaccnum	1.0	0.002028397565922921
stunning	1.0	3.439972480220158E-4
clifford	1.0	0.0011627906976744186
martial	1.0	9.578544061302681E-4
dale	1.0	8.547008547008547E-4
bread	1.0	4.3252595155709344E-4
refugee	1.0	3.992015968063872E-4
shame	1.0	4.938271604938272E-4
turkmenistan	1.0	0.0018656716417910447
spanish	1.0	2.7159152634437803E-4
rates	1.0	0.0011695906432748538
supporters	1.0	0.0019230769230769232
wills	1.0	0.0014684287812041115
mrdf	1.0	0.00199203187250996
obtain	1.0	8.543357539513029E-5
regulator	1.0	5.359056806002144E-4
awards	1.0	3.1746031746031746E-4
imaginative	1.0	7.656967840735069E-4
ambitious	1.0	6.016847172081829E-4
bargain	1.0	7.44047619047619E-4
flower	1.0	1.9527436047646945E-4
flexible	1.0	2.2055580061755624E-4
turkish	1.0	7.423904974016332E-4
novelty	1.0	0.001148105625717566
expenditure	1.0	3.6010082823190496E-4
photonics	1.0	0.0017921146953405018
discount	1.0	2.390057361376673E-4
gas	1.0	1.465630954125751E-4
caroline	1.0	6.325110689437065E-4
excite	1.0	5.977286312014345E-4
rescue	1.0	2.658160552897395E-4
climber	1.0	0.0010460251046025104
traffic	1.0	1.3370771493515177E-4
sitting	1.0	0.001697792869269949
immediately	1.0	1.340662287169862E-4
lancashire	1.0	5.047955577990914E-4
venturefest	1.0	0.002012072434607646
preparation	1.0	2.06058108386565E-4
slp	1.0	0.00186219739292365
cap	1.0	3.736920777279522E-4
pension	1.0	1.6778523489932885E-4
servers	1.0	0.0015267175572519084
toy	1.0	2.93513354857646E-4
turtle	1.0	0.0010869565217391304
abandon	1.0	3.866976024748647E-4
gap	1.0	1.9565642731363725E-4
pra	1.0	0.0017452006980802793
incoming	1.0	8.032128514056225E-4
stability	1.0	3.679175864606328E-4
perception	1.0	3.0039050765995795E-4
talent	1.0	2.8328611898016995E-4
payroll	1.0	9.596928982725527E-4
reliance	1.0	8.620689655172414E-4
children	1.0	2.1244954323348204E-4
protect	1.0	9.960159362549801E-5
ilario	1.0	0.0020325203252032522
bucks	1.0	0.0012077294685990338
