WORD	FREQ	JACCARD SIMILARITY
analyzing	1.0	0.001968503937007874
institutional	1.0	4.589261128958238E-4
incentive	1.0	4.8496605237633366E-4
negative	1.0	2.3014959723820482E-4
junction	1.0	3.125E-4
cyclic	1.0	0.0016181229773462784
geophysical	1.0	0.0014285714285714286
secret	1.0	2.127659574468085E-4
illegal	1.0	3.4223134839151266E-4
context	1.0	1.0757314974182444E-4
invisible	1.0	7.272727272727272E-4
exposition	1.0	0.0012658227848101266
noncompliance	1.0	0.001451378809869376
heartland	1.0	0.001594896331738437
plusminus	1.0	0.0020
onwards	1.0	5.714285714285715E-4
maxwell	1.0	0.0011273957158962795
george	1.0	1.1928903733746869E-4
kilometre	1.0	7.955449482895784E-4
shock	1.0	3.356831151393085E-4
acidsfish	1.0	0.0020161290322580645
ozoneforming	1.0	0.0020161290322580645
newer	1.0	0.0019120458891013384
lock	1.0	1.847063169560399E-4
origin	1.0	2.289901534234028E-4
mbt	1.0	0.001937984496124031
monday	1.0	1.1066843736166445E-4
rift	1.0	0.0011904761904761906
em	1.0	5.277044854881266E-4
working	1.0	1.1828720132481665E-4
skinny	1.0	0.0016286644951140066
forms	1.0	0.0010204081632653062
die	1.0	7.60225026607876E-5
absence	1.0	2.817695125387433E-4
jacques	1.0	0.0011441647597254005
debi	1.0	0.0019342359767891683
ecofriendly	1.0	0.0017301038062283738
biotechnology	1.0	6.108735491753207E-4
atm	1.0	0.0012642225031605564
oerlemans	1.0	0.0019880715705765406
player	1.0	6.4279745452208E-5
involved	1.0	8.873114463176575E-4
synthetic	1.0	8.77963125548727E-4
industrialized	1.0	0.0018867924528301887
versus	1.0	6.389776357827476E-4
fault	1.0	3.254149040026033E-4
provisional	1.0	7.698229407236335E-4
headline	1.0	4.597701149425287E-4
farmland	1.0	0.0011098779134295228
fiddle	1.0	9.950248756218905E-4
angle	1.0	3.223726627981947E-4
brookes	1.0	0.0010548523206751054
adaptation	1.0	5.827505827505828E-4
largescale	1.0	7.8125E-4
contaminated	1.0	0.0010362694300518134
sunlight	1.0	9.42507068803016E-4
studentship	1.0	9.99000999000999E-4
collective	1.0	3.966679888932963E-4
sidlerstrasse	1.0	0.0020161290322580645
breathe	1.0	5.672149744753262E-4
spaces	1.0	0.001321003963011889
positioning	1.0	8.271298593879239E-4
httprenewableenergyaccesscomreanewsstoryid	1.0	0.002012072434607646
neighbour	1.0	2.51004016064257E-4
combined	1.0	4.1736227045075126E-4
comfortable	1.0	2.370791844476055E-4
sole	1.0	3.7439161362785476E-4
ejaz	1.0	0.002004008016032064
venezuela	1.0	0.0011337868480725624
hadcm	1.0	0.0019723865877712033
leak	1.0	6.706908115358819E-4
sisters	1.0	0.0012135922330097086
random	1.0	4.154549231408392E-4
intervene	1.0	7.727975270479134E-4
describes	1.0	0.0019723865877712033
shot	1.0	2.0652622883106156E-4
refrigerant	1.0	0.0019047619047619048
autumn	1.0	2.666666666666667E-4
chevrontexaco	1.0	0.001976284584980237
tel	1.0	9.887284951552304E-5
incineration	1.0	0.0014727540500736377
hadley	1.0	0.0016778523489932886
liberal	1.0	3.147623544224111E-4
rare	1.0	1.9932230416583617E-4
tennesseans	1.0	0.0020161290322580645
mourned	1.0	0.0020161290322580645
reclaim	1.0	8.680555555555555E-4
melanie	1.0	0.0012062726176115801
competitiveness	1.0	9.407337723424271E-4
irony	1.0	0.0010775862068965517
barclays	1.0	0.0010245901639344263
christmas	1.0	1.5422578655151142E-4
husbandry	1.0	0.0014684287812041115
apr	1.0	2.8653295128939826E-4
jarman	1.0	0.0017035775127768314
spray	1.0	6.289308176100629E-4
reward	1.0	2.9163021289005544E-4
edwards	1.0	6.222775357809583E-4
thursday	1.0	1.305994514823038E-4
begins	1.0	0.001567398119122257
active	1.0	1.2351778656126481E-4
dtidefra	1.0	0.002012072434607646
apd	1.0	0.0018181818181818182
southern	1.0	2.008838891120932E-4
prompt	1.0	3.455425017277125E-4
mode	1.0	1.877581674802854E-4
stress	1.0	1.6846361185983828E-4
delight	1.0	1.9519812609798947E-4
cy	1.0	0.0017543859649122807
kind	1.0	6.885155604516663E-5
tanveer	1.0	0.002012072434607646
nocost	1.0	0.00196078431372549
contact	1.0	2.4176196117302902E-5
extensively	1.0	6.688963210702341E-4
escalate	1.0	0.0011402508551881414
wwwchroncomdispstorymplapfnhtml	1.0	0.0020161290322580645
variable	1.0	2.1848372296263927E-4
neglect	1.0	5.743825387708214E-4
integrating	1.0	0.0017331022530329288
tomorrow	1.0	2.875215641173088E-4
diary	1.0	3.315649867374005E-4
engined	1.0	0.0018050541516245488
prize	1.0	5.405405405405405E-4
cl	1.0	0.0012330456226880395
internet	1.0	5.5487737210076573E-5
cross	1.0	8.760402978537013E-5
fear	1.0	1.4130281192595732E-4
galaxy	1.0	7.547169811320754E-4
relate	1.0	6.003842459173871E-5
mushroom	1.0	9.033423667570009E-4
acceptable	1.0	2.9895366218236175E-4
kyotolite	1.0	0.0020161290322580645
treasury	1.0	4.889975550122249E-4
extinction	1.0	0.001148105625717566
years	1.0	4.897159647404506E-4
brian	1.0	2.554278416347382E-4
taxation	1.0	5.844535359438924E-4
quadrupling	1.0	0.002004008016032064
coordinator	1.0	2.9886431560071725E-4
mammal	1.0	7.230657989877079E-4
minor	1.0	2.5157232704402514E-4
strategic	1.0	1.6294606485253382E-4
wwwbnamericascomstoryjspsectornoticiaidiomai	1.0	0.0020161290322580645
destruction	1.0	3.5676061362825543E-4
existing	1.0	1.3138877939823938E-4
planting	1.0	8.084074373484236E-4
surrender	1.0	7.739938080495357E-4
disparity	1.0	0.001443001443001443
frequency	1.0	3.0845157310302283E-4
brothers	1.0	8.183306055646482E-4
stream	1.0	2.1570319240724764E-4
congestion	1.0	6.802721088435374E-4
earthquake	1.0	7.78816199376947E-4
sack	1.0	6.775067750677507E-4
candidate	1.0	1.3352917612498332E-4
airport	1.0	1.6471750947125678E-4
integration	1.0	3.0321406913280777E-4
telegraph	1.0	4.8496605237633366E-4
attractive	1.0	2.5316455696202533E-4
obscure	1.0	6.476683937823834E-4
robinson	1.0	4.578754578754579E-4
contacts	1.0	0.0011185682326621924
gazprom	1.0	0.0018832391713747645
insist	1.0	3.641660597232338E-4
unkle	1.0	0.001890359168241966
confer	1.0	7.6103500761035E-4
lounge	1.0	4.1893590280687055E-4
redirect	1.0	0.0012300123001230013
allen	1.0	4.861448711716091E-4
flooding	1.0	9.140767824497258E-4
requirement	1.0	6.503642039542144E-5
penalty	1.0	2.757859900717044E-4
orkney	1.0	6.882312456985547E-4
disappoint	1.0	5.271481286241434E-4
mighty	1.0	6.91085003455425E-4
petersburg	1.0	0.0013422818791946308
hemisphere	1.0	0.0011976047904191617
instantly	1.0	6.30119722747322E-4
capitalist	1.0	7.407407407407407E-4
indefinitely	1.0	0.00130718954248366
thinker	1.0	0.0010030090270812437
trace	1.0	2.722570106180234E-4
hazard	1.0	4.952947003467063E-4
dry	1.0	1.6619577862722287E-4
delegate	1.0	2.848191398461977E-4
taker	1.0	0.0015873015873015873
promising	1.0	8.216926869350862E-4
usmn	1.0	0.0020161290322580645
urban	1.0	2.09819555182543E-4
democrat	1.0	7.369196757553427E-4
ai	1.0	6.349206349206349E-4
ton	1.0	6.662225183211193E-4
quarry	1.0	6.016847172081829E-4
wwwdefragovuk	1.0	0.0019455252918287938
instance	1.0	1.584786053882726E-4
networks	1.0	8.230452674897119E-4
michael	1.0	1.312852829197847E-4
milankovitch	1.0	0.002004008016032064
destroy	1.0	2.1367521367521368E-4
petsonk	1.0	0.0020161290322580645
departmental	1.0	5.988023952095808E-4
heating	1.0	3.7037037037037035E-4
index	1.0	1.3049719431032232E-4
mugabe	1.0	0.0015082956259426848
wwwbweacommedialatesthtml	1.0	0.0020161290322580645
wellunderstood	1.0	0.001953125
katrina	1.0	0.0014684287812041115
ro	1.0	0.001358695652173913
newbooks	1.0	0.002012072434607646
pacemaker	1.0	0.0017482517482517483
unable	1.0	1.9790223629527012E-4
newly	1.0	3.18775900541919E-4
association	1.0	5.9930480642454755E-5
widely	1.0	2.289901534234028E-4
employment	1.0	1.0368066355624676E-4
httpbreakingnewsiolienewsstoryaspjpyzz	1.0	0.0020161290322580645
automobile	1.0	0.001215066828675577
street	1.0	4.892607270414404E-5
socialist	1.0	4.224757076468103E-4
kergna	1.0	0.002012072434607646
associates	1.0	7.451564828614009E-4
determine	1.0	9.481369109699441E-5
dispute	1.0	2.787068004459309E-4
ultimate	1.0	3.33555703802535E-4
iis	1.0	0.0015723270440251573
annually	1.0	4.6490004649000463E-4
billion	1.0	9.124087591240876E-4
battelle	1.0	0.001968503937007874
stateoftheart	1.0	8.673026886383347E-4
correct	1.0	1.3513513513513514E-4
holle	1.0	0.002004008016032064
uncontrolled	1.0	0.0014641288433382138
enjoy	1.0	6.083835249741437E-5
