WORD	FREQ	JACCARD SIMILARITY
pharmacy	1.0	5.793742757821553E-4
plastic	1.0	2.8768699654775604E-4
computerise	1.0	0.0011235955056179776
cluster	1.0	3.883495145631068E-4
lady	1.0	1.774622892635315E-4
selfcompletion	1.0	0.0018726591760299626
antrimnet	1.0	0.0019723865877712033
brigade	1.0	6.038647342995169E-4
cordis	1.0	0.0019083969465648854
spec	1.0	9.615384615384616E-4
classroom	1.0	2.8376844494892167E-4
amateur	1.0	6.075334143377885E-4
machinery	1.0	5.5005500550055E-4
ideally	1.0	4.2716787697565144E-4
engagement	1.0	3.965107057890563E-4
conjecture	1.0	0.0013227513227513227
slot	1.0	4.7460844803037496E-4
wycombe	1.0	9.910802775024777E-4
medicine	1.0	1.5082956259426848E-4
weekday	1.0	0.0010515247108307045
cloak	1.0	0.0012484394506866417
era	1.0	3.5676061362825543E-4
wwt	1.0	0.0018115942028985507
erb	1.0	0.0019047619047619048
keywords	1.0	5.277044854881266E-4
bunting	1.0	0.0013717421124828531
davis	1.0	5.379236148466917E-4
treat	1.0	9.813542688910697E-5
teenage	1.0	6.993006993006993E-4
jared	1.0	0.0017006802721088435
thumbnail	1.0	0.0012106537530266344
chile	1.0	0.001059322033898305
novartis	1.0	0.0015290519877675841
hydroponics	1.0	0.0018450184501845018
accredit	1.0	5.5005500550055E-4
ltsn	1.0	0.0012919896640826874
administrative	1.0	3.1446540880503143E-4
papua	1.0	0.001610305958132045
pastoral	1.0	8.438818565400844E-4
sort	1.0	9.301460329271696E-5
liverpool	1.0	2.3940627244433804E-4
refurbishment	1.0	7.818608287724785E-4
dinners	1.0	0.0017730496453900709
martin	1.0	1.6366612111292964E-4
forecast	1.0	4.714757190004715E-4
sconul	1.0	0.001639344262295082
vere	1.0	0.001669449081803005
clicktodial	1.0	0.0019723865877712033
nqs	1.0	0.0019305019305019305
httpmemberslycoscoukderekhorne	1.0	0.0019723865877712033
kenya	1.0	7.451564828614009E-4
genetically	1.0	7.230657989877079E-4
sociodemographics	1.0	0.0019646365422396855
agent	1.0	1.155001155001155E-4
woodrow	1.0	0.001644736842105263
nameservers	1.0	0.0018867924528301887
rspb	1.0	0.0012453300124533001
spirit	1.0	1.2914890869172155E-4
passwordprotected	1.0	0.0017889087656529517
hybrid	1.0	6.583278472679394E-4
designate	1.0	3.6603221083455345E-4
christian	1.0	1.004419445560466E-4
obtaining	1.0	0.0017699115044247787
scan	1.0	2.8563267637817766E-4
topup	1.0	0.001184834123222749
rock	1.0	1.224439818782907E-4
directorship	1.0	0.0016835016835016834
gatwick	1.0	9.541984732824427E-4
dominica	1.0	0.0018115942028985507
scam	1.0	0.0010649627263045794
christmas	1.0	1.5396458814472672E-4
magnet	1.0	0.001091703056768559
speaker	1.0	1.7143836790673754E-4
wwwvisiteuropecom	1.0	0.0019723865877712033
murray	1.0	5.491488193300384E-4
measurement	1.0	2.875215641173088E-4
wwwcipdcouk	1.0	0.001968503937007874
lodge	1.0	3.1735956839098697E-4
deg	1.0	0.001321003963011889
studentcentral	1.0	0.0019047619047619048
dec	1.0	2.9120559114735004E-4
ease	1.0	3.1826861871419476E-4
surface	1.0	1.29315918789603E-4
specially	1.0	4.768717215069146E-4
connector	1.0	7.880220646178094E-4
effectiveness	1.0	3.069367710251688E-4
launch	1.0	8.324315325064514E-5
revision	1.0	4.6948356807511736E-4
mekhi	1.0	0.001949317738791423
selfcert	1.0	0.001949317738791423
hesitate	1.0	7.331378299120235E-4
hardback	1.0	8.968609865470852E-4
mile	1.0	8.8660342228921E-5
quantitative	1.0	7.347538574577516E-4
endorsement	1.0	8.51063829787234E-4
humancomputer	1.0	0.0015625
charles	1.0	2.0048115477145148E-4
torpoint	1.0	0.001869158878504673
continuous	1.0	3.204101249599487E-4
unpublished	1.0	9.99000999000999E-4
inspectorate	1.0	0.0010162601626016261
wwwcicgcca	1.0	0.001968503937007874
