WORD	FREQ	JACCARD SIMILARITY
landlordsmanaging	1.0	0.0020161290322580645
incentive	1.0	4.8496605237633366E-4
developed	1.0	0.0010277492291880781
jet	1.0	5.868544600938967E-4
reinstate	1.0	0.0012919896640826874
licensing	1.0	4.1152263374485596E-4
twin	1.0	3.2331070158422246E-4
summer	1.0	8.301510874979246E-5
tutorial	1.0	3.541076487252125E-4
floridian	1.0	0.001968503937007874
redirect	1.0	0.0012300123001230013
vento	1.0	0.0019880715705765406
shortterm	1.0	6.613756613756613E-4
origin	1.0	2.289901534234028E-4
defendant	1.0	5.091649694501018E-4
eventuality	1.0	0.0016233766233766235
bereavement	1.0	0.0011890606420927466
properly	1.0	2.13903743315508E-4
salesman	1.0	0.0013458950201884253
export	1.0	2.803476310625175E-4
stoke	1.0	7.633587786259542E-4
vicarious	1.0	0.0017793594306049821
legislation	1.0	1.4005602240896358E-4
assets	1.0	0.0014727540500736377
ahead	1.0	1.6812373907195696E-4
sponsor	1.0	1.893222264293828E-4
urban	1.0	2.09819555182543E-4
push	1.0	1.7979144192736425E-4
limb	1.0	7.874015748031496E-4
privilege	1.0	5.227391531625719E-4
practitioner	1.0	2.229654403567447E-4
ac	1.0	5.055611729019212E-4
lousy	1.0	0.0016638935108153079
mindless	1.0	0.0016260162601626016
uphold	1.0	8.019246190858059E-4
explosion	1.0	6.138735420503376E-4
previously	1.0	1.518372304889159E-4
approach	1.0	4.5308323138960625E-5
accompany	1.0	2.2951572182694515E-4
badly	1.0	4.5558086560364467E-4
aa	1.0	5.165289256198347E-4
felson	1.0	0.00196078431372549
forfeit	1.0	0.001466275659824047
manner	1.0	1.81422351233672E-4
forget	1.0	1.5375153751537516E-4
finger	1.0	3.297065611605671E-4
shuffle	1.0	0.0012531328320802004
neighbour	1.0	2.51004016064257E-4
hamleys	1.0	0.0019723865877712033
proper	1.0	2.0112630732099757E-4
reduction	1.0	1.857700167193015E-4
power	1.0	3.841573508509085E-5
instructor	1.0	4.6125461254612545E-4
pensions	1.0	6.321112515802782E-4
shortening	1.0	0.001838235294117647
supervisory	1.0	0.0013054830287206266
bief	1.0	0.0020161290322580645
pets	1.0	0.0012437810945273632
dedicated	1.0	3.5001750087504374E-4
physicians	1.0	0.0013774104683195593
bedford	1.0	7.479431563201197E-4
socialist	1.0	4.224757076468103E-4
notional	1.0	0.0016474464579901153
pack	1.0	1.2753475322025253E-4
reminiscence	1.0	0.0014792899408284023
hereditary	1.0	0.0011947431302270011
saudi	1.0	8.888888888888889E-4
foot	1.0	9.939369843951894E-5
abi	1.0	0.0013869625520110957
elses	1.0	0.0017152658662092624
rectum	1.0	0.0017513134851138354
hugely	1.0	7.462686567164179E-4
door	1.0	1.0041168792047395E-4
attach	1.0	2.033760423022168E-4
whollyown	1.0	0.0018726591760299626
ny	1.0	8.410428931875525E-4
scrapbook	1.0	0.0016155088852988692
revise	1.0	2.78473962684489E-4
infinity	1.0	0.0013422818791946308
heritage	1.0	1.8846588767433095E-4
camouflage	1.0	0.0015267175572519084
inclusive	1.0	4.278990158322636E-4
tour	1.0	9.83477576711251E-5
cater	1.0	4.432624113475177E-4
cooperate	1.0	7.117437722419929E-4
acquire	1.0	2.1146119687037428E-4
correct	1.0	1.3513513513513514E-4
ticket	1.0	1.40548137737175E-4
furtherance	1.0	0.0016611295681063123
engage	1.0	1.550147263990079E-4
burns	1.0	8.635578583765112E-4
costrecovery	1.0	0.00196078431372549
violent	1.0	4.997501249375312E-4
facility	1.0	6.067224851352991E-5
brace	1.0	0.001001001001001001
debtor	1.0	0.0013175230566534915
doublewank	1.0	0.002008032128514056
hsbc	1.0	0.00130718954248366
monty	1.0	0.001256281407035176
fortis	1.0	0.00196078431372549
animal	1.0	8.457374830852504E-5
powerful	1.0	1.694628029147602E-4
pursuit	1.0	5.875440658049354E-4
nonregistration	1.0	0.002008032128514056
diary	1.0	3.315649867374005E-4
homeowner	1.0	0.001128668171557562
overpayment	1.0	0.0014727540500736377
including	1.0	0.0013774104683195593
universal	1.0	3.4340659340659343E-4
penny	1.0	6.191950464396285E-4
cannock	1.0	0.001644736842105263
ethnic	1.0	3.1191515907673113E-4
committee	1.0	5.207248489897938E-5
county	1.0	9.479571523367143E-5
geographic	1.0	8.216926869350862E-4
hivaids	1.0	0.0010775862068965517
consent	1.0	2.644802962179318E-4
anyting	1.0	0.002008032128514056
allotmenteering	1.0	0.0020
pm	1.0	3.8374457960781306E-5
keydamage	1.0	0.0020161290322580645
birmingham	1.0	1.877581674802854E-4
po	1.0	5.151983513652757E-4
bargain	1.0	7.41839762611276E-4
easymobilecom	1.0	0.0020161290322580645
brochure	1.0	4.918839153959665E-4
subsidary	1.0	0.0020
beach	1.0	1.5420200462606013E-4
wisely	1.0	0.0012674271229404308
plans	1.0	7.905138339920949E-4
chris	1.0	1.579778830963665E-4
invalidity	1.0	0.0018248175182481751
unitlinked	1.0	0.0019801980198019802
selfmanaged	1.0	0.001941747572815534
ndpbs	1.0	0.0018050541516245488
accompanying	1.0	8.795074758135445E-4
oneoff	1.0	8.920606601248885E-4
click	1.0	3.669994128009395E-5
multitrip	1.0	0.0018656716417910447
necessity	1.0	5.724098454493417E-4
flights	1.0	0.0013605442176870747
airport	1.0	1.6471750947125678E-4
adjustment	1.0	4.5578851412944393E-4
