WORD	FREQ	JACCARD SIMILARITY
ngo	1.0	9.345794392523365E-4
yk	1.0	0.0017064846416382253
advocacy	1.0	7.8125E-4
intensifying	1.0	0.0019646365422396855
stockpiling	1.0	0.0017574692442882249
summer	1.0	8.296689620841284E-5
envoy	1.0	0.0016155088852988692
assad	1.0	0.0018726591760299626
formidable	1.0	0.0011061946902654867
concentration	1.0	3.4129692832764505E-4
rise	1.0	7.960515841426525E-5
bail	1.0	0.0011111111111111111
suddenly	1.0	3.1308703819661864E-4
wwwculturegovukglobalconsultations+current+consultationshaugeconventionhtm	1.0	0.0019880715705765406
yemen	1.0	0.0016207455429497568
denounce	1.0	0.0012626262626262627
tsunami	1.0	9.199632014719411E-4
pipeline	1.0	7.473841554559044E-4
retention	1.0	5.633802816901409E-4
cancn	1.0	0.0019011406844106464
supportive	1.0	5.678591709256105E-4
enemy	1.0	2.6737967914438503E-4
stakeholder	1.0	3.734129947722181E-4
monument	1.0	5.47645125958379E-4
accessible	1.0	1.9308746862328635E-4
indirectly	1.0	8.613264427217916E-4
remarkable	1.0	3.8654812524159255E-4
din	1.0	0.0014204545454545455
push	1.0	1.795654516071108E-4
authoritiesinternational	1.0	0.0019880715705765406
outsider	1.0	0.0010905125408942203
undertake	1.0	9.937394415184339E-5
transport	1.0	8.351428094204109E-5
threepoint	1.0	0.001890359168241966
fairminded	1.0	0.0019305019305019305
darfurparticularly	1.0	0.0019880715705765406
constituent	1.0	7.047216349541931E-4
pretend	1.0	6.993006993006993E-4
driver	1.0	1.1886366337810531E-4
convene	1.0	9.930486593843098E-4
rationale	1.0	8.424599831508003E-4
mkapa	1.0	0.0019723865877712033
saidthe	1.0	0.001937984496124031
abdallah	1.0	0.0018975332068311196
extreme	1.0	2.955082742316785E-4
parishad	1.0	0.0019723865877712033
cache	1.0	0.0010193679918450561
cosponsor	1.0	0.001652892561983471
crafer	1.0	0.001976284584980237
dialog	1.0	9.25925925925926E-4
theme	1.0	1.3083867591259977E-4
default	1.0	2.2878059940517045E-4
srsg	1.0	0.0019880715705765406
reprocess	1.0	0.0014245014245014246
rough	1.0	4.393673110720562E-4
rehabilitation	1.0	5.396654074473826E-4
gun	1.0	2.8555111364934324E-4
annexes	1.0	0.0018552875695732839
scouts	1.0	0.0013386880856760374
symbol	1.0	3.4722222222222224E-4
taipei	1.0	0.0015923566878980893
