WORD	FREQ	JACCARD SIMILARITY
institutional	1.0	4.589261128958238E-4
attendee	1.0	9.80392156862745E-4
brigade	1.0	6.079027355623101E-4
constructive	1.0	7.692307692307692E-4
illegal	1.0	3.4223134839151266E-4
job	1.0	4.7860629845888775E-5
themed	1.0	0.0018656716417910447
massive	1.0	2.5786487880350697E-4
maasai	1.0	0.0018726591760299626
control	1.0	3.422547744541036E-5
localized	1.0	0.0017391304347826088
semiarid	1.0	0.001876172607879925
abby	1.0	0.001838235294117647
claims	1.0	0.0011806375442739079
origin	1.0	2.289901534234028E-4
localization	1.0	0.0017006802721088435
decisionmaking	1.0	6.337135614702154E-4
enhancing	1.0	0.0016611295681063123
nihe	1.0	0.0019455252918287938
notforprofit	1.0	0.0010857763300760044
gpa	1.0	0.001869158878504673
grave	1.0	4.7732696897374703E-4
handicap	1.0	9.45179584120983E-4
sayer	1.0	0.0018181818181818182
sale	1.0	6.458696635019054E-5
direction	1.0	1.1968880909634949E-4
jewish	1.0	3.2425421530479895E-4
clifford	1.0	0.0011574074074074073
cough	1.0	9.75609756097561E-4
largescale	1.0	7.8125E-4
stubbs	1.0	0.0017211703958691911
interpress	1.0	0.002012072434607646
diana	1.0	8.818342151675485E-4
biographical	1.0	0.0011682242990654205
collective	1.0	3.966679888932963E-4
symbol	1.0	3.480682213713888E-4
preponderant	1.0	0.0020
neighbour	1.0	2.51004016064257E-4
lloyd	1.0	6.238303181534623E-4
elementary	1.0	9.80392156862745E-4
sos	1.0	0.0014705882352941176
writeup	1.0	0.0017605633802816902
wfp	1.0	0.0018484288354898336
reflection	1.0	3.654970760233918E-4
wwweldisorg	1.0	0.0020161290322580645
purchase	1.0	9.398496240601504E-5
experienced	1.0	2.7808676307007786E-4
heymans	1.0	0.0020161290322580645
replenishment	1.0	0.00186219739292365
kill	1.0	1.1837121212121212E-4
janet	1.0	6.317119393556538E-4
discipline	1.0	2.1626297577854672E-4
pioneer	1.0	3.990422984836393E-4
haddrill	1.0	0.002012072434607646
restoration	1.0	4.084967320261438E-4
derek	1.0	5.770340450086555E-4
princess	1.0	5.425935973955507E-4
ips	1.0	0.0017123287671232876
vulnerability	1.0	8.703220191470844E-4
practitioners	1.0	0.0010626992561105207
registrar	1.0	6.406149903907751E-4
traction	1.0	0.001282051282051282
biofuels	1.0	0.0015267175572519084
dobson	1.0	0.0013774104683195593
wwwcooperativebankcouk	1.0	0.002012072434607646
headquarters	1.0	4.987531172069825E-4
vaccine	1.0	6.027727546714888E-4
satellite	1.0	3.3288948069241014E-4
freemarket	1.0	0.0018484288354898336
shaftesbury	1.0	0.001644736842105263
identity	1.0	1.763046544428773E-4
message	1.0	6.148170919151552E-5
ypp	1.0	0.0020161290322580645
radioactive	1.0	0.0010683760683760685
swiss	1.0	7.358351729212656E-4
idsc	1.0	0.002012072434607646
paragraph	1.0	1.8433179723502304E-4
initially	1.0	2.6116479498563595E-4
court	1.0	5.997361161089121E-5
ipi	1.0	0.001953125
occupational	1.0	4.2354934349851756E-4
des	1.0	4.29553264604811E-4
wellness	1.0	0.001736111111111111
subsistence	1.0	0.001303780964797914
reaction	1.0	2.2148394241417498E-4
curb	1.0	0.0012658227848101266
restorative	1.0	0.0016051364365971107
feminist	1.0	0.0011025358324145535
boost	1.0	3.4578146611341634E-4
adrian	1.0	5.810575246949448E-4
attention	1.0	1.093972213105787E-4
laude	1.0	0.0019569471624266144
merge	1.0	6.086427267194157E-4
corporacion	1.0	0.002012072434607646
tradeston	1.0	0.002012072434607646
heart	1.0	7.173601147776183E-5
revenuecapital	1.0	0.0020161290322580645
concrete	1.0	3.97456279809221E-4
ordig	1.0	0.002008032128514056
mundi	1.0	0.00186219739292365
brochure	1.0	4.918839153959665E-4
miers	1.0	0.0019342359767891683
cedr	1.0	0.0016051364365971107
pictures	1.0	7.836990595611285E-4
promozione	1.0	0.002012072434607646
kirby	1.0	0.0013422818791946308
museum	1.0	1.0249051962693452E-4
turkish	1.0	7.401924500370096E-4
upap	1.0	0.0019801980198019802
istituto	1.0	0.001953125
rsc	1.0	0.0012391573729863693
breathtaking	1.0	8.658008658008658E-4
ilri	1.0	0.001949317738791423
distinctive	1.0	4.5998160073597056E-4
cbe	1.0	0.0012836970474967907
islam	1.0	4.4306601683650863E-4
negotiation	1.0	3.214400514304082E-4
sgou	1.0	0.002012072434607646
anglican	1.0	8.417508417508417E-4
apparent	1.0	3.4746351633078526E-4
adolfo	1.0	0.001976284584980237
welch	1.0	0.0014347202295552368
ymca	1.0	0.0014265335235378032
spinks	1.0	0.001937984496124031
crossdepartmental	1.0	0.0019267822736030828
pension	1.0	1.6767270288397049E-4
dry	1.0	1.6619577862722287E-4
austria	1.0	6.844626967830253E-4
sri	1.0	7.112375533428165E-4
freight	1.0	8.012820512820513E-4
gap	1.0	1.9550342130987292E-4
weak	1.0	3.43878954607978E-4
pertinent	1.0	0.0011389521640091116
branch	1.0	1.5659254619480113E-4
johnstone	1.0	0.001451378809869376
rsa	1.0	0.0013605442176870747
specie	1.0	2.007226013649137E-4
jackson	1.0	4.8146364949446316E-4
buck	1.0	0.001002004008016032
rapaport	1.0	0.002004008016032064
haynes	1.0	0.0014388489208633094
clinical	1.0	1.3399437223636607E-4
dollar	1.0	4.616805170821791E-4
radical	1.0	3.590664272890485E-4
redistribution	1.0	0.001375515818431912
democracy	1.0	3.0845157310302283E-4
mechanism	1.0	1.9976028765481422E-4
crucially	1.0	0.0012626262626262627
canterbury	1.0	6.406149903907751E-4
socially	1.0	6.765899864682003E-4
nominate	1.0	4.7192071731949034E-4
ukwide	1.0	0.0014347202295552368
healthy	1.0	1.9451468585878233E-4
voucher	1.0	6.079027355623101E-4
impoverished	1.0	0.001557632398753894
publicly	1.0	5.878894767783657E-4
tobias	1.0	0.0018181818181818182
mcquaid	1.0	0.00199203187250996
dart	1.0	0.0010298661174047373
initiate	1.0	4.2716787697565144E-4
save	1.0	7.344300822561692E-5
count	1.0	1.6675004168751042E-4
location	1.0	6.128953174797744E-5
laptop	1.0	4.7732696897374703E-4
integrity	1.0	5.012531328320802E-4
dignan	1.0	0.0020161290322580645
httpwwwusaidgovourworkenvironment	1.0	0.0020161290322580645
nomination	1.0	5.770340450086555E-4
kick	1.0	2.6308866087871614E-4
burkina	1.0	0.0014619883040935672
neil	1.0	3.4094783498124785E-4
chengang	1.0	0.0020
torture	1.0	7.722007722007722E-4
liberalization	1.0	0.0018867924528301887
hayes	1.0	0.0010152284263959391
heifetz	1.0	0.0019880715705765406
chryston	1.0	0.002004008016032064
atlantic	1.0	4.0225261464199515E-4
dafydd	1.0	0.0017241379310344827
flora	1.0	7.987220447284345E-4
payment	1.0	9.563886763580719E-5
httpearthtrendswriorgmiscellsitemapcfmtheme	1.0	0.0020161290322580645
federate	1.0	0.0015822784810126582
manufacture	1.0	2.759381898454746E-4
openoffice	1.0	0.001876172607879925
qualified	1.0	4.336513443191674E-4
leads	1.0	0.0015432098765432098
paris	1.0	2.886002886002886E-4
operate	1.0	8.847991505928154E-5
bulletin	1.0	4.338394793926247E-4
anstee	1.0	0.001949317738791423
oceanic	1.0	0.0014992503748125937
frank	1.0	3.2711808963035657E-4
wan	1.0	0.0014749262536873156
silent	1.0	5.293806246691371E-4
expenditure	1.0	3.595828838547285E-4
casson	1.0	0.0018867924528301887
armstrong	1.0	7.662835249042146E-4
craig	1.0	5.112474437627812E-4
httpwwwpanoscouk	1.0	0.0020161290322580645
diocese	1.0	9.140767824497258E-4
simply	1.0	7.416747014759327E-5
niono	1.0	0.0020161290322580645
faisalabad	1.0	0.001984126984126984
carr	1.0	9.090909090909091E-4
replacement	1.0	2.8336639274582036E-4
btc	1.0	0.001876172607879925
multifibre	1.0	0.0019801980198019802
williams	1.0	2.6831231553528306E-4
cell	1.0	1.25250501002004E-4
mod	1.0	6.49772579597141E-4
mcleod	1.0	0.0015360983102918587
ukfssart	1.0	0.0019157088122605363
risk	1.0	5.4147714966428416E-5
dpp	1.0	0.0017985611510791368
guy	1.0	1.793400286944046E-4
zambezia	1.0	0.001953125
commitments	1.0	0.001841620626151013
genomics	1.0	0.001321003963011889
duty	1.0	1.1663167716351762E-4
poet	1.0	4.103405826836274E-4
rise	1.0	7.964954201513341E-5
supportive	1.0	5.701254275940707E-4
neoliberal	1.0	0.0015128593040847202
dementia	1.0	9.930486593843098E-4
driver	1.0	1.1896264572924102E-4
httpwwwsedmanchesteracukidpm	1.0	0.0020161290322580645
mpp	1.0	0.0019083969465648854
corners	1.0	0.0017921146953405018
established	1.0	4.5045045045045046E-4
bruce	1.0	5.189413596263622E-4
christopher	1.0	4.551661356395084E-4
mph	1.0	5.402485143165856E-4
anticorruption	1.0	0.0019569471624266144
testify	1.0	0.0011723329425556857
submissions	1.0	0.0018248175182481751
susan	1.0	5.649717514124294E-4
outreach	1.0	7.385524372230429E-4
sspp	1.0	0.0020161290322580645
geoff	1.0	6.93000693000693E-4
ghanaian	1.0	0.0016556291390728477
improving	1.0	0.001379310344827586
israeli	1.0	5.564830272676684E-4
irdd	1.0	0.002008032128514056
managers	1.0	9.025270758122744E-4
