WORD	FREQ	JACCARD SIMILARITY
middleelevation	1.0	0.001996007984031936
plastic	1.0	2.8818443804034583E-4
astronaut	1.0	0.0015360983102918587
possibly	1.0	1.904036557501904E-4
hutson	1.0	0.0019083969465648854
heartland	1.0	0.0015822784810126582
sway	1.0	0.001201923076923077
vanquish	1.0	0.001669449081803005
bronze	1.0	5.138746145940391E-4
times	1.0	1.7406440382941688E-4
shock	1.0	3.351206434316354E-4
composition	1.0	3.70919881305638E-4
tumour	1.0	7.479431563201197E-4
dominant	1.0	6.071645415907711E-4
whats	1.0	7.651109410864575E-4
relocation	1.0	0.001053740779768177
workshop	1.0	1.0811979673478214E-4
multiple	1.0	1.9708316909735908E-4
moorish	1.0	0.0017825311942959
kozji	1.0	0.001996007984031936
esk	1.0	0.0016891891891891893
refurbishment	1.0	7.855459544383347E-4
constituent	1.0	7.057163020465773E-4
restriction	1.0	2.699055330634278E-4
multiply	1.0	8.658008658008658E-4
fringe	1.0	6.779661016949153E-4
whiteonly	1.0	0.001996007984031936
bed	1.0	1.2096286440062901E-4
solon	1.0	0.0018181818181818182
kidderpore	1.0	0.0019723865877712033
means	1.0	2.564102564102564E-4
youre	1.0	8.368200836820083E-4
pleasure	1.0	2.955082742316785E-4
starch	1.0	0.0013736263736263737
marked	1.0	8.285004142502071E-4
cambodia	1.0	0.001375515818431912
myth	1.0	4.5351473922902497E-4
repair	1.0	1.9700551615445234E-4
filmaker	1.0	0.001996007984031936
representative	1.0	1.3482540110556829E-4
dedicated	1.0	3.4940600978336826E-4
iron	1.0	2.3629489603024575E-4
ancestry	1.0	0.001394700139470014
charity	1.0	1.0225994477962981E-4
appleby	1.0	0.0014903129657228018
ills	1.0	0.001876172607879925
hutton	1.0	0.0010787486515641855
designate	1.0	3.6683785766691124E-4
aerosol	1.0	0.0013812154696132596
sheffield	1.0	2.965599051008304E-4
semipermanent	1.0	0.0018587360594795538
valuable	1.0	2.0597322348094748E-4
pretend	1.0	7.002801120448179E-4
parking	1.0	1.8021265092809516E-4
mit	1.0	0.001128668171557562
dinner	1.0	2.2583559168925022E-4
paul	1.0	9.189487226612754E-5
scam	1.0	0.0010718113612004287
ubiquitous	1.0	0.0011890606420927466
surface	1.0	1.2941633234114146E-4
boatbuilding	1.0	0.0019047619047619048
saydullo	1.0	0.001996007984031936
sociologically	1.0	0.0019083969465648854
manager	1.0	5.7607005011809435E-5
tendency	1.0	5.117707267144319E-4
greatgrandfather	1.0	0.0018214936247723133
articulate	1.0	7.31528895391368E-4
revolution	1.0	2.849002849002849E-4
owner	1.0	1.0982976386600769E-4
leaves	1.0	0.0015128593040847202
escalate	1.0	0.0011337868480725624
info	1.0	2.0408163265306123E-4
deprivation	1.0	9.624639076034649E-4
diary	1.0	3.3101621979476995E-4
prose	1.0	9.328358208955224E-4
spoiled	1.0	0.0016129032258064516
boost	1.0	3.4518467380048324E-4
conceptual	1.0	7.142857142857143E-4
milk	1.0	3.1377470975839345E-4
row	1.0	2.633658151171978E-4
canadian	1.0	4.597701149425287E-4
score	1.0	1.2933264355923435E-4
idarwald	1.0	0.001996007984031936
dieppe	1.0	0.0019120458891013384
endorsement	1.0	8.55431993156544E-4
exchange	1.0	1.221597849987784E-4
stroustrup	1.0	0.0019880715705765406
quick	1.0	1.4359563469270534E-4
experimental	1.0	3.9308176100628933E-4
misconception	1.0	0.001282051282051282
propose	1.0	9.674922600619196E-5
volcanic	1.0	0.0011976047904191617
vacant	1.0	9.66183574879227E-4
center	1.0	2.1317416329140907E-4
kathmandu	1.0	0.0015625
promotions	1.0	0.0014970059880239522
renaissance	1.0	6.779661016949153E-4
shake	1.0	4.192872117400419E-4
roger	1.0	3.616636528028933E-4
hobbyist	1.0	0.0017921146953405018
footnote	1.0	8.968609865470852E-4
satisfaction	1.0	4.192872117400419E-4
floorscape	1.0	0.0019880715705765406
saving	1.0	2.384358607534573E-4
hardback	1.0	9.017132551848512E-4
coordinator	1.0	2.984183825723665E-4
dry	1.0	1.6605778811026238E-4
compute	1.0	8.045052292839903E-4
destine	1.0	0.0010351966873706005
estrange	1.0	0.0017482517482517483
aspirant	1.0	0.0018115942028985507
inadequacy	1.0	0.0014388489208633094
sore	1.0	9.25925925925926E-4
terry	1.0	4.7664442326024784E-4
prejudge	1.0	0.0019047619047619048
quantitative	1.0	7.380073800738007E-4
boulder	1.0	9.910802775024777E-4
buyer	1.0	3.247807729782397E-4
innovation	1.0	2.224694104560623E-4
catch	1.0	1.218769043266301E-4
perception	1.0	2.995805871779509E-4
blanket	1.0	7.037297677691766E-4
weight	1.0	1.3227513227513228E-4
robbery	1.0	0.0011574074074074073
upkeep	1.0	0.0015503875968992248
combine	1.0	1.3548299688389108E-4
intelligentsia	1.0	0.0016
despair	1.0	8.47457627118644E-4
centro	1.0	0.0017123287671232876
mine	1.0	2.0454080589077522E-4
yunnan	1.0	0.001869158878504673
engaging	1.0	9.671179883945841E-4
networking	1.0	4.253509145044662E-4
annual	1.0	8.082767539605561E-5
assassinate	1.0	0.0015128593040847202
emerge	1.0	1.818181818181818E-4
guard	1.0	3.332222592469177E-4
plaster	1.0	8.613264427217916E-4
painlev	1.0	0.0019569471624266144
bureaucratic	1.0	0.001199040767386091
lesson	1.0	1.7108639863130882E-4
confidence	1.0	1.5992323684631377E-4
login	1.0	3.439972480220158E-4
quadragle	1.0	0.001996007984031936
nourishment	1.0	0.0017271157167530224
tajik	1.0	0.0019193857965451055
agreement	1.0	9.35103796521414E-5
peninsular	1.0	0.001692047377326565
confine	1.0	5.580357142857143E-4
successfully	1.0	2.3507287259050304E-4
happily	1.0	7.092198581560284E-4
harsh	1.0	7.818608287724785E-4
irish	1.0	2.277385561375541E-4
hereditary	1.0	0.0011876484560570072
nanny	1.0	0.001017293997965412
archaeology	1.0	3.9872408293460925E-4
modify	1.0	2.4378352023403217E-4
purposebuilt	1.0	0.0013003901170351106
respect	1.0	8.855042946958293E-5
standstill	1.0	0.0015923566878980893
revise	1.0	2.7808676307007786E-4
reading	1.0	1.1189437171310283E-4
edward	1.0	3.045066991473812E-4
bloom	1.0	8.084074373484236E-4
institute	1.0	9.720062208398134E-5
nlb	1.0	0.0019342359767891683
cyberspace	1.0	0.0011806375442739079
mass	1.0	1.443418013856813E-4
upbringing	1.0	0.0015151515151515152
suppose	1.0	1.9813750743015652E-4
pick	1.0	1.1973180076628352E-4
flora	1.0	7.955449482895784E-4
maritime	1.0	6.489292667099286E-4
counterpart	1.0	7.390983000739098E-4
photoshop	1.0	0.0011862396204033216
achievement	1.0	1.9000570017100514E-4
entail	1.0	8.598452278589854E-4
salley	1.0	0.00199203187250996
equation	1.0	5.173305742369374E-4
roadside	1.0	9.940357852882703E-4
retract	1.0	0.0016863406408094434
son	1.0	9.860960457548565E-5
