WORD	FREQ	JACCARD SIMILARITY
carvoeiro	1.0	0.0020
branklyn	1.0	0.0020325203252032522
filename	1.0	0.00117096018735363
advanced	1.0	1.545595054095827E-4
answer	1.0	6.019744762822056E-5
suitability	1.0	8.620689655172414E-4
origin	1.0	2.2925263640531865E-4
basic	1.0	8.512087163772556E-5
justin	1.0	9.267840593141798E-4
dominant	1.0	6.108735491753207E-4
reasonableness	1.0	0.0017921146953405018
inaccurate	1.0	0.001176470588235294
crowd	1.0	2.5150905432595576E-4
setup	1.0	4.450378282153983E-4
bend	1.0	5.599104143337066E-4
breed	1.0	3.1436655139893113E-4
uniformity	1.0	0.0014124293785310734
invaluable	1.0	5.966587112171838E-4
considerable	1.0	2.092925910422771E-4
crown	1.0	2.448579823702253E-4
kingston	1.0	7.886435331230284E-4
privately	1.0	7.189072609633358E-4
davis	1.0	5.425935973955507E-4
morse	1.0	0.0014285714285714286
wapalizer	1.0	0.002036659877800407
marker	1.0	6.134969325153375E-4
iestyn	1.0	0.00199203187250996
permalink	1.0	7.651109410864575E-4
completion	1.0	2.676659528907923E-4
heron	1.0	0.0011668611435239206
siecletime	1.0	0.0020325203252032522
doctor	1.0	1.1570056693277797E-4
cartoon	1.0	7.541478129713424E-4
hildentrench	1.0	0.002036659877800407
bureham	1.0	0.002036659877800407
passage	1.0	2.618486514794449E-4
swansea	1.0	4.6146746654360867E-4
speyside	1.0	0.001736111111111111
occasionally	1.0	3.6643459142543056E-4
edradour	1.0	0.002008032128514056
exhausting	1.0	0.001692047377326565
lloyd	1.0	6.257822277847309E-4
gee	1.0	0.001447178002894356
row	1.0	2.640612622128334E-4
kill	1.0	1.1844131232974062E-4
emergency	1.0	2.0383204239706482E-4
accuracy	1.0	3.68052999631947E-4
discontinue	1.0	0.0011641443538998836
tentative	1.0	0.0014265335235378032
ten	1.0	8.312551953449709E-4
sibiu	1.0	0.001996007984031936
salt	1.0	3.65764447695684E-4
spirit	1.0	1.2941633234114146E-4
hugely	1.0	7.49063670411985E-4
princess	1.0	5.44069640914037E-4
mounfield	1.0	0.001984126984126984
valuable	1.0	2.063983488132095E-4
abate	1.0	0.0017331022530329288
versatility	1.0	0.0013175230566534915
christmas	1.0	1.543448062972681E-4
correctly	1.0	3.891050583657588E-4
retire	1.0	3.6589828027808267E-4
corporal	1.0	0.0014925373134328358
scientist	1.0	1.9076688286913393E-4
